,Recovered,Deceased,Infected,I_c
0,0,0,2.0,2
1,0,0,2.0,2
2,0,0,2.0,2
3,0,0,2.142857142857143,3
4,0,0,2.2857142857142856,3
5,0,0,2.4285714285714284,3
6,0,0,2.5714285714285716,3
7,0,0,3.0,5
8,0,0,3.571428571428572,6
9,0,0,4.142857142857143,6
10,0,0,4.714285714285714,7
11,0,0,5.285714285714286,7
12,0,0,5.857142857142858,7
13,0,0,6.428571428571429,7
14,0,0,6.7142857142857135,7
15,0,0,6.857142857142858,7
16,0,0,7.0,7
17,1,0,6.857142857142858,7
18,1,0,6.7142857142857135,7
19,1,0,7.142857142857142,11
20,1,1,7.428571428571429,11
21,1,1,8.0,13
22,2,1,8.428571428571429,13
23,2,1,9.285714285714286,16
24,2,1,10.857142857142858,20
25,2,1,12.428571428571427,20
26,2,1,14.714285714285715,29
27,3,2,16.857142857142858,29
28,4,2,18.571428571428573,29
29,5,2,20.714285714285715,32
30,8,2,22.0,32
31,9,2,22.57142857142857,32
32,9,2,23.142857142857146,32
33,10,2,22.857142857142854,36
34,10,2,23.0,37
35,12,2,29.0,79
36,11,2,34.857142857142854,79
37,14,2,42.142857142857146,89
38,14,2,50.28571428571429,94
39,16,2,58.14285714285714,94
40,16,2,66.14285714285714,98
41,17,2,76.85714285714286,119
42,31,2,80.14285714285714,121
43,31,2,83.57142857142857,123
44,33,2,86.0,125
45,33,2,87.7142857142857,125
46,52,2,87.14285714285714,126
47,58,2,85.85714285714286,131
48,62,2,81.14285714285714,131
49,68,2,78.57142857142857,140
50,70,2,75.71428571428571,142
51,95,2,73.28571428571429,170
52,104,2,71.57142857142857,184
53,114,4,73.57142857142857,204
54,114,5,75.57142857142857,204
55,127,5,87.0,279
56,127,5,103.0,314
57,128,5,122.42857142857143,339
58,128,7,149.14285714285714,395
59,128,16,178.71428571428572,429
60,145,16,209.0,459
61,148,16,243.42857142857144,490
62,148,16,273.7142857142857,523
63,177,16,295.42857142857144,527
64,178,22,317.7142857142857,562
65,206,22,328.57142857142856,564
66,212,22,337.85714285714283,584
67,250,22,340.2857142857143,587
68,291,27,337.7142857142857,626
69,309,27,328.42857142857144,630
70,309,27,324.14285714285717,640
71,359,27,311.2857142857143,658
72,361,27,305.14285714285717,681
73,384,27,296.57142857142856,701
74,384,27,295.2857142857143,717
75,419,28,291.85714285714283,731
76,436,28,289.42857142857144,741
77,461,28,283.57142857142856,752
78,473,34,280.85714285714283,760
79,491,34,275.85714285714283,783
80,505,34,270.42857142857144,791
81,541,34,260.2857142857143,810
82,565,38,251.14285714285717,823
83,584,38,242.7142857142857,840
84,618,38,234.42857142857144,861
85,632,40,226.28571428571428,868
86,668,41,213.28571428571428,876
87,673,42,202.42857142857144,891
88,687,42,195.42857142857144,915
89,701,43,192.85714285714286,946
90,703,43,198.57142857142856,1004
91,706,43,211.28571428571428,1043
92,724,43,227.42857142857144,1076
93,730,43,252.7142857142857,1117
94,743,48,282.42857142857144,1175
95,757,48,315.42857142857144,1222
96,763,48,352.71428571428567,1274
97,769,48,390.1428571428572,1337
98,793,52,423.71428571428567,1374
99,815,53,455.71428571428567,1401
100,857,61,484.0,1460
101,884,64,512.7142857142857,1533
102,909,64,540.5714285714286,1585
103,963,68,560.4285714285714,1633
104,981,68,580.4285714285714,1709
105,1028,68,602.5714285714286,1780
106,1071,69,628.5714285714286,1855
107,1086,70,669.4285714285714,1984
108,1155,70,709.5714285714287,2091
109,1176,75,753.8571428571429,2173
110,1217,75,805.2857142857142,2254
111,1259,80,855.5714285714287,2351
112,1318,82,904.4285714285713,2426
113,1375,90,959.2857142857144,2564
114,1387,92,1008.1428571428572,2649
115,1508,93,1049.142857142857,2754
116,1580,96,1086.857142857143,2862
117,1629,97,1129.5714285714287,2987
118,1714,109,1168.4285714285713,3107
119,1773,113,1212.7142857142858,3222
120,1824,121,1257.142857142857,3355
121,1930,128,1295.4285714285713,3496
122,2011,138,1352.857142857143,3704
123,2169,138,1407.0,3872
124,2371,144,1449.7142857142858,4075
125,2450,150,1507.7142857142858,4290
126,2577,151,1563.2857142857142,4453
127,2650,152,1621.0,4616
128,2781,155,1683.142857142857,4809
129,2998,157,1726.5714285714291,5014
130,3103,163,1784.142857142857,5234
131,3303,164,1840.5714285714291,5422
132,3482,172,1888.428571428572,5679
133,3518,176,1938.5714285714291,5770
134,3809,178,1961.142857142857,5959
135,4001,186,1985.2857142857144,6229
136,4132,206,2036.0,6552
137,4237,213,2089.5714285714284,6793
138,4309,216,2190.714285714286,7188
139,4383,224,2298.428571428572,7386
140,4588,235,2397.285714285714,7591
141,4864,246,2520.428571428572,7944
142,5128,255,2635.428571428572,8230
143,5231,264,2760.142857142857,8582
144,5385,277,2889.0,8907
145,5566,283,3001.857142857143,9302
146,5770,290,3104.142857142857,9555
147,6021,300,3234.4285714285716,10001
148,6298,308,3384.4285714285716,10490
149,6466,311,3580.285714285714,10995
150,6688,313,3786.285714285714,11530
151,7119,322,4003.714285714286,12208
152,7707,328,4209.0,12925
153,7860,333,4473.714285714285,13541
154,8324,340,4705.0,13963
