,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3161690.0,5970.12,4895.47,8253.51,323.592,13478.8,0.009039561126345408
1,3160270.0,6251.54,5125.27,8656.58,332.099,14120.5,0.00948462810735895
2,3158790.0,6545.46,5365.95,9078.58,341.005,14792.4,0.0099485007354575
3,3157240.0,6852.43,5617.92,9520.4,350.329,15495.8,0.010434313285155317
4,3155620.0,7173.05,5881.64,9982.96,360.092,16232.2,0.010942065756452402
5,3153930.0,7507.9,6157.6,10467.2,370.31199999999995,17003.0,0.011471758149348754
6,3152150.0,7857.6,6446.29,10974.2,381.01199999999994,17809.8,0.012029659012872784
7,3150300.0,8222.77,6748.24,11504.9,392.213,18654.0,0.012609499797995971
8,3148360.0,8604.05,7063.99,12060.5,403.93800000000005,19537.5,0.013217549053746835
9,3146330.0,9002.1,7394.12,12642.1,416.212,20461.9,0.013853806780125266
10,3144200.0,9417.6,7739.2,13250.8,429.059,21429.0,0.014521407251645524
11,3141980.0,9851.23,8099.86,13887.9,442.505,22440.7,0.01521721619379346
12,3139660.0,10303.7,8476.74,14554.7,456.577,23498.9,0.01594436788108311
13,3137230.0,10775.7,8870.47,15252.5,471.30400000000003,24605.6,0.016705996588028738
14,3134700.0,11268.1,9281.76,15982.7,486.714,25763.0,0.017498968040116192
15,3132050.0,11781.5,9711.29,16746.7,502.837,26973.2,0.01832955078637377
16,3129280.0,12316.8,10159.8,17546.0,519.706,28238.4,0.019197744826801588
17,3126390.0,12874.6,10628.0,18382.2,537.354,29561.1,0.02010355016139942
18,3123360.0,13456.0,11116.7,19256.8,555.814,30943.5,0.021053235339195897
19,3120210.0,14061.5,11626.7,20171.7,575.121,32388.3,0.0220405318111625
20,3116910.0,14692.2,12158.8,21128.5,595.313,33898.0,0.02307484240084179
21,3113470.0,15348.7,12713.7,22129.0,616.429,35475.2,0.0241530328337195
22,3109880.0,16032.0,13292.4,23175.1,638.506,37122.8,0.02527823738431001
23,3106130.0,16742.9,13895.8,24268.7,661.587,38843.6,0.026453590327127352
24,3102220.0,17482.2,14524.6,25411.9,685.7139999999999,40640.6,0.02767909166217164
25,3098130.0,18250.8,15179.8,26606.8,710.932,42516.7,0.02896100993847106
26,3093880.0,19049.6,15862.4,27855.5,737.285,44475.1,0.030293076606997427
27,3089440.0,19879.4,16573.2,29160.2,764.821,46519.1,0.031684694491293186
28,3084810.0,20741.1,17313.1,30523.3,793.5889999999999,48651.8,0.03313586359135834
29,3079990.0,21635.4,18083.2,31947.2,823.638,50876.7,0.034646583907192885
