,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3089180.0,4.06736,4.83039,0.264993,0.0,5.37301,1.618549876458708e-06
1,3089170.0,3.18764,6.2213400000000005,0.648787,0.0,7.14341,4.855649629265102e-06
2,3089170.0,2.73834,7.21125,1.1134700000000002,0.0,8.59577,4.855649629265102e-06
3,3089170.0,2.5364299999999997,7.984839999999999,1.63826,0.0,9.89316,4.855649629265102e-06
4,3089170.0,2.4781,8.647689999999999,2.2122,0.0,11.1296,4.855649629265102e-06
5,3089170.0,2.50457,9.26047,2.8298900000000002,0.0,12.3603,4.855649629265102e-06
6,3089170.0,2.58263,9.85839,3.4892,0.0,13.6179,4.855649629265102e-06
7,3089170.0,2.12439,10.3166,4.18645,0.0,14.7711,4.855649629265102e-06
8,3089170.0,1.8641,10.5769,4.90792,0.0,15.7516,4.855649629265102e-06
9,3089170.0,1.71625,10.7248,5.64314,0.0,16.6339,4.855649629265102e-06
10,3089160.0,1.63226,10.8087,6.38618,0.0,17.4605,8.092749382071496e-06
11,3089160.0,1.58455,10.8564,7.13365,0.0,18.2554,8.092749382071496e-06
12,3089160.0,1.55746,10.8835,7.88365,0.0,19.0324,8.092749382071496e-06
13,3089160.0,1.54206,10.8989,8.635069999999999,0.0,19.7991,8.092749382071496e-06
14,3089160.0,-0.05610169999999999,10.4826,9.377130000000001,0.0,20.117,8.092749382071496e-06
15,3089160.0,-0.8129850000000001,9.5512,10.0703,0.0,19.875,8.092749382071496e-06
16,3089160.0,-1.1164399999999999,8.439739999999999,10.6917,0.0,19.3834,8.092749382071496e-06
17,3089170.0,-1.1828,7.3203,11.2354,0.0,18.8074,4.855649629265102e-06
18,3089170.0,-1.13166,6.27536,11.7042,0.0,18.2315,4.855649629265102e-06
19,3089170.0,-1.02816,5.33898,12.1045,0.0,17.6959,4.855649629265102e-06
20,3089170.0,-0.906977,4.519769999999999,12.4442,0.0,17.217,4.855649629265102e-06
21,3089170.0,-0.785846,3.81365,12.7313,0.0,16.7985,4.855649629265102e-06
22,3089170.0,-0.673215,3.21075,12.9732,0.0,16.4381,4.855649629265102e-06
23,3089170.0,-0.572508,2.69916,13.1768,0.0,16.1306,4.855649629265102e-06
24,3089170.0,-0.484522,2.26682,13.3478,0.0,15.8697,4.855649629265102e-06
25,3089170.0,-0.40874499999999997,1.90245,13.4914,0.0,15.6493,4.855649629265102e-06
26,3089170.0,-0.344082,1.59592,13.6119,0.0,15.4636,4.855649629265102e-06
27,3089170.0,0.235472,1.46989,13.716,0.0,15.4445,4.855649629265102e-06
28,3089170.0,0.720788,1.60239,13.8206,0.0,15.684000000000001,4.855649629265102e-06
29,3089170.0,1.20913,1.9556900000000002,13.9419,0.0,16.1611,4.855649629265102e-06
30,3089160.0,1.77625,2.53514,14.0953,0.0,16.8967,8.092749382071496e-06
31,3089160.0,2.49306,3.38027,14.2973,0.0,17.9474,8.092749382071496e-06
32,3089160.0,3.4378900000000003,4.56324,14.5687,0.0,19.4065,8.092749382071496e-06
33,3089160.0,3.11996,5.81391,14.9276,0.0,21.0145,8.092749382071496e-06
34,3089160.0,3.07543,6.89992,15.3664,0.0,22.539,8.092749382071496e-06
35,3089160.0,3.20206,7.93618,15.8778,0.0,24.0874,8.092749382071496e-06
36,3089150.0,3.4436199999999997,8.99307,16.4612,0.0,25.7288,1.1329849134988912e-05
37,3089150.0,5.49566,10.5326,17.129,0.0,27.9462,1.1329849134988912e-05
38,3089140.0,7.68346,12.9735,17.9337,0.0,31.2027,1.4566948887795306e-05
39,3089130.0,10.2435,16.3788,18.9391,0.0,35.6261,1.7804048640712722e-05
40,3089130.0,13.3955,20.9149,20.2168,0.0,41.4556,1.7804048640712722e-05
41,3089110.0,17.374000000000002,26.8447,21.8533,0.0,49.0415,2.427824814632551e-05
42,3089100.0,22.4537,34.5344,23.9565,0.0,58.8596,2.7515347899242926e-05
43,3089090.0,17.082,41.56100000000001,26.596999999999998,0.0,68.5001,3.075244765204932e-05
44,3089080.0,14.1564,46.1895,29.6325,0.0,76.1496,3.398954740485571e-05
45,3089080.0,12.6238,49.4744,32.9369,0.0,82.7313,3.398954740485571e-05
46,3089070.0,11.8864,52.0151,36.44,0.0,88.7714,3.722664715777313e-05
47,3089070.0,11.6044,54.1526,40.1031,0.0,94.5706,3.722664715777313e-05
48,3089060.0,11.5851,56.0813,43.9058,0.0,100.302,4.046374691057952e-05
49,3089050.0,11.7192,57.9121,47.8376,0.0,106.065,4.370084666338592e-05
50,3089050.0,7.4066399999999994,58.5297,51.8665,0.0,110.69,4.370084666338592e-05
51,3089050.0,4.9172,57.5202,55.8767,0.0,113.679,4.370084666338592e-05
52,3089050.0,3.4654599999999998,55.6587,59.7848,0.0,115.71799999999999,4.370084666338592e-05
53,3089050.0,2.60515,53.3815,63.5484,0.0,117.2,4.370084666338592e-05
54,3089050.0,2.08269,50.9331,67.1481,0.0,118.34899999999999,4.370084666338592e-05
55,3089050.0,1.7539200000000001,48.4485,70.577,0.0,119.292,4.370084666338592e-05
56,3089050.0,1.53688,46.0016,73.8355,0.0,120.102,4.370084666338592e-05
57,3089050.0,1.3849,43.6309,76.9277,0.0,120.823,4.370084666338592e-05
58,3089050.0,-2.32999,40.3833,79.8361,0.0,120.465,4.370084666338592e-05
59,3089050.0,-3.9581,36.1258,82.4796,0.0,118.84299999999999,4.370084666338592e-05
60,3089060.0,-4.47543,31.6678,84.8194,0.0,116.72200000000001,4.046374691057952e-05
61,3089060.0,-4.4248199999999995,27.4114,86.8569,0.0,114.50399999999999,4.046374691057952e-05
62,3089060.0,-4.10489,23.5361,88.6132,0.0,112.387,4.046374691057952e-05
63,3089060.0,-3.6770099999999997,20.1029,90.1171,0.0,110.459,4.046374691057952e-05
64,3089060.0,-3.22588,17.1112,91.3994,0.0,108.75200000000001,4.046374691057952e-05
65,3089060.0,-0.41801400000000005,15.1579,92.5044,0.0,107.91799999999999,4.046374691057952e-05
66,3089060.0,1.26399,14.3832,93.5186,0.0,108.166,4.046374691057952e-05
67,3089060.0,2.31182,14.2984,94.505,0.0,109.072,4.046374691057952e-05
68,3089060.0,3.0051200000000002,14.6275,95.5009,0.0,110.40100000000001,4.046374691057952e-05
69,3089050.0,3.50306,15.2148,96.5289,0.0,112.01899999999999,4.370084666338592e-05
70,3089050.0,3.90794,15.9764,97.5452,0.0585372,113.85700000000001,4.370084666338592e-05
71,3089050.0,4.25787,16.8661,98.6155,0.12018499999999999,115.88,4.370084666338592e-05
72,3089050.0,4.58395,17.8573,99.7472,0.185371,118.07,4.370084666338592e-05
73,3089040.0,4.90435,18.9365,100.946,0.254448,120.419,4.693794641630333e-05
74,3089040.0,5.22989,20.0979,102.219,0.327733,122.928,4.693794641630333e-05
75,3089040.0,5.56729,21.3403,103.569,0.405533,125.6,4.693794641630333e-05
76,3089030.0,5.92092,22.665,105.00399999999999,0.48815299999999995,128.444,5.017504616910973e-05
77,3089030.0,6.29387,24.0751,106.527,0.575908,131.467,5.017504616910973e-05
78,3089030.0,6.688510000000001,25.5747,108.146,0.669126,134.68,5.017504616910973e-05
79,3089020.0,7.10688,27.1687,109.865,0.768153,138.095,5.341214592202714e-05
80,3089020.0,7.55083,28.8627,111.691,0.873353,141.722,5.341214592202714e-05
81,3089010.0,8.02219,30.6626,113.632,0.9851129999999999,145.577,5.664924567483354e-05
82,3089010.0,8.522780000000001,32.575,115.693,1.10384,149.672,5.664924567483354e-05
83,3089000.0,9.05449,34.6067,117.883,1.2299799999999999,154.02200000000002,5.988634542763993e-05
