,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3085570.0,173.38400000000001,1028.67,1893.34,56.0526,2979.18,0.0011702115606543328
1,3085480.0,173.368,1077.26,1928.81,57.6612,3064.85,0.0011993454584299235
2,3085380.0,176.239,1124.91,1965.91,59.3432,3151.29,0.0012317164559584315
3,3085290.0,180.923,1172.78,2004.61,61.0979,3239.64,0.001260850353734022
4,3085180.0,186.795,1221.58,2044.94,62.9265,3330.62,0.0012964584510154475
5,3085080.0,193.49099999999999,1271.75,2086.93,64.8306,3424.73,0.0013288294485438445
6,3084960.0,200.803,1323.61,2130.65,66.8126,3522.32,0.0013676746455780764
7,3084850.0,208.613,1377.34,2176.14,68.8752,3623.65,0.0014032827428593908
8,3084730.0,216.857,1433.13,2223.47,71.0214,3728.95,0.0014421279398935116
9,3084600.0,225.503,1491.09,2272.72,73.2545,3838.44,0.0014842102366805499
10,3084470.0,234.53799999999998,1551.35,2323.97,75.5779,3952.31,0.001526292533467588
11,3084340.0,243.96099999999998,1614.01,2377.28,77.9952,4070.75,0.0015683748302546263
12,3084190.0,253.77700000000002,1679.18,2432.74,80.51,4193.94,0.0016169313265472773
13,3084050.0,263.996,1746.96,2490.45,83.1264,4322.1,0.001662250723087122
14,3083890.0,274.631,1817.47,2550.48,85.8484,4455.42,0.0017140443191326904
15,3083730.0,285.695,1890.82,2612.94,88.6803,4594.11,0.0017658379151782588
16,3083570.0,297.20599999999996,1967.12,2677.92,91.6264,4738.39,0.0018176315112238273
17,3083400.0,309.17900000000003,2046.48,2745.52,94.6914,4888.48,0.001872662207022202
18,3083220.0,321.634,2129.04,2815.84,97.8801,5044.62,0.0019309300025734943
19,3083030.0,334.588,2214.93,2889.01,101.197,5207.04,0.001992434897877593
20,3082840.0,348.06300000000005,2304.26,2965.12,104.649,5376.01,0.0020539397931816916
21,3082640.0,362.077,2397.19,3044.3,108.23899999999999,5551.78,0.0021186817882385967
22,3082430.0,376.653,2493.85,3126.68,111.97399999999999,5734.63,0.002186660883048419
23,3082210.0,391.81300000000005,2594.4,3212.38,115.86,5924.84,0.002257877077611048
24,3081980.0,407.58099999999996,2698.99,3301.53,119.902,6122.7,0.002332330371926594
25,3081740.0,423.97900000000004,2807.78,3394.28,124.10700000000001,6328.53,0.002410020765994947
26,3081500.0,441.034,2920.94,3490.77,128.482,6542.63,0.0024877111600632995
27,3081240.0,458.77,3038.64,3591.14,133.033,6765.35,0.002571875753637265
28,3080980.0,477.216,3161.07,3695.56,137.768,6997.02,0.0026560403472113414
29,3080700.0,496.398,3288.41,3804.19,142.69299999999998,7238.01,0.0027466791402910307
30,3080410.0,516.346,3420.86,3917.19,147.816,7488.68,0.0028405550331236373
31,3080110.0,537.091,3558.62,4034.74,153.14600000000002,7749.42,0.0029376680257090504
32,3079800.0,558.663,3701.9,4157.02,158.691,8020.64,0.00303801811804727
33,3079480.0,581.096,3850.92,4284.23,164.459,8302.75,0.0031416053101384067
34,3079140.0,604.422,4005.92,4416.56,170.459,8596.18,0.0032516667017352674
35,3078790.0,628.677,4167.11,4554.22,176.7,8901.4,0.0033649651930849345
36,3078430.0,653.8969999999999,4334.76,4697.41,183.192,9218.86,0.003481500784187408
37,3078050.0,680.12,4509.12,4846.36,189.946,9549.05,0.003604510574795605
38,3077660.0,707.3860000000001,4690.44,5001.31,196.972,9892.48,0.00373075746515672
39,3077250.0,735.7339999999999,4879.02,5162.48,204.27900000000002,10249.7,0.0038634785550234474
40,3076820.0,765.207,5075.13,5330.13,211.88099999999997,10621.2,0.004002673844395899
41,3076380.0,795.8489999999999,5279.06,5504.52,219.78799999999998,11007.6,0.004145106233521156
42,3075920.0,827.705,5491.14,5685.92,228.013,11409.4,0.004294012822152138
43,3075440.0,860.822,5711.68,5874.6,236.56799999999998,11827.4,0.004449393610288843
44,3074940.0,895.248,5941.01,6070.86,245.467,12262.0,0.004611248597931161
45,3074420.0,931.0360000000001,6179.47,6275.0,254.722,12714.1,0.004779577785079203
46,3073880.0,968.2360000000001,6427.43,6487.34,264.35,13184.2,0.004954381171732969
47,3073320.0,1006.9,6685.25,6708.19,274.363,13673.0,0.005135658757892458
48,3072740.0,1047.09,6953.33,6937.9,284.779,14181.4,0.005323410543557561
49,3072130.0,1088.87,7232.06,7176.81,295.612,14710.1,0.005520873628481304
50,3071500.0,1132.28,7521.86,7425.31,306.879,15259.9,0.005724810912910661
51,3070850.0,1177.4,7823.15,7683.76,318.597,15831.6,0.005935222396845741
52,3070160.0,1224.29,8136.4,7952.56,330.785,16426.1,0.0061585822797922685
53,3069450.0,1273.02,8462.05,8232.12,343.46,17044.2,0.006388416362244409
54,3068720.0,1323.65,8800.59,8522.86,356.64300000000003,17686.9,0.006624724644202273
55,3067950.0,1376.26,9152.51,8825.24,370.353,18355.2,0.006873981325171474
56,3067160.0,1430.92,9518.35,9139.71,384.611,19050.0,0.00712971220564651
57,3066330.0,1487.71,9898.62,9466.74,399.439,19772.4,0.0073983914851327715
58,3065470.0,1546.72,10293.9,9806.83,414.86,20523.5,0.007676782063877674
59,3064570.0,1608.01,10704.7,10160.5,430.895,21304.3,0.007968121041633913
60,3063640.0,1671.67,11131.7,10528.3,447.57099999999997,22116.1,0.008269171318648794
61,3062670.0,1737.81,11575.5,10910.7,464.912,22960.0,0.00858316999467501
62,3061670.0,1806.49,12036.7,11308.4,482.944,23837.3,0.008906879969959758
63,3060620.0,1877.83,12516.0,11722.0,501.694,24749.2,0.009246775444008648
64,3059540.0,1951.91,13014.1,12152.0,521.19,25697.2,0.00959638221731618
65,3058410.0,2028.83,13531.7,12599.1,541.462,26682.5,0.009962174489387965
66,3057240.0,2108.7,14069.4,13063.9,562.54,27706.6,0.010340915160471087
67,3056020.0,2191.63,14628.2,13547.3,584.455,28771.0,0.010735841330318463
68,3054750.0,2277.71,15208.7,14049.8,607.241,29877.2,0.011146952998930093
69,3053430.0,2367.08,15811.7,14572.3,630.93,31026.9,0.011574250166305977
70,3052060.0,2459.83,16438.2,15115.4,655.558,32221.6,0.012017732832446115
71,3050640.0,2556.1,17089.0,15680.1,681.1610000000001,33463.2,0.012477400997350396
72,3049160.0,2656.0,17764.9,16267.2,707.778,34753.3,0.012956491760771849
73,3047630.0,2759.66,18467.0,16877.4,735.447,36093.7,0.013451768022957555
74,3046040.0,2867.22,19196.1,17511.8,764.209,37486.5,0.013966466883660211
75,3044380.0,2978.79,19953.3,18171.1,794.1060000000001,38933.5,0.014503825442632956
76,3042660.0,3094.53,20739.5,18856.5,825.182,40436.8,0.01506060660012265
77,3040870.0,3214.57,21555.9,19568.9,857.482,41998.4,0.015640047455882322
78,3039010.0,3339.06,22403.4,20309.3,891.052,43620.5,0.016242148009911972
79,3037090.0,3468.14,23283.3,21078.8,925.942,45305.4,0.016863671162458682
80,3035080.0,3601.97,24196.7,21878.5,962.201,47055.4,0.017514328212781094
81,3033010.0,3740.69,25144.7,22709.5,999.8810000000001,48872.9,0.018184407861620455
82,3030850.0,3884.48,26128.6,23573.1,1039.04,50760.2,0.018883621408235518
83,3028600.0,4033.48,27149.7,24470.4,1079.72,52720.1,0.01961196885262617
84,3026280.0,4187.87,28209.2,25402.8,1122.0,54755.0,0.020362975995286803
85,3023860.0,4347.81,29308.5,26371.6,1165.92,56867.8,0.02114635413547583
86,3021350.0,4513.48,30448.9,27378.1,1211.56,59061.1,0.02195886617344056
87,3018750.0,4685.05,31631.8,28423.7,1258.97,61337.9,0.02280051210918088
88,3016050.0,4862.69,32858.7,29509.9,1308.22,63701.2,0.02367452904244971
89,3013250.0,5046.59,34131.1,30638.2,1359.38,66153.9,0.024580916973246936
90,3010340.0,5236.93,35450.4,31810.2,1412.52,68699.3,0.025522913001325587
91,3007320.0,5433.89,36818.3,33027.4,1467.71,71340.5,0.026500517126685552
92,3004190.0,5637.66,38236.3,34291.5,1525.02,74080.9,0.02751372934932672
93,3000950.0,5848.43,39706.0,35604.3,1584.55,76924.0,0.028562549669249315
94,2997580.0,6066.38,41229.0,36967.5,1646.35,79873.1,0.029653452285958948
95,2994090.0,6291.72,42807.2,38382.9,1710.53,82932.0,0.0307832000997027
96,2990470.0,6524.62,44442.2,39852.4,1777.16,86104.3,0.03195503021023349
97,2986720.0,6765.29,46135.7,41378.0,1846.33,89393.8,0.03316894261755121
98,2982830.0,7013.9,47889.7,42961.7,1918.14,92804.5,0.034428174421408886
99,2978800.0,7270.67,49705.8,44605.5,1992.67,96340.2,0.035732725621806405
100,2974620.0,7535.76,51585.9,46311.6,2070.03,100005.0,0.037085833318496575
101,2970290.0,7809.38,53532.0,48082.1,2150.3,103803.0,0.03848749751147962
102,2965800.0,8091.7,55546.0,49919.3,2233.6,107739.0,0.03994095530050801
103,2961160.0,8382.91,57629.7,51825.5,2320.04,111817.0,0.04144296958582927
104,2956350.0,8683.18,59785.1,53803.2,2409.7,116041.0,0.04300001456694891
105,2951370.0,8992.7,62014.2,55854.7,2502.72,120416.0,0.04461209024386692
106,2946210.0,9311.62,64319.0,57982.5,2599.2,124947.0,0.046282433716336224
107,2940870.0,9640.12,66701.5,60189.3,2699.26,129638.0,0.04801104498435671
108,2935350.0,9978.33,69163.7,62477.8,2803.02,134494.0,0.04979792404792849
109,2929640.0,10326.4,71707.5,64850.5,2910.6,139520.0,0.051646308006804365
110,2923730.0,10684.5,74335.0,67310.3,3022.13,144721.0,0.05355943396073726
111,2917610.0,11052.7,77048.3,69860.1,3137.74,150101.0,0.05554053900947986
112,2911290.0,11431.2,79849.2,72502.8,3257.57,155666.0,0.05758638605327937
113,2904760.0,11820.1,82739.7,75241.4,3381.74,161422.0,0.05970021219188881
114,2898010.0,12219.3,85721.9,78078.9,3510.39,167372.0,0.06188525452506077
115,2891030.0,12629.1,88797.7,81018.4,3643.67,173522.0,0.06414475015254828
116,2883820.0,13049.4,91968.8,84063.1,3781.72,179879.0,0.06647869907435133
117,2876380.0,13480.4,95237.3,87216.4,3924.7,186445.0,0.06888710129046982
118,2868700.0,13922.0,98604.8,90481.4,4072.73,193228.0,0.07137319390065666
119,2860770.0,14374.2,102073.0,93861.5,4225.99,200232.0,0.07394021400466466
120,2852580.0,14836.9,105644.0,97360.2,4384.63,207462.0,0.07659139870224674
121,2844140.0,15310.3,109319.0,100981.0,4548.8,214925.0,0.07932351089364997
122,2835440.0,15794.1,113099.0,104727.0,4718.67,222624.0,0.08213978767862717
123,2826460.0,16288.2,116987.0,108603.0,4894.39,230565.0,0.08504670325668418
124,2817220.0,16792.6,120982.0,112611.0,5076.13,238753.0,0.08803778342831525
125,2807690.0,17307.1,125088.0,116756.0,5264.06,247194.0,0.09112273949277883
126,2797880.0,17831.4,129304.0,121041.0,5458.34,255891.0,0.0942983343503222
127,2787780.0,18365.4,133631.0,125470.0,5659.15,264851.0,0.09756780510069807
128,2777380.0,18908.7,138070.0,130046.0,5866.66,274077.0,0.10093438884365946
129,2766690.0,19461.2,142623.0,134774.0,6081.03,283575.0,0.10439484847945335
130,2755690.0,20022.4,147289.0,139658.0,6302.45,293348.0,0.10795565820758546
131,2744390.0,20591.9,152068.0,144700.0,6531.08,303401.0,0.11161358092830309
132,2732770.0,21169.4,156961.0,149906.0,6767.1,313738.0,0.11537509084111186
133,2720840.0,21754.4,161967.0,155278.0,7010.68,324363.0,0.11923695084625885
134,2708590.0,22346.4,167086.0,160820.0,7261.99,335279.0,0.12320239804349686
135,2696030.0,22944.9,172318.0,166537.0,7521.21,346490.0,0.12726819533307332
136,2683130.0,23549.2,177661.0,172433.0,7788.5,357999.0,0.13144405401424653
137,2669910.0,24158.8,183114.0,178510.0,8064.05,369808.0,0.13572349988751076
138,2656370.0,24772.9,188676.0,184773.0,8348.0,381920.0,0.14010653295286624
139,2642490.0,25390.9,194346.0,191224.0,8640.54,394337.0,0.14459962740981847
140,2628280.0,26012.0,200120.0,197869.0,8941.82,407060.0,0.14919954615861464
141,2613740.0,26635.4,205998.0,204710.0,9252.0,420092.0,0.15390628919925486
142,2598870.0,27260.2,211975.0,211751.0,9571.23,433433.0,0.15871985653173892
143,2583670.0,27885.5,218050.0,218995.0,9899.67,447083.0,0.16364024815606704
144,2568140.0,28510.5,224219.0,226445.0,10237.5,461042.0,0.1686674640722391
145,2552280.0,29134.2,230478.0,234104.0,10584.8,475311.0,0.1738015042802552
146,2536090.0,29755.6,236823.0,241976.0,10941.7,489888.0,0.17904236878011515
147,2519580.0,30373.6,243250.0,250063.0,11308.3,504771.0,0.18438682047206623
148,2502750.0,30987.2,249754.0,258368.0,11684.9,519960.0,0.18983485935610844
149,2485600.0,31595.3,256330.0,266893.0,12071.4,535451.0,0.1953864854322418
150,2468130.0,32196.8,262973.0,275641.0,12468.1,551241.0,0.2010416987004663
151,2450360.0,32790.5,269676.0,284614.0,12874.9,567327.0,0.2067940249612762
152,2432290.0,33375.4,276435.0,293813.0,13292.0,583705.0,0.2126434642146715
153,2413920.0,33950.2,283241.0,303241.0,13719.5,600370.0,0.21859001646065224
154,2395250.0,34513.9,290089.0,312899.0,14157.4,617317.0,0.22463368169921838
155,2376310.0,35065.1,296971.0,322789.0,14605.8,634540.0,0.2307647486311114
156,2357090.0,35602.9,303880.0,332911.0,15064.8,652032.0,0.23698645435608423
157,2337610.0,36125.9,310807.0,343266.0,15534.3,669787.0,0.24329232467463102
158,2317870.0,36633.2,317746.0,353855.0,16014.4,687797.0,0.2496823595867519
159,2297880.0,37123.4,324687.0,364677.0,16505.1,706053.0,0.2561533219926939
160,2277660.0,37595.7,331622.0,375734.0,17006.4,724548.0,0.2626987376929514
161,2257210.0,38048.8,338542.0,387023.0,17518.3,743272.0,0.2693186066875244
162,2236550.0,38481.7,345438.0,398546.0,18040.7,762215.0,0.2760064547769072
163,2215680.0,38893.5,352301.0,410300.0,18573.7,781368.0,0.28276228196109976
164,2194620.0,39283.3,359121.0,422285.0,19117.1,800718.0,0.2895796140405965
165,2173390.0,39650.0,365889.0,434499.0,19670.9,820256.0,0.2964519768158915
166,2152000.0,39992.9,372596.0,446941.0,20235.0,839970.0,0.3033761331872322
167,2130450.0,40311.2,379231.0,459606.0,20809.3,859847.0,0.3103520831546185
168,2108770.0,40604.1,385786.0,472495.0,21393.6,879875.0,0.3173701154187917
169,2086960.0,40871.1,392249.0,485602.0,21988.0,900042.0,0.3244302299797519
170,2065050.0,41111.5,398613.0,498926.0,22592.1,920334.0,0.33152271553824064
171,2043040.0,41324.9,404866.0,512462.0,23205.8,940739.0,0.3386475720942579
172,2020960.0,41510.7,411000.0,526207.0,23829.0,961242.0,0.345795088348545
173,1998810.0,41668.8,417006.0,540157.0,24461.5,981831.0,0.3529652643011021
174,1976620.0,41798.7,422874.0,554306.0,25103.1,1002490.0,0.3601483886526705
175,1954390.0,41900.4,428595.0,568651.0,25753.5,1023210.0,0.3673444614032504
176,1932140.0,41973.7,434160.0,583187.0,26412.5,1043970.0,0.3745470083533359
177,1909890.0,42018.6,439562.0,597907.0,27080.0,1064760.0,0.3817495553034215
178,1887650.0,42035.2,444792.0,612806.0,27755.5,1085560.0,0.38894886515375415
