,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,3,3
3,0,0,8,8
4,0,0,8,8
5,0,0,10,10
6,0,0,10,10
7,0,0,10,10
8,0,0,10,10
9,0,0,16,16
10,0,0,16,16
11,0,0,19,19
12,0,0,20,20
13,3,0,17,20
14,3,0,17,20
15,4,0,17,21
16,4,0,17,21
17,4,0,20,24
18,5,0,20,25
19,5,0,22,27
20,5,0,22,27
21,9,0,33,42
22,9,0,33,42
23,11,0,46,57
24,11,0,46,57
25,20,0,70,90
26,20,0,82,102
27,21,0,81,102
28,22,0,80,102
29,24,0,95,119
30,25,0,94,119
31,27,0,94,121
32,27,0,95,122
33,42,0,80,122
34,42,0,85,127
35,57,0,71,128
36,57,0,71,128
37,91,0,42,133
38,102,0,35,137
39,119,0,20,139
40,119,0,20,139
41,120,1,21,142
42,121,1,24,146
43,124,1,27,152
44,127,1,24,152
45,127,1,26,154
46,132,1,45,178
47,134,1,44,179
48,137,1,41,179
49,140,1,49,190
50,144,1,45,190
51,150,1,39,190
52,152,1,44,197
53,159,1,37,197
54,163,1,33,197
55,177,1,24,202
56,189,1,14,204
57,190,1,13,204
58,190,1,21,212
59,194,1,21,216
60,196,1,25,222
61,196,1,59,256
62,201,1,75,277
63,201,1,75,277
64,203,1,90,294
65,208,1,98,307
66,208,1,111,320
67,215,1,107,323
68,222,1,102,325
69,224,1,107,332
70,255,1,76,332
71,268,1,75,344
72,276,1,69,346
73,278,1,72,351
74,304,1,48,353
75,306,1,70,377
76,309,1,67,377
77,309,1,80,390
78,324,2,72,398
79,327,2,83,412
80,343,2,95,440
81,346,2,118,466
82,358,2,136,496
83,375,2,128,505
84,386,2,120,508
85,395,2,122,519
86,395,2,149,546
87,420,2,132,554
88,451,2,162,615
89,454,2,180,636
90,469,2,174,645
91,475,2,181,658
92,490,2,199,691
93,507,2,195,704
94,507,2,235,744
95,556,2,196,754
96,587,2,174,763
97,606,2,177,785
98,639,4,165,808
99,645,4,188,837
100,655,4,197,856
101,666,5,214,885
102,699,6,209,914
103,713,6,215,934
104,717,6,248,971
105,736,6,258,1000
106,741,6,265,1012
107,771,6,314,1091
108,829,6,293,1128
109,856,6,297,1159
110,881,6,289,1176
111,898,6,341,1245
112,931,8,379,1318
113,1014,9,368,1391
114,1049,10,375,1434
115,1081,11,396,1488
116,1111,12,446,1569
117,1124,12,492,1628
118,1195,12,477,1684
119,1256,12,581,1849
120,1319,12,645,1976
121,1420,12,686,2118
122,1472,13,763,2248
123,1538,13,847,2398
124,1569,13,956,2538
125,1639,13,988,2640
126,1697,13,1035,2745
127,1787,13,1060,2860
128,2063,13,872,2948
129,2126,14,937,3077
130,2281,14,880,3175
131,2382,14,898,3294
132,2514,14,853,3381
133,2637,16,806,3459
134,2737,16,844,3597
135,2820,16,864,3700
136,2925,16,799,3740
137,3004,17,913,3934
138,3128,18,902,4048
139,3239,18,800,4057
140,3376,18,816,4210
141,3447,18,865,4330
142,3544,19,872,4435
143,3622,19,886,4527
144,3725,19,886,4630
145,3763,19,922,4704
146,3950,19,944,4913
147,3999,19,1022,5040
148,4065,20,1089,5174
149,4221,20,1063,5304
150,4336,20,1104,5460
151,4444,20,1146,5610
152,4556,21,1174,5751
153,4636,21,1227,5884
154,4727,21,1319,6067
155,4921,21,1246,6188
156,4994,22,1327,6343
157,5179,24,1290,6493
158,5290,25,1339,6654
159,5445,25,1346,6816
160,5587,25,1322,6934
161,5724,26,1378,7128
162,5835,26,1339,7200
163,5966,29,1305,7300
164,6192,32,1222,7446
165,6311,33,1254,7598
166,6311,33,1350,7694
