,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2619130.0,184.06400000000002,865.3760000000001,2794.24,20.3918,3685.03,0.001773013154294123
1,2619020.0,179.9,849.313,2899.71,21.0574,3775.09,0.001814937369034486
2,2618920.0,176.09799999999998,833.2739999999999,3003.21,21.7105,3863.17,0.0018530502915257152
3,2618810.0,172.519,817.388,3104.73,22.3513,3949.44,0.0018949745062661894
4,2618710.0,169.09099999999998,801.7230000000001,3204.32,22.9797,4033.98,0.0019330874287574185
5,2618610.0,165.773,786.314,3302.0,23.5962,4116.84,0.0019712003512486476
6,2618510.0,162.542,771.174,3397.8,24.2007,4198.09,0.0020093132737399877
7,2618420.0,159.385,756.311,3491.75,24.7937,4277.76,0.002043614903982083
8,2618320.0,156.296,741.725,3583.89,25.3752,4355.88,0.002081727826473423
9,2618230.0,153.269,727.414,3674.25,25.9454,4432.48,0.002116029456715518
10,2618140.0,150.303,713.375,3762.87,26.5047,4507.61,0.002150331086957724
11,2618050.0,147.395,699.602,3849.78,27.0532,4581.28,0.0021846327171998192
12,2617960.0,144.543,686.0930000000001,3935.01,27.5911,4653.52,0.0022189343474420253
13,2617880.0,141.746,672.842,4018.6,28.1186,4724.37,0.0022494246854349864
14,2617790.0,139.003,659.8439999999999,4100.57,28.6359,4793.85,0.0022837263156771925
15,2617710.0,136.312,647.095,4180.95,29.1432,4861.98,0.0023142166536701536
16,2617630.0,133.674,634.59,4259.79,29.6407,4928.79,0.0023447069916632257
17,2617550.0,131.086,622.325,4337.09,30.1286,4994.31,0.002375197329656187
18,2617470.0,128.548,610.295,4412.91,30.6071,5058.56,0.002405687667649259
19,2617400.0,126.059,598.496,4487.26,31.0763,5121.57,0.002432366713393086
20,2617320.0,123.618,586.922,4560.17,31.5364,5183.36,0.002462857051386158
21,2617250.0,121.223,575.571,4631.67,31.9877,5243.95,0.002489536097129985
22,2617180.0,118.875,564.438,4701.79,32.4302,5303.36,0.0025162151428739232
23,2617110.0,116.572,553.518,4770.56,32.8642,5361.63,0.0025428941886177503
24,2617040.0,114.314,542.809,4837.99,33.2897,5418.77,0.0025695732343616884
25,2616970.0,112.098,532.304,4904.12,33.707,5474.8,0.0025962522801056265
26,2616900.0,109.926,522.002,4968.96,34.1163,5529.74,0.0026229313258494535
27,2616840.0,107.795,511.898,5032.56,34.5176,5583.62,0.0026457990793442576
28,2616770.0,105.706,501.98800000000006,5094.92,34.9112,5636.45,0.0026724781250880847
29,2616710.0,103.65700000000001,492.26800000000003,5156.07,35.2971,5688.26,0.0026953458785828888
30,2616650.0,101.647,482.736,5216.04,35.6756,5739.07,0.002718213632077693
31,2616590.0,99.6759,473.38699999999994,5274.85,36.0467,5788.89,0.002741081385572386
32,2616530.0,97.743,464.217,5332.52,36.4107,5837.75,0.00276394913906719
33,2616470.0,95.8473,455.225,5389.07,36.7676,5885.65,0.002786816892561994
34,2616410.0,93.9883,446.405,5444.53,37.1176,5932.63,0.002809684646056687
35,2616360.0,92.1651,437.755,5498.91,37.4608,5978.7,0.002828741107302357
36,2616300.0,90.3771,429.272,5552.24,37.7973,6023.87,0.0028516088607971612
37,2616250.0,88.6237,420.95300000000003,5604.54,38.1274,6068.17,0.0028706653220427203
38,2616200.0,86.9041,412.793,5655.82,38.451,6111.61,0.0028897217832883904
39,2616150.0,85.2177,404.791,5706.11,38.7684,6154.2,0.0029087782445340604
40,2616100.0,83.5639,396.944,5755.42,39.0796,6195.97,0.0029278347057796195
41,2616050.0,81.9421,389.24699999999996,5803.77,39.3847,6236.93,0.0029468911670252895
42,2616000.0,80.3516,381.699,5851.19,39.684,6277.09,0.0029659476282709596
43,2615950.0,78.7919,374.29699999999997,5897.69,39.9774,6316.47,0.0029850040895166297
44,2615900.0,77.2623,367.038,5943.29,40.2652,6355.09,0.0030040605507621887
45,2615860.0,75.7623,359.918,5988.0,40.5474,6392.96,0.0030193057197587247
46,2615810.0,74.2913,352.936,6031.85,40.8241,6430.09,0.003038362181004395
47,2615770.0,72.8487,346.089,6074.85,41.0954,6466.5,0.003053607350000931
48,2615730.0,71.4341,339.374,6117.01,41.3615,6502.21,0.003068852518997356
49,2615680.0,70.0468,332.789,6158.35,41.6224,6537.22,0.003087908980243026
50,2615640.0,68.6864,326.33099999999996,6198.89,41.8783,6571.55,0.003103154149239562
51,2615600.0,67.3523,319.998,6238.64,42.1292,6605.22,0.003118399318235987
52,2615560.0,66.044,313.78700000000003,6277.63,42.3752,6638.23,0.003133644487232523
53,2615520.0,64.7611,307.697,6315.85,42.6164,6670.6,0.003148889656229059
54,2615480.0,63.503,301.723,6353.34,42.853,6702.34,0.003164134825225595
55,2615450.0,62.2692,295.866,6390.09,43.085,6733.47,0.0031755687019729972
56,2615410.0,61.0594,290.122,6426.14,43.3124,6763.99,0.0031908138709694223
57,2615370.0,59.8729,284.48900000000003,6461.48,43.5355,6793.91,0.0032060590399659583
58,2615340.0,58.7095,278.964,6496.14,43.7542,6823.26,0.0032174929167133604
59,2615300.0,57.5686,273.547,6530.12,43.9686,6852.03,0.0032327380857098964
60,2615270.0,56.4498,268.235,6563.44,44.178999999999995,6880.25,0.0032441719624572984
61,2615240.0,55.3527,263.025,6596.12,44.3852,6907.92,0.0032556058392045895
62,2615200.0,54.2769,257.916,6628.16,44.5874,6935.05,0.0032708510082011255
63,2615170.0,53.2219,252.90599999999998,6659.58,44.7857,6961.65,0.0032822848849485275
64,2615140.0,52.1873,247.993,6690.39,44.9801,6987.73,0.0032937187616959296
65,2615110.0,51.1728,243.175,6720.6,45.1708,7013.31,0.0033051526384433316
66,2615080.0,50.178000000000004,238.451,6750.22,45.3577,7038.39,0.0033165865151906226
67,2615050.0,49.2025,233.81799999999998,6779.27,45.541000000000004,7062.99,0.0033280203919380247
68,2615020.0,48.2459,229.274,6807.75,45.7208,7087.1,0.0033394542686854267
69,2614990.0,47.3078,224.81900000000002,6835.69,45.8971,7110.75,0.0033508881454328288
70,2614960.0,46.388000000000005,220.45,6863.07,46.0699,7133.94,0.003362322022180231
71,2614930.0,45.486000000000004,216.166,6889.93,46.2394,7156.67,0.003373755898927633
72,2614910.0,44.6014,211.96400000000003,6916.26,46.4056,7178.97,0.00338137848342579
73,2614880.0,43.7341,207.845,6942.08,46.5685,7200.83,0.003392812360173192
74,2614860.0,42.8835,203.805,6967.4,46.7283,7222.26,0.00340043494467146
75,2614830.0,42.0495,199.843,6992.23,46.885,7243.28,0.003411868821418862
76,2614810.0,41.2317,195.958,7016.57,47.0386,7263.89,0.00341949140591713
77,2614780.0,40.4297,192.148,7040.45,47.1893,7284.1,0.003430925282664532
78,2614760.0,39.6433,188.41299999999998,7063.85,47.336999999999996,7303.91,0.003438547867162689
79,2614730.0,38.8722,184.74900000000002,7086.8,47.4819,7323.34,0.003449981743910091
80,2614710.0,38.116,181.157,7109.31,47.6239,7342.39,0.003457604328408359
81,2614690.0,37.3746,177.635,7131.38,47.7632,7361.08,0.003465226912906627
82,2614670.0,36.6475,174.18099999999998,7153.02,47.8997,7379.39,0.003472849497404895
83,2614640.0,35.9345,170.793,7174.24,48.0336,7397.36,0.003484283374152297
84,2614620.0,35.2354,167.472,7195.04,48.1649,7414.97,0.003491905958650565
85,2614600.0,34.5498,164.215,7215.44,48.2937,7432.24,0.003499528543148833
86,2614580.0,33.8776,161.02100000000002,7235.45,48.4199,7449.17,0.0035071511276469902
87,2614560.0,33.2184,157.889,7255.06,48.5437,7465.78,0.0035147737121452582
88,2614540.0,32.5721,154.81799999999998,7274.3,48.6651,7482.06,0.0035223962966435263
89,2614520.0,31.9383,151.80700000000002,7293.16,48.7841,7498.02,0.0035300188811417943
90,2614500.0,31.3168,148.85399999999998,7311.65,48.9008,7513.67,0.0035376414656400623
91,2614480.0,30.7073,145.958,7329.78,49.0153,7529.02,0.0035452640501383303
92,2614470.0,30.1098,143.119,7347.56,49.1275,7544.07,0.0035490753423874644
93,2614450.0,29.5238,140.335,7365.0,49.2375,7558.83,0.0035566979268857324
94,2614430.0,28.9492,137.60399999999998,7382.09,49.3454,7573.3,0.0035643205113840004
95,2614410.0,28.3858,134.92700000000002,7398.86,49.4512,7587.49,0.0035719430958821574
96,2614400.0,27.8333,132.30200000000002,7415.29,49.5549,7601.4,0.0035757543881312914
97,2614380.0,27.2916,129.72799999999998,7431.41,49.6566,7615.04,0.0035833769726295595
98,2614360.0,26.7604,127.204,7447.21,49.7564,7628.42,0.0035909995571278275
99,2614350.0,26.2395,124.728,7462.71,49.8542,7641.54,0.0035948108493769615
100,2614330.0,25.7287,122.301,7477.9,49.9501,7654.4,0.0036024334338752295
101,2614320.0,25.2279,119.921,7492.8,50.0441,7667.01,0.0036062447261243635
102,2614300.0,24.7368,117.588,7507.41,50.1363,7679.37,0.0036138673106226316
103,2614290.0,24.2553,115.29899999999999,7521.73,50.2267,7691.49,0.0036176786028717656
104,2614270.0,23.7831,113.056,7535.78,50.3153,7703.38,0.0036253011873700336
105,2614260.0,23.3201,110.855,7549.55,50.4022,7715.04,0.0036291124796191676
106,2614250.0,22.8661,108.698,7563.06,50.4875,7726.47,0.0036329237718681906
107,2614230.0,22.421,106.58200000000001,7576.3,50.571000000000005,7737.68,0.0036405463563664586
108,2614220.0,21.9845,104.508,7589.28,50.653,7748.66,0.0036443576486155926
109,2614210.0,21.5564,102.47399999999999,7602.01,50.7333,7759.44,0.0036481689408647267
110,2614190.0,21.1367,100.479,7614.5,50.8121,7770.0,0.0036557915253629947
