,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1680680.0,0.126027,0.96493,0.042198,0.000444305,1.0077200000000002,5.949969089646956e-07
1,1680680.0,0.24455,0.945693,0.0832305,0.000876339,1.03009,5.949969089646956e-07
2,1680680.0,0.357749,0.9408629999999999,0.123747,0.00130294,1.06634,5.949969089646956e-07
3,1680680.0,0.46756800000000004,0.949318,0.16434200000000002,0.00173037,1.11595,5.949969089646956e-07
4,1680680.0,0.575766,0.970201,0.20556799999999997,0.00216444,1.17862,5.949969089646956e-07
5,1680680.0,0.683948,1.00289,0.24794499999999997,0.00261063,1.25427,5.949969089646956e-07
6,1680680.0,0.793602,1.0469600000000001,0.29197199999999995,0.00307419,1.34296,5.949969089646956e-07
7,1680680.0,0.906127,1.1022,0.338131,0.0035601999999999995,1.44498,5.949969089646956e-07
8,1680680.0,1.02286,1.1685299999999998,0.386903,0.00407372,1.56074,5.949969089646956e-07
9,1680680.0,1.1451,1.24607,0.43876499999999996,0.00461978,1.6908299999999998,5.949969089646956e-07
10,1680680.0,1.27411,1.33505,0.49420299999999995,0.00520349,1.83598,5.949969089646956e-07
11,1680680.0,1.4111799999999999,1.43585,0.553719,0.00583013,1.9971,5.949969089646956e-07
12,1680680.0,1.55761,1.54901,0.61783,0.00650516,2.17521,5.949969089646956e-07
13,1680680.0,1.71471,1.6751599999999998,0.687081,0.00723431,2.37153,5.949969089646956e-07
14,1680680.0,1.8838599999999999,1.81509,0.762047,0.00802364,2.5874200000000003,5.949969089646956e-07
15,1680680.0,2.06651,1.9697099999999998,0.843341,0.00887958,2.82441,5.949969089646956e-07
16,1680670.0,2.26417,2.14007,0.9316139999999999,0.00980902,3.0842099999999997,6.544965998944718e-06
17,1680670.0,2.47847,2.3273599999999997,1.02757,0.0108193,3.3687199999999997,6.544965998944718e-06
18,1680670.0,2.71113,2.5329099999999998,1.13196,0.0119185,3.68004,6.544965998944718e-06
19,1680670.0,2.9639900000000003,2.75821,1.24561,0.013115100000000001,4.020490000000001,6.544965998944718e-06
20,1680670.0,3.23907,3.0049,1.3694,0.0144185,4.3926099999999995,6.544965998944718e-06
21,1680670.0,3.5385,3.27482,1.5042799999999998,0.0158387,4.79919,6.544965998944718e-06
22,1680670.0,3.8646199999999995,3.5699699999999996,1.6513,0.0173866,5.24329,6.544965998944718e-06
23,1680670.0,4.21995,3.89255,1.8115900000000003,0.0190743,5.728269999999999,6.544965998944718e-06
24,1680670.0,4.60724,4.24498,1.98637,0.0209146,6.2578,6.544965998944718e-06
25,1680670.0,5.02947,4.62994,2.177,0.0229217,6.835889999999999,6.544965998944718e-06
26,1680670.0,5.48988,5.05031,2.38492,0.025111,7.4669300000000005,6.544965998944718e-06
27,1680660.0,5.992000000000001,5.50929,2.61173,0.0274991,8.155710000000001,1.2494935088813719e-05
28,1680660.0,6.53967,6.01035,2.8591599999999997,0.0301043,8.90746,1.2494935088813719e-05
29,1680660.0,7.13709,6.557289999999999,3.1291,0.0329465,9.727910000000001,1.2494935088813719e-05
30,1680660.0,3.60431,6.897189999999999,3.4199,0.0360084,10.3574,1.2494935088813719e-05
31,1680670.0,1.17658,6.875789999999999,3.7171,0.0391375,10.6334,6.544965998944718e-06
32,1680670.0,-0.44599700000000003,6.61983,4.00799,0.0422004,10.6695,6.544965998944718e-06
33,1680670.0,0.677537,6.35201,4.28645,0.0451322,10.6844,6.544965998944718e-06
34,1680660.0,1.7784099999999998,6.22598,4.556430000000001,0.047975,10.8325,1.2494935088813719e-05
35,1680660.0,2.88043,6.2344599999999994,4.82388,0.050791,11.1126,1.2494935088813719e-05
36,1680660.0,4.00662,6.3732,5.09448,0.053640099999999996,11.5261,1.2494935088813719e-05
37,1680660.0,5.1797699999999995,6.64085,5.3737900000000005,0.05658099999999999,12.0774,1.2494935088813719e-05
38,1680660.0,6.42291,7.0387699999999995,5.66737,0.0596721,12.7735,1.2494935088813719e-05
39,1680660.0,7.75978,7.571039999999999,5.98091,0.06297330000000001,13.6242,1.2494935088813719e-05
40,1680650.0,9.21528,8.24438,6.32031,0.06654689999999999,14.6423,1.844490417868272e-05
41,1680650.0,10.815999999999999,9.06827,6.69183,0.0704587,15.8435,1.844490417868272e-05
42,1680650.0,12.5907,10.055,7.1022,0.0747795,17.2471,1.844490417868272e-05
43,1680640.0,14.5709,11.22,7.558739999999999,0.07958639999999999,18.8758,2.4394873268662742e-05
44,1680640.0,16.7912,12.5816,8.06949,0.0849641,20.7562,2.4394873268662742e-05
45,1680630.0,19.2902,14.1621,8.643360000000001,0.0910065,22.9196,3.0344842358531743e-05
46,1680620.0,22.1112,15.9873,9.29032,0.0978183,25.401999999999997,3.629481144840074e-05
47,1680620.0,25.3026,18.0874,10.0215,0.10551700000000001,28.2447,3.629481144840074e-05
48,1680610.0,28.9192,20.4973,10.8495,0.11423499999999999,31.4957,4.2244780538380766e-05
49,1680600.0,33.0226,23.2573,11.7883,0.12412000000000001,35.2094,4.819474962824977e-05
50,1680600.0,28.9649,25.9029,12.847000000000001,0.135267,38.9199,4.819474962824977e-05
51,1680600.0,25.495,27.9946,14.0073,0.147483,42.18,4.819474962824977e-05
52,1680600.0,22.5251,29.62,15.2473,0.16053900000000002,45.0548,4.819474962824977e-05
53,1680590.0,23.3229,27.5109,20.098,0.17346099999999998,47.8104,5.414471871822979e-05
54,1680580.0,23.7568,25.7992,24.6253,0.185521,50.6385,6.009468780809879e-05
55,1680580.0,23.9226,24.388,28.888,0.196877,53.5017,6.009468780809879e-05
56,1680570.0,23.892,23.2049,32.931,0.20764699999999997,56.3722,6.604465689796779e-05
57,1680560.0,23.7184,22.1954,36.7882,0.21792199999999998,59.2299,7.199462598794781e-05
58,1680560.0,23.4416,21.3189,40.4854,0.227771,62.0602,7.199462598794781e-05
59,1680550.0,23.0914,20.545,44.0427,0.23724699999999999,64.8526,7.794459507781681e-05
60,1680540.0,22.6899,19.8507,47.4754,0.246392,67.5997,8.389456416768581e-05
61,1680540.0,22.2534,19.2188,50.7955,0.255236,70.2963,8.389456416768581e-05
62,1680530.0,21.7943,18.6365,54.0126,0.263806,72.9391,8.984453325766584e-05
63,1680530.0,21.3216,18.0939,57.1342,0.272122,75.5258,8.984453325766584e-05
64,1680520.0,20.842,17.5838,60.1663,0.280199,78.0554,9.579450234753484e-05
65,1680510.0,20.3603,17.1006,63.1141,0.288052,80.5272,0.00010174447143751486
66,1680510.0,19.8802,16.64,65.9818,0.295691,82.9413,0.00010174447143751486
67,1680500.0,19.4043,16.1989,68.7728,0.303126,85.2981,0.00010769444052738386
68,1680500.0,18.9344,15.7747,71.4902,0.310365,87.598,0.00010769444052738386
69,1680490.0,18.472,15.3656,74.1369,0.317415,89.8421,0.00011364440961725286
70,1680490.0,18.0178,14.97,76.7152,0.324284,92.0311,0.00011364440961725286
71,1680480.0,17.5726,14.5868,79.2273,0.33097600000000005,94.1662,0.00011959437870723288
72,1680480.0,17.1368,14.2151,81.6752,0.337497,96.2484,0.00011959437870723288
73,1680470.0,16.7105,13.854000000000001,84.0609,0.343852,98.2789,0.00012554434779710189
74,1680470.0,16.2939,13.5031,86.3861,0.350046,100.259,0.00012554434779710189
75,1680470.0,15.8869,13.1617,88.6524,0.356083,102.189,0.00012554434779710189
76,1680460.0,15.4896,12.8295,90.8615,0.36196799999999996,104.072,0.00013149431688697089
77,1680460.0,15.1019,12.5061,93.0148,0.367704,105.90700000000001,0.00013149431688697089
78,1680450.0,14.7236,12.190999999999999,95.1139,0.373296,107.696,0.0001374442859769509
79,1680450.0,14.3545,11.8842,97.1601,0.378747,109.44,0.0001374442859769509
80,1680450.0,13.9945,11.5852,99.1549,0.384061,111.141,0.0001374442859769509
81,1680440.0,13.6434,11.2938,101.09899999999999,0.389241,112.79899999999999,0.0001433942550668199
82,1680440.0,13.300999999999998,11.0099,102.995,0.394291,114.415,0.0001433942550668199
83,1680440.0,12.9672,10.7332,104.84299999999999,0.399213,115.991,0.0001433942550668199
84,1680430.0,12.6417,10.4635,106.645,0.404013,117.527,0.00014934422415679993
85,1680430.0,12.3243,10.2005,108.40100000000001,0.40869099999999997,119.025,0.00014934422415679993
86,1680430.0,12.0148,9.94426,110.113,0.41325200000000006,120.485,0.00014934422415679993
87,1680420.0,11.7131,9.69444,111.78200000000001,0.417699,121.90899999999999,0.00015529419324666893
88,1680420.0,11.4189,9.4509,113.41,0.422034,123.296,0.00015529419324666893
89,1680420.0,11.1321,9.21349,114.99600000000001,0.426259,124.649,0.00015529419324666893
90,1680410.0,10.8526,8.98205,116.542,0.430379,125.96799999999999,0.00016124416233653793
91,1680410.0,10.58,8.75643,118.05,0.434395,127.25399999999999,0.00016124416233653793
92,1680410.0,10.3142,8.536480000000001,119.52,0.43831099999999995,128.507,0.00016124416233653793
93,1680400.0,12.0919,8.43742,120.959,0.44214499999999995,129.85299999999998,0.00016719413142651796
94,1680400.0,13.8112,8.5464,122.4,0.445983,131.409,0.00016719413142651796
95,1680390.0,15.5218,8.82724,123.874,0.44991000000000003,133.17,0.00017314410051638696
96,1680390.0,17.2637,9.25434,125.40799999999999,0.45399700000000004,135.137,0.00017314410051638696
97,1680380.0,19.0702,9.81016,127.02600000000001,0.45830699999999996,137.31799999999998,0.00017909406960625596
98,1680370.0,20.97,10.4833,128.749,0.46289600000000003,139.72,0.00018504403869623598
99,1680360.0,22.9883,11.267000000000001,130.595,0.467814,142.358,0.00019099400778610498
100,1680350.0,25.1485,12.1585,132.584,0.473112,145.246,0.000196943976876085
101,1680340.0,27.4729,13.1578,134.733,0.478837,148.403,0.000202893945965954
102,1680330.0,29.9831,14.2672,137.061,0.48503900000000005,151.849,0.000208843915055823
103,1680320.0,32.701,15.4913,139.588,0.49176899999999996,155.61,0.00021479388414580303
104,1680310.0,35.6492,16.8363,142.332,0.49908,159.71,0.00022074385323567203
105,1680290.0,38.851,18.31,145.316,0.507029,164.18,0.00023264379141552105
106,1680280.0,42.3314,19.9215,148.562,0.515675,169.05,0.00023859376050539005
107,1680260.0,46.1167,21.6815,152.094,0.525084,174.356,0.0002504936986852391
108,1680240.0,50.2353,23.6019,155.938,0.535326,180.136,0.0002623936368650881
109,1680220.0,54.7179,25.6961,160.124,0.546475,186.43200000000002,0.0002742935750448261
110,1680200.0,59.5974,27.9788,164.68099999999998,0.558614,193.28900000000002,0.0002861935132246751
111,1680180.0,64.9097,30.4664,169.642,0.571832,200.75900000000001,0.00029809345140452415
112,1680150.0,70.6937,33.1766,175.046,0.586226,208.893,0.00031594335867424217
113,1680130.0,76.9917,36.1289,180.93,0.6019,217.753,0.0003278432968540912
114,1680100.0,83.8494,39.3447,187.33700000000002,0.61897,227.40200000000002,0.0003456932041238092
115,1680060.0,91.3168,42.8472,194.315,0.637558,237.91,0.00036949308048339624
116,1680030.0,99.4481,46.6618,201.915,0.657802,249.354,0.0003873429877532253
117,1679990.0,108.303,50.8161,210.19,0.679848,261.816,0.0004111428641128123
118,1679950.0,117.944,55.3403,219.203,0.703857,275.389,0.00043494274047251036
119,1679900.0,128.44299999999998,60.2672,229.018,0.730003,290.16900000000004,0.0004646925859219664
120,1679850.0,139.875,65.6324,239.707,0.7584770000000001,306.26599999999996,0.0004944424313715334
121,1679790.0,152.32399999999998,71.4749,251.347,0.789485,323.79400000000004,0.0005301422459110805
122,1679740.0,165.878,77.8371,264.024,0.823254,342.88300000000004,0.0005598920913605365
123,1679670.0,180.637,84.765,277.829,0.860029,363.67,0.0006015418749899526
124,1679600.0,196.706,92.3088,292.862,0.900076,386.30699999999996,0.0006431916586193687
125,1679520.0,214.203,100.523,309.233,0.943688,410.957,0.0006907914113386537
