,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1669970.0,792.975,919.597,4371.24,19.1387,5310.93,0.006373011892203184
1,1669790.0,794.063,921.388,4464.25,19.5555,5406.15,0.006480111335821603
2,1669620.0,795.183,923.132,4557.44,19.9731,5501.5,0.0065812608103500425
3,1669440.0,796.329,924.8380000000001,4650.81,20.3915,5596.99,0.006688360253968462
4,1669260.0,797.493,926.51,4744.35,20.8106,5692.62,0.006795459697586881
5,1669080.0,798.671,928.155,4838.05,21.2305,5788.39,0.0069025591412053
6,1668910.0,799.8580000000001,929.7760000000001,4931.92,21.6511,5884.31,0.007003708615733739
7,1668730.0,801.051,931.3760000000001,5025.95,22.0725,5980.36,0.007110808059352158
8,1668550.0,802.248,932.9580000000001,5120.15,22.4946,6076.56,0.0072179075029705775
9,1668370.0,803.446,934.5239999999999,5214.5,22.9174,6172.9,0.007325006946588886
10,1668190.0,804.643,936.076,5309.01,23.3409,6269.39,0.007432106390207305
11,1668010.0,805.8389999999999,937.6139999999999,5403.67,23.765,6366.02,0.007539205833825724
12,1667830.0,807.0319999999999,939.1410000000001,5498.49,24.1899,6462.79,0.007646305277444032
13,1667650.0,808.222,940.6560000000001,5593.47,24.6155,6559.71,0.007753404721062451
14,1667470.0,809.4069999999999,942.16,5688.59,25.0418,6656.77,0.00786050416468087
15,1667290.0,810.586,943.654,5783.87,25.4687,6753.97,0.00796760360829929
16,1667110.0,811.76,945.138,5879.3,25.8963,6851.31,0.008074703051917598
17,1666930.0,812.928,946.612,5974.88,26.3246,6948.79,0.008181802495536017
18,1666750.0,814.09,948.077,6070.61,26.7536,7046.41,0.008288901939154436
19,1666570.0,815.245,949.533,6166.48,27.1832,7144.17,0.008396001382772855
20,1666390.0,816.3939999999999,950.9789999999999,6262.5,27.6134,7242.07,0.008503100826391163
21,1666210.0,817.535,952.4169999999999,6358.67,28.0443,7340.11,0.008610200270009583
22,1666030.0,818.669,953.846,6454.98,28.4759,7438.28,0.008717299713628002
23,1665840.0,819.796,955.2660000000001,6551.43,28.9081,7536.59,0.00883034912633629
24,1665660.0,820.916,956.677,6648.03,29.340999999999998,7635.03,0.008937448569954709
25,1665480.0,822.0269999999999,958.079,6744.77,29.7745,7733.61,0.009044548013573017
26,1665290.0,823.1310000000001,959.472,6841.65,30.2086,7832.32,0.009157597426281416
27,1665110.0,824.2280000000001,960.8560000000001,6938.68,30.6434,7931.16,0.009264696869899725
28,1664930.0,825.316,962.2310000000001,7035.84,31.0787,8030.14,0.009371796313518144
29,1664740.0,826.3969999999999,963.5980000000001,7133.14,31.5147,8129.24,0.009484845726226432
30,1664560.0,827.47,964.955,7230.57,31.9513,8228.47,0.009591945169844851
31,1664380.0,828.534,966.303,7328.15,32.3886,8327.83,0.00969904461346327
32,1664190.0,829.591,967.6419999999999,7425.86,32.8264,8427.32,0.009812094026171558
33,1664010.0,830.64,968.972,7523.7,33.2649,8526.94,0.009919193469789978
34,1663820.0,831.68,970.293,7621.68,33.7039,8626.68,0.010032242882498266
35,1663640.0,832.712,971.605,7719.79,34.1435,8726.54,0.010139342326116574
36,1663450.0,833.7360000000001,972.9069999999999,7818.04,34.5838,8826.53,0.010252391738824862
37,1663270.0,834.7510000000001,974.2,7916.41,35.0246,8926.64,0.010359491182443281
38,1663080.0,835.758,975.4830000000001,8014.92,35.466,9026.87,0.01047254059515157
39,1662900.0,836.757,976.757,8113.55,35.908,9127.22,0.010579640038769988
40,1662710.0,837.747,978.0219999999999,8212.32,36.3505,9227.69,0.010692689451478277
41,1662520.0,838.7280000000001,979.2769999999999,8311.21,36.7936,9328.28,0.010805738864186565
42,1662340.0,839.701,980.5219999999999,8410.22,37.2373,9428.99,0.010912838307804984
43,1662150.0,840.666,981.758,8509.36,37.6816,9529.81,0.011025887720513272
44,1661960.0,841.6210000000001,982.9830000000001,8608.63,38.1264,9630.75,0.01113893713322156
45,1661780.0,842.568,984.2,8708.02,38.5717,9731.8,0.01124603657683998
46,1661590.0,843.507,985.4060000000001,8807.53,39.0176,9832.97,0.011359085989548268
47,1661400.0,844.436,986.602,8907.16,39.4641,9934.24,0.011472135402256556
48,1661210.0,845.357,987.789,9006.92,39.9111,10035.6,0.011585184814964844
49,1661030.0,846.268,988.965,9106.79,40.3586,10137.1,0.011692284258583263
50,1660840.0,847.171,990.132,9206.78,40.8067,10238.7,0.011805333671291551
51,1660650.0,848.065,991.288,9306.89,41.2553,10340.5,0.01191838308399984
52,1660460.0,848.95,992.435,9407.12,41.7044,10442.3,0.012031432496708128
53,1660270.0,849.826,993.571,9507.46,42.153999999999996,10544.2,0.012144481909416527
54,1660080.0,850.693,994.697,9607.91,42.6041,10646.2,0.012257531322124815
55,1659900.0,851.551,995.812,9708.48,43.0548,10748.4,0.012364630765743123
56,1659710.0,852.3989999999999,996.918,9809.16,43.5059,10850.6,0.012477680178451522
57,1659520.0,853.2389999999999,998.012,9909.95,43.9576,10952.9,0.01259072959115981
58,1659330.0,854.069,999.097,10010.9,44.4097,11055.4,0.012703779003868099
59,1659140.0,854.89,1000.17,10111.9,44.8623,11157.9,0.012816828416576387
60,1658950.0,855.701,1001.23,10213.0,45.3154,11260.6,0.012929877829284675
61,1658760.0,856.5039999999999,1002.29,10314.2,45.769,11363.3,0.013042927241992963
62,1658570.0,857.297,1003.33,10415.5,46.2231,11466.1,0.013155976654701251
63,1658380.0,858.08,1004.36,10517.0,46.6776,11569.0,0.01326902606740954
64,1658190.0,858.8539999999999,1005.38,10618.5,47.1326,11672.1,0.013382075480117828
65,1658000.0,859.6189999999999,1006.39,10720.2,47.5881,11775.2,0.013495124892826227
66,1657800.0,860.3739999999999,1007.39,10821.9,48.044,11878.4,0.013614124274624384
67,1657610.0,861.12,1008.38,10923.7,48.5003,11981.7,0.013727173687332672
68,1657420.0,861.8560000000001,1009.36,11025.7,48.9572,12085.0,0.01384022310004096
69,1657230.0,862.582,1010.32,11127.7,49.4144,12188.5,0.013953272512749249
70,1657040.0,863.299,1011.28,11229.9,49.8721,12292.1,0.014066321925457648
71,1656850.0,864.0060000000001,1012.22,11332.1,50.3302,12395.7,0.014179371338165936
72,1656660.0,864.703,1013.16,11434.4,50.7887,12499.4,0.014292420750874224
73,1656460.0,865.3910000000001,1014.08,11536.9,51.2477,12603.2,0.014411420132672381
74,1656270.0,866.069,1014.99,11639.4,51.7071,12707.1,0.01452446954538067
75,1656080.0,866.737,1015.89,11742.0,52.1669,12811.1,0.014637518958088958
76,1655890.0,867.395,1016.78,11844.7,52.626999999999995,12915.1,0.014750568370797357
77,1655700.0,868.043,1017.66,11947.5,53.0876,13019.3,0.014863617783505645
78,1655500.0,868.682,1018.53,12050.3,53.5486,13123.5,0.014982617165303802
79,1655310.0,869.31,1019.38,12153.3,54.01,13227.7,0.01509566657801209
80,1655120.0,869.929,1020.22,12256.4,54.4717,13332.1,0.015208715990720378
81,1654920.0,870.538,1021.06,12359.5,54.9339,13436.5,0.015327715372518647
82,1654730.0,871.1360000000001,1021.88,12462.7,55.3964,13541.0,0.015440764785226935
83,1654540.0,871.725,1022.69,12566.0,55.8593,13645.6,0.015553814197935223
84,1654340.0,872.304,1023.48,12669.4,56.3225,13750.2,0.01567281357973349
85,1654150.0,872.872,1024.27,12772.8,56.7861,13855.0,0.01578586299244178
86,1653960.0,873.43,1025.05,12876.4,57.2501,13959.7,0.015898912405150067
87,1653760.0,873.9789999999999,1025.81,12980.0,57.7144,14064.6,0.016017911786948225
88,1653570.0,874.5169999999999,1026.56,13083.7,58.178999999999995,14169.5,0.016130961199656513
89,1653380.0,875.045,1027.3,13187.5,58.644,14274.5,0.016244010612364912
90,1653180.0,875.562,1028.03,13291.3,59.1093,14379.5,0.01636300999416307
91,1652990.0,876.07,1028.74,13395.2,59.575,14484.6,0.016476059406871357
92,1652790.0,876.567,1029.45,13499.2,60.041000000000004,14589.8,0.016595058788669625
93,1652600.0,877.054,1030.14,13603.3,60.5072,14695.0,0.016708108201377914
94,1652410.0,877.5310000000001,1030.82,13707.4,60.9738,14800.2,0.016821157614086202
95,1652210.0,877.997,1031.49,13811.6,61.4407,14905.6,0.01694015699588436
96,1652020.0,878.453,1032.15,13915.9,61.9079,15011.0,0.017053206408592758
97,1651820.0,878.898,1032.79,14020.2,62.3754,15116.4,0.017172205790390915
98,1651630.0,879.334,1033.42,14124.6,62.8432,15221.9,0.017285255203099203
99,1651430.0,879.7589999999999,1034.04,14229.0,63.3113,15327.4,0.01740425458489747
100,1651240.0,880.173,1034.65,14333.6,63.7796,15433.0,0.01751730399760576
101,1651040.0,880.577,1035.25,14438.1,64.2482,15538.7,0.017636303379403917
102,1650850.0,880.97,1035.83,14542.8,64.7171,15644.4,0.017749352792112205
103,1650650.0,881.3530000000001,1036.41,14647.5,65.1863,15750.1,0.017868352173910473
104,1650460.0,881.7260000000001,1036.97,14752.2,65.6557,15855.9,0.01798140158661876
105,1650260.0,882.0880000000001,1037.52,14857.0,66.1253,15961.7,0.01810040096841692
106,1650070.0,882.44,1038.05,14961.9,66.5952,16067.6,0.018213450381125318
107,1649870.0,882.7810000000001,1038.58,15066.8,67.0654,16173.5,0.018332449762923475
108,1649670.0,883.1110000000001,1039.09,15171.8,67.5357,16279.5,0.018451449144721743
109,1649480.0,883.431,1039.59,15276.8,68.0064,16385.5,0.01856449855743003
110,1649280.0,883.74,1040.07,15381.9,68.4772,16491.5,0.01868349793922819
111,1649090.0,884.039,1040.55,15487.0,68.9482,16597.6,0.018796547351936477
112,1648890.0,884.327,1041.01,15592.2,69.4195,16703.7,0.018915546733734745
113,1648700.0,884.6039999999999,1041.46,15697.4,69.8909,16809.8,0.019028596146443033
114,1648500.0,884.8710000000001,1041.9,15802.7,70.3626,16916.0,0.01914759552824119
115,1648300.0,885.127,1042.32,15908.0,70.8345,17022.2,0.01926659491003946
116,1648110.0,885.373,1042.73,16013.3,71.3065,17128.4,0.019379644322747747
117,1647910.0,885.6080000000001,1043.13,16118.7,71.7788,17234.7,0.019498643704545904
118,1647720.0,885.832,1043.52,16224.1,72.2512,17340.9,0.019611693117254303
119,1647520.0,886.045,1043.9,16329.6,72.7237,17447.3,0.01973069249905246
120,1647320.0,886.248,1044.26,16435.1,73.1965,17553.6,0.01984969188085073
121,1647130.0,886.44,1044.61,16540.6,73.6694,17660.0,0.019962741293559016
122,1646930.0,886.6210000000001,1044.95,16646.2,74.1425,17766.3,0.020081740675357174
123,1646740.0,886.7919999999999,1045.27,16751.8,74.6157,17872.7,0.020194790088065462
124,1646540.0,886.952,1045.59,16857.4,75.0891,17979.2,0.02031378946986373
125,1646340.0,887.1010000000001,1045.89,16963.1,75.5626,18085.6,0.020432788851661887
126,1646150.0,887.2389999999999,1046.17,17068.8,76.0362,18192.1,0.020545838264370175
127,1645950.0,887.367,1046.45,17174.5,76.51,18298.6,0.020664837646168444
128,1645760.0,887.4839999999999,1046.71,17280.3,76.9839,18405.0,0.02077788705887673
129,1645560.0,887.59,1046.96,17386.1,77.4579,18511.5,0.02089688644067489
130,1645360.0,887.685,1047.2,17491.9,77.932,18618.1,0.021015885822473157
131,1645170.0,887.77,1047.42,17597.7,78.4062,18724.6,0.021128935235181445
132,1644970.0,887.8439999999999,1047.64,17703.5,78.8805,18831.1,0.021247934616979713
133,1644770.0,887.9069999999999,1047.83,17809.4,79.3549,18937.7,0.02136693399877787
134,1644580.0,887.959,1048.02,17915.3,79.8294,19044.2,0.02147998341148616
