,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.0,1
3,0,0,1.0,1
4,0,0,1.0,1
5,0,0,1.0,1
6,0,0,1.0,1
7,0,0,1.0,1
8,0,0,1.0,1
9,0,0,1.0,1
10,0,0,1.0,1
11,0,0,1.0,1
12,0,0,1.0,1
13,0,0,1.0,1
14,0,0,1.0,1
15,0,0,1.0,1
16,0,0,1.0,1
17,1,0,0.8571428571428571,1
18,1,0,0.7142857142857143,1
19,1,0,0.5714285714285714,1
20,1,0,0.42857142857142855,1
21,1,0,0.2857142857142857,1
22,1,0,0.14285714285714285,1
23,1,0,0.0,1
24,1,0,0.0,1
25,1,0,0.0,1
26,1,0,0.14285714285714285,2
27,1,0,0.2857142857142857,2
28,1,0,0.42857142857142855,2
29,1,0,0.5714285714285714,2
30,1,0,0.7142857142857143,2
31,1,0,0.8571428571428571,2
32,1,0,1.0,2
33,1,0,1.1428571428571428,3
34,1,0,1.2857142857142858,3
35,1,0,1.5714285714285714,4
36,1,0,2.7142857142857144,10
37,2,0,3.7142857142857135,10
38,2,0,6.428571428571429,22
39,2,0,9.285714285714286,23
40,2,1,12.428571428571427,27
41,2,1,16.857142857142858,36
42,2,1,22.428571428571423,45
43,3,1,28.57142857142857,56
44,3,1,35.0,57
45,3,1,40.0,59
46,3,1,44.85714285714285,59
47,10,1,50.57142857142857,75
48,14,1,56.0,86
49,23,1,58.85714285714285,86
50,26,1,60.28571428571429,89
51,35,1,61.14285714285714,95
52,36,1,62.28571428571429,100
53,49,1,64.42857142857143,120
54,56,1,65.14285714285714,126
55,58,1,64.57142857142857,126
56,58,1,66.0,131
57,80,1,67.57142857142857,154
58,84,1,70.85714285714286,167
59,86,1,74.0,172
60,93,1,77.28571428571429,187
61,117,1,77.57142857142857,189
62,119,1,80.71428571428571,209
63,124,1,83.42857142857143,216
64,124,1,86.42857142857143,219
65,128,1,100.71428571428572,311
66,139,1,114.71428571428572,323
67,165,1,126.57142857142857,342
68,180,1,139.57142857142858,343
69,183,1,150.0,346
70,200,1,157.71428571428572,346
71,243,1,161.71428571428572,366
72,313,1,145.28571428571428,381
73,375,1,121.71428571428572,394
74,385,1,110.57142857142857,484
75,399,4,99.42857142857143,487
76,405,4,88.0,491
77,405,4,79.71428571428571,496
78,407,4,75.14285714285714,501
79,409,4,83.28571428571429,537
80,431,5,96.85714285714286,549
81,449,5,97.57142857142857,557
82,453,5,102.14285714285714,574
83,478,5,108.0,606
84,491,5,113.28571428571428,620
85,509,5,127.28571428571428,702
86,513,6,137.57142857142858,715
87,529,6,161.14285714285714,813
88,544,6,185.85714285714286,826
89,549,8,211.85714285714286,855
90,570,8,236.28571428571428,872
91,612,8,256.57142857142856,886
92,644,8,271.0,941
93,670,9,287.0,987
94,741,9,282.7142857142857,998
95,786,10,275.42857142857144,1021
96,818,11,265.85714285714283,1060
97,828,11,257.7142857142857,1076
98,830,11,258.7142857142857,1114
99,833,11,260.57142857142856,1146
100,875,11,259.14285714285717,1184
101,903,11,266.14285714285717,1211
102,947,11,274.7142857142857,1243
103,1005,12,286.0,1327
104,1016,12,303.0,1384
105,1043,12,317.7142857142857,1431
106,1078,12,342.7142857142857,1567
107,1121,12,368.8571428571428,1614
108,1147,12,402.1428571428572,1689
109,1181,13,451.57142857142856,1825
110,1205,14,502.4285714285714,1885
111,1219,14,553.4285714285714,1946
112,1281,14,606.5714285714286,2043
113,1397,14,632.7142857142858,2071
114,1475,14,654.8571428571429,2125
115,1566,14,674.5714285714286,2248
116,1616,14,685.4285714285714,2337
117,1684,14,698.8571428571429,2458
118,1724,15,723.7142857142858,2626
119,1768,15,752.2857142857142,2731
120,1915,15,790.1428571428571,2855
121,1952,15,840.1428571428571,2953
122,2083,15,892.1428571428571,3130
123,2086,15,948.4285714285713,3202
124,2212,15,990.0,3278
125,2338,15,1011.0,3387
126,2409,17,1031.5714285714287,3518
127,2537,18,1051.4285714285713,3619
128,2703,20,1056.857142857143,3747
129,2802,21,1068.4285714285713,3936
130,2933,22,1079.0,4130
131,3017,22,1101.4285714285713,4247
132,3127,22,1142.2857142857142,4469
133,3190,23,1200.142857142857,4710
134,3268,23,1280.4285714285713,4917
135,3415,26,1381.7142857142858,5174
136,3587,28,1468.0,5332
137,3739,29,1607.7142857142858,5921
138,3837,30,1763.857142857143,6168
139,4018,32,1928.857142857143,6525
140,4243,32,2106.714285714286,7017
141,4524,32,2278.714285714286,7386
142,4713,34,2454.285714285714,7709
143,4842,35,2661.714285714286,8046
144,5310,35,2773.714285714286,8282
