,Recovered,Deceased,Infected,I_c
0,0,0,18.571428571428573,71
1,0,1,35.0,118
2,0,1,52.42857142857143,125
3,0,1,72.0,140
4,0,1,93.85714285714286,158
5,2,1,120.42857142857143,210
6,2,1,153.71428571428572,264
7,2,1,182.7142857142857,277
8,30,1,201.14285714285717,277
9,49,2,217.85714285714286,292
10,89,2,228.85714285714286,307
11,109,2,234.42857142857144,307
12,132,2,230.42857142857144,313
13,154,3,216.0,317
14,162,3,199.28571428571428,322
15,203,3,183.42857142857144,341
16,233,3,165.0,348
17,248,3,148.71428571428572,353
18,272,3,132.57142857142858,358
19,283,3,118.71428571428572,368
20,302,3,108.57142857142857,394
21,317,3,97.28571428571428,398
22,318,3,89.85714285714286,404
23,334,3,84.85714285714286,414
24,336,3,83.42857142857143,431
25,338,3,88.2857142857143,458
26,340,3,98.85714285714286,499
27,354,3,109.57142857142857,521
28,389,3,118.57142857142857,533
29,396,3,135.0,597
30,410,4,150.28571428571428,598
31,419,4,166.85714285714286,631
32,441,4,179.28571428571428,649
33,498,4,178.0,649
34,515,4,173.5714285714286,652
35,545,5,168.85714285714286,658
36,578,5,154.14285714285714,678
37,595,6,139.42857142857142,682
38,613,6,119.85714285714286,690
39,616,6,101.57142857142857,698
40,620,6,91.0,699
41,636,6,88.14285714285714,755
42,641,6,94.0,796
43,658,6,107.42857142857143,853
44,670,7,126.71428571428572,893
45,670,8,151.85714285714286,925
46,680,8,179.14285714285714,955
47,729,8,210.57142857142856,1030
48,768,8,239.0,1088
49,811,8,263.14285714285717,1137
50,859,9,282.85714285714283,1195
51,892,10,304.7142857142857,1271
52,952,12,327.0,1367
53,993,14,340.7142857142857,1370
54,1041,15,358.28571428571433,1472
55,1090,16,379.57142857142856,1567
56,1128,18,434.71428571428567,1850
57,1219,21,506.0,2066
58,1318,21,573.7142857142858,2182
59,1391,22,649.7142857142858,2348
60,1487,25,756.2857142857142,2621
61,1607,28,868.4285714285713,2836
62,1707,31,996.5714285714287,3096
63,1892,35,1108.7142857142858,3416
64,2079,37,1207.5714285714287,3634
65,2185,40,1321.2857142857142,3864
66,2433,45,1426.142857142857,4147
67,2701,46,1494.5714285714291,4335
68,2971,49,1551.7142857142858,4621
69,3055,51,1609.2857142857142,4867
70,3275,53,1649.4285714285709,5098
71,3554,55,1671.2857142857142,5280
72,3753,59,1682.142857142857,5527
73,3871,63,1705.4285714285709,5766
74,4008,63,1752.857142857143,5991
75,4076,67,1841.142857142857,6362
76,4483,72,1924.857142857143,6902
77,5013,75,2035.7142857142856,7634
78,5404,78,2184.428571428572,8194
79,5836,85,2333.285714285714,8678
80,5996,88,2512.285714285714,9169
81,6303,91,2681.857142857143,9501
82,6699,92,2787.0,9746
83,7130,96,2847.4285714285716,9996
84,7342,100,2901.142857142857,10364
85,7481,105,2954.5714285714284,10672
86,7524,109,3040.5714285714284,10992
87,7878,113,3075.857142857143,11323
88,8136,119,3111.4285714285716,11611
89,8621,124,3127.4285714285716,11812
90,8911,128,3166.142857142857,12080
91,9611,131,3122.5714285714284,12359
92,10171,133,3014.4285714285716,12633
93,10573,139,2840.714285714286,12855
94,10755,145,2677.285714285714,13088
95,11159,148,2484.714285714286,13315
96,11548,152,2314.428571428572,13575
97,11803,155,2149.1428571428573,13842
98,12069,159,2045.857142857143,14122
99,12341,160,1991.428571428572,14449
100,12696,162,1958.0,14767
101,12928,163,1919.5714285714291,15010
102,13084,166,1919.2857142857144,15256
103,13408,170,1925.7142857142856,15498
104,13773,174,1910.428571428572,15724
105,13963,178,1889.142857142857,15886
106,14179,179,1856.5714285714291,16078
107,14444,182,1830.0,16349
108,14681,187,1793.0,16528
109,14947,189,1735.5714285714291,16740
110,15185,191,1684.142857142857,16936
111,15462,191,1638.857142857143,17113
112,15666,193,1593.5714285714291,17287
113,15883,193,1545.0,17456
114,16099,197,1495.4285714285709,17672
115,16332,198,1448.5714285714291,17862
