,Recovered,Deceased,Infected,I_c
0,0,0,1.5714285714285714,2
1,0,0,1.7142857142857142,2
2,0,0,1.8571428571428568,2
3,0,0,2.0,2
4,0,0,2.142857142857143,3
5,0,0,2.2857142857142856,3
6,0,0,2.4285714285714284,3
7,0,0,2.5714285714285716,3
8,0,0,2.7142857142857144,3
9,0,0,2.8571428571428568,3
10,0,0,3.1428571428571432,4
11,0,0,3.2857142857142856,4
12,0,0,4.857142857142857,14
13,1,0,6.285714285714287,14
14,2,0,10.142857142857142,32
15,3,0,13.857142857142858,32
16,4,0,17.714285714285715,34
17,5,0,21.285714285714285,34
18,6,0,25.285714285714285,38
19,7,0,28.0,40
20,8,0,30.857142857142854,41
21,9,0,31.142857142857146,41
22,10,0,31.57142857142857,42
23,11,0,32.285714285714285,46
24,12,0,33.0,46
25,13,0,33.142857142857146,46
26,14,0,33.0,46
27,15,0,32.714285714285715,46
28,16,0,32.42857142857143,46
29,17,0,32.0,46
30,18,0,31.0,46
31,19,0,30.0,46
32,20,0,29.0,46
33,21,0,28.0,46
34,22,0,27.0,46
35,23,1,25.857142857142854,46
36,25,1,24.57142857142857,46
37,26,1,23.285714285714285,46
38,27,1,22.142857142857146,47
39,27,1,21.142857142857142,47
40,30,1,19.857142857142858,47
41,31,1,18.571428571428573,47
42,31,1,17.571428571428573,47
43,31,1,16.857142857142858,47
44,31,2,16.142857142857142,47
45,31,2,15.428571428571427,47
46,32,2,15.0,50
47,32,2,15.0,50
48,32,2,15.142857142857142,50
49,32,2,15.285714285714285,50
50,37,2,14.714285714285715,50
51,37,2,14.285714285714285,50
52,45,2,12.714285714285715,50
53,45,2,11.285714285714285,53
54,45,2,10.285714285714286,56
55,45,2,9.285714285714286,56
56,45,2,8.714285714285714,59
57,48,2,8.571428571428571,60
58,48,2,9.0,64
59,48,3,11.428571428571427,71
60,48,3,13.428571428571427,71
61,48,3,15.428571428571427,74
62,48,3,17.428571428571427,74
63,51,3,19.0,77
64,51,3,21.571428571428577,82
65,55,3,23.57142857142857,86
66,57,3,26.285714285714285,99
67,58,3,30.42857142857143,110
68,60,4,35.42857142857143,122
69,67,4,40.714285714285715,131
70,67,4,47.0,138
71,70,4,52.57142857142857,141
72,72,4,61.57142857142857,167
73,74,4,69.14285714285714,170
74,77,4,78.42857142857143,195
75,87,5,88.0,217
76,94,5,97.57142857142857,226
77,133,5,103.14285714285714,244
78,146,5,108.71428571428572,257
79,157,5,112.0,276
80,183,5,113.42857142857143,290
81,186,6,113.57142857142857,307
82,205,6,110.57142857142857,315
83,213,6,108.85714285714286,334
84,236,6,109.85714285714286,355
85,259,6,108.57142857142857,362
86,270,6,105.57142857142857,369
87,280,6,106.42857142857143,394
88,296,6,104.57142857142857,404
89,308,6,103.71428571428572,412
90,362,6,97.42857142857143,439
91,394,6,87.57142857142857,444
92,403,6,108.71428571428572,654
93,436,6,126.85714285714286,662
94,455,6,143.85714285714286,688
95,478,6,165.14285714285714,735
96,499,6,186.42857142857144,752
97,544,6,207.85714285714286,771
98,573,7,231.0,786
99,592,7,226.7142857142857,814
100,630,7,221.57142857142856,821
101,642,7,217.42857142857144,847
102,666,7,209.42857142857144,868
103,703,7,200.42857142857144,894
104,732,9,197.85714285714286,944
105,742,9,199.85714285714286,971
106,755,9,201.7142857142857,992
107,773,9,210.7142857142857,1029
108,801,11,220.57142857142856,1079
109,816,11,236.7142857142857,1135
110,831,11,260.7142857142857,1194
111,868,12,281.85714285714283,1231
112,883,14,309.0,1307
113,935,15,331.57142857142856,1336
114,972,17,358.28571428571433,1423
115,1000,19,393.1428571428572,1530
116,1012,19,429.57142857142856,1594
117,1040,19,477.1428571428572,1744
118,1090,19,535.0,1865
119,1170,20,588.1428571428571,1972
120,1202,20,648.4285714285714,2030
121,1248,21,704.8571428571429,2098
122,1331,21,755.7142857142858,2219
123,1375,22,812.2857142857142,2356
124,1394,23,894.2857142857142,2676
125,1443,23,984.0,2850
126,1471,25,1092.4285714285713,3037
127,1548,26,1217.857142857143,3260
128,1548,27,1384.7142857142858,3572
129,1662,27,1557.5714285714291,3766
130,1674,29,1746.7142857142858,3986
131,1755,30,1911.857142857143,4200
132,1917,33,2076.285714285714,4485
133,1978,36,2240.285714285714,4703
134,2075,37,2399.714285714286,4914
135,2293,38,2512.142857142857,5115
136,2418,39,2623.142857142857,5311
137,2615,39,2708.0,5531
138,2817,39,2787.714285714286,5829
139,3020,42,2860.0,6103
140,3230,44,2928.857142857143,6445
141,3691,47,2946.4285714285716,6663
142,3954,51,2959.5714285714284,6881
143,4131,52,2979.714285714286,7178
144,4359,52,3003.142857142857,7452
145,4515,52,3038.0,7784
146,4746,52,3084.142857142857,8162
147,4987,54,3146.714285714286,8650
148,5086,58,3274.142857142857,8961
149,5373,59,3427.285714285714,9380
150,5638,61,3591.857142857143,9846
151,5995,62,3773.571428571429,10370
152,6241,64,3962.571428571429,10845
153,6495,64,4157.571428571428,11288
154,6771,64,4364.714285714285,11894
155,7199,64,4548.714285714285,12368
156,7826,65,4684.714285714285,12791
157,8558,66,4765.714285714285,13338
158,8993,67,4844.571428571428,13925
159,9362,69,4948.714285714285,14700
160,9772,71,5075.857142857143,15462
161,10191,72,5193.571428571428,16146
162,10561,75,5339.428571428572,16762
