,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2633400.0,1130.85,5589.55,9543.42,71.0704,15210.1,0.006982496058511645
1,2632720.0,1151.65,5712.41,9983.89,72.5191,15774.9,0.007238914340079283
2,2632040.0,1174.23,5836.38,10434.0,73.9995,16350.6,0.007495332621646922
3,2631330.0,1198.02,5962.09,10893.8,75.5118,16937.7,0.007763063474460208
4,2630610.0,1222.71,6089.89,11363.5,77.0567,17536.9,0.008034565184355302
5,2629880.0,1248.12,6220.01,11843.2,78.6346,18148.5,0.008309837751332316
6,2629130.0,1274.16,6352.59,12333.2,80.2461,18772.8,0.008592652032473058
7,2628370.0,1300.78,6487.74,12833.6,81.892,19410.1,0.00887923717069572
8,2627590.0,1327.96,6625.53,13344.7,83.5729,20060.8,0.00917336402308222
9,2626790.0,1355.69,6766.03,13866.6,85.2894,20725.0,0.009475032589632337
10,2625980.0,1383.96,6909.3,14399.5,87.0423,21403.1,0.009780472013264374
11,2625150.0,1412.77,7055.37,14943.7,88.8323,22095.4,0.010093453151060139
12,2624300.0,1442.14,7204.31,15499.5,90.6602,22802.0,0.010413976003019743
13,2623440.0,1472.06,7356.16,16066.9,92.5265,23523.3,0.010738269712061155
14,2622550.0,1502.55,7510.97,16646.3,94.4322,24259.6,0.011073875992348214
15,2621650.0,1533.61,7668.79,17237.9,96.37799999999999,25011.1,0.011413253129717083
16,2620730.0,1565.26,7829.66,17841.9,98.3646,25778.1,0.01176017198124979
17,2619800.0,1597.48,7993.64,18458.6,100.39299999999999,26561.0,0.012110861689864305
18,2618840.0,1630.31,8160.77,19088.2,102.464,27359.9,0.012472863969724579
19,2617860.0,1663.74,8331.1,19730.9,104.57700000000001,28175.2,0.01284240796374847
20,2616870.0,1697.77,8504.68,20387.0,106.735,29007.3,0.01321572281485428
21,2615850.0,1732.43,8681.56,21056.8,108.93799999999999,29856.3,0.013600350237205738
22,2614810.0,1767.72,8861.78,21740.5,111.18700000000001,30722.6,0.013992519373720924
23,2613750.0,1803.64,9045.4,22438.4,113.48299999999999,31606.6,0.014392230224399949
24,2612670.0,1840.21,9232.47,23150.7,115.825,32508.5,0.014799482789242702
25,2611570.0,1877.42,9423.02,23877.8,118.21700000000001,33428.7,0.015214277068249071
26,2610440.0,1915.3,9617.12,24619.8,120.65700000000001,34367.5,0.0156403839185012
27,2609300.0,1953.84,9814.81,25377.1,123.148,35325.2,0.016070261625835247
28,2608130.0,1993.05,10016.1,26150.0,125.69,36302.1,0.01651145190441483
