,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1587270.0,5.651009999999999,4.4551,0.157175,0.000510422,4.59797,8.190095906024375e-06
1,1587270.0,4.10669,6.6437100000000004,0.46693100000000004,0.00151634,7.08931,8.190095906024375e-06
2,1587270.0,3.2987300000000004,8.13678,0.8764940000000001,0.00284638,8.98907,8.190095906024375e-06
3,1587270.0,2.90813,9.255989999999999,1.35712,0.004407199999999999,10.5884,8.190095906024375e-06
4,1587270.0,2.75597,10.1831,1.89362,0.00614948,12.052999999999999,8.190095906024375e-06
5,1587270.0,2.74201,11.0213,2.4784900000000003,0.00804882,13.4779,8.190095906024375e-06
6,1587260.0,2.8102400000000003,11.8299,3.10858,0.010095,14.9189,1.44901696799149e-05
7,1587260.0,2.9294599999999997,12.6432,3.78329,0.012286100000000001,16.4098,1.44901696799149e-05
8,1587260.0,3.08249,13.4822,4.503480000000001,0.0146249,17.9721,1.44901696799149e-05
9,1587260.0,3.25998,14.3598,5.270969999999999,0.0171173,19.6207,1.44901696799149e-05
10,1587260.0,3.45704,15.2852,6.0881300000000005,0.019771,21.3668,1.44901696799149e-05
11,1587250.0,3.67129,16.2648,6.9578,0.0225952,23.22,2.0790243453805424e-05
12,1587250.0,3.90181,17.3042,7.88311,0.025600099999999997,25.189,2.0790243453805424e-05
13,1587250.0,4.14846,18.4083,8.8675,0.0287969,27.281999999999996,2.0790243453805424e-05
14,1587250.0,4.41165,19.5819,9.91468,0.0321976,29.5075,2.0790243453805424e-05
15,1587240.0,4.692069999999999,20.8299,11.0286,0.035815,31.8745,2.7090317227584926e-05
16,1587240.0,3.71182,21.8108,12.207,0.0396419,34.0326,2.7090317227584926e-05
17,1587240.0,3.16127,22.3619,13.4267,0.0436027,35.8045,2.7090317227584926e-05
18,1587240.0,2.85205,22.6717,14.6695,0.04763869999999999,37.3594,2.7090317227584926e-05
19,1587240.0,2.6783900000000003,22.8458,15.9254,0.051717099999999995,38.7926,2.7090317227584926e-05
20,1587240.0,2.58086,22.9437,17.1885,0.0558192,40.1573,2.7090317227584926e-05
21,1587230.0,2.5261,22.9989,18.4558,0.0599347,41.4836,3.339039100147545e-05
22,1587230.0,2.49536,23.03,19.7255,0.0640578,42.7883,3.339039100147545e-05
23,1587230.0,2.47811,23.0477,20.9964,0.06818510000000001,44.081,3.339039100147545e-05
24,1587230.0,2.46844,23.0578,22.2681,0.07231489999999999,45.3668,3.339039100147545e-05
25,1587230.0,2.46302,23.0636,23.5402,0.076446,46.6488,3.339039100147545e-05
26,1587230.0,2.4599900000000003,23.066999999999997,24.8126,0.080578,47.9287,3.339039100147545e-05
27,1587230.0,2.45831,23.0691,26.0851,0.08471039999999999,49.2075,3.339039100147545e-05
28,1587220.0,3.73641,23.4167,27.3642,0.08886419999999999,50.8449,3.9690464775365975e-05
29,1587220.0,4.60431,24.2781,28.6776,0.09312949999999999,53.0286,3.9690464775365975e-05
30,1587220.0,5.25137,25.4707,30.0482,0.0975804,55.5995,3.9690464775365975e-05
31,1587210.0,5.7845699999999995,26.8943,31.4912,0.102267,58.4736,4.59905385492565e-05
32,1587210.0,6.26462,28.4957,33.0177,0.107224,61.6091,4.59905385492565e-05
33,1587200.0,6.726319999999999,30.2481,34.6368,0.112482,64.9882,5.2290612323036e-05
34,1587200.0,7.189939999999999,32.1395,36.3565,0.118066,68.6072,5.2290612323036e-05
35,1587200.0,7.667660000000001,34.1669,38.1841,0.124002,72.4706,5.2290612323036e-05
36,1587190.0,8.16713,36.332,40.1273,0.13031199999999998,76.5879,5.8590686096926525e-05
37,1587180.0,8.69355,38.6399,42.1939,0.137023,80.9718,6.489075987081705e-05
38,1587180.0,9.25075,41.0975,44.3918,0.14416099999999998,85.6374,6.489075987081705e-05
39,1587170.0,9.84189,43.7132,46.7295,0.151753,90.6014,7.119083364470757e-05
40,1587170.0,10.4698,46.4963,49.2161,0.159828,95.8825,7.119083364470757e-05
41,1587160.0,11.1372,49.4572,51.861000000000004,0.168417,101.5,7.749090741848708e-05
42,1587150.0,11.8469,52.6068,54.6743,0.177553,107.476,8.37909811923776e-05
43,1587140.0,12.6016,55.9573,57.6668,0.187271,113.833,9.009105496626812e-05
44,1587140.0,13.4042,59.5211,60.8499,0.197608,120.594,9.009105496626812e-05
45,1587130.0,14.2579,63.312,64.2357,0.208603,127.786,9.639112874015865e-05
46,1587120.0,15.165999999999999,67.3443,67.8372,0.22029899999999997,135.436,0.00010269120251393815
47,1587160.0,-21.4012,59.9846,71.4351,0.231983,131.496,7.749090741848708e-05
48,1587180.0,-26.0108,44.0503,74.3152,0.24133600000000002,118.427,6.489075987081705e-05
49,1587190.0,-21.1503,29.5831,76.3346,0.247894,106.01100000000001,5.8590686096926525e-05
50,1587190.0,-14.9369,18.878,77.6565,0.252187,96.6648,5.8590686096926525e-05
51,1587190.0,-7.847760000000001,12.2634,78.4987,0.254922,90.932,5.8590686096926525e-05
52,1587190.0,-3.80061,8.749139999999999,79.0687,0.25677300000000003,88.0106,5.8590686096926525e-05
53,1587190.0,-1.4540600000000001,7.00053,79.4975,0.258166,86.7045,5.8590686096926525e-05
54,1587190.0,-0.0537749,6.27084,79.8603,0.259343,86.346,5.8590686096926525e-05
55,1587190.0,0.824997,6.1439699999999995,80.2006,0.260449,86.5651,5.8590686096926525e-05
56,1587190.0,1.42202,6.3899099999999995,80.5449,0.261567,87.1595,5.8590686096926525e-05
57,1587180.0,1.87332,6.883610000000001,80.9099,0.262752,88.0218,6.489075987081705e-05
58,1587180.0,2.2568,7.559489999999999,81.3073,0.26404299999999997,89.0984,6.489075987081705e-05
59,1587180.0,2.6179200000000002,8.38591,81.7462,0.265468,90.367,6.489075987081705e-05
60,1587180.0,2.98411,9.35092,82.2345,0.267054,91.8238,6.489075987081705e-05
61,1587180.0,3.37291,10.4544,82.7799,0.268825,93.4764,6.489075987081705e-05
62,1587170.0,3.79656,11.7035,83.39,0.270806,95.3398,7.119083364470757e-05
63,1587170.0,4.26461,13.1106,84.0732,0.273025,97.4348,7.119083364470757e-05
64,1587170.0,4.78545,14.6918,84.8388,0.275511,99.7867,7.119083364470757e-05
65,1587160.0,5.36714,16.4664,85.6967,0.27829699999999996,102.425,7.749090741848708e-05
66,1587160.0,6.01797,18.4569,86.6584,0.28142,105.384,7.749090741848708e-05
67,1587160.0,6.746860000000001,20.6888,87.7363,0.284921,108.70100000000001,7.749090741848708e-05
68,1587150.0,7.56353,23.1912,88.9446,0.28884499999999996,112.42,8.37909811923776e-05
69,1587150.0,8.47878,25.9964,90.29899999999999,0.293243,116.589,8.37909811923776e-05
70,1587140.0,9.50462,29.1412,91.8173,0.298174,121.262,9.009105496626812e-05
71,1587130.0,10.6545,32.6664,93.5192,0.3037,126.501,9.639112874015865e-05
72,1587120.0,11.9434,36.6181,95.427,0.309896,132.373,0.00010269120251393815
73,1587120.0,13.3882,41.0479,97.5656,0.316841,138.95600000000002,0.00010269120251393815
74,1587110.0,15.0077,46.0135,99.9629,0.324626,146.335,0.00010899127628782868
75,1587100.0,16.8231,51.5797,102.65,0.333353,154.607,0.0001152913500617192
76,1587080.0,18.858,57.8192,105.663,0.343136,163.87900000000002,0.00012789149760938923
