,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2819990.0,4.65728,3.80953,0.1033,0.0009015789999999999,3.91404,4.255316131018816e-06
1,2819990.0,4.92192,4.63622,0.231398,0.0020196,4.870480000000001,4.255316131018816e-06
2,2819990.0,5.28979,5.50025,0.385125,0.0033613,5.89032,4.255316131018816e-06
3,2819990.0,5.75997,6.4206900000000005,0.565902,0.00493909,6.99405,4.255316131018816e-06
4,2819990.0,6.33432,7.41613,0.775724,0.00677037,8.20229,4.255316131018816e-06
5,2819980.0,7.017289999999999,8.50522,1.01715,0.00887748,9.53628,7.801412906793814e-06
6,2819980.0,7.81573,9.70715,1.29331,0.011287700000000001,11.0184,7.801412906793814e-06
7,2819980.0,8.73887,11.0422,1.6079299999999999,0.014033700000000001,12.6726,7.801412906793814e-06
8,2819980.0,9.79828,12.5319,1.96538,0.0171535,14.525,7.801412906793814e-06
9,2819970.0,11.008,14.1998,2.37071,0.020691099999999997,16.6042,1.1347509682568813e-05
10,2819970.0,12.3844,16.0717,2.82971,0.024697200000000002,18.9419,1.1347509682568813e-05
11,2819970.0,8.91901,17.6723,3.3439300000000003,0.029185200000000005,21.0543,1.1347509682568813e-05
12,2819970.0,6.22734,18.6208,3.8965300000000003,0.0340081,22.5548,1.1347509682568813e-05
13,2819970.0,4.14613,19.0726,4.47013,0.0390144,23.5811,1.1347509682568813e-05
14,2819970.0,2.54597,19.1499,5.05154,0.0440889,24.2416,1.1347509682568813e-05
15,2819970.0,1.32436,18.9481,5.6309,0.0491454,24.6218,1.1347509682568813e-05
16,2819970.0,0.400118,18.5422,6.20089,0.0541202,24.789,1.1347509682568813e-05
17,2819970.0,-0.29099899999999995,17.9902,6.75622,0.058967,24.7958,1.1347509682568813e-05
18,2819970.0,-0.79981,17.3373,7.29316,0.0636533,24.6835,1.1347509682568813e-05
19,2819980.0,-1.16648,16.6184,7.8092,0.0681572,24.4844,7.801412906793814e-06
20,2819980.0,-1.42275,15.8603,8.30275,0.0724648,24.2236,7.801412906793814e-06
21,2819970.0,2.67709,15.5026,8.77712,0.07660499999999999,24.3526,1.1347509682568813e-05
22,2819970.0,6.91927,15.9736,9.25307,0.080759,25.3123,1.1347509682568813e-05
23,2819960.0,11.5305,17.2985,9.75606,0.085149,27.1538,1.4893606458454833e-05
24,2819950.0,16.7573,19.5478,10.312999999999999,0.0900095,29.9753,1.8439703234229832e-05
25,2819940.0,22.8788,22.8417,10.9535,0.0956003,33.9276,2.1985800010115852e-05
26,2819930.0,30.2222,27.355999999999998,11.712,0.10222,39.2216,2.553189678589085e-05
27,2819910.0,39.1796,33.3317,12.6289,0.110223,46.1402,3.262409033755187e-05
28,2819890.0,50.2295,41.088,13.7532,0.12003499999999999,55.0527,3.971628388921289e-05
29,2819860.0,63.9621,51.0392,15.145,0.132182,66.4353,5.0354574216648906e-05
30,2819830.0,81.1107,63.7167,16.8785,0.147313,80.8958,6.0992864544084924e-05
31,2819810.0,77.0262,77.3413,19.0223,0.166023,96.6747,6.808505809574594e-05
32,2819800.0,74.6144,89.9194,21.5634,0.188201,111.811,7.163115487152094e-05
33,2819780.0,73.5852,101.78200000000001,24.475,0.213613,126.609,7.872334842318196e-05
34,2819770.0,73.712,113.20100000000001,27.7398,0.242108,141.321,8.226944519895696e-05
35,2819750.0,74.8188,124.399,31.3476,0.273596,156.16,8.936163875061798e-05
36,2819730.0,76.7698,135.561,35.2947,0.30804499999999996,171.308,9.6453832302279e-05
37,2819710.0,79.4616,146.845,39.5823,0.345467,186.922,0.000103546025853829
38,2819690.0,82.8168,158.384,44.2163,0.385911,203.143,0.00011063821940549001
39,2819690.0,62.6791,159.166,57.8668,0.428101,217.577,0.00011063821940549001
40,2819680.0,47.5153,156.524,71.4297,0.47002,228.51,0.00011418431618137603
41,2819680.0,36.0906,151.57,84.661,0.510915,236.805,0.00011418431618137603
42,2819680.0,27.4772,145.118,97.3988,0.550284,243.113,0.00011418431618137603
43,2819680.0,20.9779,137.76,109.541,0.587812,247.922,0.00011418431618137603
44,2819680.0,16.0689,129.923,121.029,0.623318,251.59900000000002,0.00011418431618137603
45,2819680.0,12.3567,121.912,131.835,0.656718,254.42,0.00011418431618137603
46,2819680.0,9.54534,113.941,141.955,0.687995,256.595,0.00011418431618137603
47,2819680.0,7.41248,106.15700000000001,151.398,0.71718,258.279,0.00011418431618137603
48,2819670.0,17.6597,99.8472,160.219,0.7444430000000001,260.837,0.00011773041295715103
49,2819650.0,25.7758,95.8069,168.59900000000002,0.7703439999999999,265.219,0.00012482260650881205
50,2819640.0,32.3059,93.4956,176.71,0.795412,271.056,0.00012836870328458705
51,2819620.0,37.6599,92.5081,184.68099999999998,0.820047,278.075,0.00013546089683624807
52,2819610.0,42.1463,92.5406,192.612,0.844561,286.073,0.00013900699361202307
53,2819590.0,45.9971,93.3662,200.581,0.869192,294.9,0.00014609918716368409
54,2819570.0,49.3874,94.8152,208.649,0.894127,304.448,0.0001531913807153451
55,2819560.0,52.449,96.7612,216.863,0.9195129999999999,314.639,0.0001567374774911201
56,2819540.0,55.2818,99.1102,225.261,0.94547,325.418,0.00016382967104278112
57,2819520.0,57.9611,101.79299999999999,233.87599999999998,0.972095,336.74699999999996,0.00017092186459444214
58,2819500.0,60.5443,104.757,242.733,0.9994700000000001,348.602,0.00017801405814610316
59,2819480.0,63.0751,107.96700000000001,251.855,1.02766,360.967,0.00018510625169765316
60,2819460.0,65.5872,111.395,261.26099999999997,1.05674,373.836,0.00019219844524931418
61,2819440.0,68.1062,115.022,270.971,1.08675,387.207,0.0001992906388009752
62,2819420.0,70.6526,118.836,280.999,1.11774,401.085,0.00020638283235263621
63,2819390.0,73.2421,122.82600000000001,291.363,1.1497700000000002,415.476,0.00021702112268007223
64,2819370.0,75.8874,126.98899999999999,302.07599999999996,1.18288,430.39099999999996,0.00022411331623173325
65,2819340.0,78.5991,131.32299999999998,313.153,1.21712,445.841,0.00023475160655916927
66,2819320.0,81.3857,135.825,324.60900000000004,1.25253,461.841,0.0002418438001108303
67,2819290.0,84.2545,140.498,336.459,1.28915,478.406,0.0002524820904382663
68,2819260.0,87.212,145.345,348.717,1.32704,495.55400000000003,0.0002631203807657023
69,2819240.0,90.2639,150.36700000000002,361.399,1.3662299999999998,513.303,0.00027021257431736334
70,2819210.0,93.4156,155.57,374.519,1.40678,531.673,0.00028085086464479936
71,2819180.0,96.67200000000001,160.957,388.093,1.44874,550.683,0.0002914891549722354
72,2819140.0,100.038,166.535,402.13699999999994,1.49214,570.356,0.0003056735420755574
