,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2815460.0,452.18,1392.19,2031.61,8.84402,3437.59,0.001610637155576522
1,2815150.0,486.366,1486.33,2169.06,9.43647,3669.94,0.0017205661556268792
2,2814820.0,521.681,1588.22,2315.87,10.0693,3919.45,0.0018375873492287864
3,2814460.0,558.752,1697.87,2472.79,10.7457,4186.87,0.0019652468331582407
4,2814080.0,598.004,1815.48,2640.56,11.4688,4473.17,0.002099998510639356
5,2813680.0,639.754,1941.43,2819.96,12.2421,4779.51,0.002241842381672021
6,2813240.0,684.263,2076.22,3011.81,13.0691,5107.19,0.0023978706398080085
7,2812780.0,731.77,2220.38,3216.98,13.9535,5457.65,0.002560991091495657
8,2812280.0,782.507,2374.54,3436.4,14.8992,5832.42,0.002738295930286627
9,2811750.0,836.7080000000001,2539.35,3671.05,15.9107,6233.16,0.0029262390594049226
10,2811180.0,894.6139999999999,2715.53,3921.99,16.9923,6661.65,0.00312836657562654
11,2810570.0,956.4780000000001,2903.86,4190.33,18.149,7119.78,0.0033446784789514794
12,2809920.0,1022.57,3105.15,4477.28,19.3858,7609.58,0.00357517476937963
13,2809220.0,1093.17,3320.27,4784.11,20.7084,8133.21,0.0038234015436868773
14,2808480.0,1168.58,3550.17,5112.19,22.1226,8692.97,0.004085812705097336
15,2807690.0,1249.13,3795.83,5462.98,23.6346,9291.34,0.004365954350387002
16,2806840.0,1335.14,4058.31,5838.04,25.2513,9930.92,0.004667372576331541
17,2805930.0,1426.98,4338.75,6239.03,26.9797,10614.5,0.004990067382930952
18,2804960.0,1525.03,4638.33,6667.71,28.8275,11345.1,0.005334038770185234
19,2803930.0,1629.7,4958.34,7125.98,30.8028,12125.9,0.0056992867380945
20,2802820.0,1741.42,5300.13,7615.86,32.9144,12960.2,0.006092903480210299
21,2801640.0,1860.63,5665.14,8139.48,35.1714,13851.7,0.006511342899756856
22,2800380.0,1987.83,6054.9,8699.15,37.5838,14804.2,0.0069581510935098345
23,2799030.0,2123.52,6471.03,9297.31,40.1621,15821.7,0.0074368741582452325
24,2797590.0,2268.23,6915.25,9936.55,42.9175,16908.6,0.00794751209396305
25,2796050.0,2422.54,7389.38,10619.6,45.8619,18069.6,0.00849361099743906
26,2794400.0,2587.04,7895.36,11349.5,49.0081,19309.4,0.00907871696544893
27,2792650.0,2762.36,8435.24,12129.4,52.3696,20633.4,0.009699283901217104
28,2790780.0,2949.17,9011.17,12962.5,55.9607,22047.0,0.010362403998295022
29,2788780.0,3148.16,9625.44,13852.5,59.7969,23556.0,0.01107162335345857
30,2786650.0,3360.06,10280.5,14803.1,63.8943,25166.8,0.01182694196670786
31,2784370.0,3585.64,10978.8,15818.3,68.2703,26885.8,0.01263545203159433
32,2781950.0,3825.7,11723.1,16902.4,72.9432,28720.1,0.013493607451342204
33,2779360.0,4081.07,12516.2,18059.9,77.9327,30677.0,0.014412046516279031
34,2776600.0,4352.63,13361.1,19295.7,83.2593,32764.4,0.01539076922640481
35,2773650.0,4641.27,14260.9,20614.8,88.9451,34990.3,0.01643686777527109
36,2770520.0,4947.94,15218.9,22022.6,95.0133,37363.7,0.0175467960661021
37,2767180.0,5273.61,16238.4,23524.8,101.48899999999999,39893.5,0.01873119238922527
38,2763620.0,5619.29,17323.0,25127.6,108.397,42589.5,0.01999360284141638
39,2759820.0,5985.99,18476.5,26837.2,115.766,45461.8,0.0213411196162272
40,2755790.0,6374.77,19702.8,28660.5,123.625,48521.1,0.022770196616881844
41,2751490.0,6786.71,21005.8,30604.5,132.005,51778.6,0.024295018230483523
42,2746920.0,7222.91,22389.8,32676.9,140.938,55246.1,0.025915584457032348
43,2742060.0,7684.46,23858.9,34885.6,150.458,58935.7,0.02763898749007976
44,2736890.0,8172.47,25417.8,37238.9,160.602,62860.4,0.029472319523177637
45,2731400.0,8688.05,27070.8,39745.6,171.407,67033.5,0.03141912665310165
46,2725570.0,9232.3,28822.7,42414.9,182.912,71468.9,0.03348650107340345
47,2719380.0,9806.29,30678.2,45256.5,195.16099999999997,76181.2,0.03568153497763482
48,2712800.0,10411.1,32642.2,48280.5,208.196,81185.2,0.03801486665612297
49,2705830.0,11047.6,34719.4,51497.6,222.063,86496.4,0.04048649610886801
50,2698450.0,11716.8,36914.7,54918.7,236.80900000000003,92130.9,0.0431035155294216
51,2690620.0,12419.7,39232.9,58555.5,252.485,98105.0,0.04588010930488706
52,2682340.0,13156.9,41678.9,62419.8,269.142,104436.0,0.04881627743526418
53,2673570.0,13929.0,44257.3,66524.0,286.83299999999997,111140.0,0.05192620430765649
