,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1060740.0,3.3258699999999997,2.16475,0.20654499999999998,0.00205775,6.2315,9.427292010366628e-06
1,1060740.0,4.74525,2.28962,0.420025,0.00418458,6.573189999999999,9.427292010366628e-06
2,1060740.0,6.48359,2.53032,0.6509189999999999,0.00648491,7.04856,9.427292010366628e-06
3,1060740.0,8.64408,2.9060099999999998,0.911235,0.00907836,7.6889899999999995,9.427292010366628e-06
4,1060730.0,11.3567,3.4434699999999996,1.21518,0.0121064,8.535730000000001,1.8854584020733256e-05
5,1060730.0,14.7861,4.17891,1.57996,0.0157407,9.642510000000001,1.8854584020733256e-05
6,1060720.0,19.1418,5.16026,2.02683,0.0201927,11.0789,2.8281876031099884e-05
7,1060710.0,24.6909,6.45023,2.5823,0.025726699999999998,12.9346,3.770916804146651e-05
8,1060700.0,31.7747,8.13028,3.2798,0.0326757,15.3251,4.713646005183314e-05
9,1060680.0,40.8293,10.3057,4.16169,0.0414617,18.3989,6.59910440725664e-05
10,1060660.0,52.413000000000004,13.112,5.28185,0.052621400000000006,22.3464,8.484562809329965e-05
11,1060640.0,58.2616,16.3756,6.69821,0.0667322,27.0454,0.00010370021211403291
12,1060630.0,65.1619,19.8529,8.43838,0.084069,32.286,0.00011312750412439954
13,1060610.0,73.2204,23.6134,10.5262,0.10487,38.1621,0.0001319820881451328
14,1060600.0,70.9427,27.2614,12.9777,0.12929300000000002,44.284,0.00014140938015549942
15,1060580.0,69.1823,30.4084,15.7558,0.15697,50.2353,0.0001602639641763437
16,1060570.0,67.8552,33.1392,18.8163,0.187461,56.056000000000004,0.00016969125618671033
17,1060560.0,66.8911,35.5246,22.1228,0.22040300000000002,61.7799,0.00017911854819707695
18,1060550.0,66.2316,37.6235,25.6448,0.25549099999999997,67.4354,0.00018854584020744358
19,1060550.0,58.4529,39.178000000000004,29.3474,0.292379,72.7227,0.00018854584020744358
20,1060540.0,51.7723,40.0041,33.1636,0.330399,77.3973,0.0001979731322178102
