,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,3,3
3,0,0,3,3
4,0,0,5,5
5,0,0,5,5
6,0,0,5,5
7,0,0,5,5
8,0,0,5,5
9,0,0,5,5
10,0,0,5,5
11,1,0,6,7
12,3,0,5,8
13,3,0,5,8
14,4,0,5,9
15,5,0,6,11
16,5,0,7,12
17,5,0,10,15
18,5,0,11,16
19,5,0,11,16
20,8,0,8,16
21,8,0,8,16
22,9,0,8,17
23,12,0,5,17
24,12,0,5,17
25,15,0,3,18
26,15,0,8,23
27,15,0,8,23
28,16,0,7,23
29,16,0,8,24
30,16,0,8,24
31,16,0,8,24
32,16,0,8,24
33,16,0,8,24
34,18,0,6,24
35,18,0,8,26
36,23,0,8,31
37,23,0,8,31
38,24,0,20,44
39,24,0,21,45
40,24,0,23,47
41,24,0,25,49
42,24,0,26,50
43,24,0,26,50
44,24,0,30,54
45,24,0,32,56
46,24,0,32,56
47,36,0,28,64
48,36,0,34,70
49,47,0,36,83
50,47,0,51,98
51,47,0,57,104
52,50,0,55,105
53,55,0,53,108
54,56,0,54,110
55,70,0,41,111
56,92,0,21,113
57,92,0,21,113
58,100,0,15,115
59,101,0,24,125
60,106,0,23,129
61,106,0,30,136
62,108,0,48,156
63,108,0,73,181
64,111,0,73,184
65,112,0,82,194
66,117,0,97,214
67,119,0,115,234
68,124,0,123,247
69,135,0,112,247
70,149,0,115,264
71,163,0,118,281
72,174,0,107,281
73,175,0,127,302
74,182,1,159,342
75,193,1,204,398
76,203,1,233,437
77,218,1,269,488
78,234,1,346,581
79,234,1,428,663
80,341,1,393,735
81,364,1,471,836
82,426,2,447,875
83,457,2,528,987
84,506,2,493,1001
85,506,2,661,1169
86,632,2,561,1195
87,693,2,536,1231
88,788,2,479,1269
89,812,3,513,1328
90,866,7,536,1409
91,955,7,484,1446
92,990,7,484,1481
93,1010,8,516,1534
94,1024,8,568,1600
95,1044,8,625,1677
96,1065,8,682,1755
97,1190,8,702,1900
98,1258,8,738,2004
99,1317,8,783,2108
100,1349,8,806,2163
101,1476,11,783,2270
102,1540,14,898,2452
103,1689,14,877,2580
104,1806,14,823,2643
105,1891,14,840,2745
106,1983,14,826,2823
107,2067,14,825,2906
108,2239,15,730,2984
109,2306,15,731,3052
110,2439,15,678,3132
111,2539,15,661,3215
112,2610,15,673,3298
113,2693,15,667,3375
114,2755,15,690,3460
115,2857,15,667,3539
116,2938,15,690,3643
117,3015,16,703,3734
118,3090,16,740,3846
119,3156,16,815,3987
120,3250,16,851,4117
121,3321,17,906,4244
122,3381,20,957,4358
123,3452,20,977,4449
124,3530,20,1026,4576
125,3629,21,1080,4730
126,3719,22,1096,4837
127,3830,22,1098,4950
128,3968,22,1073,5063
129,4096,22,1056,5174
130,4223,22,1059,5304
131,4337,22,1076,5435
132,4428,22,1066,5516
133,4555,22,1056,5633
134,4712,22,1019,5753
135,4822,22,1007,5851
136,4935,22,1025,5982
137,4935,22,1098,6055
