,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2362020.0,2.8975400000000002,3.4114199999999997,0.218031,0.00240564,3.62656,8.467321642724457e-07
1,2362010.0,2.2999,4.33303,0.526821,0.00581265,4.8575,5.080392985301607e-06
2,2362010.0,1.99194,4.98108,0.8968370000000001,0.00989521,5.87817,5.080392985301607e-06
3,2362010.0,1.8509900000000001,5.47928,1.31171,0.0144727,6.795139999999999,5.080392985301607e-06
4,2362010.0,1.8071099999999998,5.8985199999999995,1.7626099999999998,0.019447700000000002,7.67006,5.080392985301607e-06
5,2362010.0,1.8205,6.27963,2.24503,0.0247704,8.538969999999999,5.080392985301607e-06
6,2362010.0,1.86853,6.64623,2.75695,0.0304187,9.42337,5.080392985301607e-06
7,2362010.0,1.9384099999999997,7.0121899999999995,3.2978300000000003,0.0363865,10.3365,5.080392985301607e-06
8,2362010.0,2.02292,7.3858,3.86796,0.042676900000000004,11.2869,5.080392985301607e-06
9,2362010.0,2.11806,7.77221,4.46816,0.049299199999999994,12.2806,5.080392985301607e-06
10,2362000.0,2.22168,8.17479,5.09959,0.05626609999999999,13.3221,9.314053806441791e-06
11,2362000.0,2.33265,8.59592,5.7636199999999995,0.0635927,14.4151,9.314053806441791e-06
12,2362000.0,2.4504799999999998,9.03742,6.46181,0.0712961,15.5631,9.314053806441791e-06
13,2362000.0,2.575,9.50085,7.19583,0.07939489999999999,16.7692,9.314053806441791e-06
14,2362000.0,2.70628,9.98762,7.96747,0.08790880000000001,18.0368,9.314053806441791e-06
15,2362000.0,2.8445,10.4991,8.77864,0.09685869999999999,19.369,9.314053806441791e-06
16,2362000.0,2.98992,11.0366,9.63134,0.106267,20.7693,9.314053806441791e-06
17,2361990.0,3.14284,11.6015,10.5277,0.116157,22.2413,1.3547714627581975e-05
18,2361990.0,3.30364,12.1954,11.4699,0.126553,23.7885,1.3547714627581975e-05
19,2361990.0,3.47269,12.8196,12.4604,0.137481,25.4149,1.3547714627581975e-05
20,2361990.0,3.6504,13.4757,13.5015,0.14896800000000002,27.1245,1.3547714627581975e-05
21,2361980.0,3.83721,14.1654,14.595999999999998,0.161044,28.9216,1.7781375448611136e-05
22,2361980.0,4.03359,14.8903,15.7464,0.173737,30.8107,1.7781375448611136e-05
23,2361980.0,4.2400199999999995,15.6524,16.9557,0.18708,32.7964,1.7781375448611136e-05
24,2361980.0,4.4570099999999995,16.4535,18.227,0.201106,34.8838,1.7781375448611136e-05
25,2361970.0,4.68511,17.2956,19.5633,0.21585,37.078,2.201503626975132e-05
26,2361970.0,4.92489,18.1808,20.9679,0.23134899999999997,39.3845,2.201503626975132e-05
27,2361970.0,5.1769300000000005,19.1112,22.4445,0.24764,41.809,2.201503626975132e-05
28,2361970.0,5.44187,20.0893,23.9966,0.264766,44.3576,2.201503626975132e-05
29,2361960.0,5.72037,21.1175,25.6282,0.28276799999999996,47.0367,2.6248697090891504e-05
30,2361960.0,6.01312,22.1982,27.3433,0.301691,49.8528,2.6248697090891504e-05
31,2361950.0,6.32085,23.3343,29.1461,0.32158200000000003,52.8131,3.0482357912031688e-05
32,2361950.0,6.64433,24.5285,31.0412,0.342492,55.9249,3.0482357912031688e-05
33,2361950.0,6.984360000000001,25.7838,33.0333,0.36447199999999996,59.1959,3.0482357912031688e-05
34,2361940.0,7.34179,27.1034,35.1274,0.38757600000000003,62.6343,3.471601873306085e-05
35,2361940.0,7.717510000000001,28.4904,37.3286,0.41186300000000003,66.2487,3.471601873306085e-05
36,2361930.0,8.11245,29.9485,39.6425,0.43739300000000003,70.0481,3.894967955420103e-05
37,2361930.0,8.5276,31.4811,42.0747,0.46423000000000003,74.0418,3.894967955420103e-05
38,2361920.0,8.964,33.0922,44.6315,0.49244,78.24,4.318334037534122e-05
39,2361920.0,9.42272,34.7858,47.3191,0.522093,82.65299999999999,4.318334037534122e-05
40,2361910.0,9.904910000000001,36.566,50.1443,0.553264,87.2918,4.74170011964814e-05
41,2361900.0,10.4118,38.4373,53.114,0.5860310000000001,92.16799999999999,5.165066201751056e-05
42,2361900.0,10.9446,40.4043,56.2357,0.620474,97.2938,5.165066201751056e-05
43,2361890.0,11.5046,42.472,59.5171,0.65668,102.682,5.5884322838650746e-05
44,2361880.0,12.0933,44.6455,62.9665,0.694739,108.346,6.011798365979093e-05
45,2361880.0,12.7122,46.9301,66.5924,0.734745,114.29899999999999,6.011798365979093e-05
46,2361870.0,13.3627,49.3317,70.4039,0.776798,120.557,6.435164448082009e-05
47,2361860.0,14.0464,51.8562,74.4104,0.8210040000000001,127.13600000000001,6.858530530196028e-05
48,2361850.0,14.7652,54.5098,78.6219,0.8674719999999999,134.05100000000002,7.281896612310046e-05
49,2361840.0,15.5207,57.2992,83.04899999999999,0.916317,141.32,7.705262694424064e-05
50,2361830.0,16.3148,60.2313,87.7026,0.9676620000000001,148.961,8.12862877652698e-05
51,2361820.0,17.1496,63.3134,92.5943,1.02163,156.99200000000002,8.551994858640999e-05
52,2361810.0,18.0271,66.5532,97.7363,1.07837,165.435,8.975360940755017e-05
53,2361800.0,18.9495,69.9588,103.141,1.13801,174.31,9.398727022869036e-05
54,2361790.0,19.919,73.5385,108.823,1.2007,183.639,9.822093104971952e-05
55,2361780.0,20.9381,77.3014,114.796,1.2665899999999999,193.445,0.0001024545918708597
56,2361760.0,22.0094,81.2568,121.074,1.33586,203.753,0.00011092191351302905
57,2361750.0,23.1354,85.4145,127.67299999999999,1.40867,214.588,0.00011515557433416923
58,2361760.0,6.47253,85.2414,134.486,1.48384,221.22299999999998,0.00011092191351302905
59,2361770.0,-1.99345,79.4745,141.037,1.5561200000000002,222.03799999999998,0.00010668825269199989
60,2361770.0,-5.94262,71.395,147.024,1.62219,219.99400000000003,0.00010668825269199989
61,2361780.0,-7.450589999999999,62.7392,152.341,1.68085,216.706,0.0001024545918708597
62,2361780.0,-7.68095,54.3824,156.98,1.7320400000000002,213.03900000000002,0.0001024545918708597
63,2361790.0,-7.2799,46.7272,160.983,1.7762,209.433,9.822093104971952e-05
64,2361790.0,-6.60115,39.9205,164.41299999999998,1.81404,206.09599999999998,9.822093104971952e-05
65,2361790.0,-5.83375,33.9769,167.33700000000002,1.8463,203.113,9.822093104971952e-05
66,2361790.0,1.45981,30.4831,169.86700000000002,1.87422,202.21200000000002,9.822093104971952e-05
67,2361780.0,6.269830000000001,29.9918,172.247,1.90048,204.15,0.0001024545918708597
68,2361770.0,9.75048,31.416999999999998,174.669,1.9272,208.04,0.00010668825269199989
69,2361760.0,12.5722,34.1667,177.25799999999998,1.95577,213.422,0.00011092191351302905
70,2361750.0,15.1311,37.9343,180.107,1.9872,220.081,0.00011515557433416923
71,2361740.0,17.6685,42.5803,183.28900000000002,2.02231,227.957,0.00011938923515530941
72,2361730.0,20.3393,48.0655,186.872,2.06184,237.077,0.0001236228959764496
73,2361710.0,23.2519,54.4132,190.923,2.1065400000000003,247.535,0.00013209021761861894
74,2361690.0,26.4904,61.6885,195.512,2.15718,259.466,0.0001405575392608993
75,2361670.0,30.1282,69.9878,200.718,2.21461,273.046,0.00014902486090306866
76,2361650.0,34.2361,79.4328,206.625,2.27979,288.483,0.00015749218254534902
77,2361630.0,38.8873,90.1689,213.33,2.35377,306.02099999999996,0.00016595950418751837
78,2361600.0,44.1606,102.365,220.942,2.43776,325.938,0.0001786604866508279
79,2361570.0,50.1435,116.21700000000001,229.584,2.5331,348.555,0.00019136146911413743
80,2361530.0,56.9336,131.946,239.395,2.64135,374.236,0.00020829611239858714
81,2361490.0,64.641,149.804,250.53400000000002,2.76425,403.39300000000003,0.00022523075568303685
82,2361440.0,73.3905,170.08,263.18,2.9037900000000003,436.49699999999996,0.00024639905978862675
83,2361390.0,83.3231,193.101,277.538,3.06221,474.082,0.0002675673638941056
84,2361330.0,94.5991,219.236,293.84,3.24207,516.753,0.0002929693288208357
85,2361260.0,107.4,248.908,312.348,3.4462699999999997,565.1990000000001,0.00032260495456859495
86,2361180.0,121.932,282.595,333.36,3.67812,620.2,0.0003564742411374944
87,2361090.0,138.429,320.839,357.217,3.9413400000000003,682.6419999999999,0.00039457718852742296
88,2360990.0,157.156,364.255,384.30199999999996,4.2401800000000005,753.5319999999999,0.00043691379673860276
89,2360870.0,178.41400000000002,413.54400000000004,415.05199999999996,4.57946,834.012,0.00048771772659184087
90,2360740.0,202.544,469.49699999999996,449.963,4.96464,925.378,0.0005427553172663302
91,2360590.0,229.93400000000003,533.016,489.597,5.40194,1029.1,0.0006062602295829889
92,2360670.0,72.0996,557.582,533.3,5.88414,1097.09,0.0005723909430140894
93,2360580.0,95.8651,423.718,708.5239999999999,6.30929,1138.99,0.000610493890404018
94,2360500.0,94.7448,334.006,844.2260000000001,6.63855,1185.31,0.0006443631769729175
95,2360430.0,84.9065,268.89799999999997,952.385,6.90097,1228.57,0.0006739988027206767
96,2360380.0,72.9554,219.00599999999997,1040.0,7.11355,1266.45,0.0006951671068262666
97,2360330.0,61.4455,179.483,1111.59,7.28725,1298.63,0.0007163354109318565
98,2360290.0,51.2391,147.577,1170.36,7.42985,1325.59,0.0007332700542163062
99,2360320.0,9.80529,154.282,1177.2,7.563219999999999,1339.07,0.0007205690717528856
100,2360300.0,22.4849,155.15,1184.11,7.69802,1347.05,0.000729036393395166
101,2360280.0,31.3549,160.954,1191.19,7.83586,1360.11,0.0007375037150373354
102,2360250.0,38.0884,170.112,1198.6,7.98032,1376.85,0.0007502046975007559
103,2360220.0,43.6833,181.725,1206.47,8.13388,1396.52,0.0007629056799640654
104,2360190.0,48.7391,195.3,1214.92,8.29848,1418.73,0.000775606662427375
105,2360160.0,53.6213,210.58900000000003,1224.01,8.47569,1443.31,0.0007883076448906845
106,2360130.0,58.5573,227.49099999999999,1233.82,8.66697,1470.24,0.000801008627353994
107,2360090.0,63.6947,245.998,1244.42,8.87372,1499.58,0.0008179432706384437
108,2360050.0,69.1345,266.155,1255.89,9.09735,1531.46,0.0008348779139228935
109,2360010.0,74.9517,288.05,1268.31,9.33935,1566.04,0.0008518125572073432
110,2359960.0,81.2067,311.797,1281.74,9.601280000000001,1603.51,0.0008729808613129331
111,2359910.0,87.9531,337.531,1296.29,9.88482,1644.1,0.0008941491654184119
112,2359850.0,95.2418,365.406,1312.03,10.1918,1688.07,0.000919551130345142
113,2359790.0,103.12299999999999,395.593,1329.07,10.5241,1735.67,0.0009449530952717611
114,2359730.0,111.65100000000001,428.278,1347.53,10.8838,1787.21,0.0009703550601983801
115,2359630.0,140.524,443.99699999999996,1392.23,11.2641,1848.14,0.00101269166840956
116,2359510.0,163.08,469.723,1439.09,11.6627,1921.24,0.001063495598262798
117,2359390.0,182.65,502.426,1488.96,12.0871,2004.33,0.0011142995281161472
118,2359260.0,201.13099999999997,540.531,1542.48,12.5424,2096.5,0.0011693371187906365
119,2359120.0,219.63,583.288,1600.16,13.0331,2197.51,0.001228608370286155
120,2358970.0,238.81400000000002,630.41,1662.45,13.562999999999999,2307.55,0.0012921132826028137
121,2358800.0,259.10900000000004,681.885,1729.8,14.136,2427.05,0.0013640855165616417
122,2358630.0,280.814,737.863,1802.67,14.755999999999998,2556.62,0.0014360577505205807
123,2358430.0,304.159,798.5989999999999,1881.53,15.4269,2697.0,0.0015207309669427183
124,2358220.0,329.342,864.419,1966.89,16.153,2849.02,0.001609637844185996
125,2358000.0,356.54900000000004,935.702,2059.28,16.9391,3013.62,0.0017027783822504139
126,2357750.0,385.964,1012.88,2159.3,17.79,3191.8,0.0018086199027782524
127,2357480.0,417.779,1096.42,2267.56,18.711,3384.67,0.0019229287449481491
128,2357200.0,452.195,1186.83,2384.75,19.708,3593.44,0.002041471247939297
129,2357090.0,336.536,1247.25,2510.3,20.7761,3779.92,0.002088041516971506
130,2356980.0,269.21299999999997,1261.13,2639.44,21.8748,3923.72,0.002134611786003715
131,2356870.0,228.92700000000002,1249.74,2768.6,22.9736,4042.39,0.002181182055035924
132,2356770.0,203.804,1224.9,2895.82,24.055999999999997,4145.74,0.0022235186632469928
133,2356680.0,187.222,1193.19,3020.11,25.1133,4239.29,0.0022616216106370324
134,2356580.0,175.488,1158.26,3140.95,26.1414,4326.17,0.002303958218848101
135,2356490.0,166.53900000000002,1122.11,3258.12,27.1382,4408.15,0.0023420611662380297
136,2356400.0,159.225,1085.85,3371.57,28.1034,4486.27,0.0023801641136280693
137,2356320.0,152.901,1050.07,3481.31,29.037,4561.13,0.0024140334001969688
138,2356240.0,147.204,1015.08,3587.42,29.9397,4633.12,0.002447902686765868
139,2356160.0,141.93,981.039,3689.97,30.8122,4702.49,0.0024817719733346566
140,2356080.0,136.963,948.02,3789.09,31.6554,4769.4,0.002515641259903556
141,2356010.0,132.236,916.043,3884.86,32.4702,4833.99,0.0025452768856513153
142,2355940.0,127.708,885.107,3977.4,33.2575,4896.36,0.0025749125113991855
143,2355870.0,123.35600000000001,855.192,4066.81,34.0182,4956.59,0.0026045481371469448
144,2355800.0,119.163,826.2760000000001,4153.2,34.7532,5014.78,0.002634183762894704
145,2355740.0,115.12,798.329,4236.67,35.4633,5070.99,0.002659585727821323
146,2355630.0,146.111,779.9730000000001,4317.62,36.1519,5134.43,0.002706155996853532
147,2355520.0,164.516,774.3919999999999,4397.4,36.8306,5209.39,0.002752726265885741
148,2355410.0,175.922,775.9939999999999,4477.0,37.5079,5291.33,0.00279929653491795
149,2355300.0,183.442,781.6610000000001,4556.99,38.1884,5377.7,0.002845866803950159
150,2355180.0,188.813,789.66,4637.7,38.875,5467.12,0.002896670733803508
151,2355070.0,193.002,799.0219999999999,4719.3,39.5693,5558.8,0.002943241002835717
152,2354950.0,196.547,809.21,4801.91,40.2721,5652.32,0.002994044932689066
153,2354830.0,201.548,818.1189999999999,4887.87,40.9832,5747.92,0.0030448488625423042
154,2354710.0,205.59900000000002,828.165,4974.84,41.7026,5845.68,0.0030956527923956534
155,2354580.0,209.14,838.9119999999999,5062.91,42.4312,5945.24,0.0031506903830701427
156,2354450.0,212.41299999999998,850.1160000000001,5152.14,43.1693,6046.43,0.003205727973744521
157,2354330.0,215.555,861.645,5242.57,43.9174,6149.15,0.00325653190359787
158,2354200.0,218.642,873.424,5334.23,44.6757,6253.36,0.0033115694942722484
159,2354060.0,221.715,885.415,5427.15,45.4443,6359.06,0.003370840745767767
160,2353930.0,224.8,897.595,5521.35,46.2235,6466.23,0.0034258783364422563
161,2353790.0,227.908,909.954,5616.84,47.0135,6574.88,0.0034851495879377747
162,2353660.0,231.048,922.4860000000001,5713.65,47.8143,6685.04,0.003540187178612264
163,2353520.0,234.22400000000002,935.189,5811.79,48.6262,6796.71,0.0035994584301077825
164,2353380.0,237.44,948.064,5911.28,49.4492,6909.92,0.003658729681603301
165,2353230.0,240.695,961.1110000000001,6012.14,50.2836,7024.68,0.0037222345939199597
166,2353090.0,243.993,974.331,6114.39,51.1294,7141.01,0.003781505845415478
167,2352940.0,247.333,987.727,6218.05,51.9869,7258.93,0.003845010757732137
168,2352790.0,250.71599999999998,1001.3,6323.13,52.8562,7378.47,0.0039085156700487955
169,2352640.0,254.144,1015.05,6429.65,53.7374,7499.64,0.003972020582365454
170,2352490.0,257.616,1028.98,6537.64,54.6307,7622.47,0.004035525494682113
171,2352330.0,261.133,1043.1,6647.11,55.5362,7746.98,0.004103264067819912
172,2352170.0,264.69599999999997,1057.4,6758.08,56.4542,7873.18,0.0041710026409575995
