,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2352010.0,268.306,1071.89,6870.57,57.3848,8001.11,0.004238741214095398
1,2351850.0,271.961,1086.57,6984.6,58.3281,8130.78,0.004306479787233197
2,2351690.0,275.665,1101.44,7100.19,59.2843,8262.22,0.004374218360370885
3,2351520.0,279.416,1116.5,7217.37,60.2536,8395.45,0.004446190594329824
4,2351350.0,283.215,1131.77,7336.14,61.2362,8530.48,0.004518162828288652
5,2351180.0,287.064,1147.23,7456.54,62.2322,8667.36,0.00459013506224748
6,2351010.0,290.962,1162.89,7578.58,63.2418,8806.09,0.004662107296206419
7,2350830.0,294.91,1178.75,7702.29,64.2651,8946.71,0.004738313190986387
8,2350660.0,298.909,1194.83,7827.69,65.3024,9089.23,0.004810285424945215
9,2350480.0,302.959,1211.1,7954.8,66.3539,9233.69,0.004886491319725184
10,2350290.0,307.06,1227.59,8083.63,67.4197,9380.1,0.004966930875326292
11,2350110.0,311.215,1244.3,8214.22,68.5,9528.5,0.00504313677010626
12,2349920.0,315.422,1261.22,8346.59,69.595,9678.9,0.0051235763257073685
13,2349730.0,319.682,1278.35,8480.75,70.7048,9831.33,0.005204015881308477
14,2349540.0,323.997,1295.71,8616.74,71.8298,9985.82,0.005284455436909585
15,2349340.0,328.366,1313.29,8754.58,72.97,10142.4,0.005369128653331723
16,2349140.0,332.791,1331.1,8894.28,74.1257,10301.1,0.005453801869753971
17,2348940.0,337.27099999999996,1349.13,9035.88,75.297,10461.9,0.00553847508617622
18,2348740.0,341.80800000000005,1367.4,9179.39,76.4842,10624.9,0.0056231483025983575
19,2348530.0,346.402,1385.89,9324.85,77.6875,10790.1,0.005712055179841635
20,2348320.0,351.05400000000003,1404.63,9472.27,78.907,10957.5,0.005800962057085024
21,2348110.0,355.764,1423.6,9621.69,80.1431,11127.1,0.005889868934328302
22,2347900.0,360.533,1442.81,9773.12,81.3958,11299.0,0.0059787758115715794
23,2347680.0,365.36199999999997,1462.27,9926.59,82.6654,11473.3,0.006071916349635997
24,2347460.0,370.25,1481.97,10082.1,83.9521,11649.8,0.006165056887700415
25,2347240.0,375.2,1501.92,10239.8,85.2561,11828.7,0.006258197425764833
26,2347010.0,380.211,1522.12,10399.5,86.5777,12010.0,0.006355571624650391
27,2346780.0,385.284,1542.58,10561.4,87.9171,12193.8,0.006452945823535949
28,2346550.0,390.41900000000004,1563.29,10725.5,89.2745,12379.9,0.0065503200224215075
29,2346310.0,395.61800000000005,1584.26,10891.8,90.65,12568.6,0.006651927882128095
30,2346080.0,400.881,1605.5,11060.3,92.0441,12759.8,0.006749302081013653
31,2345830.0,406.209,1627.0,11231.1,93.4568,12953.5,0.00685514360154138
32,2345590.0,411.602,1648.77,11404.2,94.8884,13149.8,0.0069567514612480785
33,2345340.0,417.061,1670.81,11579.5,96.3391,13348.7,0.007062592981775806
34,2345090.0,422.586,1693.12,11757.3,97.8093,13550.2,0.007168434502303533
35,2344840.0,428.17800000000005,1715.71,11937.3,99.29899999999999,13754.4,0.007274276022831261
36,2344580.0,433.838,1738.57,12119.8,100.809,13961.3,0.0073843512041801285
37,2344320.0,439.56699999999995,1761.72,12304.8,102.338,14170.9,0.007494426385528996
38,2344050.0,445.365,1785.16,12492.1,103.88799999999999,14383.3,0.007608735227699004
