,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,2,2
5,0,0,1,1
6,0,0,1,1
7,0,0,1,1
8,0,0,1,1
9,0,0,1,1
10,0,0,1,1
11,0,0,1,1
12,0,1,0,1
13,0,1,0,1
14,0,1,0,1
15,0,1,0,1
16,0,1,3,4
17,0,1,3,4
18,0,1,4,5
19,0,1,29,30
20,0,1,35,36
21,0,1,83,84
22,0,1,84,85
23,0,1,90,91
24,0,1,114,115
25,0,1,114,115
26,0,1,114,115
27,0,1,120,121
28,0,1,120,121
29,0,1,120,121
30,0,1,120,121
31,9,1,112,122
32,116,1,5,122
33,116,3,3,122
34,119,3,1,123
35,119,3,2,124
36,121,3,1,125
37,121,3,5,129
38,121,3,5,129
39,121,3,6,130
40,121,3,8,132
41,122,3,7,132
42,122,3,7,132
43,122,3,8,133
44,125,3,5,133
45,125,3,8,136
46,125,3,9,137
47,126,3,8,137
48,126,3,9,138
49,131,3,6,140
50,131,3,9,143
51,131,3,11,145
52,131,3,14,148
53,132,3,13,148
54,132,3,16,151
55,132,3,17,152
56,132,3,17,152
57,136,3,26,165
58,136,3,27,166
59,138,3,25,166
60,138,3,25,166
61,144,3,21,168
62,146,3,20,169
63,146,3,22,171
64,147,3,21,171
65,155,3,17,175
66,158,3,15,176
67,159,3,14,176
68,163,3,15,181
69,165,3,23,191
70,168,3,24,195
71,168,3,25,196
72,170,3,25,198
73,170,3,34,207
74,170,3,35,208
75,170,3,43,216
76,170,4,45,219
77,174,4,42,220
78,174,5,45,224
79,186,5,38,229
80,191,5,44,240
81,193,5,44,242
82,193,5,51,249
83,193,5,63,261
84,210,6,47,263
85,218,7,46,271
86,221,8,49,278
87,221,8,57,286
88,232,8,47,287
89,232,8,48,288
90,233,8,48,289
91,241,8,42,291
92,253,8,31,292
93,261,9,27,297
94,265,10,28,303
95,268,10,29,307
96,268,10,32,310
97,280,12,20,312
98,288,12,22,322
99,289,13,21,323
100,292,13,32,337
101,299,13,35,347
102,299,13,51,363
103,301,15,62,378
104,318,16,97,431
105,318,16,122,456
106,326,18,146,490
107,328,18,151,497
108,338,18,149,505
109,338,18,238,594
110,347,18,259,624
111,373,18,267,658
112,458,19,191,668
113,460,22,187,669
114,501,23,199,723
115,501,23,270,794
116,550,23,271,844
117,602,24,252,878
118,626,24,265,915
119,644,25,259,928
120,672,27,269,968
121,695,28,249,972
122,695,28,284,1007
123,695,28,368,1091
124,805,29,327,1161
125,862,30,305,1197
126,884,30,301,1215
127,899,30,325,1254
128,928,31,315,1274
129,928,32,372,1332
130,928,33,399,1360
131,1152,39,189,1380
132,1187,43,293,1523
133,1210,44,418,1672
134,1256,47,500,1803
135,1306,47,660,2013
136,1347,49,799,2195
137,1403,49,758,2210
138,1438,49,859,2346
139,1495,50,877,2422
140,1593,51,796,2440
141,1606,59,801,2466
142,1674,60,802,2536
143,1892,62,690,2644
144,1892,65,800,2757
145,2045,66,832,2943
146,2127,67,930,3124
147,2236,70,944,3250
148,2289,72,1062,3423
149,2361,75,1162,3598
150,2361,78,1350,3789
151,2526,85,1296,3907
152,2661,86,1430,4177
153,2672,91,1394,4157
154,2812,99,1443,4354
155,2999,100,1405,4504
156,3003,102,1537,4642
157,3385,104,1263,4752
158,3570,105,1206,4881
159,3733,106,1146,4985
160,3887,106,1092,5085
161,4045,112,1023,5180
162,4113,118,1092,5323
163,4206,124,1107,5437
164,4432,125,953,5510
165,4524,127,1008,5659
166,4664,129,885,5678
167,4664,134,969,5767
168,4928,141,763,5832
169,4983,145,775,5903
170,4983,145,775,5903
