,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2489090.0,1.6935099999999998,1.38947,0.114501,0.00405402,1.50864,8.035058567390507e-07
1,2489090.0,1.9853599999999998,1.81605,0.267992,0.00948856,2.09508,8.035058567390507e-07
2,2489090.0,2.38023,2.3067,0.46533599999999997,0.0164757,2.79133,8.035058567390507e-07
3,2489080.0,2.8901,2.88842,0.713968,0.025278799999999997,3.6321199999999996,4.821035140545327e-06
4,2489080.0,3.5338800000000004,3.5903300000000002,1.02401,0.036256000000000004,4.6571,4.821035140545327e-06
5,2489080.0,4.33754,4.44565,1.40854,0.0498711,5.91314,4.821035140545327e-06
6,2489080.0,5.3349,5.493519999999999,1.8841400000000001,0.0667102,7.456639999999999,4.821035140545327e-06
7,2489070.0,6.568810000000001,6.78103,2.47149,0.0875057,9.35624,8.83856442424058e-06
8,2489070.0,8.09287,8.36549,3.19625,0.113167,11.696,8.83856442424058e-06
9,2489060.0,9.97367,10.317,4.0902,0.144818,14.5791,1.2856093708046856e-05
10,2489060.0,12.2936,12.7217,5.1926,0.18385,18.1326,1.2856093708046856e-05
11,2489050.0,15.1546,15.6854,6.55187,0.23197600000000002,22.513,1.6873622991853132e-05
12,2489040.0,12.5048,18.382,8.197280000000001,0.290234,26.9047,2.0891152275659408e-05
13,2489040.0,10.762,20.1641,10.0554,0.356022,30.6052,2.0891152275659408e-05
14,2489040.0,9.61647,21.3441,12.0542,0.426792,33.8511,2.0891152275659408e-05
15,2489040.0,8.86422,22.1277,14.1463,0.5008640000000001,36.7984,2.0891152275659408e-05
16,2489030.0,14.5768,23.6115,16.331,0.578217,40.5625,2.4908681559354662e-05
17,2489010.0,20.3713,26.6957,18.7356,0.663355,46.155,3.2943740126967214e-05
18,2489000.0,26.6937,31.3236,21.5102,0.761591,53.676,3.696126941066247e-05
19,2488980.0,33.9479,37.5723,24.8057,0.878273,63.3601,4.499632797827502e-05
20,2488950.0,42.5354,45.6333,28.7863,1.01921,75.5701,5.7048915829582825e-05
21,2488920.0,52.8883,55.806000000000004,33.6397,1.19105,90.8012,6.910150368089063e-05
22,2488880.0,65.4974,68.5018,39.5875,1.40164,109.696,8.517162081589369e-05
23,2488840.0,80.9403,84.255,46.8966,1.6604299999999999,133.066,0.00010124173795100777
24,2488780.0,99.9111,103.742,55.8921,1.97892,161.928,0.00012534691365362338
25,2488710.0,123.25299999999999,127.81,66.9718,2.37121,197.543,0.00015346961864004527
26,2488630.0,151.999,157.509,80.6242,2.85459,241.46900000000002,0.0001856098529101624
27,2488520.0,187.41299999999998,194.139,97.4504,3.45034,295.635,0.00022980267503169838
28,2488390.0,231.054,239.30599999999998,118.191,4.18467,362.416,0.0002820305557207359
29,2488230.0,284.836,294.992,143.757,5.0898699999999995,444.745,0.0003463110242610812
30,2488030.0,351.119,363.639,175.27200000000002,6.20571,546.235,0.00042666160993642954
31,2488240.0,63.5375,386.597,212.08,7.508939999999999,606.385,0.0003422934949772749
32,2488370.0,-63.7803,346.909,247.655,8.7685,603.124,0.0002900656142882374
33,2488450.0,-108.446,286.29900000000004,278.19,9.84963,573.987,0.00025792538001812026
34,2488510.0,-113.16,224.73,302.75,10.7192,537.832,0.00023382020431550465
35,2488540.0,-100.711,170.601,321.70599999999996,11.3903,503.37,0.00022176761646419685
36,2488560.0,-82.7304,126.445,335.926,11.8938,473.995,0.0002137325578965843
37,2488570.0,-64.7459,92.0453,346.37199999999996,12.2637,450.469,0.00020971502861288904
38,2488570.0,-39.0132,67.8012,353.983,12.5332,434.18800000000005,0.00020971502861288904
39,2488560.0,-21.8498,52.2918,359.708,12.7359,424.661,0.0002137325578965843
40,2488560.0,-10.3131,42.5599,364.235,12.8961,419.653,0.0002137325578965843
41,2488550.0,-2.4653400000000003,36.6609,368.022,13.0302,417.7,0.00021775008718039057
42,2488550.0,2.9699,33.3166,371.371,13.1488,417.841,0.00021775008718039057
43,2488540.0,6.83387,31.6875,374.486,13.2591,419.449,0.00022176761646419685
44,2488530.0,9.68137,31.2231,377.50199999999995,13.3659,422.11800000000005,0.0002257851457478921
45,2488530.0,11.8787,31.5633,380.515,13.4726,425.584,0.0002257851457478921
46,2488520.0,13.6682,32.4732,383.59,13.5814,429.68300000000005,0.00022980267503169838
47,2488510.0,15.2106,33.8011,386.772,13.6941,434.311,0.00023382020431550465
48,2488500.0,16.613,35.4493,390.098,13.8119,439.408,0.0002378377335991999
49,2488500.0,17.9474,37.3568,393.596,13.9357,444.941,0.0002378377335991999
50,2488490.0,19.2627,39.4861,397.287,14.0664,450.89599999999996,0.00024185526288300618
51,2488480.0,20.5926,41.8159,401.19300000000004,14.2047,457.275,0.00024587279216681246
52,2488470.0,21.961,44.3355,405.332,14.3512,464.084,0.0002498903214505077
53,2488460.0,23.3854,47.0414,409.722,14.5067,471.34,0.000253907850734314
54,2488440.0,24.8794,49.9352,414.381,14.6716,479.06300000000005,0.0002619429093018155
55,2488430.0,26.4539,53.0221,419.32800000000003,14.8468,487.277,0.0002659604385856218
56,2488420.0,28.118000000000002,56.3096,424.58099999999996,15.0327,496.00800000000004,0.00026997796786942807
57,2488420.0,20.991999999999997,58.3763,430.11300000000006,15.2286,503.78,0.00026997796786942807
58,2488410.0,16.1482,58.4493,435.74199999999996,15.4279,509.666,0.0002739954971531233
59,2488410.0,12.8167,57.2871,441.314,15.6252,514.262,0.0002739954971531233
60,2488410.0,10.4901,55.3843,446.736,15.8172,517.966,0.0002739954971531233
61,2488410.0,8.83352,53.0625,451.95300000000003,16.0019,521.0409999999999,0.0002739954971531233
62,2488400.0,7.625769999999999,50.5294,456.935,16.1783,523.663,0.0002780130264369296
63,2488400.0,6.72076,47.9178,461.67,16.3459,525.95,0.0002780130264369296
64,2488400.0,6.021809999999999,45.3115,466.153,16.5046,527.9830000000001,0.0002780130264369296
65,2488400.0,5.464840000000001,42.7625,470.38699999999994,16.6546,529.817,0.0002780130264369296
66,2488400.0,5.00723,40.3015,474.381,16.796,531.49,0.0002780130264369296
67,2488390.0,4.62058,37.9458,478.14300000000003,16.9292,533.028,0.0002820305557207359
68,2488390.0,9.18326,36.491,481.709,17.0555,535.28,0.0002820305557207359
69,2488380.0,12.6392,36.3821,485.204,17.1792,538.8009999999999,0.00028604808500454215
70,2488370.0,15.4,37.2216,488.735,17.3042,543.306,0.0002900656142882374
71,2488360.0,17.7391,38.7526,492.38199999999995,17.4333,548.62,0.0002940831435720437
