,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2480280.0,235.19299999999998,834.413,5496.29,152.881,6484.33,0.003540246804858982
1,2480180.0,225.892,801.4810000000001,5599.84,156.032,6558.08,0.0035804220976967116
2,2480090.0,216.96099999999998,769.8439999999999,5699.32,159.058,6628.91,0.003616579861250635
3,2480010.0,208.38400000000001,739.452,5794.86,161.965,6696.94,0.003648720095520752
4,2479920.0,200.14700000000002,710.257,5886.63,164.757,6762.28,0.0036848778590746756
5,2479840.0,192.235,682.211,5974.78,167.43900000000002,6825.04,0.0037170180933449037
6,2479770.0,184.637,655.27,6059.45,170.015,6885.32,0.0037451407983313256
7,2479690.0,177.338,629.391,6140.78,172.49,6943.22,0.0037772810326014428
8,2479620.0,170.328,604.5319999999999,6218.89,174.86599999999999,6998.83,0.0038054037375878647
9,2479560.0,163.595,580.654,6293.91,177.149,7052.24,0.0038295089132904803
10,2479490.0,157.128,557.717,6365.98,179.34099999999998,7103.53,0.003857631618276902
11,2479430.0,150.916,535.684,6435.2,181.447,7152.8,0.0038817367939795178
12,2479370.0,144.95,514.521,6501.68,183.47,7200.13,0.0039058419696821334
13,2479310.0,139.22,494.19199999999995,6565.53,185.41299999999998,7245.58,0.003929947145384749
14,2479250.0,133.715,474.666,6626.87,187.27900000000002,7289.23,0.003954052321087365
15,2479200.0,128.429,455.91,6685.78,189.071,7331.16,0.003974139967506174
16,2479150.0,123.351,437.895,6742.36,190.793,7371.43,0.003994227613925094
17,2479100.0,118.47399999999999,420.59,6796.7,192.446,7410.11,0.004014315260343904
18,2479050.0,113.789,403.969,6848.9,194.03400000000002,7447.26,0.004034402906762824
19,2479010.0,109.29,388.00300000000004,6899.04,195.55900000000003,7482.94,0.004050473023897827
20,2478970.0,104.969,372.668,6947.19,197.024,7517.21,0.004066543141032941
21,2478920.0,100.818,357.93800000000005,6993.44,198.43200000000002,7550.13,0.0040866307874518615
22,2478880.0,96.8311,343.79,7037.86,199.783,7581.74,0.0041027009045868645
23,2478840.0,93.00200000000001,330.20099999999996,7080.53,201.081,7612.1,0.004118771021721979
24,2478810.0,89.3242,317.149,7121.51,202.328,7641.27,0.004130823609573286
25,2478770.0,85.7918,304.611,7160.87,203.52599999999998,7669.28,0.0041468937267084005
26,2478740.0,82.399,292.569,7198.67,204.676,7696.18,0.004158946314559708
27,2478710.0,79.1404,281.003,7234.98,205.78,7722.02,0.004170998902411016
28,2478670.0,76.0105,269.894,7269.86,206.84099999999998,7746.83,0.00418706901954613
29,2478640.0,73.0044,259.223,7303.35,207.861,7770.67,0.004199121607397438
30,2478610.0,70.1171,248.97400000000002,7335.52,208.83900000000003,7793.56,0.004211174195248746
31,2478590.0,67.344,239.13099999999997,7366.42,209.77900000000002,7815.54,0.004219209253816247
32,2478560.0,64.6805,229.676,7396.1,210.68200000000002,7836.66,0.004231261841667555
33,2478530.0,62.1223,220.59400000000002,7424.6,211.55,7856.94,0.004243314429518863
34,2478510.0,59.6652,211.872,7451.98,212.38299999999998,7876.42,0.0042513494880863645
35,2478490.0,57.3053,203.49400000000003,7478.28,213.18200000000002,7895.13,0.004259384546653977
36,2478460.0,55.0388,195.447,7503.53,213.951,7913.1,0.004271437134505285
37,2478440.0,52.8618,187.718,7527.79,214.68900000000002,7930.36,0.004279472193072786
38,2478420.0,50.7709,180.295,7551.08,215.398,7946.93,0.004287507251640399
39,2478400.0,48.7627,173.165,7573.46,216.078,7962.85,0.0042955423102079004
40,2478380.0,46.8339,166.317,7594.95,216.732,7978.14,0.004303577368775402
41,2478360.0,44.9814,159.74,7615.59,217.36,7992.83,0.0043116124273430145
42,2478340.0,43.2022,153.422,7635.41,217.963,8006.93,0.004319647485910516
43,2478330.0,41.4933,147.355,7654.45,218.543,8020.48,0.004323665015194322
44,2478310.0,39.852,141.52700000000002,7672.74,219.09900000000002,8033.49,0.004331700073761824
45,2478290.0,38.2756,135.93,7690.31,219.63299999999998,8045.99,0.004339735132329325
46,2478280.0,36.7615,130.554,7707.18,220.14700000000002,8057.99,0.004343752661613132
47,2478260.0,35.3073,125.39,7723.38,220.64,8069.52,0.004351787720180744
48,2478250.0,33.9107,120.431,7738.94,221.113,8080.59,0.0043558052494644395
49,2478240.0,32.5692,115.66799999999999,7753.89,221.56799999999998,8091.22,0.004359822778748246
50,2478220.0,31.2809,111.09299999999999,7768.24,222.005,8101.43,0.004367857837315747
51,2478210.0,30.0434,106.699,7782.03,222.424,8111.24,0.0043718753665995536
52,2478200.0,28.855,102.478,7795.27,222.827,8120.66,0.00437589289588336
53,2478190.0,27.7135,98.4249,7807.99,223.21400000000003,8129.71,0.004379910425167055
54,2478180.0,26.6172,94.5318,7820.2,223.585,8138.4,0.004383927954450861
55,2478170.0,25.5642,90.7926,7831.93,223.942,8146.75,0.004387945483734668
56,2478160.0,24.5529,87.2013,7843.2,224.285,8154.76,0.004391963013018363
57,2478150.0,23.5816,83.75200000000001,7854.02,224.614,8162.46,0.004395980542302169
58,2478140.0,22.6487,80.4392,7864.42,224.93099999999998,8169.86,0.0043999980715859754
59,2478130.0,21.7527,77.2573,7874.4,225.234,8176.96,0.004404015600869671
60,2478120.0,20.8922,74.2013,7883.99,225.52599999999998,8183.78,0.004408033130153477
61,2478110.0,20.0657,71.2661,7893.2,225.80599999999998,8190.33,0.004412050659437283
62,2478100.0,19.2719,68.447,7902.04,226.075,8196.62,0.0044160681887209785
63,2478090.0,18.5095,65.7394,7910.54,226.334,8202.66,0.004420085718004785
64,2478090.0,17.7772,63.1389,7918.69,226.582,8208.47,0.004420085718004785
65,2478080.0,17.0739,60.6413,7926.53,226.82,8214.04,0.004424103247288591
66,2478070.0,16.3985,58.2424,7934.06,227.049,8219.4,0.004428120776572286
67,2478070.0,15.7497,55.9384,7941.28,227.269,8224.54,0.004428120776572286
68,2478060.0,15.1266,53.7255,7948.23,227.481,8229.48,0.004432138305856093
69,2478050.0,14.5282,51.6002,7954.89,227.683,8234.22,0.004436155835139899
70,2478050.0,13.9534,49.5589,7961.3,227.878,8238.78,0.004436155835139899
71,2478040.0,13.4014,47.5984,7967.45,228.065,8243.15,0.004440173364423705
72,2478040.0,12.8712,45.7154,7973.36,228.245,8247.35,0.004440173364423705
73,2478030.0,12.362,43.9069,7979.03,228.418,8251.39,0.0044441908937074
74,2478030.0,11.8729,42.17,7984.48,228.584,8255.27,0.0044441908937074
75,2478020.0,11.4032,40.5017,7989.71,228.743,8258.99,0.004448208422991207
76,2478020.0,10.9521,38.8995,7994.74,228.896,8262.56,0.004448208422991207
77,2478010.0,10.5188,37.3606,7999.57,229.043,8266.0,0.004452225952275013
78,2478010.0,10.1026,35.8825,8004.2,229.18400000000003,8269.3,0.004452225952275013
79,2478010.0,9.702960000000001,34.463,8008.66,229.31900000000002,8272.46,0.004452225952275013
80,2478000.0,9.31908,33.0996,8012.93,229.449,8275.51,0.004456243481558708
81,2478000.0,8.950389999999999,31.7901,8017.04,229.574,8278.43,0.004456243481558708
82,2477990.0,8.59629,30.5325,8020.99,229.69400000000002,8281.24,0.0044602610108425145
83,2477990.0,8.25619,29.3246,8024.77,229.81,8283.93,0.0044602610108425145
84,2477990.0,7.92955,28.1644,8028.41,229.92,8286.52,0.0044602610108425145
85,2477990.0,7.61583,27.0502,8031.91,230.02700000000002,8289.01,0.0044602610108425145
86,2477980.0,7.31453,25.98,8035.27,230.12900000000002,8291.39,0.004464278540126321
87,2477980.0,7.0251399999999995,24.9522,8038.49,230.227,8293.69,0.004464278540126321
88,2477980.0,6.7472,23.9651,8041.59,230.321,8295.89,0.004464278540126321
89,2477970.0,6.4802599999999995,23.0169,8044.56,230.412,8298.01,0.004468296069410016
90,2477970.0,6.22388,22.1063,8047.42,230.498,8300.04,0.004468296069410016
