,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2416250.0,373.163,2067.75,4567.78,165.90099999999998,6803.85,0.003385498944506349
1,2416040.0,381.876,2099.31,4705.31,170.493,6977.57,0.003472116242063228
2,2415830.0,389.671,2132.45,4844.97,175.15599999999998,7155.07,0.003558733539619996
3,2415620.0,396.966,2166.74,4986.87,179.893,7336.03,0.003645350837176764
4,2415400.0,404.009,2201.95,5131.06,184.707,7520.27,0.003736092767950616
5,2415180.0,410.94599999999997,2237.94,5277.6,189.6,7707.73,0.0038268346987244684
6,2414950.0,417.866,2274.64,5426.54,194.572,7898.37,0.003921701262715183
7,2414730.0,424.819,2312.0,5577.92,199.627,8092.2,0.004012443193489035
8,2414490.0,431.838,2350.0,5731.79,204.764,8289.25,0.004111434390696833
9,2414260.0,438.941,2388.64,5888.2,209.986,8489.54,0.004206300954687658
10,2414020.0,446.14,2427.91,6047.17,215.293,8693.12,0.004305292151895346
11,2413770.0,453.444,2467.81,6208.75,220.688,8900.04,0.004408407982320117
12,2413530.0,460.856,2508.35,6372.99,226.172,9110.34,0.004507399179527916
13,2413270.0,468.38199999999995,2549.54,6539.93,231.745,9324.08,0.004614639643169771
14,2413020.0,476.024,2591.39,6709.61,237.41,9541.31,0.004717755473594543
15,2412760.0,483.785,2633.9,6882.08,243.168,9762.07,0.004824995937236287
16,2412490.0,491.666,2677.09,7057.37,249.021,9986.44,0.004936361034095005
17,2412220.0,499.67,2720.96,7235.53,254.96900000000002,10214.5,0.0050477261309538335
18,2411950.0,507.798,2765.52,7416.62,261.015,10446.2,0.005159091227812551
19,2411670.0,516.052,2810.79,7600.67,267.16,10681.7,0.005274580957888353
20,2411390.0,524.435,2856.77,7787.73,273.405,10921.0,0.005390070687964044
21,2411100.0,532.948,2903.48,7977.85,279.753,11164.2,0.0055096850512568185
22,2410810.0,541.592,2950.92,8171.08,286.204,11411.4,0.005629299414549593
23,2410520.0,550.37,2999.1,8367.46,292.76099999999997,11662.6,0.005748913777842257
24,2410220.0,559.284,3048.04,8567.05,299.42400000000004,11917.8,0.005872652774352005
25,2409910.0,568.335,3097.75,8769.9,306.197,12177.2,0.006000516404078726
26,2409600.0,577.525,3148.24,8976.05,313.08,12440.7,0.006128380033805447
27,2409290.0,586.856,3199.51,9185.56,320.075,12708.5,0.006256243663532168
28,2408960.0,596.331,3251.59,9398.48,327.183,12980.7,0.006392356559692947
29,2408640.0,605.95,3304.47,9614.87,334.408,13257.2,0.006524344822636641
30,2408310.0,615.717,3358.18,9834.77,341.75,13538.2,0.006660457718797308
31,2407970.0,625.632,3412.72,10058.3,349.211,13823.8,0.006800695248175059
32,2407630.0,635.6990000000001,3468.11,10285.4,356.79400000000004,14113.9,0.006940932777552811
33,2407280.0,645.918,3524.36,10516.1,364.499,14408.7,0.007085294940147424
34,2406930.0,656.293,3581.47,10750.7,372.329,14708.2,0.007229657102742149
35,2406570.0,666.824,3639.47,10989.0,380.286,15012.5,0.007378143898553846
36,2406210.0,677.515,3698.36,11231.2,388.37199999999996,15321.8,0.007526630694365544
37,2405840.0,688.367,3758.16,11477.3,396.589,15635.9,0.007679242123394214
38,2405460.0,699.3810000000001,3818.88,11727.4,404.939,15955.1,0.007835978185639858
39,2405080.0,710.562,3880.52,11981.5,413.423,16279.4,0.007992714247885502
40,2404690.0,721.91,3943.11,12239.7,422.045,16608.9,0.008153574943348119
41,2404300.0,733.427,4006.66,12502.1,430.805,16943.7,0.008314435638810846
42,2403900.0,745.1160000000001,4071.18,12768.7,439.70599999999996,17283.8,0.008479420967490436
43,2403490.0,756.9789999999999,4136.67,13039.7,448.751,17629.3,0.00864853092938711
44,2403080.0,769.0189999999999,4203.17,13314.9,457.941,17980.3,0.008817640891283784
45,2402660.0,781.2360000000001,4270.67,13594.6,467.279,18336.8,0.00899087548639732
46,2402230.0,793.6339999999999,4339.19,13878.8,476.767,18699.1,0.00916823471472794
47,2401800.0,806.215,4408.75,14167.5,486.407,19067.1,0.009345593943058561
48,2401360.0,818.9810000000001,4479.36,14460.9,496.20099999999996,19440.9,0.009527077804606265
49,2400910.0,831.934,4551.02,14758.9,506.152,19820.6,0.009712686299370832
50,2400450.0,845.077,4623.77,15061.7,516.262,20206.4,0.009902419427352371
51,2399990.0,858.4110000000001,4697.6,15369.4,526.534,20598.2,0.010092152555334022
52,2399520.0,871.939,4772.54,15682.0,536.97,20996.2,0.010286010316532646
53,2399050.0,885.664,4848.6,15999.5,547.572,21400.5,0.010479868077731158
54,2398570.0,899.587,4925.78,16322.1,558.3430000000001,21811.1,0.010677850472146755
55,2398070.0,913.711,5004.12,16649.9,569.285,22228.2,0.010884082132996298
56,2397580.0,928.039,5083.61,16982.8,580.401,22651.8,0.011086189160628868
57,2397070.0,942.572,5164.28,17321.1,591.694,23082.1,0.011296545454695495
58,2396550.0,957.312,5246.13,17664.7,603.1659999999999,23519.1,0.011511026381978984
59,2396030.0,972.263,5329.19,18013.7,614.82,23962.9,0.011725507309262473
60,2395500.0,987.427,5413.47,18368.3,626.658,24413.7,0.011944112869763046
61,2394960.0,1002.8,5498.98,18728.5,638.683,24871.4,0.012166843063480592
62,2394420.0,1018.4,5585.74,19094.3,650.898,25336.3,0.012389573257198139
63,2393860.0,1034.22,5673.76,19465.9,663.305,25808.5,0.012620552717349631
64,2393300.0,1050.25,5763.06,19843.4,675.908,26287.9,0.012851532177501124
65,2392720.0,1066.51,5853.65,20226.8,688.709,26774.8,0.013090760904086562
66,2392140.0,1083.0,5945.55,20616.3,701.712,27269.2,0.013329989630672112
67,2391550.0,1099.72,6038.77,21011.8,714.918,27771.3,0.013573342990474524
68,2390950.0,1116.66,6133.32,21413.6,728.331,28281.1,0.01382082098349402
69,2390340.0,1133.85,6229.23,21821.6,741.954,28798.7,0.014072423609730489
70,2389720.0,1151.26,6326.51,22236.0,755.79,29324.3,0.014328150869183931
71,2389100.0,1168.92,6425.17,22656.9,769.842,29858.0,0.014583878128637373
72,2388460.0,1186.81,6525.23,23084.3,784.113,30399.9,0.014847854654524872
73,2387810.0,1204.95,6626.7,23518.4,798.6060000000001,30950.0,0.015115955813629234
74,2387150.0,1223.34,6729.6,23959.3,813.324,31508.5,0.01538818160595068
75,2386490.0,1241.97,6833.95,24407.0,828.2710000000001,32075.6,0.015660407398272125
76,2385810.0,1260.85,6939.75,24861.6,843.449,32651.3,0.015940882457027516
77,2385120.0,1279.98,7047.03,25323.2,858.862,33235.7,0.01622548214899988
78,2384420.0,1299.37,7155.8,25792.0,874.513,33829.0,0.01651420647418933
79,2383720.0,1319.01,7266.07,26268.0,890.405,34431.2,0.016802930799378668
80,2383000.0,1338.91,7377.86,26751.3,906.5419999999999,35042.6,0.017099904391002063
81,2382270.0,1359.07,7491.19,27242.1,922.927,35663.2,0.01740100261584243
82,2381530.0,1379.5,7606.07,27740.4,939.564,36293.1,0.017706225473899773
83,2380780.0,1400.19,7722.52,28246.3,956.456,36932.4,0.018015572965174087
84,2380010.0,1421.14,7840.54,28760.0,973.6060000000001,37581.4,0.018333169722882348
85,2379240.0,1442.37,7960.16,29281.5,991.0169999999999,38240.0,0.01865076648059072
86,2378450.0,1463.87,8081.39,29811.0,1008.69,38908.5,0.018976612504733037
87,2377660.0,1485.64,8204.25,30348.5,1026.64,39586.9,0.019302458528875355
88,2376850.0,1507.68,8328.74,30894.2,1044.86,40275.4,0.01963655381945162
89,2376020.0,1530.0,8454.89,31448.1,1063.35,40974.1,0.01997889837646183
90,2375190.0,1552.6,8582.71,32010.5,1082.13,41683.2,0.02032124293347215
91,2374350.0,1575.48,8712.21,32581.3,1101.19,42402.7,0.020667712123699444
92,2373490.0,1598.65,8843.41,33160.8,1120.53,43132.8,0.021022430580360685
93,2372620.0,1622.1,8976.33,33748.9,1140.17,43873.6,0.0213812736702389
94,2371730.0,1645.83,9110.96,34345.9,1160.1,44625.3,0.021748366026551058
95,2370840.0,1669.85,9247.34,34951.8,1180.33,45387.9,0.02211545838286333
