,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3978950.0,0.381911,1.27233,0.115204,0.00324837,2.1061,0.0
1,3978950.0,0.587627,1.3478,0.233391,0.00658083,2.30392,0.0
2,3978950.0,0.773207,1.4915100000000001,0.361593,0.0101957,2.58019,0.0
3,3978950.0,0.95686,1.69335,0.505483,0.014252899999999999,2.93073,0.0
4,3978950.0,1.15141,1.95003,0.670142,0.0188958,3.3575,0.0
5,3978950.0,1.3667,2.26286,0.860574,0.0242653,3.867,0.0
6,3978940.0,1.61113,2.63653,1.08206,0.030510400000000003,4.46939,2.5132258509863448e-06
7,3978940.0,1.89262,3.07844,1.3404200000000002,0.037795499999999996,5.17809,2.5132258509863448e-06
8,3978940.0,2.21925,3.59839,1.64228,0.046306900000000005,6.00974,2.5132258509863448e-06
9,3978940.0,2.59983,4.2086,1.9952400000000001,0.0562591,6.984389999999999,2.5132258509863448e-06
10,3978940.0,3.0442,4.92376,2.4081200000000003,0.06790089999999999,8.12588,2.5132258509863448e-06
11,3978940.0,3.5636099999999997,5.76135,2.8912,0.0815222,9.46227,2.5132258509863448e-06
12,3978930.0,4.17111,6.741960000000001,3.45649,0.09746139999999999,11.0266,5.026451702083712e-06
13,3978930.0,3.3555,7.5834399999999995,4.1087,0.115852,12.5354,5.026451702083712e-06
14,3978930.0,2.86115,8.10207,4.82152,0.135951,13.7849,5.026451702083712e-06
15,3978930.0,2.56215,8.42437,5.57182,0.157107,14.8774,5.026451702083712e-06
16,3978930.0,2.38196,8.6273,6.34554,0.178923,15.8752,5.026451702083712e-06
17,3978930.0,2.27402,8.75765,7.13413,0.201159,16.8159,5.026451702083712e-06
18,3978930.0,2.21001,8.84388,7.9324,0.223667,17.7227,5.026451702083712e-06
19,3978930.0,2.17273,8.90329,8.73718,0.24635900000000002,18.6094,5.026451702083712e-06
20,3978930.0,2.1517,8.94641,9.54655,0.269181,19.4846,5.026451702083712e-06
21,3978920.0,2.14056,8.97964,10.3594,0.292099,20.3535,7.539677553070057e-06
22,3978920.0,2.13543,9.006860000000001,11.1749,0.315094,21.2193,7.539677553070057e-06
23,3978920.0,2.13397,9.030439999999999,11.9927,0.338154,22.0837,7.539677553070057e-06
24,3978920.0,2.1347400000000003,9.05183,12.8126,0.361271,22.9481,7.539677553070057e-06
25,3978920.0,2.13686,9.0719,13.6343,0.384441,23.813000000000002,7.539677553070057e-06
26,3978920.0,2.1398200000000003,9.09117,14.4578,0.407661,24.679000000000002,7.539677553070057e-06
27,3978920.0,2.14328,9.10998,15.283,0.43093000000000004,25.5464,7.539677553070057e-06
28,3978920.0,2.14705,9.12852,16.1099,0.454246,26.4152,7.539677553070057e-06
29,3978910.0,5.5006900000000005,9.80034,16.9581,0.478162,27.9726,1.0052903404167424e-05
30,3978900.0,9.039539999999999,11.7302,17.924,0.505396,30.91,1.2566129255153768e-05
31,3978890.0,13.2279,14.9689,19.1225,0.539191,35.398,1.5079355106251136e-05
32,3978880.0,18.54,19.7419,20.6813,0.5831430000000001,41.7952,1.759258095723748e-05
33,3978860.0,25.5248,26.4507,22.756,0.6416430000000001,50.6655,2.2619032659321192e-05
34,3978840.0,34.8699,35.6981,25.5476,0.720357,62.8211,2.7645484361404904e-05
35,3978810.0,47.4738,48.3379,29.3225,0.8267959999999999,79.3932,3.518516191458598e-05
36,3978760.0,64.5349,65.5503,34.4384,0.9710469999999999,101.935,4.775129116973975e-05
37,3978750.0,50.8169,81.7826,41.1644,1.1607,125.027,5.026451702083712e-05
38,3978730.0,42.6926,92.4394,49.0911,1.3842,143.80100000000002,5.529096872292083e-05
39,3978720.0,37.9735,99.7206,57.8198,1.63032,160.03799999999998,5.7804194573907175e-05
40,3978700.0,35.3293,104.964,67.1095,1.8922599999999998,174.82299999999998,6.283064627599089e-05
41,3978690.0,33.951,108.984,76.8151,2.16593,188.81599999999997,6.534387212708825e-05
42,3978670.0,33.3467,112.275,86.8496,2.44887,202.423,7.037032382917197e-05
43,3978650.0,33.2174,115.14,97.1617,2.73964,215.889,7.539677553125568e-05
44,3978640.0,33.3814,117.76,107.72200000000001,3.0373900000000003,229.368,7.791000138224202e-05
45,3978620.0,33.7284,120.249,118.512,3.34165,242.954,8.293645308432573e-05
46,3978600.0,34.1911,122.675,129.526,3.65219,256.705,8.796290478640945e-05
47,3978590.0,34.7291,125.08,140.75799999999998,3.9689,270.661,9.047613063750681e-05
48,3978570.0,35.3175,127.488,152.208,4.29176,284.845,9.550258233959052e-05
49,3978580.0,15.4961,125.59100000000001,163.743,4.61699,294.72700000000003,9.298935648849316e-05
50,3978580.0,4.23653,118.0,174.81900000000002,4.92932,298.48,9.298935648849316e-05
51,3978590.0,-1.91985,107.80799999999999,185.074,5.218459999999999,298.806,9.047613063750681e-05
52,3978590.0,-5.063680000000001,96.7791,194.356,5.4802,297.309,9.047613063750681e-05
53,3978600.0,-6.45485,85.8883,202.64,5.713769999999999,294.93,8.796290478640945e-05
54,3978600.0,-6.84932,75.6416,209.96200000000002,5.92024,292.21,8.796290478640945e-05
55,3978600.0,-6.6978100000000005,66.2721,216.394,6.10158,289.454,8.796290478640945e-05
56,3978610.0,-6.26649,57.8565,222.018,6.26018,286.823,8.54496789354231e-05
57,3978610.0,-5.71035,50.3853,226.923,6.39846,284.397,8.54496789354231e-05
58,3978610.0,-5.1176,43.8038,231.19,6.51877,282.205,8.54496789354231e-05
59,3978610.0,0.0902119,39.0174,234.928,6.6241699999999994,281.283,8.54496789354231e-05
60,3978600.0,3.29408,36.2501,238.33,6.7201,282.027,8.796290478640945e-05
61,3978600.0,5.2798,34.7124,241.541,6.810639999999999,283.79900000000004,8.796290478640945e-05
62,3978590.0,6.5252099999999995,33.924,244.649,6.89827,286.211,9.047613063750681e-05
63,3978590.0,7.3209,33.5929,247.707,6.98452,289.028,9.047613063750681e-05
