,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.1428571428571428,2
3,0,0,1.2857142857142858,2
4,0,0,1.4285714285714286,2
5,0,0,1.5714285714285714,2
6,0,0,1.8571428571428568,3
7,0,0,2.5714285714285716,6
8,0,0,4.0,11
9,0,0,7.428571428571429,26
10,0,0,10.857142857142858,26
11,0,0,14.285714285714285,26
12,0,0,18.428571428571427,31
13,0,0,25.0,49
14,0,0,31.142857142857146,49
15,0,0,37.42857142857143,55
16,0,0,42.42857142857143,61
17,1,0,47.28571428571429,61
18,2,1,51.85714285714285,61
19,2,1,55.714285714285715,61
20,2,1,57.28571428571429,63
21,2,1,59.0,64
22,2,1,60.0,65
23,2,1,63.14285714285714,86
24,5,1,66.0,86
25,8,1,68.71428571428571,86
26,12,1,71.0,87
27,12,2,73.14285714285714,89
28,18,2,75.14285714285714,95
29,18,2,77.0,95
30,18,2,76.0,96
31,18,2,75.57142857142857,97
32,20,2,75.42857142857143,98
33,20,2,75.85714285714286,99
34,20,2,76.14285714285714,99
35,28,2,75.42857142857143,100
36,49,2,71.71428571428571,100
37,78,2,63.714285714285715,100
38,83,2,54.85714285714285,100
39,83,2,46.14285714285714,100
40,83,2,37.714285714285715,103
41,98,2,27.142857142857146,103
42,98,2,17.714285714285715,104
43,98,2,11.285714285714285,104
44,98,2,9.428571428571429,107
45,100,2,8.0,107
46,100,2,6.7142857142857135,108
47,101,2,4.857142857142857,108
48,101,2,6.142857142857142,115
49,101,2,7.2857142857142865,115
50,101,2,8.571428571428571,116
51,104,2,9.285714285714286,118
52,105,2,10.142857142857142,118
53,106,2,11.285714285714285,122
54,106,2,12.714285714285715,123
55,106,2,13.428571428571427,125
56,106,2,14.142857142857142,125
57,106,2,14.857142857142858,126
58,106,2,15.714285714285715,126
59,109,2,17.285714285714285,133
60,110,3,18.857142857142858,138
61,112,3,20.142857142857142,139
62,112,3,21.571428571428577,142
63,112,3,23.857142857142854,148
64,116,3,25.42857142857143,148
65,116,3,27.142857142857146,149
66,121,3,29.0,159
67,122,3,31.714285714285715,169
68,123,3,35.714285714285715,178
69,125,3,39.142857142857146,179
70,128,3,43.0,191
71,129,4,48.28571428571429,199
72,129,4,54.42857142857143,206
73,129,4,60.28571428571429,209
74,129,4,65.57142857142857,214
75,132,5,70.85714285714286,226
76,137,5,76.85714285714286,235
77,138,5,82.57142857142857,243
78,138,5,91.85714285714286,274
79,138,5,100.28571428571428,275
80,144,5,108.28571428571428,281
81,144,8,121.57142857142857,326
82,168,9,130.57142857142858,329
83,168,9,139.42857142857142,332
84,168,9,148.28571428571428,339
85,168,9,154.42857142857142,351
86,168,9,160.85714285714286,354
87,185,10,168.28571428571428,379
88,185,10,172.4285714285714,398
89,185,10,185.7142857142857,440
90,203,10,196.57142857142856,444
91,206,10,212.0,486
92,223,10,226.42857142857144,508
93,223,12,248.0,563
94,223,12,271.57142857142856,584
95,223,12,305.0,672
96,223,12,339.7142857142857,723
97,223,12,380.0,748
98,326,13,403.8571428571428,776
99,326,15,434.71428571428567,832
100,370,15,458.57142857142856,880
101,370,15,485.28571428571433,921
102,421,15,505.1428571428572,1012
103,421,16,527.4285714285714,1081
104,510,17,540.4285714285714,1131
105,510,19,571.5714285714286,1184
106,510,20,604.8571428571429,1254
107,510,20,643.2857142857142,1294
108,735,20,655.5714285714286,1377
109,772,22,662.2857142857142,1417
110,821,25,661.2857142857142,1483
111,871,26,671.0,1569
112,928,26,667.2857142857142,1583
113,928,28,672.8571428571429,1719
114,928,28,682.1428571428571,1785
115,1151,32,693.5714285714287,1885
116,1194,33,703.4285714285713,1919
117,1194,38,713.2857142857142,1938
118,1377,43,717.5714285714287,2122
119,1484,44,732.0,2258
120,1592,45,729.1428571428571,2380
121,1592,48,736.2857142857142,2519
122,1592,48,790.0,2718
123,1808,54,841.5714285714287,2915
124,1808,57,907.0,3029
125,1808,61,982.4285714285713,3099
126,1808,63,1073.5714285714287,3239
127,1808,67,1181.5714285714287,3374
128,1808,70,1298.7142857142858,3577
129,1808,77,1399.2857142857142,3667
130,1808,83,1521.142857142857,3797
131,2522,87,1572.857142857143,4135
132,2758,93,1596.857142857143,4249
133,2758,98,1612.0,4330
134,2976,103,1605.2857142857142,4531
135,2976,103,1595.2857142857142,4708
136,3265,122,1556.2857142857142,4896
137,3559,125,1478.142857142857,5043
138,3677,130,1456.7142857142858,5183
139,3846,135,1462.5714285714291,5420
140,3965,139,1467.7142857142858,5614
141,3965,144,1490.2857142857142,5719
142,4287,154,1460.857142857143,5864
143,4493,162,1444.857142857143,6052
144,4628,163,1454.0,6214
