,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2227330.0,0.284921,0.97162,0.037277099999999994,0.00215174,1.01128,-1.3469059549908735e-06
1,2227330.0,0.611317,0.9682379999999999,0.0739404,0.00426805,1.04694,-1.3469059549908735e-06
2,2227320.0,0.993526,0.992668,0.11098699999999999,0.00640647,1.11086,3.142780561682379e-06
3,2227320.0,1.44918,1.0488600000000001,0.14954,0.00863186,1.2081899999999999,3.142780561682379e-06
4,2227320.0,2.0001,1.14215,0.190898,0.011019200000000002,1.34566,3.142780561682379e-06
5,2227320.0,2.6734400000000003,1.27957,0.236592,0.013656799999999998,1.53195,3.142780561682379e-06
6,2227320.0,3.50305,1.4702600000000001,0.288459,0.0166507,1.77817,3.142780561682379e-06
7,2227320.0,4.5313099999999995,1.7259900000000001,0.348729,0.020129599999999997,2.0984700000000003,3.142780561682379e-06
8,2227320.0,5.8112900000000005,2.06177,0.420134,0.0242513,2.5108099999999998,3.142780561682379e-06
9,2227320.0,7.40958,2.4967099999999998,0.5060520000000001,0.029210800000000002,3.0379,3.142780561682379e-06
10,2227310.0,9.40982,3.05503,0.610676,0.03525,3.70848,7.632467078244609e-06
11,2227310.0,11.9171,3.7673400000000004,0.7392310000000001,0.0426705,4.5587800000000005,7.632467078244609e-06
12,2227300.0,15.0634,4.67234,0.8982479999999999,0.0518495,5.63448,1.2122153594917862e-05
13,2227300.0,19.0148,5.81881,1.09591,0.0632589,6.993180000000001,1.2122153594917862e-05
14,2227290.0,23.9802,7.268269999999999,1.34246,0.0774909,8.707410000000001,1.6611840111480092e-05
15,2227280.0,30.2222,9.09822,1.6508,0.09528860000000001,10.8685,2.1101526628153344e-05
16,2227270.0,38.0713,11.4063,2.03707,0.117586,13.5914,2.5591213144715574e-05
17,2227250.0,47.9431,14.3153,2.52163,0.145556,17.0208,3.457058617795106e-05
18,2227240.0,60.3607,17.98,3.13002,0.180674,21.339000000000002,3.906027269462431e-05
19,2227210.0,75.9821,22.5951,3.8943800000000004,0.224795,26.775,5.252933224442202e-05
20,2227180.0,95.635,28.4056,4.85513,0.280252,33.6175,6.599839179433076e-05
21,2227180.0,91.9189,34.6416,6.04994,0.34922,41.1143,6.599839179433076e-05
22,2227170.0,88.7566,40.3632,7.47115,0.43125600000000003,48.3366,7.048807831089299e-05
23,2227160.0,86.0887,45.6316,9.100430000000001,0.525303,55.3262,7.497776482756624e-05
24,2227150.0,83.8625,50.5014,10.9217,0.6304310000000001,62.1206,7.946745134412847e-05
25,2227140.0,82.0313,55.021,12.9207,0.7458199999999999,68.7531,8.395713786080172e-05
26,2227140.0,80.5536,59.2334,15.0851,0.8707530000000001,75.2537,8.395713786080172e-05
27,2227130.0,79.3928,63.1771,17.4038,1.0046,81.6491,8.844682437736395e-05
28,2227120.0,78.5163,66.8861,19.8675,1.14681,87.9633,9.29365108940372e-05
29,2227110.0,77.8952,70.3908,22.4678,1.29691,94.2179,9.742619741059944e-05
30,2227100.0,77.5039,73.7183,25.1975,1.4544700000000002,100.432,0.00010191588392727269
31,2227090.0,77.32,76.8926,28.0503,1.61914,106.624,0.00010640557044383492
32,2227080.0,77.3232,79.9351,31.0208,1.7906099999999998,112.80799999999999,0.00011089525696050817
33,2227070.0,77.4959,82.8652,34.1044,1.9686,119.0,0.0001153849434770704
34,2227070.0,77.8225,85.6997,37.2971,2.1529,125.212,0.0001153849434770704
35,2227060.0,78.289,88.4541,40.5957,2.3433,131.45600000000002,0.00011987462999374365
36,2227050.0,78.8832,91.14200000000001,43.9974,2.53965,137.74200000000002,0.00012436431651030588
37,2227040.0,79.5944,93.7754,47.4998,2.74182,144.08100000000002,0.00012885400302697914
38,2227030.0,80.413,96.3655,51.1011,2.9497,150.481,0.00013334368954354137
39,2227010.0,81.3306,98.9219,54.8,3.16321,156.95,0.00014232306257677685
40,2227000.0,82.3399,101.45299999999999,58.5951,3.38228,163.497,0.0001468127490934501
41,2227060.0,19.561,101.26799999999999,62.451,3.60485,167.33900000000003,0.00011987462999374365
42,2227100.0,-17.8536,97.2298,66.2207,3.82245,167.25900000000001,0.00010191588392727269
43,2227120.0,-39.0063,91.09899999999999,69.7938,4.0287,164.89,9.29365108940372e-05
44,2227140.0,-49.843,83.9843,73.1135,4.22032,161.278,8.395713786080172e-05
45,2227150.0,-54.236000000000004,76.5711,76.1563,4.39596,157.08,7.946745134412847e-05
46,2227160.0,-54.6962,69.2714,78.9195,4.55546,152.703,7.497776482756624e-05
47,2227160.0,-52.8424,62.3211,81.4122,4.69934,148.39,7.497776482756624e-05
48,2227160.0,-45.8524,56.0062,83.6522,4.82864,144.45,7.497776482756624e-05
49,2227160.0,-39.5597,50.4597,85.6677,4.94498,141.041,7.497776482756624e-05
50,2227160.0,-33.8785,45.6003,87.4861,5.04995,138.109,7.497776482756624e-05
51,2227160.0,-28.7318,41.356,89.1323,5.14497,135.61,7.497776482756624e-05
52,2227150.0,-24.0508,37.6635,90.6281,5.231319999999999,133.504,7.946745134412847e-05
53,2227150.0,-19.7735,34.467,91.9936,5.31013,131.755,7.946745134412847e-05
