,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3011060.0,0.63557,3.96064,0.323332,0.012683,5.15444,2.6568646075419977e-06
1,3011060.0,0.7913479999999999,3.84484,0.634894,0.0249042,5.36287,2.6568646075419977e-06
2,3011060.0,0.901969,3.77494,0.9391290000000001,0.0368381,5.6094599999999994,2.6568646075419977e-06
3,3011060.0,0.981468,3.73679,1.23911,0.048605199999999994,5.8833,2.6568646075419977e-06
4,3011060.0,1.0395299999999998,3.72064,1.5369700000000002,0.0602889,6.17685,2.6568646075419977e-06
5,3011060.0,1.08283,3.7197400000000003,1.83418,0.0719472,6.48495,2.6568646075419977e-06
6,3011060.0,1.11598,3.7294699999999996,2.13176,0.0836201,6.80403,2.6568646075419977e-06
7,3011060.0,1.14215,3.74661,2.43043,0.0953356,7.13163,2.6568646075419977e-06
8,3011060.0,1.16355,3.7689699999999995,2.73069,0.10711400000000001,7.466080000000001,2.6568646075419977e-06
9,3011060.0,1.1816799999999998,3.79501,3.03289,0.118968,7.80623,2.6568646075419977e-06
10,3011060.0,1.1975799999999999,3.82369,3.3372800000000002,0.130907,8.15129,2.6568646075419977e-06
11,3011060.0,1.2119799999999998,3.85429,3.64404,0.14294,8.50073,2.6568646075419977e-06
12,3011060.0,1.22537,3.88631,3.9533099999999997,0.15507200000000002,8.85418,2.6568646075419977e-06
13,3011060.0,1.2381,3.9194,4.26518,0.167305,9.21142,2.6568646075419977e-06
14,3011050.0,2.78476,4.16519,4.5852699999999995,0.179861,9.79433,5.977945366941739e-06
15,3011050.0,4.52379,4.8449599999999995,4.94203,0.193855,10.8499,5.977945366941739e-06
16,3011050.0,6.63006,6.0017,5.37155,0.21070300000000003,12.4591,5.977945366941739e-06
17,3011040.0,9.30583,7.7270199999999996,5.91521,0.23202899999999999,14.7572,9.299026126230459e-06
18,3011030.0,12.8008,10.1677,6.6238600000000005,0.259826,17.9444,1.26201068856302e-05
19,3011020.0,17.4357,13.5375,7.56262,0.29665,22.3033,1.594118764502994e-05
20,3011010.0,23.6322,18.136,8.81695,0.345852,28.2233,1.9262268404429683e-05
21,3010990.0,31.9512,24.3746,10.5005,0.411889,36.2356,2.5904429923229166e-05
22,3010970.0,43.144,32.8133,12.7652,0.500726,47.0603,3.254659144202865e-05
23,3010930.0,58.22,44.2108,15.8155,0.6203770000000001,61.6714,4.5830914479516593e-05
24,3010890.0,78.5377,59.5927,19.9264,0.781629,81.3844,5.911523751700454e-05
25,3010870.0,69.3092,75.3184,25.3372,0.993872,102.706,6.575739903580402e-05
26,3010850.0,63.6464,87.7492,31.8656,1.24996,121.905,7.23995605546035e-05
27,3010830.0,60.4751,97.9812,39.2945,1.54136,139.84799999999998,7.904172207340299e-05
28,3010810.0,59.0561,106.773,47.4798,1.86243,157.143,8.568388359209145e-05
29,3010800.0,52.2251,113.689,56.303000000000004,2.20853,173.208,8.900496435149119e-05
30,3010780.0,47.5145,118.465,65.5889,2.57278,187.62099999999998,9.564712587029067e-05
31,3010770.0,44.2668,121.76700000000001,75.1945,2.94956,200.895,9.896820662969041e-05
32,3010760.0,42.0282,124.051,85.0212,3.3350199999999997,213.385,0.00010228928738909016
33,3010740.0,40.4856,125.632,95.0008,3.72649,225.333,0.00010893144890777862
34,3010730.0,39.4233,126.73,105.087,4.12211,236.90900000000002,0.00011225252966717836
35,3010720.0,38.6921,127.493,115.24600000000001,4.52062,248.22799999999998,0.0001155736104265781
36,3010700.0,38.1895,128.026,125.45700000000001,4.92114,259.37,0.00012221577194537758
37,3010690.0,37.8446,128.4,135.703,5.3230699999999995,270.392,0.00012553685270477732
38,3010670.0,37.6083,128.664,145.975,5.72599,281.33,0.0001321790142235768
39,3010660.0,37.4471,128.852,156.265,6.12962,292.211,0.00013550009498286553
40,3010650.0,37.3376,128.988,166.56799999999998,6.53375,303.05400000000003,0.00013882117574226527
41,3010630.0,37.2637,129.088,176.88,6.9382399999999995,313.87,0.00014546333726106475
42,3010620.0,37.2145,129.164,187.19799999999998,7.3430100000000005,324.66900000000004,0.0001487844180204645
43,3010630.0,19.8048,126.624,197.452,7.74522,332.73400000000004,0.00014546333726106475
44,3010630.0,8.49289,120.346,207.34099999999998,8.13312,336.70099999999996,0.00014546333726106475
45,3010640.0,1.3065799999999999,112.03399999999999,216.639,8.49783,338.03,0.000142142256501665
46,3010640.0,-3.10588,102.79700000000001,225.23,8.83482,337.708,0.000142142256501665
47,3010650.0,-5.66902,93.3443,233.07,9.14237,336.39599999999996,0.00013882117574226527
48,3010650.0,-7.013389999999999,84.1138,240.162,9.42055,334.532,0.00013882117574226527
49,3010650.0,-7.56743,75.3635,246.53400000000002,9.67049,332.402,0.00013882117574226527
50,3010650.0,1.1722,68.5397,252.266,9.89533,331.56,0.00013882117574226527
51,3010640.0,7.387289999999999,64.3183,257.562,10.1031,332.86,0.000142142256501665
52,3010630.0,11.8667,61.9062,262.596,10.3006,335.69300000000004,0.00014546333726106475
53,3010620.0,15.1545,60.7565,267.491,10.4925,339.64,0.0001487844180204645
54,3010610.0,17.6264,60.4926,272.33099999999996,10.6824,344.413,0.00015210549877986423
55,3010600.0,19.5414,60.8551,277.176,10.8724,349.816,0.00015542657953926398
56,3010600.0,21.0786,61.6656,282.068,11.0644,355.715,0.00015542657953926398
57,3010590.0,19.0023,62.3118,287.026,11.2588,361.50800000000004,0.0001587476602985527
58,3010580.0,17.4919,62.4123,292.013,11.4544,366.786,0.00016206874105795244
59,3010580.0,16.3734,62.1423,296.992,11.6497,371.68699999999995,0.00016206874105795244
60,3010570.0,15.5264,61.6228,301.938,11.8438,376.306,0.00016538982181735218
61,3010570.0,14.8682,60.9368,306.837,12.0359,380.708,0.00016538982181735218
62,3010560.0,14.3415,60.1418,311.675,12.2257,384.94,0.00016871090257675192
63,3010560.0,13.9067,59.2771,316.448,12.4129,389.034,0.00016871090257675192
64,3010560.0,13.5367,58.3699,321.149,12.5973,393.01099999999997,0.00016871090257675192
65,3010550.0,13.2125,57.4387,325.777,12.7789,396.889,0.00017203198333615166
66,3010550.0,12.9212,56.4964,330.33,12.9574,400.67699999999996,0.00017203198333615166
67,3010540.0,12.6538,55.5516,334.80699999999996,13.1331,404.384,0.0001753530640955514
68,3010540.0,12.4039,54.6103,339.209,13.3058,408.017,0.0001753530640955514
69,3010530.0,12.1674,53.6764,343.536,13.4755,411.579,0.00017867414485495114
70,3010530.0,11.9411,52.7526,347.789,13.6423,415.074,0.00017867414485495114
71,3010520.0,11.722999999999999,51.8406,351.968,13.8062,418.505,0.00018199522561435089
72,3010510.0,16.5581,51.6718,356.095,13.9681,422.639,0.0001853163063736396
73,3010500.0,20.518,52.7315,360.259,14.1315,428.037,0.00018863738713303935
74,3010490.0,23.9207,54.7251,364.546,14.2996,434.496,0.0001919584678924391
75,3010480.0,26.9888,57.456,369.023,14.4752,441.889,0.00019527954865183883
76,3010470.0,29.8793,60.7954,373.74300000000005,14.6604,450.142,0.00019860062941123857
77,3010450.0,32.7047,64.6621,378.751,14.8568,459.221,0.00020524279093003805
78,3010450.0,27.064,67.7785,384.05400000000003,15.0648,467.832,0.00020524279093003805
79,3010440.0,23.0534,69.3178,389.54,15.28,475.061,0.00020856387168932677
80,3010440.0,20.1707,69.785,395.10400000000004,15.4983,481.30199999999996,0.00020856387168932677
81,3010430.0,18.0692,69.5282,400.67400000000004,15.7168,486.82800000000003,0.00021188495244872652
82,3010430.0,16.5098,68.7872,406.204,15.9337,491.829,0.00021188495244872652
83,3010420.0,15.3272,67.727,411.661,16.1477,496.436,0.00021520603320812626
84,3010420.0,14.4074,66.4609,417.024,16.3581,500.741,0.00021520603320812626
85,3010410.0,13.6717,65.067,422.281,16.5643,504.80699999999996,0.000218527113967526
86,3010410.0,13.0657,63.5985,427.423,16.766,508.681,0.000218527113967526
87,3010390.0,20.3904,63.2246,432.476,16.9642,513.58,0.00022516927548632548
88,3010380.0,26.4791,64.7339,437.577,17.1643,520.408,0.00022849035624572522
89,3010360.0,31.81,67.7027,442.85900000000004,17.3715,528.881,0.00023513251776441368
90,3010350.0,36.7219,71.8538,448.426,17.5899,538.832,0.00023845359852381343
91,3010330.0,41.4574,77.012,454.366,17.8229,550.177,0.0002450957600426129
92,3010310.0,46.1944,83.074,460.754,18.0735,562.8919999999999,0.0002517379215614124
93,3010280.0,51.0666,89.9876,467.661,18.3444,576.997,0.0002617011638395006
94,3010260.0,56.1784,97.7378,475.153,18.6383,592.548,0.0002683433253583001
95,3010230.0,61.6152,106.337,483.298,18.9578,609.627,0.0002783065676364993
96,3010200.0,67.4504,115.818,492.165,19.3056,628.34,0.0002882698099145875
97,3010170.0,73.7505,126.23100000000001,501.82599999999996,19.6845,648.811,0.00029823305219278673
98,3010130.0,80.5788,137.64,512.357,20.0976,671.185,0.0003115173752302747
99,3010100.0,87.9975,150.122,523.8430000000001,20.5482,695.6239999999999,0.0003214806175084739
100,3010050.0,96.0706,163.764,536.371,21.0396,722.309,0.0003380860213053616
101,3010010.0,104.86399999999999,178.665,550.039,21.5757,751.439,0.00035137034434296055
102,3009960.0,114.449,194.935,564.951,22.1607,783.2339999999999,0.00036797574813984824
103,3009900.0,124.87299999999999,212.69099999999997,581.271,22.7483,817.928,0.00038790223269613566
104,3009840.0,136.245,232.06400000000002,599.078,23.3894,855.783,0.0004078287172525341
105,3009760.0,156.433,245.42700000000002,627.4680000000001,24.0772,898.2819999999999,0.00043439736332751
106,3009680.0,175.84400000000002,262.639,657.683,24.8093,946.498,0.0004609660094025969
107,3009580.0,195.28799999999998,283.165,690.1489999999999,25.5959,1000.33,0.0004941768169964833
108,3009480.0,215.355,306.717,725.2389999999999,26.4461,1059.88,0.0005273876245903697
109,3009360.0,236.486,333.18199999999996,763.307,27.3684,1125.4,0.0005672405937029446
110,3009240.0,259.036,362.56699999999995,804.7,28.3713,1197.25,0.0006070935628156304
111,3009100.0,283.30400000000003,394.965,849.7689999999999,29.4633,1275.88,0.0006535886934470048
112,3008960.0,309.558,430.537,898.883,30.6532,1361.83,0.0007000838240783791
113,3008840.0,303.407,464.61199999999997,952.237,31.9459,1450.53,0.000739936793190954
114,3008710.0,303.013,493.935,1009.35,33.3296,1538.35,0.0007831108430630396
115,3008590.0,306.574,520.359,1069.77,34.7935,1626.66,0.0008229638121756144
116,3008450.0,312.899,545.123,1133.22,36.330999999999996,1716.44,0.0008694589428069888
117,3008310.0,321.205,569.055,1199.58,37.9386,1808.36,0.0009159540734383631
118,3008170.0,330.976,592.7180000000001,1268.76,39.6148,1902.91,0.0009624492040697374
119,3008070.0,299.539,610.414,1340.52,41.3534,1994.01,0.0009956600116636238
120,3007980.0,277.48,618.869,1413.8,43.129,2077.46,0.0010255497384981105
121,3007880.0,261.659,621.246,1487.71,44.9198,2155.49,0.0010587605460919969
122,3007790.0,249.993,619.639,1561.65,46.7112,2229.59,0.0010886502729263725
123,3007700.0,241.1,615.439,1635.24,48.4941,2300.73,0.0011185399997608592
