,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3001900.0,125.51799999999999,222.845,6318.66,95.8947,6638.0,0.0030447668402041606
1,3001800.0,119.78399999999999,212.673,6391.85,96.6587,6701.75,0.003077977647798047
2,3001700.0,114.311,202.96400000000003,6461.7,97.3878,6762.59,0.0031111884553919333
3,3001610.0,109.088,193.695,6528.36,98.0837,6820.65,0.00314107818222642
4,3001520.0,104.102,184.84799999999998,6591.98,98.7477,6876.05,0.0031709679090607956
5,3001440.0,99.3435,176.40400000000002,6652.68,99.3814,6928.93,0.0031975365551358825
6,3001360.0,94.8018,168.34400000000002,6710.62,99.9862,6979.38,0.0032241052012109694
7,3001290.0,90.4672,160.651,6765.91,100.56299999999999,7027.53,0.0032473527665266566
8,3001220.0,86.3302,153.309,6818.67,101.11399999999999,7073.48,0.0032706003318423438
9,3001150.0,82.3819,146.30100000000002,6869.02,101.64,7117.33,0.003293847897158031
10,3001080.0,78.6137,139.612,6917.07,102.141,7159.17,0.003317095462473829
11,3001020.0,75.0174,133.22799999999998,6962.92,102.62,7199.1,0.0033370219470301166
12,3000960.0,71.5853,127.135,7006.67,103.07700000000001,7237.2,0.003356948431586404
13,3000910.0,68.3099,121.321,7048.43,103.512,7273.56,0.0033735538353832917
14,3000850.0,65.184,115.771,7088.27,103.928,7308.25,0.00339348031993969
15,3000800.0,62.2009,110.475,7126.29,104.325,7341.36,0.003410085723736578
16,3000750.0,59.354,105.421,7162.57,104.704,7372.95,0.0034266911275334655
17,3000700.0,56.6372,100.59700000000001,7197.2,105.065,7403.09,0.003443296531330464
18,3000660.0,54.0445,95.9934,7230.23,105.41,7431.86,0.003456580854367952
19,3000620.0,51.5704,91.6002,7261.76,105.73899999999999,7459.31,0.00346986517740544
20,3000580.0,49.2093,87.4076,7291.84,106.053,7485.5,0.003483149500443039
21,3000540.0,46.9561,83.4066,7320.55,106.353,7510.49,0.003496433823480527
22,3000500.0,44.806000000000004,79.5885,7347.94,106.639,7534.34,0.003509718146518126
23,3000460.0,42.7542,75.9448,7374.08,106.912,7557.1,0.003523002469555614
24,3000430.0,40.7962,72.4677,7399.02,107.17200000000001,7578.81,0.003532965711833813
25,3000400.0,38.9278,69.1495,7422.82,107.421,7599.53,0.0035429289541120124
26,3000370.0,37.1449,65.9831,7445.53,107.65799999999999,7619.3,0.0035528921963901006
27,3000340.0,35.4435,62.9615,7467.19,107.884,7638.16,0.0035628554386683
28,3000310.0,33.8199,60.078,7487.87,108.1,7656.17,0.003572818680946388
29,3000280.0,32.2707,57.3265,7507.6,108.306,7673.34,0.0035827819232245872
30,3000260.0,30.7924,54.7008,7526.43,108.50200000000001,7689.73,0.0035894240847433867
31,3000230.0,29.3817,52.1953,7544.39,108.69,7705.37,0.003599387327021475
32,3000210.0,28.0356,49.8044,7561.53,108.869,7720.29,0.0036060294885402744
33,3000190.0,26.7511,47.5229,7577.89,109.039,7734.53,0.003612671650059074
34,3000170.0,25.5254,45.3458,7593.5,109.20200000000001,7748.12,0.0036193138115778734
35,3000150.0,24.3558,43.2683,7608.39,109.35799999999999,7761.08,0.003625955973096562
36,3000130.0,23.2398,41.286,7622.6,109.506,7773.45,0.0036325981346153613
37,3000110.0,22.1748,39.3944,7636.16,109.648,7785.25,0.0036392402961341608
38,3000090.0,21.1587,37.5894,7649.09,109.78299999999999,7796.52,0.0036458824576528492
39,3000080.0,20.1891,35.867,7661.44,109.912,7807.26,0.003649203538412249
40,3000060.0,19.2638,34.2235,7673.22,110.03399999999999,7817.51,0.0036558456999310485
41,3000040.0,18.381,32.6553,7684.46,110.152,7827.3,0.003662487861449848
42,3000030.0,17.5386,31.1588,7695.18,110.264,7836.63,0.0036658089422092477
43,3000020.0,16.7348,29.7309,7705.41,110.37100000000001,7845.54,0.0036691300229686474
44,3000000.0,15.9678,28.3684,7715.18,110.47200000000001,7854.04,0.003675772184487336
45,2999990.0,15.2359,27.0683,7724.49,110.57,7862.15,0.0036790932652467356
46,2999980.0,14.5376,25.8277,7733.38,110.663,7869.89,0.0036824143460061354
47,2999970.0,13.8713,24.644000000000002,7741.86,110.751,7877.27,0.003685735426765535
48,2999960.0,13.2354,23.5145,7749.96,110.836,7884.32,0.003689056507524935
49,2999940.0,12.6288,22.4368,7757.68,110.916,7891.04,0.0036956986690436233
50,2999930.0,12.0499,21.4084,7765.05,110.993,7897.45,0.003699019749803023
51,2999930.0,11.4975,20.4271,7772.08,111.066,7903.57,0.003699019749803023
52,2999920.0,10.9705,19.4908,7778.79,111.13600000000001,7909.41,0.003702340830562423
53,2999910.0,10.4676,18.5974,7785.19,111.20299999999999,7914.98,0.0037056619113218225
54,2999900.0,9.98775,17.7449,7791.29,111.26700000000001,7920.3,0.0037089829920812223
55,2999890.0,9.52989,16.9315,7797.12,111.32799999999999,7925.37,0.003712304072840622
56,2999880.0,9.09302,16.1554,7802.68,111.38600000000001,7930.21,0.0037156251536000218
57,2999880.0,8.676169999999999,15.4148,7807.99,111.441,7934.83,0.0037156251536000218
58,2999870.0,8.27842,14.7081,7813.05,111.494,7939.23,0.0037189462343594215
