,Recovered,Deceased,Infected,I_c
0,0,0,3.0,5
1,0,0,3.571428571428572,5
2,0,0,4.142857142857143,5
3,0,0,4.571428571428571,5
4,0,0,5.0,5
5,0,0,5.142857142857143,6
6,0,0,5.428571428571429,7
7,0,0,5.7142857142857135,7
8,0,0,6.0,7
9,0,0,6.285714285714287,7
10,0,0,6.571428571428571,7
11,0,0,6.857142857142858,7
12,0,0,7.0,7
13,0,0,7.0,7
14,0,0,7.0,7
15,1,0,6.857142857142858,7
16,1,0,6.7142857142857135,7
17,2,0,6.428571428571429,7
18,2,0,6.142857142857142,7
19,3,0,5.7142857142857135,7
20,3,0,5.285714285714286,7
21,4,1,4.571428571428571,7
22,5,1,3.8571428571428568,7
23,5,1,3.1428571428571432,7
24,5,1,2.5714285714285716,7
25,5,1,2.2857142857142856,9
26,5,1,2.142857142857143,9
27,5,1,2.2857142857142856,11
28,6,1,2.5714285714285716,11
29,6,1,3.1428571428571432,12
30,6,1,3.8571428571428568,13
31,6,1,5.0,16
32,6,1,6.142857142857142,18
33,6,1,7.571428571428571,20
34,6,1,8.714285714285714,20
35,6,1,10.0,20
36,6,1,12.714285714285715,31
37,6,1,15.285714285714285,31
38,7,2,17.285714285714285,32
39,7,2,19.142857142857142,33
40,13,2,19.857142857142858,33
41,13,2,20.571428571428573,33
42,13,2,21.571428571428577,35
43,13,2,21.0,35
44,13,2,20.571428571428573,36
45,13,2,20.285714285714285,36
46,28,2,18.285714285714285,40
47,28,2,17.142857142857142,40
48,28,2,16.714285714285715,45
49,28,2,16.142857142857142,46
50,28,2,16.285714285714285,51
51,28,2,16.285714285714285,51
52,32,2,15.714285714285715,51
53,45,2,14.857142857142858,51
54,47,2,14.0,53
55,49,2,12.142857142857142,53
56,49,2,10.142857142857142,53
57,52,2,7.857142857142858,59
58,52,2,7.0,69
59,52,2,8.571428571428571,82
60,52,2,12.0,82
61,52,2,15.428571428571427,82
62,52,2,19.142857142857142,82
63,52,2,23.0,83
64,52,2,36.0,150
65,52,2,50.28571428571429,169
66,52,2,63.0,171
67,52,2,82.0,215
68,57,2,104.85714285714286,247
69,64,2,127.14285714285714,250
70,68,2,150.42857142857142,262
71,89,2,166.57142857142858,300
72,89,3,181.7142857142857,313
73,302,3,166.42857142857142,315
74,302,3,146.28571428571428,325
75,302,3,124.28571428571428,339
76,302,3,103.0,340
77,302,5,82.0,352
78,302,5,59.42857142857143,358
79,302,5,36.57142857142857,368
80,302,5,46.42857142857143,386
81,304,5,56.57142857142857,400
82,307,5,65.28571428571429,407
83,316,5,80.57142857142857,463
84,329,6,98.14285714285714,503
85,329,6,114.85714285714286,503
86,329,6,133.28571428571428,525
87,329,6,155.85714285714286,572
88,338,6,179.14285714285714,598
89,340,6,202.14285714285717,602
90,340,6,226.14285714285717,656
91,340,6,253.14285714285717,703
92,343,6,287.57142857142856,758
93,351,6,323.2857142857143,797
94,369,6,367.71428571428567,923
95,373,6,412.1428571428572,944
96,393,6,471.4285714285714,1070
97,393,6,529.4285714285714,1115
98,417,6,590.5714285714286,1208
99,449,7,645.5714285714286,1250
100,523,8,690.8571428571429,1288
101,640,8,727.4285714285713,1452
102,640,8,769.8571428571429,1510
103,736,8,786.8571428571429,1534
104,757,8,811.0,1650
105,860,8,818.0,1702
106,920,8,830.2857142857142,1808
107,948,8,859.0,1914
108,1037,11,893.5714285714287,2094
109,1065,14,934.4285714285713,2227
110,1135,14,1007.5714285714287,2451
111,1176,14,1106.0,2764
112,1232,14,1225.142857142857,2914
113,1348,14,1356.4285714285713,3161
114,1407,14,1496.7142857142858,3361
115,1490,15,1648.5714285714291,3614
116,1651,16,1790.2857142857142,3807
117,1654,16,1922.428571428572,3897
118,1724,16,2035.2857142857144,4104
119,1809,18,2140.5714285714284,4232
120,1896,18,2234.8571428571427,4373
121,1909,20,2328.857142857143,4527
122,1994,21,2402.428571428572,4639
123,2264,21,2462.142857142857,4843
124,2501,23,2504.285714285714,5046
125,2864,23,2488.0,5137
126,2976,23,2453.5714285714284,5163
127,3114,23,2415.285714285714,5328
128,3309,23,2336.5714285714284,5379
129,3518,23,2235.5714285714284,5458
130,3518,23,2154.428571428572,5531
131,4085,23,2018.857142857143,5681
132,4347,23,1903.142857142857,5810
133,4522,23,1790.4285714285709,5920
134,4640,23,1685.2857142857142,6118
135,4801,23,1577.7142857142858,6118
136,4890,23,1508.0,6342
137,5006,23,1437.0,6522
138,5139,23,1412.0,6560
139,5397,23,1379.2857142857142,6631
140,5397,23,1380.2857142857142,6802
141,5502,23,1367.0,6887
142,5698,23,1368.2857142857142,7024
143,5771,23,1353.0,7116
144,5915,23,1325.2857142857142,7237
145,6039,24,1300.2857142857142,7286
146,6133,24,1310.5714285714287,7440
147,6320,24,1283.0,7533
148,6499,24,1253.0,7675
