,Recovered,Deceased,Infected,I_c
0,0,0,2,2
1,0,0,3,3
2,0,0,3,3
3,0,0,4,4
4,0,0,5,5
5,0,0,6,6
6,0,0,6,6
7,0,0,6,6
8,0,0,7,7
9,0,0,7,7
10,0,0,8,8
11,0,0,10,10
12,0,0,10,10
13,0,0,17,17
14,0,0,20,20
15,0,0,21,21
16,0,0,30,30
17,0,0,31,31
18,0,0,34,34
19,2,0,41,43
20,5,0,38,43
21,8,0,43,51
22,11,1,70,82
23,14,1,80,95
24,17,1,87,105
25,20,2,94,116
26,23,2,129,154
27,26,2,152,180
28,29,2,197,228
29,32,3,225,260
30,35,3,238,276
31,38,3,246,287
32,41,4,265,310
33,44,4,268,316
34,47,4,275,326
35,50,5,309,364
36,81,6,288,375
37,81,6,313,400
38,103,6,304,413
39,120,6,384,510
40,124,7,414,545
41,192,8,405,605
42,192,8,432,632
43,203,10,508,721
44,230,13,519,762
45,258,14,540,812
46,312,15,515,842
47,342,16,493,851
48,396,16,450,862
49,441,16,416,873
50,491,16,379,886
51,520,16,375,911
52,619,16,284,919
53,634,16,305,955
54,638,16,332,986
55,722,16,255,993
56,749,16,271,1036
57,792,16,263,1071
58,834,16,260,1110
59,834,16,278,1128
60,856,16,270,1142
61,861,17,285,1163
62,872,17,300,1189
63,872,17,335,1224
64,973,17,281,1271
65,994,17,267,1278
66,1022,17,272,1311
67,1022,17,336,1375
68,1076,17,349,1442
69,1111,19,346,1476
70,1130,19,381,1530
71,1130,19,413,1562
72,1130,19,457,1606
73,1170,20,436,1626
74,1204,20,431,1655
75,1227,20,459,1706
76,1252,21,489,1762
77,1277,21,545,1843
78,1337,23,519,1879
79,1390,25,529,1944
80,1489,26,470,1985
81,1489,26,532,2047
82,1514,27,535,2076
83,1592,27,532,2151
84,1624,27,530,2181
85,1722,27,452,2201
86,1722,28,469,2219
87,1722,28,504,2254
88,1833,30,420,2283
89,1878,30,413,2321
90,1987,30,360,2377
91,1987,30,397,2414
92,2011,34,414,2459
93,2067,37,395,2499
94,2147,37,344,2528
95,2176,37,367,2580
96,2178,38,389,2605
97,2220,41,384,2645
98,2279,41,364,2684
99,2311,45,382,2738
100,2358,49,386,2793
101,2358,51,410,2819
102,2389,53,420,2862
103,2442,53,424,2919
104,2484,53,411,2948
105,2515,59,431,3005
106,2534,59,437,3030
107,2574,61,578,3213
108,2592,62,702,3356
109,2630,65,773,3468
110,2727,65,790,3582
111,2765,65,833,3663
112,2784,65,970,3819
113,2830,65,1029,3924
114,2873,65,1114,4052
115,2929,65,1229,4223
116,3048,65,1251,4364
117,3176,65,1193,4434
118,3276,66,1186,4528
119,3389,68,1197,4654
120,3484,73,1275,4832
121,3560,73,1310,4943
122,3660,73,1422,5155
123,3748,74,1576,5398
124,3873,79,1604,5556
125,4040,79,1708,5827
126,4217,79,1770,6066
127,4320,79,1851,6250
128,4320,81,1983,6384
129,4421,81,2036,6538
130,4592,83,2016,6691
131,4673,83,2095,6851
132,5025,84,1905,7014
133,5238,84,1776,7098
134,5381,84,1774,7239
135,5563,84,1644,7291
136,5805,84,1594,7483
137,5949,85,1589,7623
138,6061,85,1624,7770
139,6172,85,1677,7934
140,6401,85,1527,8013
141,6503,87,1503,8093
142,6598,87,1536,8221
143,6691,87,1636,8414
144,6691,87,1769,8547
145,6781,87,1881,8749
146,7069,87,1754,8910
147,7328,87,1630,9045
148,7443,87,1767,9297
149,7560,87,1811,9458
150,7620,87,1976,9683
151,7694,87,2041,9822
152,7916,87,1994,9997
153,8121,87,2022,10230
154,8264,87,2089,10440
155,8455,87,2153,10695
156,8722,89,2127,10938
157,8902,91,2249,11242
158,9043,93,2339,11475
159,9225,95,2350,11670
160,9225,97,2506,11828
161,9642,98,2237,11977
162,9929,99,2094,12122
163,10180,101,1957,12238
164,10418,102,1919,12439
165,10480,103,2047,12630
166,10580,104,2217,12901
167,10800,107,2199,13106
168,11018,110,2232,13360
169,11388,112,2060,13560
170,11963,113,1633,13709
171,12139,114,1676,13929
172,12327,116,1806,14249
173,12431,117,1984,14532
174,12618,118,2076,14812
175,12830,121,2104,15055
176,13040,123,2137,15300
177,13200,125,2243,15568
178,13399,127,2343,15869
179,13618,129,2351,16098
180,13819,130,2450,16399
181,13998,131,2566,16695
182,14140,132,2724,16996
183,14190,133,2997,17320
184,14290,134,3199,17623
185,14399,137,3383,17919
186,14670,139,3418,18227
187,14870,140,3514,18524
188,15121,141,3597,18859
189,15239,142,3768,19149
190,15299,142,4069,19510
191,15564,143,4134,19841
192,15830,144,4203,20177
193,15830,144,4203,20177
