,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4596000.0,1.06708,4.44722,0.156579,0.00968756,6.47181,1.7406410084408463e-06
1,4596000.0,1.27049,4.84622,0.326056,0.0201732,7.05178,1.7406410084408463e-06
2,4596000.0,1.4602600000000001,5.32485,0.511584,0.031651900000000004,7.72835,1.7406410084408463e-06
3,4596000.0,1.64972,5.87691,0.7159409999999999,0.0442955,8.49835,1.7406410084408463e-06
4,4596000.0,1.84755,6.50169,0.9417840000000001,0.0582684,9.36393,1.7406410084408463e-06
5,4596000.0,2.05977,7.202030000000001,1.19181,0.0737378,10.3308,1.7406410084408463e-06
6,4596000.0,2.29093,7.98319,1.46888,0.0908798,11.4073,1.7406410084408463e-06
7,4595990.0,3.0862,8.98675,1.7776900000000002,0.10998599999999999,12.7427,3.9164422690474154e-06
8,4595990.0,3.85794,10.3296,2.1293900000000003,0.131746,14.4628,3.9164422690474154e-06
9,4595990.0,4.66936,12.0035,2.53613,0.156911,16.5727,3.9164422690474154e-06
10,4595980.0,5.56693,14.0269,3.0102700000000002,0.186246,19.104,6.0922435296539845e-06
11,4595980.0,6.5889,16.4378,3.5652199999999996,0.220581,22.1092,6.0922435296539845e-06
12,4595980.0,7.77066,19.2904,4.216080000000001,0.26085,25.6588,6.0922435296539845e-06
13,4595970.0,9.14816,22.6541,4.9802,0.308126,29.8408,8.268044790149531e-06
14,4595960.0,10.7604,26.6139,5.87774,0.363657,34.7616,1.04438460507561e-05
15,4595950.0,12.6512,31.2713,6.93227,0.42890100000000003,40.5482,1.261964731136267e-05
16,4595940.0,14.870999999999999,36.7471,8.1714,0.505566,47.3507,1.4795448571858216e-05
17,4595930.0,17.4783,43.1835,9.62754,0.595658,55.3463,1.6971249832464785e-05
18,4595920.0,20.5417,50.7484,11.3388,0.7015319999999999,64.7435,1.9147051093071354e-05
19,4595900.0,24.1413,59.6392,13.3498,0.825953,75.7875,2.349865361417347e-05
20,4595890.0,28.3713,70.08800000000001,15.7131,0.972173,88.7667,2.567445487478004e-05
21,4595870.0,33.3422,82.3675,18.4905,1.14401,104.02,3.0026057395882155e-05
22,4595840.0,39.1839,96.7984,21.7544,1.34595,121.946,3.655346117759084e-05
23,4595810.0,46.0488,113.758,25.5903,1.58328,143.012,4.3080864959299525e-05
24,4595780.0,54.1163,133.688,30.0982,1.86218,167.769,4.960826874100821e-05
25,4595740.0,63.5971,157.11,35.3958,2.18995,196.864,5.8311473783323464e-05
26,4595690.0,74.7385,184.636,41.6216,2.57514,231.055,6.919048008624529e-05
27,4595630.0,87.8315,216.983,48.9382,3.02782,271.237,8.224528764966266e-05
28,4595610.0,71.0395,246.90900000000002,57.4377,3.5536800000000004,310.105,8.659689017076477e-05
29,4595580.0,62.0235,269.58799999999997,66.8872,4.138330000000001,342.773,9.312429395247346e-05
30,4595550.0,57.6051,288.23400000000004,77.0851,4.76927,372.226,9.965169773418214e-05
31,4595520.0,55.9213,304.743,87.9214,5.4397199999999994,400.23400000000004,0.00010617910151589083
32,4595500.0,55.8808,320.237,99.3401,6.14619,427.853,0.00011053070403710397
33,4595460.0,56.8448,335.384,111.31700000000001,6.88722,455.723,0.0001192339090793082
34,4595420.0,66.2299,352.58099999999996,123.87200000000001,7.66401,486.298,0.00012793711412162345
35,4595380.0,73.9655,373.23900000000003,137.121,8.48374,521.064,0.0001366403191639387
36,4595300.0,97.008,380.537,171.59,9.33378,563.794,0.0001540467292484582
37,4595230.0,113.598,396.376,207.146,10.2106,616.148,0.00016927733807248213
38,4595140.0,126.865,417.755,244.422,11.1299,675.789,0.0001888595494177192
39,4595080.0,120.37299999999999,438.48699999999997,283.703,12.0986,736.738,0.00020191435698113658
40,4595010.0,118.072,455.381,324.692,13.1094,795.62,0.00021714496580516052
41,4594940.0,117.939,470.23699999999997,368.06,13.2236,853.957,0.00023237557462907343
42,4594870.0,119.213,484.06199999999995,412.76599999999996,13.3412,912.612,0.00024760618345309737
43,4594850.0,78.1345,486.31699999999995,458.38599999999997,13.4613,960.403,0.0002519577859743105
44,4594840.0,54.5958,473.524,503.44,13.5799,992.6669999999999,0.00025413358723480606
45,4594820.0,40.8258,453.298,546.9069999999999,13.6943,1015.95,0.0002584851897560192
46,4594810.0,32.5152,429.798,588.305,13.8033,1033.92,0.00026066099101651474
47,4594800.0,27.2734,405.277,627.44,13.9063,1048.61,0.0002628367922771213
48,4594790.0,23.773000000000003,380.93,664.28,14.0032,1061.18,0.0002650125935377279
49,4594780.0,21.2759,357.37199999999996,698.8710000000001,14.0943,1072.3,0.00026718839479822343
50,4594770.0,19.3705,334.9,731.305,14.1796,1082.33,0.00026936419605883
51,4594730.0,37.8355,318.819,761.855,14.2601,1096.97,0.00027806740110114525
52,4594690.0,48.248999999999995,310.809,791.31,14.3376,1118.55,0.0002867706061434605
53,4594660.0,54.2027,307.277,820.242,14.4137,1144.05,0.0002932980099251692
54,4594620.0,57.6866,306.231,848.97,14.4893,1171.83,0.0003020012149673734
55,4594580.0,59.8033,306.57,877.671,14.5649,1200.95,0.0003107044200096887
56,4594550.0,61.1637,307.681,906.442,14.6406,1230.92,0.00031723182379139736
57,4594510.0,62.1064,309.22700000000003,935.34,14.7167,1261.44,0.0003259350288337126
58,4594470.0,62.8188,311.019,964.395,14.7931,1292.37,0.00033463823387602787
59,4594430.0,63.405,312.955,993.6260000000001,14.8701,1323.62,0.0003433414389183431
60,4594400.0,63.9224,314.975,1023.04,14.9475,1355.13,0.0003498688427000518
61,4594360.0,64.403,317.05,1052.65,15.0254,1386.9,0.00035857204774225604
62,4594320.0,64.8645,319.16,1082.45,15.1039,1418.89,0.0003672752527845713
63,4594280.0,65.3167,321.297,1112.46,15.1829,1451.11,0.00037597845782688655
64,4594230.0,76.3198,326.134,1142.01,15.9966,1486.37,0.00038685746412969735
65,4594170.0,84.0716,334.88599999999997,1172.2,16.8278,1526.19,0.00039991227169322574
66,4594120.0,90.0861,346.061,1203.31,17.6843,1569.36,0.00041079127799603654
67,4594060.0,95.2065,358.84,1235.52,18.570999999999998,1615.25,0.0004238460855594539
68,4593990.0,99.9036,372.778,1268.95,19.4914,1663.57,0.00043907669438347785
69,4593930.0,104.44200000000001,387.64099999999996,1303.7,20.4481,1714.16,0.0004521315019468952
70,4593860.0,108.971,403.30800000000005,1339.84,21.4432,1766.98,0.00046736211077091916
71,4593790.0,113.57700000000001,419.727,1377.45,22.4787,1822.07,0.0004825927195949431
72,4593720.0,118.31200000000001,436.88,1416.6,23.5565,1879.47,0.000497823328418967
73,4593640.0,123.208,454.769,1457.34,24.6783,1939.25,0.0005152297385034865
74,4593570.0,128.285,473.41,1499.76,25.8461,2001.5,0.0005304603473275105
75,4593480.0,133.561,492.825,1543.91,27.0618,2066.31,0.0005500425586726365
76,4593400.0,139.046,513.0409999999999,1589.88,28.3273,2133.79,0.000567448968757267
77,4593350.0,110.699,525.395,1637.46,29.6373,2194.89,0.0005783279750600778
78,4593310.0,94.1333,526.312,1685.6,30.9627,2245.19,0.0005870311801023931
79,4593270.0,84.12899999999999,521.026,1733.51,32.2818,2289.09,0.0005957343851447083
80,4593230.0,77.7875,512.439,1780.77,33.5831,2329.03,0.0006044375901869126
81,4593190.0,73.4988,502.16,1827.17,34.8605,2366.4,0.0006131407952292278
82,4593150.0,70.3688,491.07599999999996,1872.58,36.1108,2401.97,0.0006218440002715431
83,4593110.0,67.9006,479.67900000000003,1916.96,37.3327,2436.16,0.0006305472053138583
84,4593070.0,65.8178,468.23800000000006,1960.3,38.5259,2469.24,0.0006392504103560626
85,4593040.0,63.9666,456.897,2002.59,39.6904,2501.35,0.0006457778141378823
86,4593000.0,62.2612,445.736,2043.86,40.8265,2532.58,0.0006544810191800865
87,4592970.0,60.6534,434.795,2084.12,41.9348,2563.0,0.0006610084229617952
88,4592920.0,72.2756,427.473,2123.49,43.0188,2596.19,0.000671887429264717
89,4592870.0,79.0655,425.042,2162.43,44.091,2633.81,0.0006827664355675278
90,4592810.0,83.1759,425.339,2201.29,45.1609,2674.05,0.0006958212431309452
91,4592760.0,85.8017,427.165,2240.25,46.2336,2715.93,0.000706700249433867
92,4592710.0,87.6065,429.855,2279.42,47.312,2758.87,0.0007175792557366778
93,4592660.0,88.9584,433.038,2318.86,48.3979,2802.59,0.0007284582620395996
94,4592600.0,90.06200000000001,436.509,2358.61,49.4922,2846.91,0.000741513069603017
95,4592550.0,91.0308,440.156,2398.68,50.5955,2891.74,0.0007523920759058278
96,4592490.0,91.9278,443.914,2439.09,51.7081,2937.02,0.0007654468834693562
97,4592440.0,92.788,447.75,2479.85,52.8303,2982.74,0.000776325889772167
98,4592380.0,93.6309,451.64300000000003,2520.96,53.9622,3028.88,0.0007893806973355844
99,4592330.0,94.4674,455.584,2562.43,55.104,3075.44,0.0008002597036385062
100,4592270.0,95.3035,459.566,2604.26,56.2557,3122.41,0.0008133145112019236
101,4592210.0,96.1425,463.587,2646.46,57.4175,3169.8,0.0008263693187653409
102,4592100.0,136.774,477.63599999999997,2689.34,58.598,3228.1,0.0008503031326315691
103,4591980.0,167.16299999999998,506.926,2735.48,58.598,3303.68,0.0008764127477585149
104,4591860.0,189.364,550.2040000000001,2780.43,58.598,3392.03,0.0009025223628853496
105,4591720.0,211.08700000000002,600.316,2829.37,58.598,3491.18,0.0009329835805333975
106,4591570.0,233.44799999999998,656.763,2882.85,58.598,3601.22,0.0009656205994419409
107,4591400.0,257.155,719.512,2941.4,58.598,3722.64,0.0010026092208716975
108,4591220.0,282.702,788.81,3005.57,58.598,3856.23,0.0010417736435619496
109,4591020.0,310.47,865.0889999999999,3075.93,58.598,4003.01,0.0010852896687734148
110,4590800.0,340.786,948.9119999999999,3153.11,58.598,4164.16,0.0011331572965059822
111,4590560.0,373.96,1040.95,3237.77,58.598,4341.02,0.0011853765267597627
112,4590400.0,333.865,1122.76,3329.6,59.0856,4514.95,0.0012201893469289127
113,4590230.0,315.122,1184.44,3427.43,59.6051,4674.88,0.0012571779683586692
114,4590060.0,308.423,1235.31,3529.99,60.1497,4828.83,0.0012941665897883148
115,4589880.0,308.567,1280.63,3636.59,60.7158,4981.32,0.001333331012478678
116,4589690.0,312.651,1323.34,3746.92,61.3016,5134.96,0.0013746712364295366
117,4589500.0,319.05400000000003,1365.1,3860.81,61.9063,5291.25,0.0014160114603803953
118,4589310.0,326.874,1406.85,3978.24,62.5299,5451.09,0.001457351684331254
119,4589070.0,363.736,1456.26,4099.43,63.1734,5622.51,0.0015095709145850345
120,4588820.0,393.342,1517.21,4225.32,63.8419,5810.17,0.0015639659460993105
121,4588560.0,419.335,1586.27,4356.74,64.5397,6011.47,0.0016205367788741931
122,4588280.0,447.64,1657.72,4499.18,65.2691,6226.24,0.0016814592141701779
123,4587990.0,474.041,1736.02,4648.21,66.0322,6454.46,0.0017445574507267692
124,4587680.0,499.906,1820.04,4804.38,66.8319,6695.58,0.0018120072898045736
125,4587350.0,526.023,1909.25,4968.16,67.6705,6949.54,0.0018838087314034802
126,4587190.0,411.935,1967.46,5138.92,68.5449,7178.82,0.0019186215515726301
127,4587040.0,345.619,1979.14,5312.56,69.434,7364.7,0.0019512585704811736
128,4586890.0,305.99,1965.37,5486.02,70.3222,7525.07,0.001983895589389717
129,4586750.0,281.29400000000004,1937.87,5657.6,71.2008,7669.91,0.002014356807037765
130,4586600.0,264.982,1903.17,5826.42,72.0652,7804.82,0.0020469938259463083
131,4586460.0,253.4,1864.92,5992.01,72.9131,7932.95,0.002077455043594356
132,4586330.0,244.512,1825.1,6154.17,73.7434,8056.08,0.0021057404599817975
133,4586190.0,237.18,1784.85,6312.8,74.5557,8175.23,0.0021362016776298454
134,4586060.0,230.771,1744.76,6467.89,75.3499,8291.0,0.0021644870940172867
135,4585940.0,224.84900000000002,1705.15,6620.26,75.3499,8403.73,0.0021905967091441214
136,4585810.0,219.328,1666.19,6769.16,75.3499,8513.64,0.0022188821255315627
137,4585690.0,214.081,1627.97,6914.65,75.3499,8620.88,0.0022449917406583975
