,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4571770.0,690.875,4414.47,15648.0,148.832,20214.3,0.005273707095374891
1,4571410.0,718.8960000000001,4552.07,15819.6,149.787,20524.6,0.005352035940755506
2,4571030.0,745.665,4696.26,15996.6,150.77200000000002,20846.9,0.005434716388657335
3,4570640.0,771.96,4846.44,16179.2,151.78799999999998,21180.8,0.005519572637819659
4,4570240.0,798.275,5002.29,16367.7,152.83700000000002,21526.3,0.005606604688242478
5,4569830.0,824.922,5163.68,16562.2,153.91899999999998,21883.5,0.005695812539925904
6,4569400.0,852.107,5330.58,16763.1,155.037,22252.4,0.005789371994130543
7,4568960.0,879.966,5503.05,16970.4,156.19,22633.5,0.005885107249595789
8,4568500.0,908.597,5681.2,17184.5,157.381,23027.1,0.005985194107582026
9,4568030.0,938.068,5865.16,17405.5,158.611,23433.4,0.00608745676682898
10,4567540.0,968.435,6055.09,17633.6,159.881,23852.8,0.006194071028597037
11,4567040.0,999.7439999999999,6251.15,17869.1,161.191,24285.8,0.006302861091625589
12,4566520.0,1032.03,6453.53,18112.3,162.54399999999998,24732.9,0.006416002757175354
13,4565990.0,1065.34,6662.43,18363.3,163.94099999999997,25194.3,0.006531320223985726
14,4565440.0,1099.71,6878.04,18622.4,165.38299999999998,25670.7,0.0066509892933172
15,4564870.0,1135.16,7100.57,18890.0,166.87099999999998,26162.4,0.006775009965169776
16,4564280.0,1171.74,7330.24,19166.2,168.408,26669.9,0.006903382239543565
17,4563670.0,1209.49,7567.29,19451.3,169.995,27193.9,0.007036106116438456
18,4563050.0,1248.43,7811.92,19745.6,171.632,27734.6,0.007171005794593954
19,4562400.0,1288.6,8064.39,20049.5,173.32299999999998,28292.8,0.007312432876531161
20,4561730.0,1330.05,8324.95,20363.1,175.06799999999998,28869.0,0.0074582115609894695
21,4561040.0,1372.82,8593.83,20686.9,176.87,29463.7,0.00760834184796888
22,4560330.0,1416.94,8871.31,21021.2,178.73,30077.4,0.007762823737469615
23,4559600.0,1462.45,9157.66,21366.2,180.65,30711.0,0.007921657229491341
24,4558840.0,1509.4,9453.15,21722.4,182.632,31364.8,0.008087018125294776
25,4558060.0,1557.84,9758.06,22090.1,184.678,32039.7,0.008256730623619424
26,4557250.0,1607.8,10072.7,22469.6,186.79,32736.2,0.00843297052572578
27,4556420.0,1659.34,10397.3,22861.4,188.96900000000002,33455.0,0.00861356203035335
28,4555560.0,1712.49,10732.3,23265.8,191.22,34196.8,0.008800680938762517
29,4554670.0,1767.32,11078.0,23683.2,193.542,34962.5,0.008994327250953393
30,4553760.0,1823.87,11434.6,24114.1,195.94,35752.6,0.009192325165665483
31,4552810.0,1882.19,11802.5,24558.8,198.41400000000002,36568.0,0.009399026285419887
32,4551840.0,1942.33,12182.1,25017.8,200.968,37409.4,0.009610079007695393
33,4550830.0,2004.36,12573.8,25491.6,203.605,38277.8,0.009829834935013215
34,4549790.0,2068.32,12977.8,25980.6,206.326,39173.8,0.010056118266112635
35,4548720.0,2134.28,13394.6,26485.4,209.13400000000001,40098.5,0.010288929000993874
36,4547620.0,2202.29,13824.6,27006.3,212.033,41052.6,0.010528267139656822
37,4546480.0,2272.41,14268.1,27543.9,215.025,42037.1,0.010776308483362085
38,4545300.0,2344.71,14725.7,28098.9,218.112,43052.9,0.011033053032109552
39,4544090.0,2419.25,15197.6,28671.5,221.299,44101.1,0.01129632498463884
40,4542840.0,2496.09,15684.4,29262.6,224.588,45182.5,0.01156830014221033
41,4541550.0,2575.3,16186.5,29872.5,227.982,46298.3,0.011848978504824137
42,4540210.0,2656.96,16704.3,30502.0,231.484,47449.5,0.012140535873740865
43,4538840.0,2741.12,17238.4,31151.7,235.09900000000002,48637.2,0.012438620646439302
44,4537420.0,2827.87,17789.2,31822.0,238.829,49862.5,0.01274758442544055
45,4535960.0,2917.28,18357.2,32513.8,242.678,51126.5,0.013065251409484002
46,4534450.0,3009.41,18942.9,33227.7,246.65099999999998,52430.5,0.013393797399830487
47,4532890.0,3104.36,19546.9,33964.3,250.75,53775.6,0.013733222396479783
48,4531290.0,3202.2,20169.6,34724.5,254.979,55163.2,0.014081350598171283
49,4529630.0,3303.01,20811.8,35508.8,259.343,56594.4,0.014442533607426311
50,4527920.0,3406.87,21473.8,36318.1,263.847,58070.7,0.01481459562298415
51,4526160.0,3513.87,22156.3,37153.1,268.493,59593.4,0.0151975366448448
52,4524340.0,3624.09,22860.0,38014.7,273.28700000000003,61163.9,0.015593532474268978
53,4522470.0,3737.62,23585.3,38903.6,278.233,62783.6,0.016000407309995968
54,4520540.0,3854.56,24333.0,39820.7,283.336,64454.0,0.016420336953286374
55,4518540.0,3974.99,25103.7,40766.8,288.601,66176.6,0.016855497205400916
56,4516490.0,4099.01,25898.1,41742.9,294.032,67953.0,0.017301536463818157
57,4514370.0,4226.72,26716.7,42749.9,299.635,69784.8,0.017762806331059422
58,4512190.0,4358.21,27560.4,43788.7,305.415,71673.7,0.018237131005864216
59,4509940.0,4493.57,28429.8,44860.3,311.378,73621.2,0.018726686289492922
