,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2374120.0,6.36851,22.0436,-0.0775975,0.0775975,41.4873,1.0951306280260198e-05
1,2374110.0,10.6734,25.0137,-0.16330799999999998,0.16330799999999998,44.4724,1.516334715723211e-05
2,2374100.0,15.2975,29.5367,-0.26268600000000003,0.26268600000000003,49.0116,1.9375388034315044e-05
3,2374090.0,20.5539,35.7784,-0.38169000000000003,0.38169000000000003,55.2717,2.3587428911286956e-05
4,2374080.0,26.768,44.0159,-0.527085,0.527085,63.531000000000006,2.7799469788258868e-05
5,2374060.0,34.3005,54.6455,-0.706867,0.706867,74.187,3.6223551542313714e-05
6,2374050.0,29.8409,65.819,-0.927869,0.927869,85.3449,4.0435592419285626e-05
7,2374040.0,27.1102,75.7477,-1.1873799999999999,1.1873799999999999,95.2639,4.464763329636856e-05
8,2374040.0,25.6322,84.9491,-1.48181,1.48181,104.46,4.464763329636856e-05
9,2374030.0,25.0729,93.8006,-1.8092400000000002,1.8092400000000002,113.31,4.885967417334047e-05
10,2374020.0,25.1987,102.581,-2.1689,2.1689,122.09,5.307171505042341e-05
11,2374010.0,25.8476,111.499,-2.56093,2.56093,131.011,5.728375592739532e-05
12,2373950.0,57.6104,90.075,33.575,2.9249,146.19799999999998,8.255600118944884e-05
13,2373900.0,59.8462,79.6752,64.3356,3.23473,166.87599999999998,0.00010361620557453044
14,2373900.0,43.4723,88.3226,73.2819,3.5444400000000003,184.72299999999998,0.00010361620557453044
15,2373890.0,32.794000000000004,91.6649,82.8431,3.87543,197.92,0.00010782824645161337
16,2373880.0,25.7384,91.7693,92.574,4.21229,208.067,0.00011204028732858529
17,2373880.0,20.9925,89.9373,102.206,4.545719999999999,216.183,0.00011204028732858529
18,2373870.0,17.7241,86.9865,111.579,4.8702,222.919,0.0001162523282055572
19,2373870.0,15.4059,83.4282,120.605,5.18265,228.69099999999997,0.0001162523282055572
20,2373860.0,13.7031,79.5805,129.236,5.48146,233.767,0.00012046436908264013
21,2373860.0,12.4031,75.6393,137.454,5.76595,238.324,0.00012046436908264013
22,2373850.0,11.3705,71.7237,145.256,6.03602,242.477,0.00012467640995961204
23,2373850.0,10.5189,67.9042,152.64700000000002,6.2919,246.301,0.00012467640995961204
24,2373840.0,9.79311,64.2208,159.641,6.53402,249.852,0.00012888845083658396
25,2373840.0,9.15739,60.6949,166.253,6.762919999999999,253.165,0.00012888845083658396
26,2373830.0,12.0862,57.9585,172.523,6.97998,256.926,0.0001331004917136669
27,2373830.0,13.9585,56.2876,178.56400000000002,7.189089999999999,261.51099999999997,0.0001331004917136669
28,2373820.0,15.1626,55.291000000000004,184.46599999999998,7.393389999999999,266.625,0.0001373125325906388
29,2373810.0,15.9438,54.7212,190.28599999999997,7.59488,272.079,0.00014152457346772174
30,2373800.0,16.4577,54.4215,196.06099999999998,7.794810000000001,277.756,0.00014573661434469365
31,2373790.0,16.8024,54.293,201.81400000000002,7.99397,283.58099999999996,0.00014994865522166556
32,2373780.0,20.3327,54.8471,207.58,8.19358,290.11400000000003,0.0001541606960987485
33,2373770.0,23.1255,56.3808,213.46,8.397110000000001,297.74,0.0001583727369757204
34,2373760.0,25.4843,58.6026,219.54,8.60758,306.26,0.00016258477785280334
35,2373740.0,27.6026,61.3317,225.882,8.82715,315.559,0.00017100885960674717
36,2373730.0,29.605,64.458,232.53599999999997,9.05748,325.57599999999996,0.0001752209004838301
