,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,1,1
7,0,0,1,1
8,0,0,1,1
9,0,0,1,1
10,0,0,1,1
11,0,0,1,1
12,0,0,1,1
13,0,0,1,1
14,0,0,2,2
15,0,0,2,2
16,0,0,2,2
17,0,0,2,2
18,0,0,2,2
19,0,0,2,2
20,0,0,2,2
21,0,0,2,2
22,0,0,2,2
23,0,0,2,2
24,0,0,2,2
25,0,0,2,2
26,0,0,2,2
27,1,0,1,2
28,1,0,1,2
29,1,0,1,2
30,1,0,1,2
31,1,0,1,2
32,1,0,1,2
33,1,0,2,3
34,1,0,1,2
35,2,0,0,2
36,2,0,1,3
37,2,0,1,3
38,2,0,10,12
39,2,0,10,12
40,2,0,10,12
41,2,0,11,13
42,2,0,11,13
43,2,0,26,28
44,2,0,26,28
45,2,0,38,40
46,2,0,48,50
47,2,0,53,55
48,2,0,58,60
49,18,0,44,62
50,18,2,47,67
51,20,2,46,68
52,21,3,71,95
53,21,3,76,100
54,21,3,89,113
55,34,3,77,114
56,34,3,91,128
57,45,4,83,132
58,45,4,160,209
59,45,4,168,217
60,45,4,178,227
61,59,5,193,257
62,59,5,216,280
63,59,6,222,287
64,80,6,251,337
65,80,6,274,360
66,97,6,278,381
67,139,6,268,413
68,170,6,238,414
69,185,7,263,455
70,195,7,263,465
71,214,7,296,517
72,243,7,280,530
73,254,7,288,549
74,333,7,214,554
75,346,7,220,573
76,381,7,199,587
77,383,7,201,591
78,431,7,164,602
79,451,7,183,641
80,458,7,220,685
81,535,7,145,687
82,559,7,121,687
83,577,7,165,749
84,584,8,171,763
85,602,8,199,809
86,621,8,190,819
87,637,8,208,853
88,664,8,214,886
89,703,8,199,910
90,714,8,193,915
91,735,8,202,945
92,763,8,206,977
93,800,8,184,992
94,822,8,164,994
95,846,8,170,1024
96,854,8,203,1065
97,886,9,179,1074
98,906,9,166,1081
99,944,9,136,1089
100,954,9,130,1093
101,987,9,124,1120
102,999,9,138,1146
103,1027,9,110,1146
104,1037,9,122,1168
105,1037,9,168,1214
106,1040,9,245,1294
107,1063,12,228,1303
108,1090,12,233,1335
109,1108,15,219,1342
110,1137,15,261,1413
111,1181,15,240,1436
112,1216,15,275,1506
113,1232,15,259,1506
114,1240,15,299,1554
115,1250,15,427,1692
116,1303,15,425,1743
117,1323,15,409,1747
118,1386,16,441,1843
119,1411,16,487,1914
120,1411,17,629,2057
121,1491,22,598,2111
122,1542,22,586,2150
123,1585,24,595,2204
124,1743,24,528,2295
125,1802,24,498,2324
126,1836,24,509,2369
127,1926,24,462,2412
128,1957,27,443,2427
129,1991,30,482,2503
130,2089,30,432,2551
131,2166,30,451,2647
132,2191,31,425,2647
133,2197,31,524,2752
134,2283,31,438,2752
135,2335,31,458,2824
136,2375,31,473,2879
137,2411,31,449,2891
138,2441,31,487,2959
139,2469,31,639,3139
140,2480,32,682,3194
141,2480,33,681,3194
142,2732,33,493,3258
143,2824,35,399,3258
144,2824,35,433,3292
145,2969,36,300,3305
146,2969,37,328,3334
147,3000,37,342,3379
148,3065,37,288,3390
149,3073,37,330,3440
150,3196,37,270,3503
151,3229,39,235,3503
152,3247,39,273,3559
153,3249,40,309,3598
154,3283,41,307,3631
155,3293,42,356,3691
156,3341,42,325,3708
157,3362,42,371,3775
158,3418,42,345,3805
159,3491,43,310,3844
160,3528,43,327,3898
161,3698,44,211,3953
162,3771,44,201,4016
163,3818,44,208,4070
164,3866,45,174,4085
165,3899,46,204,4149
166,3910,47,232,4189
167,3940,47,238,4225
168,4000,47,223,4270
169,4230,47,30,4307
170,4231,47,98,4376
171,4240,47,135,4422
172,4260,48,151,4459
173,4272,48,172,4492
174,4299,48,189,4536
175,4345,48,195,4588
176,4350,48,237,4635
177,4399,49,226,4674
178,4442,51,218,4711
179,4449,52,254,4755
180,4489,53,263,4805
181,4517,53,294,4864
182,4580,54,355,4989
183,4620,56,423,5099
184,4733,57,392,5182
185,4755,57,432,5244
186,4829,57,417,5303
187,4920,58,423,5401
188,5100,59,325,5484
189,5200,60,311,5571
190,5277,60,361,5698
191,5343,61,363,5767
192,5358,62,409,5829
193,5358,62,409,5829
