,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2235750.0,1927.43,657.426,5471.0,55.7206,6185.68,0.008651326830907857
1,2235150.0,1999.42,685.175,5599.34,56.6545,6342.77,0.008917371426189646
2,2234520.0,2074.6,713.42,5733.04,57.6273,6505.74,0.009196718251235692
3,2233870.0,2152.92,742.304,5872.19,58.6398,6674.85,0.009484933229457648
4,2233190.0,2234.41,771.945,6016.93,59.693000000000005,6850.35,0.009786450437443861
5,2232490.0,2319.08,802.442,6167.43,60.7881,7032.5,0.010096835798605985
6,2231760.0,2406.99,833.877,6323.84,61.9262,7221.56,0.010420523389532255
7,2231000.0,2498.19,866.324,6486.36,63.1088,7417.78,0.010757513210222669
8,2230220.0,2592.75,899.8480000000001,6655.18,64.3372,7621.44,0.011103371184089106
9,2229400.0,2690.76,934.5089999999999,6830.53,65.6131,7832.79,0.011466965464307699
10,2228560.0,2792.3,970.3589999999999,7012.61,66.938,8052.13,0.011839427897702315
11,2227680.0,2897.45,1007.45,7201.66,68.3137,8279.74,0.012229626637449087
12,2226770.0,3006.32,1045.84,7397.93,69.7418,8515.91,0.012633127606959893
13,2225830.0,3119.0,1085.56,7601.67,71.2243,8760.94,0.013049930806234844
14,2224850.0,3235.6,1126.67,7813.13,72.763,9015.14,0.013484470311861951
15,2223840.0,3356.21,1169.21,8032.59,74.3599,9278.84,0.013932312047253093
16,2222790.0,3480.96,1213.23,8260.32,76.017,9552.35,0.01439789008899639
17,2221700.0,3609.94,1258.77,8496.62,77.7364,9836.0,0.014881204437091733
18,2220570.0,3743.26,1305.88,8741.77,79.5202,10130.2,0.015382255091539343
19,2219390.0,3881.04,1354.61,8996.08,81.3707,10435.2,0.01590547612892701
20,2218180.0,4023.38,1404.99,9259.87,83.2902,10751.4,0.01644199939607882
21,2216920.0,4170.4,1457.08,9533.45,85.2809,11079.1,0.01700069304617069
22,2215620.0,4322.21,1510.92,9817.16,87.3453,11418.9,0.017577123002614825
23,2214270.0,4478.9,1566.55,10111.3,89.4858,11770.9,0.018175723341999017
24,2212870.0,4640.61,1624.03,10416.3,91.705,12135.8,0.018796494064323377
25,2211420.0,4807.42,1683.39,10732.5,94.0055,12513.7,0.019439435169587904
26,2209920.0,4979.45,1744.69,11060.2,96.3899,12905.2,0.0201045466577926
27,2208370.0,5156.79,1807.96,11399.8,98.861,13310.7,0.02079182852893746
28,2206770.0,5339.56,1873.26,11751.6,101.42200000000001,13730.6,0.02150128078302249
29,2205100.0,5527.84,1940.62,12116.2,104.074,14165.3,0.022241771573223712
30,2203390.0,5721.74,2010.09,12493.9,106.822,14615.3,0.022999998669776978
31,2201610.0,5921.33,2081.71,12885.0,109.66799999999999,15081.1,0.023789264302446544
32,2199770.0,6126.7,2155.52,13290.0,112.616,15563.1,0.02460513439464429
33,2197870.0,6337.94,2231.56,13709.4,115.667,16061.7,0.025447608946370326
34,2195900.0,6555.12,2309.88,14143.5,118.82600000000001,16577.5,0.02632112203421244
35,2193870.0,6778.29,2390.5,14592.9,122.095,17110.9,0.027221239581582846
36,2191770.0,7007.52,2473.46,15057.8,125.479,17662.3,0.02815239566506933
37,2189610.0,7242.86,2558.8,15538.9,128.97899999999998,18232.4,0.029110156208084104
38,2187370.0,7484.35,2646.53,16036.4,132.6,18821.6,0.03010338936380308
39,2185060.0,7732.02,2736.71,16551.0,136.344,19430.3,0.031127661055638356
40,2182670.0,7985.9,2829.33,17083.1,140.216,20059.0,0.032187405360177834
41,2180210.0,8245.98,2924.44,17633.1,144.218,20708.4,0.0332781882008335
42,2177670.0,8512.27,3022.04,18201.6,148.35399999999998,21378.8,0.034404443654193484
43,2175050.0,8784.76,3122.15,18788.9,152.628,22070.7,0.03556617172025767
44,2172360.0,9063.4,3224.78,19395.7,157.043,22784.7,0.03675893832243804
45,2169570.0,9348.17,3329.93,20022.3,161.602,23521.3,0.03799604569049875
46,2166710.0,9638.98,3437.61,20669.2,166.31,24280.8,0.03926419159467576
47,2163760.0,9935.78,3547.81,21337.0,171.169,25063.9,0.04057224418814498
48,2160720.0,10238.5,3660.52,22026.1,176.183,25870.9,0.041920203470906525
49,2157590.0,10546.9,3775.73,22736.9,181.356,26702.4,0.043308069442960284
50,2154380.0,10861.0,3893.41,23470.1,186.69,27558.9,0.044731408027718245
51,2151070.0,11180.5,4013.53,24225.9,192.19,28440.6,0.04619908737835665
52,2147670.0,11505.4,4136.06,25005.0,197.859,29348.1,0.04770667341828727
53,2144170.0,11835.4,4260.95,25807.8,203.7,30281.9,0.049258600224098226
54,2140580.0,12170.2,4388.15,26634.6,209.717,31242.2,0.050850433719201504
55,2136900.0,12509.7,4517.62,27486.0,215.912,32229.5,0.052482173903596996
56,2133110.0,12853.6,4649.27,28362.3,222.28799999999998,33244.1,0.054162688930460834
57,2129230.0,13201.6,4783.03,29264.0,228.85,34286.5,0.055883110646616996
58,2125250.0,13553.3,4918.82,30191.5,235.59900000000002,35356.8,0.05764787312865338
59,2121170.0,13908.5,5056.55,31145.2,242.53799999999998,36455.4,0.059456976376570214
60,2117000.0,14266.7,5196.1,32125.3,249.67,37582.5,0.06130598631377915
61,2112720.0,14627.6,5337.38,33132.3,256.997,38738.4,0.06320377109345654
62,2108340.0,14990.8,5480.25,34166.5,264.522,39923.3,0.06514589663901427
63,2103860.0,15355.7,5624.59,35228.1,272.247,41137.3,0.06713236295045233
64,2099280.0,15722.1,5770.25,36317.5,280.17400000000004,42380.5,0.06916317002777062
