,Recovered,Deceased,Infected,I_c
0,0,0,3.8571428571428568,10
1,0,0,5.285714285714286,11
2,0,0,6.857142857142858,13
3,0,0,8.714285714285714,15
4,0,0,10.571428571428571,16
5,0,0,12.285714285714285,16
6,0,0,14.571428571428573,21
7,0,0,16.714285714285715,25
8,0,0,18.857142857142858,26
9,0,0,23.57142857142857,46
10,0,0,33.0,81
11,0,0,43.28571428571429,88
12,0,0,54.57142857142857,95
13,7,0,66.28571428571429,110
14,15,1,81.71428571428571,149
15,23,1,96.85714285714286,156
16,30,2,109.0,163
17,38,2,116.28571428571428,172
18,46,3,122.71428571428572,182
19,53,4,129.57142857142858,200
20,61,4,135.42857142857142,209
21,69,5,136.42857142857142,214
22,76,5,137.28571428571428,219
23,84,6,137.42857142857142,222
24,92,6,137.85714285714286,233
25,99,7,138.0,240
26,107,8,142.57142857142858,290
27,115,8,148.42857142857142,308
28,122,9,161.57142857142858,363
29,130,9,176.0,378
30,138,10,193.85714285714286,405
31,145,10,217.7142857142857,457
32,153,11,246.57142857142856,500
33,161,12,272.2857142857143,528
34,195,12,298.42857142857144,575
35,195,13,332.42857142857144,678
36,210,15,376.4285714285714,772
37,214,15,437.0,910
38,222,16,515.0,1086
39,223,17,612.7142857142858,1260
40,250,17,732.8571428571429,1463
41,267,18,886.5714285714287,1729
42,319,20,1057.7142857142858,2007
43,330,22,1262.2857142857142,2331
44,339,23,1491.4285714285709,2647
45,374,25,1748.4285714285709,3046
46,545,28,1995.857142857143,3325
47,639,29,2277.285714285714,3834
48,706,33,2590.0,4372
49,749,40,2936.4285714285716,4882
50,749,43,3292.285714285714,5262
51,758,45,3656.4285714285716,5637
52,783,49,4009.0,5947
53,1202,52,4333.714285714285,6279
54,1476,54,4628.714285714285,6761
55,1600,57,4890.857142857143,7125
56,1922,59,5119.857142857143,7677
57,2823,61,5245.571428571428,8234
58,3048,68,5367.142857142857,8801
59,3773,70,5426.0,9370
60,4051,75,5546.571428571428,9995
61,4844,81,5607.428571428572,10582
62,5135,87,5670.428571428572,11131
63,5492,94,5721.571428571428,11640
64,5800,98,5857.857142857143,12202
65,6304,109,5952.571428571428,12761
66,6895,116,6072.7142857142835,13379
67,7321,122,6170.2857142857165,13995
68,7891,132,6330.142857142857,14799
69,8181,141,6549.428571428572,15766
70,8554,153,6808.571428571428,16575
71,9034,153,7108.0,17587
72,9459,167,7496.428571428572,18693
73,10210,179,7932.428571428572,19809
74,10572,198,8456.857142857143,20993
75,10954,213,9057.714285714286,22149
76,11256,225,9682.42857142857,23298
77,11730,241,10354.714285714286,24545
78,12591,257,11024.571428571433,25937
79,13808,276,11631.285714285714,27398
80,14723,291,12272.714285714286,28924
81,15947,314,12838.428571428567,30444
82,16881,344,13365.428571428567,31896
83,17476,379,13875.714285714286,33244
84,18565,419,14259.571428571433,34245
85,19027,458,14685.571428571433,35556
86,19686,498,15195.857142857143,37070
87,21098,526,15594.857142857143,38327
88,21796,556,16038.571428571433,39641
89,22887,598,16469.428571428572,41172
90,23756,620,16896.14285714286,42752
91,24670,642,17415.0,44205
92,26472,665,17787.285714285714,45814
93,27986,691,18085.428571428565,47650
94,28823,727,18576.428571428565,49690
95,31045,773,18946.714285714286,51699
96,31858,806,19434.0,53762
97,33441,843,19906.714285714286,55969
98,34828,885,20438.285714285714,58327
99,36826,926,21024.571428571428,60533
100,38947,961,21555.571428571428,62598
101,40111,993,22047.714285714286,64689
102,41309,1030,22664.571428571428,66538
103,42309,1051,23206.857142857134,68254
104,44882,1079,23545.571428571428,70017
105,47735,1117,23511.857142857134,71230
106,49587,1143,23367.42857142857,72500
107,52287,1166,23022.42857142857,73728
108,55156,1193,22313.142857142866,74969
109,56947,1218,21426.571428571428,76158
110,58615,1250,20366.428571428565,77338
111,60694,1274,19302.0,78573
112,62552,1292,18364.85714285714,79662
113,64036,1315,17484.85714285714,80961
114,65748,1338,16737.285714285714,82128
115,67077,1373,16209.714285714286,83377
116,68193,1404,15782.285714285714,84598
117,69382,1431,15435.571428571433,85859
118,70651,1453,15225.0,87235
119,71949,1472,15101.857142857143,88377
120,73681,1936,14863.857142857143,89561
121,75384,1944,14653.857142857143,90900
122,76494,1966,14485.142857142857,92206
123,77625,1986,14331.571428571433,93537
124,78940,2008,14146.0,94695
125,80761,2029,13851.142857142857,95857
126,81530,2053,13551.0,96438
