,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4937550.0,0.683766,1.20896,0.025665399999999998,0.000998957,1.23635,2.0252955357236146e-07
1,4937550.0,0.897374,1.4909299999999999,0.05704159999999999,0.00222019,1.55179,2.0252955357236146e-07
2,4937550.0,1.15496,1.8587200000000001,0.0959735,0.00373551,1.96105,2.0252955357236146e-07
3,4937550.0,1.4721799999999998,2.33066,0.14466800000000002,0.00563082,2.48484,2.0252955357236146e-07
4,4937550.0,1.86736,2.93129,0.20583200000000001,0.00801145,3.1506,2.0252955357236146e-07
5,4937540.0,2.36267,3.69255,0.282827,0.0110083,3.99384,2.2278250898510876e-06
6,4937540.0,2.9855,4.65536,0.379864,0.0147852,5.05995,2.2278250898510876e-06
7,4937540.0,3.77,5.87172,0.5022310000000001,0.019548,6.406569999999999,2.2278250898510876e-06
8,4937540.0,4.75898,7.40753,0.656591,0.025556,8.106710000000001,2.2278250898510876e-06
9,4937530.0,6.00634,9.346119999999999,0.8513379999999999,0.033136,10.2526,4.2531206260187915e-06
10,4937530.0,7.5799199999999995,11.7928,1.0970600000000001,0.0427001,12.9608,4.2531206260187915e-06
11,4937520.0,9.5653,14.8803,1.40711,0.054768,16.3785,6.278416162186495e-06
12,4937520.0,12.0704,18.7766,1.79835,0.06999580000000001,20.6912,6.278416162186495e-06
13,4937510.0,15.2314,23.6933,2.29202,0.0892108,26.1334,8.3037116983542e-06
14,4937500.0,19.22,29.8975,2.9149700000000003,0.11345699999999999,33.0008,1.0329007234521903e-05
15,4937480.0,24.253,37.7264,3.7010400000000003,0.144053,41.6665,1.4379598306968333e-05
16,4937460.0,30.6038,47.6053,4.69295,0.18266,52.6013,1.843018937930374e-05
17,4937440.0,38.6176,60.0711,5.9446,0.231377,66.3996,2.248078045163915e-05
18,4937410.0,48.7297,75.8012,7.524,0.29285100000000003,83.811,2.8556667060253282e-05
19,4937410.0,35.7612,90.51100000000001,9.47728,0.36887800000000004,100.49799999999999,2.8556667060253282e-05
20,4937400.0,27.3307,100.697,11.7184,0.45610600000000007,112.979,3.0581962596420986e-05
21,4937400.0,21.8697,107.931,14.161,0.551179,122.729,3.0581962596420986e-05
