,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2486750.0,0.567649,1.89885,0.13112000000000001,0.00351051,2.03416,-8.042632386739967e-07
1,2486740.0,1.17072,1.8721400000000001,0.257907,0.00690501,2.13835,3.2170529542518977e-06
2,2486740.0,1.83434,1.92041,0.385385,0.010318,2.31832,3.2170529542518977e-06
3,2486740.0,2.58664,2.0472799999999998,0.5187149999999999,0.013887700000000001,2.58299,3.2170529542518977e-06
4,2486740.0,3.45994,2.2596,0.663408,0.0177616,2.94492,3.2170529542518977e-06
5,2486740.0,4.49217,2.5678099999999997,0.825557,0.0221028,3.42086,3.2170529542518977e-06
6,2486740.0,5.72848,2.9864900000000003,1.01209,0.027097000000000003,4.03255,3.2170529542518977e-06
7,2486730.0,7.2233,3.53495,1.23108,0.03296,4.80766,7.238369147177792e-06
8,2486730.0,9.04267,4.23822,1.4920799999999999,0.0399478,5.78109,7.238369147177792e-06
9,2486730.0,11.2672,5.12807,1.80655,0.0483672,6.996510000000001,7.238369147177792e-06
10,2486720.0,13.9955,6.24456,2.18837,0.058589699999999995,8.50831,1.1259685340103687e-05
11,2486720.0,17.349,7.637739999999999,2.65443,0.0710677,10.3841,1.1259685340103687e-05
12,2486710.0,21.4767,9.36995,3.2254099999999997,0.0863547,12.7075,1.528100153291856e-05
13,2486700.0,26.5624,11.5186,3.9266699999999997,0.10513,15.5823,1.9302317725844453e-05
14,2486690.0,32.8324,14.1796,4.78938,0.128227,19.1366,2.3323633918659326e-05
15,2486670.0,40.5658,17.4716,5.85193,0.156675,23.5289,3.136626630440009e-05
16,2486650.0,50.1071,21.5415,7.161630000000001,0.19174000000000002,28.955,3.940889869014086e-05
17,2486630.0,61.8811,26.5706,8.776769999999999,0.23498200000000002,35.6566,4.7451531075881626e-05
18,2486630.0,52.3398,31.3978,10.7387,0.28751,42.4868,4.7451531075881626e-05
19,2486630.0,44.375,34.8897,12.9802,0.347521,48.2706,4.7451531075881626e-05
20,2486630.0,37.7199,37.3025,15.4198,0.41283800000000004,53.1804,4.7451531075881626e-05
21,2486630.0,32.1533,38.8471,17.9922,0.48170799999999997,57.3595,4.7451531075881626e-05
22,2486630.0,27.4914,39.6968,20.6446,0.552724,60.9272,4.7451531075881626e-05
23,2486630.0,23.581999999999997,39.9941,23.3353,0.62476,63.9824,4.7451531075881626e-05
24,2486620.0,20.2987,39.8555,26.0308,0.696928,66.6076,5.147284726880752e-05
25,2486620.0,17.5367,39.3766,28.7051,0.768529,68.8713,5.147284726880752e-05
26,2486620.0,15.209000000000001,38.6354,31.338,0.8390190000000001,70.8307,5.147284726880752e-05
27,2486620.0,13.2431,37.6955,33.9139,0.907985,72.5333,5.147284726880752e-05
28,2486620.0,11.5793,36.6087,36.4213,0.9751139999999999,74.0189,5.147284726880752e-05
29,2486620.0,10.1676,35.4167,38.8516,1.0401799999999999,75.3206,5.147284726880752e-05
30,2486620.0,8.966660000000001,34.1533,41.1989,1.10303,76.46600000000001,5.147284726880752e-05
31,2486620.0,7.942060000000001,32.8458,43.4594,1.16355,77.4783,5.147284726880752e-05
32,2486620.0,7.065189999999999,31.5159,45.6308,1.2216799999999999,78.3769,5.147284726880752e-05
33,2486620.0,6.31226,30.1806,47.7123,1.27741,79.1779,5.147284726880752e-05
34,2486620.0,5.663469999999999,28.8537,49.7039,1.33073,79.8951,5.147284726880752e-05
35,2486620.0,5.10233,27.5456,51.6065,1.3816700000000002,80.5399,5.147284726880752e-05
36,2486620.0,4.61511,26.2644,53.4218,1.4302700000000002,81.122,5.147284726880752e-05
37,2486620.0,4.19035,25.0162,55.1517,1.47659,81.6495,5.147284726880752e-05
38,2486620.0,3.81849,23.8054,56.7987,1.52068,82.1293,5.147284726880752e-05
39,2486620.0,4.9116,22.7201,58.3672,1.5626799999999998,82.6558,5.147284726880752e-05
40,2486610.0,5.81825,21.823,59.8689,1.6028799999999999,83.3019,5.549416346162239e-05
41,2486610.0,6.57044,21.081999999999997,61.3156,1.64162,84.04700000000001,5.549416346162239e-05
42,2486610.0,7.19469,20.47,62.7167,1.67913,84.8745,5.549416346162239e-05
43,2486610.0,7.71295,19.9651,64.0802,1.71563,85.7702,5.549416346162239e-05
44,2486610.0,8.143419999999999,19.5489,65.4127,1.75131,86.7226,5.549416346162239e-05
45,2486600.0,8.50116,19.2061,66.7196,1.7863,87.7222,5.951547965454829e-05
46,2486600.0,8.79866,18.9241,68.0055,1.82073,88.7609,5.951547965454829e-05
47,2486600.0,9.04626,18.6925,69.2742,1.8546900000000002,89.8322,5.951547965454829e-05
48,2486600.0,9.25252,18.5027,70.5286,1.88828,90.9306,5.951547965454829e-05
49,2486600.0,9.424539999999999,18.3474,71.7714,1.92155,92.0517,5.951547965454829e-05
50,2486590.0,9.5682,18.2208,73.0048,1.9545700000000001,93.1916,6.353679584747418e-05
51,2486590.0,9.688360000000001,18.1179,74.2304,1.9873900000000002,94.3473,6.353679584747418e-05
52,2486590.0,9.789069999999999,18.0346,75.4497,2.0200299999999998,95.5161,6.353679584747418e-05
53,2486590.0,9.87365,17.9677,76.664,2.05254,96.6961,6.353679584747418e-05
54,2486590.0,9.94488,17.9142,77.8743,2.08494,97.8854,6.353679584747418e-05
55,2486580.0,10.005,17.872,79.0813,2.11726,99.0825,6.755811204028905e-05
56,2486580.0,10.0561,17.8389,80.2858,2.14951,100.286,6.755811204028905e-05
57,2486580.0,10.0995,17.8136,81.4883,2.1817,101.49600000000001,6.755811204028905e-05
58,2486580.0,10.1366,17.7946,82.6893,2.21386,102.71,6.755811204028905e-05
59,2486580.0,10.1685,17.7809,83.8893,2.24599,103.928,6.755811204028905e-05
60,2486570.0,10.1962,17.7715,85.0884,2.27809,105.15,7.157942823321495e-05
61,2486570.0,10.2202,17.7658,86.2871,2.31018,106.375,7.157942823321495e-05
62,2486570.0,8.80238,17.677,87.4835,2.34222,107.51299999999999,7.157942823321495e-05
63,2486570.0,7.609310000000001,17.4433,88.6689,2.37395,108.495,7.157942823321495e-05
64,2486570.0,6.60348,17.098,89.8347,2.40516,109.346,7.157942823321495e-05
