,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.0,1
3,0,0,1.0,1
4,0,0,1.0,1
5,0,0,1.0,1
6,0,0,1.0,1
7,0,0,1.0,1
8,0,0,1.0,1
9,0,0,1.0,1
10,0,0,1.0,1
11,0,0,1.0,1
12,0,0,1.0,1
13,0,0,1.0,1
14,0,0,1.0,1
15,0,0,1.0,1
16,0,0,1.0,1
17,1,0,0.8571428571428571,1
18,1,0,0.7142857142857143,1
19,1,0,0.8571428571428571,3
20,1,0,1.0,3
21,1,0,1.2857142857142858,4
22,2,0,1.4285714285714286,4
23,2,0,1.7142857142857142,5
24,2,0,2.4285714285714284,7
25,2,0,3.1428571428571432,7
26,3,0,3.4285714285714284,7
27,3,0,3.7142857142857135,7
28,3,0,3.8571428571428568,7
29,3,0,4.142857142857143,7
30,3,0,4.285714285714286,7
31,4,0,4.0,7
32,4,0,3.7142857142857135,7
33,4,0,3.571428571428572,7
34,4,0,3.4285714285714284,7
35,5,0,3.1428571428571432,7
36,5,0,2.8571428571428568,7
37,5,0,2.7142857142857144,8
38,5,0,2.7142857142857144,8
39,5,0,2.8571428571428568,9
40,6,0,3.0,10
41,6,0,3.1428571428571432,10
42,6,0,3.571428571428572,11
43,6,0,5.0,18
44,7,1,6.0,18
45,7,1,7.0,18
46,7,1,8.0,19
47,9,1,9.142857142857142,22
48,9,1,10.714285714285714,25
49,9,1,12.428571428571427,27
50,9,1,15.0,40
51,9,1,17.857142857142858,40
52,9,1,20.714285714285715,40
53,10,1,23.42857142857143,41
54,11,1,32.285714285714285,86
55,11,1,41.0,88
56,11,1,50.57142857142857,96
57,12,1,60.57142857142857,113
58,20,1,70.57142857142857,121
59,26,1,80.85714285714286,129
60,26,1,94.57142857142857,153
61,27,1,102.42857142857143,157
62,66,1,105.42857142857143,164
63,71,1,108.14285714285714,175
64,98,1,105.28571428571428,179
65,107,1,101.85714285714286,184
66,107,1,100.57142857142857,201
67,120,1,94.71428571428572,206
68,124,1,89.85714285714286,220
69,129,1,90.71428571428572,233
70,150,1,89.57142857142857,246
71,155,1,92.85714285714286,259
72,152,1,100.14285714285714,280
73,165,1,105.85714285714286,299
74,183,1,112.0,312
75,200,1,116.71428571428572,329
76,204,1,122.57142857142857,349
77,210,1,130.42857142857142,361
78,225,1,138.0,382
79,232,2,143.28571428571428,398
80,250,2,146.42857142857142,407
81,254,2,151.85714285714286,422
82,267,2,158.14285714285714,441
83,292,3,161.85714285714286,465
84,294,3,166.57142857142858,480
85,309,3,171.14285714285714,500
86,316,3,175.85714285714286,516
87,321,4,183.57142857142856,534
88,342,5,191.28571428571428,567
89,360,5,200.28571428571428,600
90,378,6,210.14285714285717,623
91,386,6,220.85714285714286,650
92,408,6,230.85714285714286,672
93,411,7,244.28571428571428,709
94,427,7,259.7142857142857,751
95,440,8,279.0,803
96,459,10,301.85714285714283,864
97,502,10,329.57142857142856,945
98,514,10,360.8571428571428,1001
99,538,10,402.1428571428572,1095
100,588,10,440.71428571428567,1159
101,600,12,481.57142857142856,1215
102,611,14,525.2857142857143,1286
103,647,17,570.4285714285714,1375
104,679,17,621.7142857142858,1488
105,733,18,672.0,1580
106,755,18,723.8571428571429,1683
107,779,19,785.5714285714287,1791
108,796,20,850.8571428571429,1876
109,808,21,920.4285714285713,1977
110,844,23,990.2857142857144,2067
111,888,25,1054.0,2151
112,925,26,1124.2857142857142,2272
113,926,30,1201.142857142857,2404
114,983,33,1278.0,2547
115,1032,36,1363.857142857143,2729
116,1137,36,1437.4285714285709,2836
117,1177,38,1516.7142857142858,2970
118,1216,40,1594.4285714285709,3038
119,1260,42,1662.4285714285709,3099
120,1293,46,1724.0,3218
121,1322,49,1824.5714285714291,3606
122,1354,52,1954.857142857143,3979
123,1499,53,2080.0,4091
124,1932,55,2153.285714285714,4255
125,2171,58,2196.0,4310
126,2348,59,2227.1428571428573,4422
127,2454,64,2244.5714285714284,4519
128,2543,66,2229.5714285714284,4739
129,2839,69,2174.428571428572,5095
130,2934,71,2148.428571428572,5362
131,3051,74,2191.8571428571427,5697
132,3282,80,2272.857142857143,6010
133,3891,84,2325.857142857143,6361
134,4273,86,2388.142857142857,6796
135,4432,89,2461.0,7161
136,4542,94,2561.5714285714284,7527
137,4853,100,2662.5714285714284,8017
138,5120,106,2751.714285714286,8422
139,5383,110,2817.857142857143,8604
140,5650,111,2953.142857142857,9094
141,5918,112,3084.142857142857,9384
142,6229,117,3198.285714285714,9785
143,6757,122,3244.714285714286,10095
144,7316,128,3215.4285714285716,10303
