,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2064460.0,2.94984,6.27797,0.371679,0.00429805,7.36512,6.781388382726128e-06
1,2064460.0,2.50351,6.97242,0.796647,0.00921233,8.4876,6.781388382726128e-06
2,2064460.0,2.24559,7.48481,1.25981,0.0145683,9.46743,6.781388382726128e-06
3,2064460.0,3.1461799999999998,8.1031,1.75659,0.020313,10.592,6.781388382726128e-06
4,2064460.0,3.97764,9.02797,2.30291,0.026630599999999997,12.0729,6.781388382726128e-06
5,2064450.0,4.80919,10.2272,2.9172,0.0337341,13.897,1.1625237227530505e-05
6,2064450.0,5.69034,11.694,3.61668,0.0418229,16.075,1.1625237227530505e-05
7,2064450.0,6.659439999999999,13.4396,4.418769999999999,0.0510981,18.636,1.1625237227530505e-05
8,2064450.0,5.48222,15.0171,5.331919999999999,0.0616577,21.1323,1.1625237227530505e-05
9,2064440.0,4.7809800000000005,16.1258,6.32995,0.07319880000000001,23.2477,1.6469086072334882e-05
10,2064440.0,4.37472,16.9471,7.3890899999999995,0.08544650000000001,25.1387,1.6469086072334882e-05
11,2064440.0,4.15148,17.5934,8.494769999999999,0.0982325,26.9025,1.6469086072334882e-05
12,2064440.0,4.04202,18.1341,9.63817,0.111455,28.5994,1.6469086072334882e-05
13,2064440.0,4.00352,18.6122,10.814,0.125052,30.2668,1.6469086072334882e-05
14,2064430.0,4.00949,19.0546,12.0192,0.138989,31.9283,2.1312934917028237e-05
15,2064430.0,2.37332,19.1159,13.2442,0.15315399999999998,33.222,2.1312934917028237e-05
16,2064440.0,1.36836,18.6528,14.4548,0.167154,33.9794,1.6469086072334882e-05
17,2064440.0,0.7534350000000001,17.8995,15.6257,0.180694,34.4079,1.6469086072334882e-05
18,2064440.0,0.37935,16.9985,16.7431,0.193615,34.6357,1.6469086072334882e-05
19,2064440.0,0.15384,16.0359,17.8006,0.205844,34.7419,1.6469086072334882e-05
20,2064440.0,0.0198462,15.062999999999999,18.7959,0.217354,34.7752,1.6469086072334882e-05
21,2064440.0,-0.0579039,14.1094,19.7295,0.228149,34.7657,1.6469086072334882e-05
22,2064440.0,-0.101208,13.1918,20.6031,0.238252,34.7317,1.6469086072334882e-05
23,2064440.0,-0.123529,12.319,21.4194,0.247691,34.6844,1.6469086072334882e-05
24,2064440.0,-0.13317400000000001,11.4946,22.1813,0.256502,34.6308,1.6469086072334882e-05
25,2064440.0,-0.13526,10.7197,22.8921,0.264721,34.5749,1.6469086072334882e-05
26,2064440.0,-0.132936,9.99358,23.5548,0.272385,34.5191,1.6469086072334882e-05
27,2064440.0,-0.128129,9.31443,24.1726,0.27952899999999997,34.4649,1.6469086072334882e-05
28,2064440.0,-0.122018,8.6801,24.7483,0.286186,34.413000000000004,1.6469086072334882e-05
29,2064440.0,-0.11531400000000001,8.08813,25.2848,0.29239,34.3637,1.6469086072334882e-05
30,2064440.0,-0.10844200000000001,7.536010000000001,25.7847,0.298171,34.3173,1.6469086072334882e-05
31,2064430.0,1.04493,7.26515,26.2557,0.303618,34.5277,2.1312934917028237e-05
32,2064430.0,1.89071,7.40747,26.7233,0.309025,35.1466,2.1312934917028237e-05
33,2064430.0,2.56195,7.8422600000000005,27.2098,0.314651,36.0762,2.1312934917028237e-05
34,2064430.0,3.14288,8.49921,27.7314,0.320682,37.2632,2.1312934917028237e-05
35,2064430.0,3.68765,9.33977,28.301,0.32726900000000003,38.6822,2.1312934917028237e-05
36,2064420.0,4.23212,10.3456,28.9297,0.334539,40.3263,2.6156783761832614e-05
37,2064420.0,4.8011099999999995,11.5114,29.6278,0.34261199999999997,42.2006,2.6156783761832614e-05
38,2064420.0,5.4129,12.8409,30.4056,0.351607,44.3196,2.6156783761832614e-05
39,2064420.0,6.08208,14.3441,31.274,0.361649,46.70399999999999,2.6156783761832614e-05
40,2064410.0,6.82136,16.0357,32.2445,0.372871,49.3803,3.100063260663699e-05
41,2064410.0,7.64272,17.9346,33.3296,0.38542,52.3803,3.100063260663699e-05
42,2064400.0,8.55818,20.063,34.5434,0.399456,55.7404,3.584448145144137e-05
43,2064400.0,9.58032,22.4471,35.9014,0.41516000000000003,59.5023,3.584448145144137e-05
44,2064390.0,10.7227,25.1162,37.4208,0.43273,63.7132,4.0688330296245745e-05
45,2064390.0,8.741019999999999,27.4205,39.1062,0.45221999999999996,67.7142,4.0688330296245745e-05
46,2064390.0,7.5338899999999995,28.951999999999998,40.9127,0.473109,71.0679,4.0688330296245745e-05
47,2064380.0,6.806080000000001,30.0062,42.8007,0.494943,74.0291,4.553217914105012e-05
48,2064380.0,6.37496,30.7663,44.7462,0.51744,76.7553,4.553217914105012e-05
49,2064380.0,6.12755,31.3452,46.7341,0.540428,79.3441,4.553217914105012e-05
50,2064380.0,5.9939599999999995,31.8131,48.7553,0.5638,81.85600000000001,4.553217914105012e-05
51,2064370.0,5.93096,32.2133,50.803999999999995,0.587492,84.3284,5.03760279858545e-05
52,2064370.0,5.91179,32.5726,52.876999999999995,0.611464,86.7846,5.03760279858545e-05
53,2064360.0,7.4128,33.2241,54.979,0.63577,89.5685,5.5219876830658876e-05
54,2064360.0,8.55152,34.3589,57.1389,0.660747,92.89299999999999,5.5219876830658876e-05
55,2064350.0,9.477910000000001,35.8337,59.3828,0.686696,96.6414,6.006372567535223e-05
56,2064350.0,10.2854,37.562,61.7295,0.713832,100.74700000000001,6.006372567535223e-05
57,2064340.0,11.0324,39.4929,64.1933,0.742324,105.17299999999999,6.490757452015661e-05
58,2064340.0,11.7558,41.5972,66.7864,0.77231,109.904,6.490757452015661e-05
59,2064330.0,8.94425,43.1058,69.5028,0.803722,114.148,6.975142336496098e-05
