,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1967370.0,1.04552,18.1616,0.0827904,0.0208989,18.2703,9.149186637302797e-06
1,1967370.0,1.75889,18.7372,0.167325,0.042238,18.9552,9.149186637302797e-06
2,1967370.0,2.27267,19.5996,0.25519000000000003,0.0644179,19.9301,9.149186637302797e-06
3,1967360.0,2.6687,20.6724,0.347513,0.0877232,21.1205,1.4232068102471018e-05
4,1967360.0,2.99768,21.9112,0.44515,0.11237,22.4831,1.4232068102471018e-05
5,1967360.0,3.29115,23.291,0.5488,0.138534,23.9941,1.4232068102471018e-05
6,1967360.0,3.5689,24.7989,0.659077,0.166372,25.6415,1.4232068102471018e-05
7,1967360.0,3.8435,26.4301,0.776556,0.196027,27.4211,1.4232068102471018e-05
8,1967350.0,4.12314,28.1842,0.9018,0.22764299999999998,29.3334,1.931494956763924e-05
9,1967350.0,4.41332,30.0644,1.03538,0.261362,31.3824,1.931494956763924e-05
10,1967350.0,4.7179199999999994,32.0761,1.1778899999999999,0.297335,33.574,1.931494956763924e-05
11,1967350.0,5.03986,34.226,1.32994,0.335717,35.9159,1.931494956763924e-05
12,1967340.0,5.3815,36.5223,1.4921799999999998,0.376673,38.417,2.439783103280746e-05
13,1967340.0,5.74492,38.974000000000004,1.6653200000000001,0.420378,41.0873,2.439783103280746e-05
14,1967340.0,6.13202,41.5912,1.85008,0.467017,43.9377,2.439783103280746e-05
15,1967330.0,6.5446800000000005,44.3846,2.04725,0.516789,46.98,2.948071249797568e-05
16,1967330.0,6.984780000000001,47.3659,2.25766,0.5699029999999999,50.227,2.948071249797568e-05
17,1967330.0,7.454280000000001,50.5477,2.4822,0.6265850000000001,53.6923,2.948071249797568e-05
18,1967320.0,7.955210000000001,53.9434,2.7218299999999997,0.687075,57.3905,3.45635939631439e-05
19,1967330.0,0.568955,55.5262,2.97437,0.7508229999999999,59.2541,2.948071249797568e-05
20,1967330.0,-3.56949,54.3995,3.22741,0.8147,58.4245,2.948071249797568e-05
