,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,1,1
7,0,0,1,1
8,0,0,1,1
9,0,0,1,1
10,0,0,1,1
11,0,0,1,1
12,0,0,1,1
13,0,0,1,1
14,0,0,1,1
15,0,0,1,1
16,0,0,3,3
17,1,0,4,5
18,1,0,4,5
19,1,0,4,5
20,1,0,5,6
21,1,0,5,6
22,1,0,5,6
23,1,0,5,6
24,1,0,5,6
25,2,0,5,7
26,2,0,5,7
27,2,0,5,7
28,2,0,5,7
29,2,0,5,7
30,6,0,7,13
31,7,0,9,16
32,7,0,12,19
33,7,0,13,20
34,7,0,14,21
35,7,0,14,21
36,7,0,14,21
37,7,0,14,21
38,7,0,15,22
39,8,0,14,22
40,13,0,9,22
41,16,0,10,26
42,18,1,8,27
43,18,1,9,28
44,18,1,9,28
45,18,1,10,29
46,18,1,15,34
47,20,1,10,31
48,20,1,12,33
49,23,1,12,36
50,24,1,15,40
51,25,1,19,45
52,26,1,18,45
53,26,1,24,51
54,28,1,22,51
55,28,1,22,51
56,29,1,32,62
57,29,1,32,62
58,32,1,38,71
59,31,1,26,58
60,31,1,30,62
61,31,1,37,69
62,32,1,37,70
63,36,1,49,86
64,36,2,50,88
65,38,2,61,101
66,38,2,62,102
67,40,2,70,112
68,42,2,87,131
69,48,2,117,167
70,58,3,133,194
71,55,3,116,174
72,68,4,132,204
73,73,4,157,234
74,79,4,169,252
75,79,5,210,294
76,108,6,236,350
77,131,6,238,375
78,165,6,247,418
79,186,7,256,449
80,206,8,281,495
81,246,8,280,534
82,378,8,184,570
83,381,8,226,615
84,387,8,278,673
85,414,9,306,729
86,463,9,308,780
87,463,10,358,831
88,506,10,391,907
89,523,11,407,941
90,558,11,447,1016
91,558,14,515,1087
92,558,15,554,1127
93,561,17,608,1186
94,637,17,645,1299
95,773,18,603,1394
96,897,20,587,1504
97,931,21,665,1617
98,1004,21,690,1715
99,1067,21,756,1844
100,1110,22,794,1926
101,1169,25,860,2054
102,1279,25,863,2167
103,1375,25,858,2258
104,1484,25,874,2383
105,1597,29,845,2471
106,1693,30,791,2514
107,1822,32,812,2666
108,1901,33,821,2755
109,1955,36,937,2928
110,2028,36,986,3050
111,2141,36,1012,3189
112,2228,40,1056,3324
113,2338,41,1009,3388
114,2414,43,1077,3534
115,2477,47,1138,3662
116,2632,48,1138,3818
117,2711,54,1225,3990
118,2754,60,1363,4177
119,2900,62,1380,4342
120,3012,67,1370,4449
121,3142,68,1345,4555
122,3267,69,1324,4660
123,3320,71,1368,4759
124,3453,72,1388,4913
125,3623,72,1373,5068
126,3787,75,1394,5256
127,3954,79,1339,5372
128,4135,83,1299,5517
129,4285,85,1284,5654
130,4397,88,1266,5751
131,4500,90,1285,5875
132,4595,93,1297,5985
133,4707,97,1267,6071
134,4860,101,1206,6167
135,5017,102,1126,6245
136,5204,103,1043,6350
137,5322,104,1026,6452
138,5461,107,1010,6578
139,5602,109,969,6680
140,5700,114,955,6769
141,5889,116,881,6886
142,6077,116,811,7004
143,6192,117,796,7105
144,6296,118,800,7214
145,6399,118,776,7293
146,6520,121,786,7427
147,6619,121,785,7525
148,6675,122,791,7588
149,6771,122,828,7721
150,6883,122,834,7839
151,6977,122,863,7962
152,7064,122,866,8052
153,7162,124,868,8154
154,7313,124,817,8254
155,7408,125,810,8343
156,7470,126,828,8424
157,7588,126,822,8536
158,7723,128,754,8605
159,7845,132,720,8697
160,7917,135,741,8793
161,8035,138,718,8891
162,8130,139,723,8992
163,8222,139,719,9080
164,8222,139,719,9080
