,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2590520.0,0.579805,0.965457,0.06865510000000001,0.000464189,1.03508,-3.8602303242818437e-07
1,2590520.0,1.1832200000000002,0.987765,0.136809,0.0009249880000000001,1.1266399999999999,-3.8602303242818437e-07
2,2590520.0,1.97174,1.07854,0.208821,0.00141187,1.29074,-3.8602303242818437e-07
3,2590510.0,3.0299099999999997,1.25595,0.290082,0.00196129,1.5510700000000002,3.474207292075704e-06
4,2590510.0,4.47502,1.54706,0.387549,0.00262028,1.94183,3.474207292075704e-06
5,2590510.0,6.47056,1.9912,0.510483,0.00345146,2.51182,3.474207292075704e-06
6,2590500.0,9.24518,2.64471,0.6714600000000001,0.00453985,3.33031,7.334437616579592e-06
7,2590500.0,13.1193,3.58768,0.8877889999999999,0.00600249,4.49514,7.334437616579592e-06
8,2590500.0,13.0089,4.66655,1.17749,0.00796124,5.865559999999999,7.334437616579592e-06
9,2590490.0,13.0321,5.66755,1.54008,0.0104127,7.2316199999999995,1.119466794108348e-05
10,2590490.0,13.1741,6.60876,1.97072,0.0133244,8.606539999999999,1.119466794108348e-05
11,2590490.0,13.4229,7.50568,2.46578,0.016671599999999998,10.0021,1.119466794108348e-05
12,2590490.0,13.7687,8.37164,3.02262,0.0204365,11.429,1.119466794108348e-05
13,2590480.0,16.4306,9.329180000000001,3.6420199999999996,0.0246243,13.013,1.5054898265587369e-05
14,2590480.0,19.4614,10.5095,4.3362,0.029317799999999998,14.8954,1.5054898265587369e-05
15,2590470.0,22.9324,11.9384,5.12167,0.0346285,17.1187,1.8915128590091257e-05
16,2590460.0,26.9242,13.6475,6.01692,0.0406814,19.7333,2.2775358914595145e-05
17,2590450.0,31.5296,15.6752,7.042910000000001,0.0476183,22.7987,2.6635589239099033e-05
18,2590440.0,36.8552,18.0672,8.223519999999999,0.0556006,26.3849,3.049581956360292e-05
19,2590430.0,43.023999999999994,20.8778,9.586160000000001,0.06481369999999999,30.5738,3.435604988810681e-05
20,2590420.0,40.0199,23.6597,11.1506,0.07539119999999999,34.9276,3.82162802126107e-05
21,2590420.0,37.4853,25.9716,12.8935,0.08717489999999999,38.9915,3.82162802126107e-05
22,2590410.0,35.3446,27.8894,14.7844,0.09996000000000001,42.8108,4.2076510537114586e-05
23,2590410.0,33.5345,29.4766,16.7981,0.113575,46.4234,4.2076510537114586e-05
24,2590400.0,32.0017,30.7864,18.9133,0.127876,49.861000000000004,4.5936740861618475e-05
25,2590400.0,30.7018,31.8636,21.112,0.142742,53.1504,4.5936740861618475e-05
26,2590400.0,24.4622,32.4759,23.373,0.158029,56.0325,4.5936740861618475e-05
27,2590400.0,19.3432,32.4724,25.6546,0.173455,58.3207,4.5936740861618475e-05
28,2590400.0,15.154000000000002,31.9988,27.9189,0.18876400000000002,60.1222,4.5936740861618475e-05
29,2590410.0,11.7356,31.1729,30.1371,0.203762,61.526,4.2076510537114586e-05
30,2590410.0,8.9552,30.0902,32.2879,0.218304,62.6057,4.2076510537114586e-05
31,2590410.0,6.7023600000000005,28.826999999999998,34.3561,0.23228800000000002,63.4224,4.2076510537114586e-05
32,2590410.0,6.8586100000000005,27.5486,36.3337,0.245658,64.135,4.2076510537114586e-05
33,2590400.0,6.95075,26.3698,38.2251,0.258446,64.8606,4.5936740861618475e-05
34,2590400.0,6.99034,25.2781,40.0369,0.270696,65.5929,4.5936740861618475e-05
35,2590400.0,6.987019999999999,24.2626,41.7748,0.282447,66.3271,4.5936740861618475e-05
36,2590400.0,6.94885,23.3142,43.4438,0.293731,67.059,4.5936740861618475e-05
37,2590400.0,8.66917,22.5175,45.0506,0.304595,67.8816,4.5936740861618475e-05
38,2590390.0,10.1995,21.9396,46.6092,0.315133,68.8746,4.979697118612236e-05
39,2590390.0,11.573,21.5481,48.13399999999999,0.325442,70.0196,4.979697118612236e-05
40,2590390.0,12.8178,21.3159,49.6369,0.335604,71.3018,4.979697118612236e-05
41,2590380.0,13.9574,21.2202,51.1284,0.345688,72.7089,5.365720151062625e-05
