,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1400530.0,44.7838,39.4004,1.32522,0.0233781,40.6882,6.211548196255468e-05
1,1400520.0,35.3625,53.2131,3.37143,0.05947519999999999,56.5454,6.925519253297985e-05
2,1400510.0,29.6715,63.5168,5.94184,0.10482000000000001,69.4421,7.639490310340502e-05
3,1400500.0,26.3889,71.6474,8.91355,0.157243,80.5837,8.35346136738302e-05
4,1400490.0,24.6684,78.4649,12.2112,0.215417,90.7502,9.067432424425537e-05
5,1400480.0,23.9689,84.5243,15.7901,0.278552,100.449,9.781403481468054e-05
6,1400470.0,23.9445,90.1859,19.6254,0.34621,110.01299999999999,0.00010495374538510571
7,1400460.0,24.3747,95.6849,23.705,0.418179,119.666,0.00011209345595553089
8,1400450.0,25.1194,101.177,28.0255,0.494396,129.55700000000002,0.00011923316652584504
9,1400440.0,26.09,106.766,32.5889,0.5748989999999999,139.795,0.0001263728770962702
10,1400420.0,27.2308,112.52600000000001,37.4012,0.659792,150.45600000000002,0.00014065229823712055
11,1400410.0,28.5078,118.508,42.4711,0.749229,161.602,0.00014779200880754573
12,1400400.0,29.9002,124.751,47.8092,0.843398,173.283,0.0001549317193779709
13,1400380.0,31.3965,131.286,53.4276,0.9425120000000001,185.542,0.00016921114051882125
14,1400370.0,32.9907,138.141,59.3398,1.04681,198.419,0.00017635085108924642
15,1400350.0,34.6805,145.338,65.5604,1.15655,211.954,0.00019063027222998574
16,1400330.0,36.4664,152.901,72.1048,1.272,226.183,0.0002049096933708361
17,1400310.0,38.3502,160.851,78.9897,1.39345,241.14700000000002,0.00021918911451168643
18,1400290.0,40.3351,169.21,86.2324,1.52122,256.885,0.00023346853565253678
19,1400330.0,-6.652830000000001,167.399,93.6909,1.6527900000000002,262.476,0.0002049096933708361
20,1400370.0,-29.195999999999998,152.486,100.74700000000001,1.77728,254.65400000000002,0.00017635085108924642
21,1400390.0,-37.8331,132.381,107.015,1.8878400000000002,240.893,0.00016207142994839607
22,1400410.0,-38.9101,111.40799999999999,112.37,1.9823099999999998,225.365,0.00014779200880754573
23,1400420.0,-36.1803,91.7653,116.82700000000001,2.06094,210.269,0.00014065229823712055
