,Recovered,Deceased,Infected,I_c
0,0,0,8.857142857142858,13
1,0,0,10.571428571428571,13
2,0,0,12.285714285714285,13
3,0,0,14.857142857142858,29
4,0,0,17.428571428571427,30
5,0,0,20.571428571428573,34
6,0,0,23.714285714285715,34
7,0,0,27.714285714285715,41
8,0,0,31.857142857142854,42
9,0,0,36.714285714285715,47
10,0,0,39.285714285714285,47
11,0,0,41.714285714285715,47
12,0,0,43.85714285714285,49
13,2,0,45.714285714285715,49
14,4,0,46.57142857142857,51
15,7,0,46.85714285714285,51
16,9,0,46.42857142857143,53
17,11,0,45.714285714285715,53
18,14,0,44.714285714285715,54
19,14,0,43.42857142857143,54
20,29,0,40.285714285714285,54
21,30,0,37.142857142857146,55
22,30,0,34.57142857142857,56
23,44,0,30.857142857142854,62
24,45,0,28.42857142857143,70
25,45,0,26.57142857142857,72
26,46,0,25.857142857142854,81
27,49,0,29.714285714285715,101
28,50,0,38.285714285714285,135
29,50,1,55.57142857142857,198
30,53,1,84.28571428571429,273
31,61,1,114.57142857142857,299
32,63,2,150.85714285714286,346
33,64,2,199.7142857142857,443
34,66,3,249.57142857142856,470
35,82,3,296.0,495
36,82,3,333.57142857142856,495
37,84,3,363.57142857142856,516
38,176,3,379.28571428571433,526
39,178,5,390.71428571428567,544
40,179,5,391.0,563
41,185,6,388.0,571
42,191,7,386.0,594
43,215,7,386.57142857142856,636
44,243,7,386.0,675
45,263,7,397.4285714285714,697
46,270,8,410.57142857142856,731
47,326,8,418.4285714285714,768
48,467,8,409.57142857142856,793
49,470,9,402.4285714285714,825
50,514,9,391.8571428571428,863
51,534,10,378.0,872
52,564,10,363.57142857142856,900
53,603,10,346.57142857142856,947
54,611,10,335.85714285714283,980
55,616,10,347.1428571428572,1023
56,630,10,360.71428571428567,1081
57,645,11,379.0,1124
58,647,11,407.8571428571428,1188
59,668,11,446.28571428571433,1274
60,682,12,489.28571428571433,1329
61,732,14,529.4285714285714,1386
62,771,15,571.2857142857142,1476
63,795,15,618.4285714285714,1581
64,807,16,670.5714285714286,1656
65,830,17,724.1428571428571,1752
66,848,21,771.7142857142858,1797
67,855,22,822.1428571428571,1865
68,881,27,875.5714285714287,1922
69,914,30,920.0,1945
70,1020,31,950.7142857142856,2037
71,1117,32,975.4285714285713,2155
72,1130,33,1007.2857142857144,2291
73,1177,34,1046.5714285714287,2414
74,1240,37,1085.0,2534
75,1427,42,1108.142857142857,2645
76,1470,44,1152.5714285714287,2826
77,1468,45,1210.857142857143,2907
78,1874,51,1232.857142857143,3085
79,1923,55,1257.2857142857142,3277
80,2031,58,1275.5714285714287,3420
81,2156,61,1282.7142857142858,3524
82,2245,66,1306.857142857143,3656
83,2373,69,1317.7142857142858,3830
84,2504,74,1318.5714285714287,3978
85,2648,79,1358.5714285714287,4167
86,2793,82,1382.7142857142858,4343
87,2895,84,1423.5714285714291,4596
88,3062,94,1472.5714285714291,4806
89,3217,100,1518.4285714285709,4983
90,3356,105,1569.2857142857142,5205
91,3457,111,1646.2857142857142,5507
92,3591,117,1750.4285714285709,5877
93,3736,118,1858.0,6075
94,3874,122,1973.428571428572,6421
95,4014,127,2096.8571428571427,6655
96,4154,129,2237.0,6930
97,4154,133,2417.142857142857,7292
98,4335,134,2583.5714285714284,7573
99,4785,141,2728.142857142857,8107
100,5019,147,2862.714285714286,8329
101,5282,154,2982.857142857143,8702
102,5634,159,3097.5714285714284,9110
103,5799,168,3213.285714285714,9424
104,6124,175,3280.4285714285716,9774
105,6293,180,3370.857142857143,10210
106,6547,188,3472.4285714285716,10627
107,6691,193,3609.714285714286,11008
108,7373,199,3689.285714285714,11395
109,7897,208,3754.142857142857,11876
110,8108,214,3831.4285714285716,12320
111,8411,222,3931.142857142857,12806
112,8872,226,3981.0,13184
113,9315,229,3987.4285714285716,13481
114,9978,239,3915.285714285714,13836
115,10370,246,3870.857142857143,14128
116,10746,254,3822.142857142857,14430
117,11083,258,3738.0,14750
118,11402,257,3632.857142857143,15096
119,11759,263,3556.0,15570
120,12153,268,3489.142857142857,15890
121,12602,274,3449.857142857143,16220
122,12929,280,3434.285714285714,16612
123,13214,286,3446.142857142857,17013
124,13551,290,3459.0,17340
125,13784,298,3485.714285714286,17706
126,14077,309,3508.857142857143,18096
127,14359,315,3556.5714285714284,18477
128,14731,324,3636.4285714285716,18958
129,15158,327,3707.0,19382
130,15452,337,3788.142857142857,19870
131,15929,341,3846.714285714286,20179
132,16313,346,3894.571428571429,20618
133,16715,355,3926.714285714286,21005
134,17119,362,3943.571428571429,21402
135,17467,366,3946.4285714285716,21756
136,17851,368,3947.285714285714,22122
137,18229,374,3914.285714285714,22453
138,19029,376,3835.0,22759
139,20868,381,3528.4285714285716,23062
140,21172,383,3220.0,23331
141,21654,398,2884.857142857143,23627
142,21706,403,2584.0,23926
143,22142,394,2262.857142857143,24191
144,22334,396,1962.142857142857,24475
145,22611,402,1733.5714285714291,24767
