,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.0,1
3,0,0,4.142857142857143,23
4,0,0,8.142857142857142,29
5,0,0,12.285714285714285,30
6,0,0,17.285714285714285,36
7,0,0,22.428571428571423,37
8,0,0,27.714285714285715,38
9,0,0,33.0,38
10,0,0,35.142857142857146,38
11,0,0,37.0,42
12,0,0,41.0,58
13,3,0,43.714285714285715,58
14,6,0,45.85714285714285,58
15,9,0,47.42857142857143,58
16,12,0,48.57142857142857,58
17,15,0,49.28571428571429,58
18,18,0,49.14285714285714,59
19,21,0,46.42857142857143,60
20,24,0,43.714285714285715,60
21,28,0,41.142857142857146,62
22,31,0,38.857142857142854,64
23,34,0,36.57142857142857,64
24,37,0,34.285714285714285,64
25,40,0,31.857142857142854,64
26,43,0,29.42857142857143,65
27,46,0,27.0,65
28,49,0,24.42857142857143,65
29,53,0,21.428571428571427,65
30,53,0,18.857142857142858,65
31,53,0,16.714285714285715,65
32,53,0,15.0,65
33,54,0,13.428571428571427,65
34,57,0,11.857142857142858,65
35,57,0,10.714285714285714,65
36,57,0,10.142857142857142,65
37,58,0,9.428571428571429,65
38,59,0,8.714285714285714,66
39,59,0,8.142857142857142,67
40,59,0,8.142857142857142,70
41,59,1,9.0,74
42,59,1,11.142857142857142,83
43,63,1,14.142857142857142,93
44,63,1,17.285714285714285,93
45,62,1,21.0,96
46,62,1,25.285714285714285,101
47,62,1,31.0,114
48,63,1,39.285714285714285,136
49,64,1,52.42857142857143,180
50,65,1,66.71428571428571,195
51,64,1,82.85714285714286,207
52,70,1,100.42857142857143,227
53,78,1,118.42857142857143,243
54,88,1,134.71428571428572,254
55,93,1,149.85714285714286,272
56,94,1,160.28571428571428,283
57,99,1,168.0,283
58,99,1,176.0,298
59,121,1,178.85714285714286,298
60,146,1,177.4285714285714,301
61,155,1,178.71428571428572,330
62,167,1,178.5714285714286,345
63,183,1,176.4285714285714,357
64,211,1,171.0,357
65,249,1,158.42857142857142,360
66,276,1,146.85714285714286,372
67,279,1,139.71428571428572,384
68,294,1,127.14285714285714,381
69,323,1,110.28571428571428,383
70,328,1,93.42857142857143,384
71,341,1,79.0,386
72,344,1,69.71428571428571,390
73,346,1,63.714285714285715,400
74,352,1,56.57142857142857,407
75,360,1,51.28571428571429,410
76,366,1,51.14285714285714,425
77,367,1,54.0,443
78,374,1,60.42857142857143,464
79,376,1,70.0,489
80,379,1,80.57142857142857,507
81,394,1,91.0,522
82,397,1,106.0,552
83,400,3,123.57142857142857,584
84,415,3,140.57142857142858,612
85,428,4,157.57142857142858,640
86,428,4,171.85714285714286,644
87,432,5,183.85714285714286,648
88,433,5,200.28571428571428,680
89,441,5,213.0,689
90,490,5,217.85714285714286,710
91,513,5,219.42857142857144,723
92,530,6,219.42857142857144,744
93,551,7,216.7142857142857,751
94,572,7,217.57142857142856,796
95,580,7,217.7142857142857,830
96,614,8,219.7142857142857,879
97,619,8,231.0,921
98,635,9,250.0,982
99,671,9,270.2857142857143,1030
100,689,9,302.14285714285717,1114
101,695,9,355.57142857142856,1295
102,702,9,405.0,1300
103,735,9,463.28571428571433,1409
104,765,9,532.2857142857143,1551
105,804,10,600.4285714285714,1629
106,836,11,680.5714285714286,1758
107,868,11,763.4285714285713,1875
108,935,11,820.2857142857142,1935
109,968,11,896.0,2098
110,1069,11,965.0,2228
111,1142,11,1024.2857142857142,2345
112,1148,11,1100.0,2504
113,1216,11,1167.0,2607
114,1314,11,1233.0,2783
115,1614,12,1266.7142857142858,2851
116,1881,12,1261.0,2972
117,1886,15,1285.2857142857142,3219
118,1909,19,1323.4285714285713,3387
119,2116,21,1339.5714285714287,3595
120,2347,25,1342.5714285714287,3773
121,2500,25,1339.7142857142858,3963
122,2587,25,1413.0,4350
123,2745,27,1538.4285714285709,4729
124,2854,35,1652.0,5002
125,2948,38,1761.5714285714291,5212
126,3068,44,1879.142857142857,5393
127,3078,50,2028.142857142857,5572
128,3289,55,2150.8571428571427,5641
129,3438,61,2230.8571428571427,5797
130,3620,64,2256.428571428572,5820
131,3732,65,2279.428571428572,6071
132,3902,69,2289.142857142857,6265
133,4042,75,2293.0,6425
134,4297,79,2258.428571428572,6578
135,4400,82,2241.714285714286,6662
136,4896,90,2172.714285714286,6801
137,5262,99,2092.8571428571427,6938
138,5465,106,1988.142857142857,7112
139,5675,110,1866.7142857142856,7229
140,5805,115,1748.142857142857,7398
141,5953,122,1640.2857142857142,7522
142,6114,128,1526.4285714285709,7625
143,6265,130,1459.7142857142858,7743
144,6429,133,1423.142857142857,7883
145,6554,136,1397.0,8048
146,6751,139,1377.5714285714291,8198
147,6909,144,1350.2857142857142,8340
148,7048,147,1328.142857142857,8487
149,7167,151,1308.7142857142858,8565
150,7319,158,1300.857142857143,8770
151,7464,164,1295.4285714285713,8911
152,7546,166,1288.0,9018
153,7681,167,1286.857142857143,9148
154,7832,170,1288.5714285714287,9301
155,7981,172,1287.4285714285713,9437
156,8116,173,1287.5714285714287,9537
