,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2728180.0,878.8960000000001,729.192,8080.78,174.248,8987.35,0.006494504398011136
1,2728000.0,877.502,705.1,8172.95,176.445,9057.63,0.006560053954568379
2,2727820.0,873.7589999999999,683.784,8262.21,178.572,9127.69,0.006625603511125622
3,2727650.0,868.153,664.7439999999999,8348.87,180.638,9197.37,0.0066875114256518264
4,2727470.0,861.077,647.575,8433.21,182.648,9266.55,0.006753060982209069
5,2727300.0,852.8510000000001,631.948,8515.44,184.608,9335.11,0.006814968896735385
6,2727130.0,843.73,617.597,8595.75,186.52200000000002,9402.97,0.006876876811261701
7,2726970.0,833.922,604.305,8674.29,188.394,9470.08,0.006935143083757089
8,2726810.0,823.596,591.898,8751.17,190.227,9536.38,0.006993409356252367
9,2726650.0,812.8860000000001,580.231,8826.5,192.02200000000002,9601.84,0.0070516756287477556
10,2726490.0,801.9019999999999,569.19,8900.38,193.783,9666.43,0.007109941901243033
11,2726330.0,790.732,558.68,8972.88,195.511,9730.13,0.007168208173738422
12,2726180.0,779.446,548.624,9044.05,197.208,9792.93,0.007222832804202772
13,2726030.0,768.1,538.96,9113.95,198.87400000000002,9854.83,0.007277457434667123
14,2725880.0,756.7410000000001,529.636,9182.64,200.511,9915.82,0.007332082065131473
15,2725740.0,745.405,520.612,9250.14,202.12,9975.9,0.007383065053564897
16,2725600.0,734.12,511.852,9316.5,203.702,10035.1,0.00743404804199832
17,2725450.0,722.909,503.33,9381.76,205.257,10093.4,0.007488672672462671
18,2725320.0,711.791,495.022,9445.93,206.78599999999997,10150.7,0.007536014018865167
19,2725180.0,700.78,486.909,9509.04,208.291,10207.2,0.00758699700729859
20,2725050.0,689.8860000000001,478.976,9571.13,209.77,10262.9,0.007634338353701087
21,2724910.0,679.118,471.209,9632.2,211.226,10317.6,0.007685321342134399
22,2724780.0,668.4830000000001,463.598,9692.29,212.658,10371.5,0.007732662688536895
23,2724660.0,657.985,456.134,9751.4,214.067,10424.6,0.007776362392908465
24,2724530.0,647.627,448.809,9809.57,215.454,10476.8,0.00782370373931085
25,2724410.0,637.4119999999999,441.616,9866.8,216.81799999999998,10528.2,0.00786740344368242
26,2724280.0,627.342,434.54900000000004,9923.12,218.16,10578.8,0.007914744790084804
27,2724160.0,617.4159999999999,427.605,9978.54,219.481,10628.5,0.007958444494456374
28,2724050.0,607.636,420.779,10033.1,220.78099999999998,10677.5,0.007998502556796905
29,2723930.0,598.0,414.06699999999995,10086.7,222.06,10725.8,0.008042202261168363
30,2723820.0,588.509,407.466,10139.5,223.31900000000002,10773.2,0.008082260323508894
31,2723700.0,579.161,400.973,10191.5,224.55700000000002,10819.9,0.008125960027880463
32,2723590.0,569.9540000000001,394.586,10242.6,225.77599999999998,10865.9,0.008166018090220994
33,2723480.0,560.889,388.301,10293.0,226.975,10911.1,0.008206076152561526
34,2723380.0,551.9630000000001,382.11800000000005,10342.5,228.15599999999998,10955.6,0.00824249257287113
35,2723270.0,543.174,376.033,10391.2,229.317,10999.4,0.00828255063521166
36,2723170.0,534.5219999999999,370.045,10439.2,230.46,11042.5,0.008318967055521154
37,2723070.0,526.004,364.151,10486.4,231.585,11084.9,0.008355383475830758
38,2722970.0,517.618,358.352,10532.8,232.692,11126.7,0.008391799896140362
39,2722870.0,509.36400000000003,352.644,10578.5,233.78099999999998,11167.8,0.008428216316449966
40,2722770.0,501.23800000000006,347.026,10623.5,234.85299999999998,11208.2,0.00846463273675957
41,2722670.0,493.23900000000003,341.496,10667.7,235.908,11248.0,0.008501049157069174
42,2722580.0,485.366,336.05400000000003,10711.3,236.946,11287.1,0.00853382393534774
43,2722490.0,477.616,330.69699999999995,10754.1,237.968,11325.6,0.008566598713626417
44,2722400.0,469.98800000000006,325.425,10796.3,238.97299999999998,11363.5,0.008599373491904982
45,2722310.0,462.48,320.236,10837.8,239.96200000000002,11400.8,0.00863214827018366
46,2722220.0,455.09,315.128,10878.6,240.935,11437.5,0.008664923048462225
47,2722130.0,447.81699999999995,310.101,10918.8,241.893,11473.6,0.008697697826740902
48,2722050.0,440.658,305.153,10958.4,242.83599999999998,11509.2,0.008726830962988541
49,2721960.0,433.61199999999997,300.283,10997.3,243.763,11544.1,0.008759605741267107
50,2721880.0,426.67699999999996,295.48900000000003,11035.6,244.676,11578.5,0.008788738877514857
51,2721800.0,419.852,290.77099999999996,11073.3,245.574,11612.4,0.008817872013762496
52,2721720.0,413.134,286.127,11110.4,246.458,11645.7,0.008847005150010134
53,2721640.0,406.523,281.557,11146.8,247.328,11678.5,0.008876138286257773
54,2721560.0,400.01599999999996,277.058,11182.8,248.18400000000003,11710.7,0.008905271422505523
55,2721480.0,393.61199999999997,272.631,11218.1,249.02599999999998,11742.5,0.008934404558753162
56,2721410.0,387.309,268.27299999999997,11252.9,249.855,11773.7,0.008959896052969873
57,2721330.0,381.106,263.98400000000004,11287.1,250.67,11804.5,0.008989029189217512
58,2721260.0,375.00199999999995,259.763,11320.7,251.472,11834.7,0.009014520683434224
59,2721190.0,368.994,255.609,11353.9,252.262,11864.4,0.009040012177650936
60,2721120.0,363.08099999999996,251.52,11386.5,253.03900000000002,11893.7,0.009065503671867647
61,2721050.0,357.26199999999994,247.49599999999998,11418.5,253.804,11922.5,0.009090995166084359
62,2720980.0,351.535,243.535,11450.1,254.55599999999998,11950.9,0.00911648666030107
63,2720920.0,345.9,239.637,11481.1,255.296,11978.8,0.009138336512486855
64,2720850.0,340.353,235.801,11511.7,256.024,12006.2,0.009163828006703567
65,2720780.0,334.895,232.025,11541.8,256.741,12033.2,0.009189319500920279
66,2720720.0,329.524,228.30900000000003,11571.4,257.44599999999997,12059.8,0.009211169353105952
67,2720660.0,324.237,224.65200000000002,11600.5,258.14,12086.0,0.009233019205291737
68,2720600.0,319.035,221.053,11629.1,258.823,12111.7,0.009254869057477522
69,2720530.0,313.916,217.511,11657.3,259.495,12137.0,0.009280360551694233
70,2720480.0,308.878,214.02599999999998,11685.1,260.156,12161.9,0.00929856876184898
71,2720420.0,303.92,210.595,11712.3,260.807,12186.4,0.009320418614034764
72,2720360.0,299.041,207.21900000000002,11739.2,261.447,12210.5,0.009342268466220438
73,2720300.0,294.23900000000003,203.89700000000002,11765.6,262.077,12234.3,0.009364118318406223
74,2720240.0,289.514,200.627,11791.6,262.697,12257.6,0.009385968170592007
