,Recovered,Deceased,Infected,I_c
0,0,0,3,3
1,0,0,3,3
2,0,0,3,3
3,0,0,13,13
4,0,0,14,14
5,0,0,19,19
6,0,0,20,20
7,0,0,20,20
8,0,0,24,24
9,0,0,24,24
10,0,0,27,27
11,0,0,27,27
12,0,0,27,27
13,0,0,27,27
14,0,0,27,27
15,0,0,27,27
16,0,0,28,28
17,0,0,30,30
18,0,0,30,30
19,2,0,35,37
20,5,0,35,40
21,8,0,36,44
22,11,1,33,45
23,13,1,32,46
24,16,1,29,46
25,19,1,27,47
26,22,2,27,51
27,22,2,28,52
28,22,2,28,52
29,23,2,29,54
30,23,2,29,54
31,26,2,27,55
32,27,2,28,57
33,27,2,61,90
34,29,2,108,139
35,29,2,133,164
36,29,2,138,169
37,32,2,180,214
38,32,2,201,235
39,35,2,265,302
40,42,2,264,308
41,48,2,258,308
42,53,2,254,309
43,53,2,261,316
44,53,2,251,306
45,128,2,176,306
46,153,2,153,308
47,276,2,30,308
48,276,2,34,312
49,278,2,32,312
50,278,2,39,319
51,294,2,27,323
52,296,2,25,323
53,300,2,25,327
54,300,2,25,327
55,300,2,25,327
56,303,2,22,327
57,305,2,32,339
58,305,2,35,342
59,307,2,34,343
60,315,2,49,366
61,318,2,47,367
62,318,2,55,375
63,323,2,51,376
64,323,2,52,377
65,323,2,31,356
66,323,2,38,363
67,323,2,44,369
68,325,2,53,380
69,327,3,54,384
70,327,3,55,385
71,329,3,60,392
72,333,3,63,399
73,344,3,61,408
74,345,4,72,421
75,363,5,69,437
76,364,5,71,440
77,371,5,82,458
78,371,6,101,478
79,376,7,122,505
80,384,7,137,528
81,387,8,156,551
82,390,10,181,581
83,391,12,203,606
84,396,12,209,617
85,424,12,218,654
86,433,12,250,695
87,434,12,266,712
88,452,13,300,765
89,466,14,334,814
90,490,14,363,867
91,499,15,401,915
92,576,15,353,944
93,582,16,388,986
94,601,17,402,1020
95,604,17,456,1077
96,604,17,565,1186
97,607,18,607,1232
98,728,18,487,1233
99,760,18,561,1339
100,781,18,571,1370
101,883,19,509,1411
102,921,19,515,1455
103,954,19,486,1459
104,993,19,590,1602
105,1034,20,669,1723
106,1077,22,721,1820
107,1197,25,704,1926
108,1235,26,778,2039
109,1266,27,843,2136
110,1403,28,781,2212
111,1493,29,777,2299
112,1641,29,726,2396
113,1762,29,710,2501
114,1832,31,750,2613
115,1985,31,750,2766
116,2100,32,791,2923
117,2223,32,876,3131
118,2275,32,963,3270
119,2356,33,972,3361
120,2504,33,962,3499
121,2640,35,919,3594
122,2795,35,934,3764
123,2902,35,986,3923
124,3007,36,979,4022
125,3257,37,818,4112
126,3308,38,816,4162
127,3380,39,820,4239
128,3473,40,803,4316
129,3602,42,746,4390
130,3879,44,540,4463
131,4034,44,452,4530
132,4077,44,499,4620
133,4144,45,524,4713
134,4209,46,556,4811
135,4268,47,591,4906
136,4330,47,656,5033
137,4375,47,695,5117
138,4442,50,756,5248
139,4561,50,776,5387
140,4694,51,759,5504
141,4811,52,710,5573
142,5032,53,563,5648
143,5108,54,609,5771
144,5166,58,673,5897
145,5261,59,737,6057
146,5332,62,819,6213
147,5392,63,943,6398
148,5507,64,1024,6595
149,5682,64,996,6742
150,5865,64,967,6896
151,6010,65,994,7069
152,6186,65,1002,7253
153,6372,66,991,7429
154,6469,67,1059,7595
155,6515,70,1236,7821
156,6575,72,1324,7971
157,6954,77,1088,8119
158,7146,77,1041,8264
159,7168,79,1148,8395
160,7445,79,1010,8534
161,7769,82,809,8660
162,7966,83,750,8799
163,8136,83,771,8990
164,8234,85,832,9151
165,8342,85,885,9312
166,8474,87,880,9441
167,8618,85,868,9571
168,8779,85,841,9705
169,8889,86,872,9847
170,9032,88,861,9981
171,9103,89,929,10121
172,9227,91,948,10266
173,9314,92,988,10394
174,9449,92,984,10525
175,9620,93,903,10616
176,9767,94,860,10721
177,9878,95,903,10876
178,10004,95,945,11044
179,10138,96,971,11205
180,10250,97,1003,11350
181,10389,97,997,11483
182,10524,98,964,11586
183,10624,98,979,11701
184,10624,98,979,11701
