,Recovered,Deceased,Infected,I_c
0,0,0,3.7142857142857135,11
1,0,0,5.142857142857143,11
2,0,0,6.571428571428571,11
3,0,0,8.0,11
4,0,0,9.428571428571429,11
5,0,0,10.857142857142858,11
6,0,0,11.0,11
7,0,0,11.0,11
8,0,0,11.0,11
9,0,0,11.0,11
10,0,0,11.857142857142858,17
11,0,0,12.714285714285715,17
12,0,0,13.571428571428573,17
13,1,0,14.285714285714285,17
14,2,0,14.857142857142858,17
15,4,0,15.142857142857142,17
16,5,0,15.571428571428573,19
17,7,0,14.857142857142858,19
18,8,0,14.0,19
19,10,0,12.857142857142858,19
20,11,0,12.142857142857142,22
21,13,0,11.428571428571427,23
22,14,0,11.142857142857142,25
23,16,0,11.428571428571427,32
24,16,0,12.0,32
25,16,0,12.714285714285715,32
26,16,0,13.714285714285715,32
27,19,0,14.0,32
28,19,0,14.428571428571427,32
29,19,0,14.714285714285715,32
30,19,0,14.285714285714285,32
31,23,0,13.571428571428573,34
32,23,0,13.0,35
33,26,0,12.0,35
34,28,0,11.142857142857142,35
35,28,0,10.714285714285714,38
36,35,0,9.285714285714286,38
37,35,0,8.142857142857142,40
38,35,0,7.428571428571429,41
39,31,0,7.7142857142857135,45
40,31,0,8.428571428571429,45
41,32,0,9.142857142857142,44
42,32,0,9.714285714285714,46
43,34,0,11.142857142857142,47
44,35,0,12.714285714285715,51
45,37,0,14.285714285714285,54
46,37,0,14.857142857142858,55
47,37,0,16.285714285714285,61
48,40,0,18.714285714285715,69
49,43,0,24.142857142857146,95
50,44,0,29.857142857142854,97
51,44,0,37.0,110
52,44,0,46.42857142857143,127
53,46,0,55.57142857142857,128
54,47,0,62.0,116
55,50,0,67.71428571428571,119
56,50,0,70.28571428571429,120
57,58,0,71.71428571428571,121
58,58,0,71.57142857142857,123
59,58,0,69.14285714285714,124
60,62,0,66.71428571428571,127
61,90,0,62.28571428571429,128
62,98,0,57.85714285714285,136
63,98,0,54.28571428571429,143
64,115,0,49.42857142857143,144
65,116,0,44.85714285714285,149
66,117,0,40.57142857142857,153
67,124,0,35.57142857142857,154
68,124,0,35.142857142857146,159
69,127,0,33.57142857142857,154
70,127,0,32.0,161
71,127,0,33.0,163
72,136,1,33.0,170
73,138,1,33.57142857142857,179
74,142,1,35.714285714285715,188
75,134,1,35.42857142857143,168
76,134,1,38.142857142857146,181
77,132,1,39.857142857142854,179
78,136,1,42.285714285714285,190
79,138,1,46.714285714285715,203
80,139,1,50.714285714285715,208
81,140,1,57.57142857142857,234
82,148,1,70.85714285714286,275
83,153,3,82.42857142857143,283
84,158,4,97.57142857142857,314
85,170,5,109.71428571428572,313
86,175,5,126.71428571428572,363
87,202,6,150.71428571428572,444
88,209,6,177.14285714285714,493
89,231,7,202.0,538
90,249,7,235.0,614
91,296,7,267.0,679
92,346,7,308.57142857142856,782
93,385,8,354.1428571428572,895
94,438,9,395.8571428571428,975
95,548,10,451.8571428571428,1228
96,602,10,507.0,1298
97,644,10,590.2857142857142,1595
98,784,11,671.2857142857142,1738
99,827,12,752.0,1833
100,919,16,842.8571428571429,2073
101,983,17,924.4285714285713,2099
102,983,19,1032.2857142857142,2427
103,1004,22,1159.5714285714287,2603
104,1065,24,1262.2857142857142,2749
105,1065,24,1393.142857142857,2948
106,1219,26,1520.0,3127
107,1295,27,1653.2857142857142,3393
108,1626,28,1769.0,3563
109,1710,28,1877.7142857142856,3924
110,2181,34,1948.428571428572,4287
111,2493,37,2030.857142857143,4767
112,2947,43,2080.0,5193
113,3164,52,2147.8571428571427,5573
114,3290,57,2225.1428571428573,5959
115,3918,63,2284.0,6302
116,4331,69,2326.5714285714284,6884
117,4664,74,2390.285714285714,7256
118,4769,79,2449.857142857143,7502
119,4957,85,2538.428571428572,7865
120,6041,90,2490.285714285714,8151
121,6098,96,2445.285714285714,8491
122,6336,105,2456.857142857143,8843
123,6783,109,2441.5714285714284,9269
124,7237,109,2366.5714285714284,9339
125,7416,114,2260.428571428572,9441
126,7621,116,2115.0,9542
127,7728,121,2101.285714285714,9773
128,8066,134,2025.428571428572,9966
129,8421,139,1910.142857142857,10155
130,8795,139,1771.0,10337
131,9055,142,1690.857142857143,10629
132,9280,144,1621.4285714285709,10849
133,9492,146,1549.2857142857142,10938
134,9684,152,1456.0,11107
135,10063,157,1341.2857142857142,11183
136,10221,158,1259.2857142857142,11400
137,10380,159,1189.7142857142858,11455
138,10605,162,1109.7142857142858,11639
139,10713,162,1037.0,11791
140,11064,165,939.0,11843
141,11114,167,843.7142857142858,11885
142,11220,170,778.2857142857142,11895
143,11341,174,694.8571428571429,11952
144,11458,179,622.8571428571429,12049
145,11552,183,554.4285714285714,12128
146,11590,184,496.0,12281
147,11720,186,483.57142857142856,12433
148,11834,187,474.1428571428572,12559
149,11984,188,466.28571428571433,12622
150,12129,189,460.1428571428572,12712
