,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2131920.0,1.46385,3.67996,0.361216,0.00127723,11.332,4.690605327484221e-07
1,2131910.0,2.47531,4.00094,0.736908,0.00260565,12.0336,5.159665860010598e-06
2,2131910.0,3.5178300000000005,4.63619,1.15973,0.00410073,13.0969,5.159665860010598e-06
3,2131910.0,4.68388,5.58271,1.6602599999999998,0.00587053,14.5499,5.159665860010598e-06
4,2131900.0,6.05901,6.86753,2.2702400000000003,0.0080274,16.4517,9.850271187383797e-06
5,2131900.0,4.9186,8.06062,3.00964,0.0106419,18.3828,9.850271187383797e-06
6,2131900.0,4.19913,8.83266,3.8445300000000002,0.013593899999999999,19.9901,9.850271187383797e-06
7,2131900.0,3.74684,9.337530000000001,4.74148,0.0167655,21.3935,9.850271187383797e-06
8,2131900.0,3.46412,9.6729,5.67929,0.0200815,22.669,9.850271187383797e-06
9,2131900.0,3.8134300000000003,9.99404,6.64761,0.0235054,23.9631,9.850271187383797e-06
10,2131890.0,4.11754,10.3946,7.651660000000001,0.027055700000000002,25.3724,1.4540876514645973e-05
11,2131890.0,4.3971800000000005,10.8557,8.698260000000001,0.030756400000000003,26.8847,1.4540876514645973e-05
12,2131890.0,4.66571,11.3657,9.792760000000001,0.0346264,28.494,1.4540876514645973e-05
13,2131890.0,4.93184,11.9178,10.9396,0.03868169999999999,30.198,1.4540876514645973e-05
14,2131890.0,5.2013300000000005,12.5084,12.1428,0.0429361,31.997,1.4540876514645973e-05
15,2131880.0,5.47808,13.1356,13.405999999999999,0.0474026,33.8928,1.923148184190815e-05
16,2131880.0,5.76484,13.7989,14.7328,0.05209400000000001,35.8886,1.923148184190815e-05
17,2131880.0,4.14885,14.1537,16.1152,0.056982000000000005,37.625,1.923148184190815e-05
18,2131880.0,3.09158,14.0307,17.5072,0.0619041,38.8952,1.923148184190815e-05
19,2131880.0,2.39098,13.627,18.8722,0.0667305,39.8588,1.923148184190815e-05
20,2131880.0,1.91865,13.0661,20.1889,0.0713863,40.6176,1.923148184190815e-05
21,2131880.0,1.5929799999999998,12.4251,21.4459,0.075831,41.2369,1.923148184190815e-05
22,2131870.0,2.69975,11.9928,22.6459,0.08007410000000001,42.0127,2.3922087169281347e-05
23,2131870.0,3.48349,11.9162,23.8219,0.0842323,43.1191,2.3922087169281347e-05
24,2131870.0,4.06613,12.075,25.0026,0.0884072,44.4648,2.3922087169281347e-05
25,2131870.0,4.52525,12.3931,26.2072,0.0926666,45.9934,2.3922087169281347e-05
26,2131870.0,4.91029,12.8227,27.4489,0.0970572,47.6705,2.3922087169281347e-05
27,2131860.0,5.25282,13.3342,28.7371,0.101612,49.476000000000006,2.8612692496543524e-05
28,2131860.0,5.5731,13.909,30.079,0.106357,51.3986,2.8612692496543524e-05
29,2131860.0,4.18885,14.2312,31.47,0.111275,53.1117,2.8612692496543524e-05
30,2131860.0,3.27473,14.1408,32.8708,0.116229,54.4239,2.8612692496543524e-05
31,2131860.0,2.66094,13.8046,34.2497,0.12110399999999999,55.4693,2.8612692496543524e-05
32,2131860.0,2.23959,13.3278,35.588,0.125836,56.3339,2.8612692496543524e-05
33,2131860.0,1.94212,12.7759,36.8751,0.130388,57.0727,2.8612692496543524e-05
