,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2115300.0,200.52900000000002,487.85400000000004,11419.8,175.725,12091.4,0.0077962551145187575
1,2115210.0,192.074,469.279,11506.7,177.107,12161.0,0.007838470562464561
2,2115110.0,184.188,451.189,11590.2,178.435,12227.8,0.007885376615737627
3,2115020.0,176.752,433.666,11670.6,179.713,12291.8,0.00792759206368343
4,2114940.0,169.688,416.74699999999996,11747.7,180.94,12353.3,0.007965116906301861
5,2114860.0,162.94799999999998,400.44199999999995,11821.9,182.12,12412.3,0.008002641748920292
6,2114780.0,156.501,384.74800000000005,11893.2,183.253,12469.0,0.008040166591538833
7,2114700.0,150.32299999999998,369.652,11961.7,184.342,12523.5,0.008077691434157264
8,2114630.0,144.39600000000002,355.13800000000003,12027.4,185.388,12575.8,0.008110525671448432
9,2114560.0,138.708,341.186,12090.6,186.394,12626.0,0.0081433599087396
10,2114490.0,133.246,327.779,12151.4,187.359,12674.2,0.008176194146030769
11,2114420.0,128.001,314.894,12209.7,188.287,12720.6,0.008209028383321937
12,2114360.0,122.962,302.514,12265.7,189.178,12765.1,0.008237172015285732
13,2114300.0,118.12200000000001,290.619,12319.6,190.03400000000002,12807.9,0.008265315647249638
14,2114250.0,113.473,279.19,12371.3,190.857,12849.0,0.008288768673886171
15,2114190.0,109.006,268.209,12421.0,191.64700000000002,12888.5,0.008316912305849966
16,2114140.0,104.715,257.659,12468.7,192.40599999999998,12926.4,0.008340365332486499
17,2114090.0,100.59299999999999,247.52200000000002,12514.5,193.135,12962.8,0.008363818359123032
18,2114040.0,96.6328,237.78400000000002,12558.6,193.83599999999998,12997.8,0.008387271385759565
19,2113990.0,92.8283,228.428,12600.9,194.50900000000001,13031.5,0.008410724412396098
20,2113940.0,89.1734,219.43900000000002,12641.5,195.155,13063.7,0.00843417743903263
21,2113900.0,85.6622,210.804,12680.6,195.77599999999998,13094.8,0.008452939860341901
22,2113860.0,82.289,202.507,12718.1,196.373,13124.6,0.008471702281651172
23,2113820.0,79.0485,194.53599999999997,12754.1,196.946,13153.2,0.008490464702960332
24,2113780.0,75.9355,186.87900000000002,12788.8,197.49599999999998,13180.7,0.008509227124269603
25,2113740.0,72.9449,179.523,12822.0,198.025,13207.1,0.008527989545578873
26,2113710.0,70.072,172.455,12854.0,198.533,13232.5,0.008542061361560771
27,2113670.0,67.3121,165.666,12884.7,199.021,13256.9,0.008560823782870042
28,2113640.0,64.6607,159.143,12914.1,199.49,13280.3,0.00857489559885194
29,2113610.0,62.1137,152.877,12942.5,199.94099999999997,13302.8,0.008588967414833837
30,2113580.0,59.667,146.857,12969.7,200.373,13324.4,0.008603039230815734
31,2113550.0,57.3165,141.07399999999998,12995.8,200.78900000000002,13345.1,0.008617111046797743
32,2113520.0,55.0585,135.518,13020.9,201.188,13365.1,0.00863118286277964
33,2113500.0,52.8894,130.181,13045.0,201.572,13384.2,0.008640564073434276
34,2113470.0,50.8057,125.054,13068.2,201.94,13402.6,0.008654635889416173
35,2113450.0,48.803999999999995,120.12899999999999,13090.4,202.294,13420.3,0.008664017100070809
36,2113420.0,46.8811,115.397,13111.8,202.63400000000001,13437.3,0.008678088916052706
37,2113400.0,45.0339,110.851,13132.3,202.96099999999998,13453.6,0.008687470126707342
38,2113380.0,43.2595,106.485,13152.1,203.274,13469.3,0.008696851337361977
39,2113360.0,41.5549,102.29,13171.0,203.576,13484.3,0.008706232548016501
40,2113340.0,39.9175,98.2603,13189.2,203.865,13498.8,0.008715613758671137
41,2113320.0,38.3445,94.3892,13206.7,204.143,13512.7,0.008724994969325772
42,2113300.0,36.8335,90.6705,13223.5,204.41,13526.0,0.008734376179980408
43,2113280.0,35.3819,87.0982,13239.6,204.667,13538.8,0.008743757390635043
44,2113260.0,33.9876,83.6666,13255.1,204.91400000000002,13551.1,0.008753138601289678
45,2113250.0,32.6482,80.37,13270.0,205.15,13563.0,0.00875782920661694
46,2113230.0,31.3615,77.2032,13284.3,205.378,13574.3,0.008767210417271576
47,2113220.0,30.1255,74.1612,13298.1,205.59599999999998,13585.2,0.008771901022598838
48,2113200.0,28.9382,71.2389,13311.3,205.80599999999998,13595.7,0.008781282233253473
49,2113190.0,27.7977,68.4317,13323.9,206.00799999999998,13605.8,0.008785972838580847
50,2113170.0,26.7021,65.735,13336.1,206.201,13615.4,0.008795354049235371
51,2113160.0,25.6497,63.1446,13347.8,206.387,13624.7,0.008800044654562744
52,2113150.0,24.6387,60.6561,13359.1,206.56599999999997,13633.6,0.008804735259890006
53,2113140.0,23.6676,58.2657,13369.8,206.738,13642.2,0.00880942586521738
54,2113120.0,22.7347,55.9695,13380.2,206.903,13650.5,0.008818807075871904
