,Recovered,Deceased,Infected,I_c
0,0,0,2.5714285714285716,6
1,0,0,3.7142857142857135,8
2,0,0,4.857142857142857,8
3,0,0,6.0,8
4,0,0,7.142857142857142,8
5,0,0,8.714285714285714,17
6,0,0,10.571428571428571,19
7,0,0,13.0,23
8,0,0,15.0,22
9,0,0,19.571428571428573,40
10,0,0,24.42857142857143,42
11,0,0,30.142857142857146,48
12,0,0,36.42857142857143,61
13,7,0,41.42857142857143,61
14,7,0,45.85714285714285,61
15,7,1,50.28571428571429,61
16,8,1,54.42857142857143,78
17,15,1,58.42857142857143,86
18,15,1,61.57142857142857,86
19,15,1,63.28571428571429,89
20,15,1,66.0,89
21,20,1,68.0,89
22,41,1,67.0,88
23,41,1,68.0,118
24,44,1,68.85714285714286,121
25,49,1,69.42857142857143,124
26,51,1,69.71428571428571,127
27,58,1,71.28571428571429,143
28,73,1,72.0,147
29,79,1,75.14285714285714,148
30,86,1,73.0,148
31,88,1,70.71428571428571,149
32,90,1,68.85714285714286,152
33,86,1,67.57142857142857,153
34,85,1,64.85714285714286,151
35,88,1,64.0,156
36,88,1,64.14285714285714,158
37,89,1,65.57142857142857,161
38,121,1,65.14285714285714,179
39,121,1,67.0,196
40,141,1,66.42857142857143,204
41,141,1,67.0,211
42,146,1,68.42857142857143,224
43,146,1,70.42857142857143,230
44,148,1,73.28571428571429,240
45,152,1,78.14285714285714,244
46,155,1,85.14285714285714,279
47,155,1,95.42857142857143,290
48,171,1,107.71428571428572,327
49,182,1,119.0,339
50,198,1,131.28571428571428,368
51,217,1,141.42857142857142,380
52,217,1,154.57142857142858,401
53,229,1,161.42857142857142,401
54,237,1,169.85714285714286,431
55,241,1,181.57142857142856,479
56,267,1,201.14285714285717,561
57,283,1,225.85714285714286,626
58,325,1,249.7142857142857,655
59,336,1,273.7142857142857,688
60,361,1,299.85714285714283,716
61,371,1,326.42857142857144,751
62,384,2,345.71428571428567,758
63,408,2,359.28571428571433,798
64,436,5,372.28571428571433,874
65,460,5,395.4285714285714,956
66,575,5,412.1428571428572,1048
67,621,5,436.8571428571428,1153
68,645,6,468.8571428571428,1254
69,654,9,507.4285714285714,1305
70,654,9,543.7142857142857,1305
71,673,9,577.0,1348
72,691,10,607.0,1402
73,707,10,642.2857142857142,1432
74,736,12,671.8571428571429,1482
75,788,13,692.1428571428571,1546
76,816,14,710.8571428571429,1603
77,881,15,723.2857142857142,1625
78,980,16,729.0,1702
79,1041,16,726.5714285714287,1741
80,1080,17,721.7142857142858,1778
81,1121,18,716.7142857142858,1838
82,1143,20,719.2857142857142,1926
83,1169,22,721.5714285714287,1980
84,1203,24,732.4285714285713,2032
85,1246,26,749.4285714285713,2097
86,1273,28,778.4285714285713,2188
87,1288,28,819.1428571428571,2282
88,1335,32,865.5714285714287,2391
89,1496,33,900.5714285714287,2537
90,1555,34,944.0,2682
91,1602,35,990.1428571428572,2765
92,1639,38,1042.2857142857142,2867
93,1698,42,1097.4285714285713,3013
94,1747,44,1159.2857142857142,3190
95,1808,46,1233.142857142857,3395
96,1879,51,1323.2857142857142,3569
97,1971,52,1412.2857142857142,3739
98,2066,56,1505.5714285714291,3903
