,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4409270.0,292.45099999999996,1220.1,6266.33,23.4713,7510.6,0.0022307568370955044
1,4409190.0,281.189,1173.29,6381.69,23.7618,7579.41,0.0022488599560818168
2,4409100.0,270.368,1128.27,6492.62,24.0411,7645.58,0.0022692259649415014
3,4409030.0,259.968,1084.97,6599.3,24.3098,7709.2,0.0022850661940545525
4,4408950.0,249.97099999999998,1043.32,6701.88,24.5681,7770.37,0.002303169313040976
5,4408880.0,240.362,1003.27,6800.53,24.8165,7829.19,0.002319009542154027
6,4408810.0,231.123,964.758,6895.39,25.0554,7885.75,0.002334849771267078
7,4408740.0,222.24099999999999,927.7189999999999,6986.6,25.2851,7940.14,0.002350690000380129
8,4408670.0,213.702,892.1,7074.32,25.506,7992.43,0.002366530229493291
9,4408610.0,205.49099999999999,857.847,7158.67,25.7184,8042.72,0.00238010756873297
10,4408550.0,197.59599999999998,824.908,7239.77,25.9227,8091.08,0.0023936849079727596
11,4408500.0,190.00400000000002,793.2330000000001,7317.77,26.1191,8137.57,0.002404999357339288
12,4408440.0,182.705,762.773,7392.77,26.3079,8182.28,0.002418576696579078
13,4408390.0,175.68599999999998,733.482,7464.89,26.4895,8225.28,0.0024298911459454953
14,4408340.0,168.93599999999998,705.316,7534.24,26.6642,8266.62,0.0024412055953120237
15,4408290.0,162.446,678.23,7600.92,26.8321,8306.37,0.0024525200446785522
16,4408240.0,156.20600000000002,652.184,7665.05,26.9936,8344.6,0.0024638344940449697
17,4408190.0,150.205,627.137,7726.71,27.1489,8381.35,0.002475148943411498
18,4408150.0,144.435,603.052,7786.0,27.2982,8416.7,0.0024842005029046543
19,4408110.0,138.886,579.8919999999999,7843.02,27.4418,8450.69,0.0024932520623978105
20,4408070.0,133.55,557.621,7897.85,27.5799,8483.37,0.0025023036218909667
21,4408030.0,128.42,536.205,7950.57,27.7126,8514.8,0.002511355181384234
22,4407990.0,123.486,515.61,8001.27,27.8403,8545.01,0.00252040674087739
23,4407950.0,118.742,495.80699999999996,8050.02,27.9631,8574.07,0.002529458300370546
24,4407920.0,114.181,476.764,8096.9,28.0811,8602.01,0.002536246969990441
25,4407890.0,109.794,458.452,8141.97,28.1946,8628.88,0.002543035639610336
26,4407850.0,105.57600000000001,440.844,8185.32,28.3038,8654.72,0.002552087199103492
27,4407820.0,101.52,423.911,8227.0,28.4087,8679.56,0.002558875868723387
28,4407790.0,97.6201,407.629,8267.08,28.5097,8703.45,0.002565664538343282
29,4407770.0,93.8698,391.971,8305.62,28.6067,8726.42,0.0025701903180899155
30,4407740.0,90.2635,376.916,8342.68,28.7001,8748.51,0.0025769789877098104
31,4407710.0,86.7958,362.43800000000005,8378.32,28.7898,8769.75,0.0025837676573297053
32,4407690.0,83.4613,348.51599999999996,8412.59,28.8761,8790.18,0.002588293437076228
33,4407660.0,80.2549,335.129,8445.54,28.9591,8809.82,0.0025950821066961227
34,4407640.0,77.1716,322.256,8477.22,29.0389,8828.7,0.0025996078864427563
35,4407620.0,74.2068,309.877,8507.69,29.1156,8846.86,0.00260413366618939
36,4407590.0,71.3559,297.974,8536.99,29.1894,8864.32,0.002610922335809285
37,4407570.0,68.6146,286.528,8565.16,29.2603,8881.11,0.0026154481155558074
38,4407550.0,65.9785,275.52099999999996,8592.25,29.3285,8897.26,0.002619973895302441
39,4407530.0,63.4437,264.937,8618.3,29.3941,8912.78,0.0026244996750489635
40,4407520.0,61.0063,254.76,8643.35,29.4572,8927.71,0.002626762564922336
41,4407500.0,58.6625,244.97400000000002,8667.44,29.5179,8942.07,0.0026312883446688584
42,4407480.0,56.4087,235.563,8690.6,29.5762,8955.87,0.002635814124415492
43,4407460.0,54.2416,226.514,8712.87,29.6323,8969.15,0.0026403399041621256
44,4407450.0,52.1577,217.812,8734.29,29.6862,8981.91,0.002642602794035387
45,4407430.0,50.1538,209.445,8754.88,29.7381,8994.18,0.0026471285737820205
46,4407420.0,48.2269,201.399,8774.69,29.7879,9005.99,0.0026493914636552818
47,4407410.0,46.3741,193.662,8793.73,29.8359,9017.33,0.002651654353528543
48,4407390.0,44.5924,186.22299999999998,8812.04,29.881999999999998,9028.25,0.0026561801332751767
49,4407380.0,42.8792,179.06900000000002,8829.64,29.9263,9038.74,0.002658443023148438
50,4407370.0,41.2318,172.18900000000002,8846.57,29.969,9048.83,0.0026607059130216992
51,4407350.0,39.6477,165.575,8862.86,30.01,9058.53,0.002665231692768333
52,4407340.0,38.1245,159.214,8878.51,30.0494,9067.86,0.002667494582641594
53,4407330.0,36.6598,153.097,8893.56,30.0873,9076.83,0.0026697574725149664
54,4407320.0,35.2513,147.216,8908.04,30.1238,9085.46,0.0026720203623882277
55,4407310.0,33.897,141.56,8921.96,30.1588,9093.75,0.002674283252261489
56,4407300.0,32.5946,136.122,8935.34,30.1925,9101.73,0.0026765461421348613
57,4407290.0,31.3424,130.892,8948.21,30.2249,9109.4,0.0026788090320081226
58,4407280.0,30.1382,125.86399999999999,8960.59,30.2561,9116.78,0.002681071921881384
59,4407270.0,28.9803,121.02799999999999,8972.49,30.2861,9123.87,0.002683334811754756
60,4407260.0,27.8669,116.37899999999999,8983.93,30.3149,9130.69,0.0026855977016280175
61,4407260.0,26.7962,111.90799999999999,8994.93,30.3426,9137.25,0.0026855977016280175
62,4407250.0,25.7667,107.60799999999999,9005.51,30.3692,9143.55,0.0026878605915012788
63,4407240.0,24.7768,103.47399999999999,9015.69,30.3949,9149.61,0.002690123481374651
64,4407230.0,23.8248,99.499,9025.47,30.4195,9155.44,0.0026923863712479124
65,4407230.0,22.9095,95.6765,9034.88,30.4432,9161.05,0.0026923863712479124
66,4407220.0,22.0293,92.0007,9043.92,30.465999999999998,9166.44,0.0026946492611211736
67,4407210.0,21.1829,88.4662,9052.62,30.4879,9171.63,0.002696912150994546
68,4407210.0,20.3691,85.0674,9060.99,30.5089,9176.61,0.002696912150994546
69,4407200.0,19.5865,81.7993,9069.03,30.5292,9181.4,0.0026991750408678072
70,4407200.0,18.834,78.6566,9076.76,30.5487,9186.01,0.0026991750408678072
71,4407190.0,18.1104,75.6347,9084.2,30.5674,9190.44,0.0027014379307410685
72,4407190.0,17.4146,72.7289,9091.35,30.5854,9194.71,0.0027014379307410685
73,4407180.0,16.7455,69.9348,9098.23,30.6027,9198.8,0.00270370082061433
74,4407180.0,16.1021,67.2479,9104.84,30.6194,9202.74,0.00270370082061433
75,4407170.0,15.4835,64.6643,9111.2,30.6354,9206.53,0.002705963710487702
76,4407170.0,14.8886,62.18,9117.31,30.6508,9210.18,0.002705963710487702
77,4407160.0,14.3166,59.7911,9123.19,30.6656,9213.68,0.0027082266003609634
78,4407160.0,13.7665,57.4939,9128.84,30.6798,9217.05,0.0027082266003609634
79,4407150.0,13.2376,55.2851,9134.28,30.6935,9220.29,0.0027104894902342247
80,4407150.0,12.729000000000001,53.161,9139.51,30.7067,9223.4,0.0027104894902342247
81,4407150.0,12.24,51.1186,9144.53,30.7193,9226.4,0.0027104894902342247
82,4407140.0,11.7697,49.1547,9149.37,30.7315,9229.28,0.002712752380107597
83,4407140.0,11.3175,47.2662,9154.01,30.7432,9232.05,0.002712752380107597
84,4407140.0,10.8827,45.4502,9158.48,30.7544,9234.71,0.002712752380107597
85,4407130.0,10.4646,43.70399999999999,9162.78,30.7653,9237.27,0.0027150152699808583
86,4407130.0,10.0625,42.0249,9166.91,30.7757,9239.73,0.0027150152699808583
87,4407130.0,9.6759,40.4103,9170.89,30.7857,9242.1,0.0027150152699808583
88,4407120.0,9.30415,38.8578,9174.71,30.7953,9244.38,0.0027172781598541196
89,4407120.0,8.94668,37.3649,9178.38,30.8046,9246.57,0.0027172781598541196
90,4407120.0,8.60294,35.9293,9181.91,30.8135,9248.67,0.0027172781598541196
91,4407120.0,8.27241,34.5489,9185.31,30.822,9250.7,0.0027172781598541196
92,4407110.0,7.95458,33.2215,9188.58,30.8302,9252.65,0.002719541049727492
93,4407110.0,7.648960000000001,31.9452,9191.72,30.8381,9254.52,0.002719541049727492
94,4407110.0,7.35508,30.7178,9194.74,30.8457,9256.32,0.002719541049727492
95,4407110.0,7.072489999999999,29.5377,9197.64,30.8531,9258.05,0.002719541049727492
96,4407100.0,6.80077,28.4028,9200.44,30.8601,9259.71,0.002721803939600753
97,4407100.0,6.53948,27.3116,9203.12,30.8669,9261.31,0.002721803939600753
98,4407100.0,6.28822,26.2623,9205.7,30.8734,9262.85,0.002721803939600753
99,4407100.0,6.04663,25.2533,9208.19,30.8796,9264.33,0.002721803939600753
100,4407100.0,5.81431,24.283,9210.57,30.8856,9265.75,0.002721803939600753
101,4407100.0,5.59092,23.3501,9212.87,30.8914,9267.12,0.002721803939600753
102,4407090.0,5.37611,22.4529,9215.08,30.897,9268.44,0.0027240668294740145
103,4407090.0,5.16956,21.5903,9217.2,30.9023,9269.7,0.0027240668294740145
104,4407090.0,4.970940000000001,20.7608,9219.24,30.9075,9270.92,0.0027240668294740145
105,4407090.0,4.77996,19.9632,9221.2,30.9124,9272.09,0.0027240668294740145
106,4407090.0,4.59631,19.1962,9223.09,30.9171,9273.21,0.0027240668294740145
107,4407090.0,4.41971,18.4586,9224.91,30.9217,9274.29,0.0027240668294740145
108,4407090.0,4.2499,17.7494,9226.65,30.9261,9275.33,0.0027240668294740145
109,4407080.0,4.08662,17.0675,9228.33,30.9303,9276.34,0.0027263297193473868
110,4407080.0,3.92961,16.4118,9229.94,30.9344,9277.3,0.0027263297193473868
111,4407080.0,3.77863,15.7812,9231.5,30.9383,9278.22,0.0027263297193473868
112,4407080.0,3.63345,15.1749,9232.99,30.9421,9279.11,0.0027263297193473868
113,4407080.0,3.49385,14.5919,9234.42,30.9457,9279.97,0.0027263297193473868
114,4407080.0,3.3596199999999996,14.0312,9235.8,30.9492,9280.79,0.0027263297193473868
115,4407080.0,3.23054,13.4922,9237.13,30.9525,9281.58,0.0027263297193473868
116,4407080.0,3.10642,12.9738,9238.4,30.9557,9282.34,0.0027263297193473868
117,4407080.0,2.98707,12.4753,9239.63,30.9588,9283.07,0.0027263297193473868
118,4407070.0,2.8723,11.995999999999999,9240.81,30.9618,9283.77,0.002728592609220648
119,4407070.0,2.76195,11.5351,9241.94,30.9646,9284.45,0.002728592609220648
120,4407070.0,2.65583,11.0919,9243.03,30.9674,9285.1,0.002728592609220648
121,4407070.0,2.5537900000000002,10.6658,9244.08,30.97,9285.72,0.002728592609220648
122,4407070.0,2.45567,10.255999999999998,9245.09,30.9726,9286.32,0.002728592609220648
123,4407070.0,2.36132,9.86195,9246.06,30.975,9286.9,0.002728592609220648
124,4407070.0,2.2706,9.48305,9246.99,30.9773,9287.46,0.002728592609220648
125,4407070.0,2.18336,9.1187,9247.89,30.9796,9287.99,0.002728592609220648
126,4407070.0,2.09947,8.76835,9248.75,30.9818,9288.51,0.002728592609220648
127,4407070.0,2.0188099999999998,8.43147,9249.58,30.9839,9289.0,0.002728592609220648
128,4407070.0,1.94125,8.10753,9250.38,30.9859,9289.47,0.002728592609220648
129,4407070.0,1.8666599999999998,7.79603,9251.15,30.9878,9289.93,0.002728592609220648
130,4407070.0,1.7949400000000002,7.4965,9251.88,30.9897,9290.37,0.002728592609220648
131,4407070.0,1.7259799999999998,7.208480000000001,9252.59,30.9914,9290.79,0.002728592609220648
132,4407070.0,1.65967,6.93153,9253.27,30.9932,9291.2,0.002728592609220648
133,4407070.0,1.5959,6.665210000000001,9253.93,30.9948,9291.59,0.002728592609220648
134,4407060.0,1.53459,6.40913,9254.56,30.9964,9291.97,0.0027308554990939093
135,4407060.0,1.47563,6.16289,9255.16,30.9979,9292.33,0.0027308554990939093
136,4407060.0,1.41893,5.9261,9255.75,30.9994,9292.67,0.0027308554990939093
137,4407060.0,1.3644100000000001,5.69842,9256.31,31.0008,9293.01,0.0027308554990939093
138,4407060.0,1.31199,5.479480000000001,9256.85,31.0022,9293.33,0.0027308554990939093
139,4407060.0,1.26158,5.26896,9257.36,31.0035,9293.64,0.0027308554990939093
140,4407060.0,1.2131100000000001,5.06652,9257.86,31.0047,9293.93,0.0027308554990939093
141,4407060.0,1.1665,4.87186,9258.34,31.0059,9294.22,0.0027308554990939093
142,4407060.0,1.1216899999999999,4.68468,9258.8,31.0071,9294.49,0.0027308554990939093
143,4407060.0,1.07859,4.50469,9259.25,31.0082,9294.76,0.0027308554990939093
144,4407060.0,1.03715,4.33162,9259.67,31.0093,9295.01,0.0027308554990939093
145,4407060.0,0.997302,4.16519,9260.08,31.0103,9295.26,0.0027308554990939093
146,4407060.0,0.9589840000000001,4.00516,9260.47,31.0113,9295.49,0.0027308554990939093
147,4407060.0,0.9221389999999999,3.8512800000000005,9260.85,31.0122,9295.72,0.0027308554990939093
148,4407060.0,0.88671,3.7033099999999997,9261.22,31.0132,9295.93,0.0027308554990939093
149,4407060.0,0.852642,3.56103,9261.57,31.014,9296.14,0.0027308554990939093
150,4407060.0,0.819883,3.42421,9261.9,31.0149,9296.34,0.0027308554990939093
