,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,1,1
7,0,0,1,1
8,0,0,1,1
9,0,0,1,1
10,0,0,1,1
11,0,0,1,1
12,0,0,1,1
13,0,0,1,1
14,0,0,1,1
15,0,0,1,1
16,0,0,2,2
17,1,0,0,1
18,1,0,0,1
19,1,0,0,1
20,1,0,0,1
21,1,0,4,5
22,1,0,6,7
23,1,0,6,7
24,1,0,6,7
25,1,0,6,7
26,1,0,27,28
27,1,1,45,47
28,1,3,49,53
29,1,3,53,57
30,1,3,53,57
31,1,3,53,57
32,1,3,66,70
33,2,3,88,93
34,2,3,89,94
35,5,3,95,103
36,6,3,99,108
37,30,3,80,113
38,39,3,74,116
39,48,3,65,116
40,48,3,65,116
41,48,3,76,127
42,48,3,77,128
43,59,3,66,128
44,78,3,57,138
45,90,4,46,140
46,91,4,50,145
47,103,4,43,150
48,103,4,46,153
49,103,4,49,156
50,107,4,51,162
51,115,4,52,171
52,115,4,62,181
53,124,4,53,181
54,124,4,59,187
55,125,4,68,197
56,129,4,68,201
57,132,4,65,201
58,139,4,73,216
59,139,4,79,222
60,148,4,78,230
61,151,4,75,230
62,167,4,76,247
63,171,4,72,247
64,176,4,82,262
65,176,4,84,264
66,188,4,82,274
67,192,4,80,276
68,196,4,89,289
69,196,4,94,294
70,199,4,102,305
71,209,4,94,307
72,225,4,82,311
73,229,4,84,317
74,248,4,83,335
75,254,4,83,341
76,254,4,123,381
77,259,4,134,397
78,273,5,159,437
79,274,5,165,444
80,275,5,177,457
81,280,5,208,493
82,300,6,221,527
83,318,6,232,556
84,318,7,247,572
85,329,8,278,615
86,348,8,268,624
87,363,8,264,635
88,378,8,267,653
89,428,8,244,680
90,483,8,212,703
91,524,9,180,713
92,554,9,187,750
93,565,12,264,841
94,580,12,283,875
95,597,12,318,927
96,605,13,375,993
97,622,13,417,1052
98,636,14,544,1194
99,657,14,577,1248
100,656,16,662,1334
101,730,16,604,1350
102,744,17,609,1370
103,781,17,622,1420
104,841,20,587,1448
105,910,21,564,1495
106,944,21,591,1556
107,984,21,625,1630
108,1069,21,572,1662
109,1116,21,576,1713
110,1174,22,583,1779
111,1202,24,600,1826
112,1228,26,635,1889
113,1276,26,633,1935
114,1372,28,598,1998
115,1423,30,598,2051
116,1462,32,599,2093
117,1502,33,637,2172
118,1540,33,655,2228
119,1573,33,716,2322
120,1654,34,729,2417
121,1772,36,701,2509
122,1850,37,694,2581
123,1905,38,781,2724
124,1938,39,860,2837
125,2001,40,905,2946
126,2045,40,984,3069
127,2069,42,1060,3171
128,2107,43,1122,3272
129,2234,43,1050,3327
130,2324,46,1058,3428
131,2412,47,1054,3513
132,2521,47,1064,3632
133,2619,47,1074,3740
134,2731,47,1083,3861
135,2842,47,1070,3959
136,2958,48,1028,4034
137,3057,48,1060,4165
138,3129,52,1071,4252
139,3177,54,1145,4376
140,3294,54,1126,4474
141,3368,55,1154,4577
142,3531,55,1050,4636
143,3637,56,1002,4695
144,3767,57,956,4780
145,3870,57,961,4888
146,3937,57,961,4955
147,4048,60,962,5070
148,4155,64,963,5182
149,4272,64,945,5281
150,4357,64,912,5333
151,4417,65,961,5443
152,4488,66,963,5517
153,4553,67,974,5594
154,4639,67,953,5659
155,4731,69,961,5761
156,4861,70,881,5812
157,4959,70,834,5863
158,5048,72,828,5948
159,5160,73,797,6030
160,5160,73,797,6030
