,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2874260.0,0.320143,1.1805,0.0173974,0.00174934,1.19876,-6.958317591010399e-07
1,2874260.0,0.21238,1.2886799999999998,0.037041000000000004,0.00372453,1.32802,-6.958317591010399e-07
2,2874260.0,0.147814,1.35353,0.0580308,0.00583509,1.41565,-6.958317591010399e-07
3,2874260.0,0.10912999999999999,1.39242,0.07982769999999999,0.00802681,1.47834,-6.958317591010399e-07
4,2874260.0,0.08595269999999999,1.41575,0.102109,0.0102672,1.52607,-6.958317591010399e-07
5,2874260.0,0.07206699999999999,1.4297600000000001,0.12468,0.012536799999999999,1.5648600000000001,-6.958317591010399e-07
6,2874260.0,0.06374830000000001,1.4381899999999999,0.147426,0.014824,1.59828,-6.958317591010399e-07
7,2874260.0,0.05876519999999999,1.44327,0.17027799999999998,0.0171217,1.62848,-6.958317591010399e-07
8,2874260.0,0.05578060000000001,1.44634,0.193193,0.019425799999999997,1.6567599999999998,-6.958317591010399e-07
9,2874260.0,-0.0847787,1.4107399999999999,0.215941,0.021713299999999998,1.6455,-6.958317591010399e-07
10,2874260.0,-0.155131,1.32544,0.237688,0.0239,1.58379,-6.958317591010399e-07
11,2874260.0,-0.185034,1.21786,0.25788099999999997,0.025930400000000003,1.49829,-6.958317591010399e-07
12,2874260.0,-0.192132,1.10358,0.2763,0.027782400000000002,1.4042299999999999,-6.958317591010399e-07
13,2874260.0,-0.186833,0.9911270000000001,0.292912,0.0294528,1.31009,-6.958317591010399e-07
14,2874260.0,-0.175227,0.8849459999999999,0.307787,0.0309485,1.22034,-6.958317591010399e-07
15,2874260.0,0.192381,0.874661,0.32150100000000004,0.0323274,1.2269700000000001,-6.958317591010399e-07
16,2874260.0,0.562497,1.0424799999999999,0.336452,0.03383080000000001,1.41308,-6.958317591010399e-07
17,2874260.0,1.00981,1.4047399999999999,0.355545,0.035750699999999996,1.79855,-6.958317591010399e-07
18,2874250.0,1.61723,2.0154900000000002,0.382236,0.0384345,2.4416900000000004,2.7833270360710927e-06
19,2874250.0,2.49187,2.97376,0.421174,0.04234980000000001,3.44714,2.7833270360710927e-06
20,2874250.0,3.7843199999999997,4.4391099999999994,0.47903,0.0481673,4.98257,2.7833270360710927e-06
21,2874240.0,5.71482,6.657960000000001,0.565642,0.056876300000000005,7.3063,6.262485831132203e-06
22,2874240.0,8.61099,10.0049,0.695695,0.0699533,10.8106,6.262485831132203e-06
23,2874230.0,12.9634,15.0456,0.891214,0.08961310000000001,16.0881,9.741644626193313e-06
24,2874210.0,19.5089,22.6327,1.18529,0.119183,24.0313,1.6699962216315534e-05
25,2874210.0,15.8519,30.8258,1.61112,0.162,32.6749,1.6699962216315534e-05
26,2874200.0,14.1082,37.5861,2.1543400000000004,0.216623,40.0244,2.0179121011376644e-05
27,2874200.0,13.5585,43.6869,2.79881,0.281425,46.8318,2.0179121011376644e-05
28,2874190.0,13.7772,49.6128,3.5381400000000003,0.35576599999999997,53.5724,2.3658279806437754e-05
29,2874180.0,14.515,55.6775,4.37221,0.439634,60.5587,2.7137438601498864e-05
30,2874170.0,15.6287,62.0952,5.305,0.5334260000000001,68.0085,3.0616597396559975e-05
31,2874160.0,19.8542,66.2109,9.89729,0.6354569999999999,76.8394,3.409575619173211e-05
32,2874140.0,23.4285,71.8761,14.8426,0.745332,87.5775,4.105407378185433e-05
33,2874140.0,14.9226,75.7535,20.166,0.863604,96.8545,4.105407378185433e-05
34,2874140.0,10.0242,76.2395,25.635,0.9851139999999999,102.90700000000001,4.105407378185433e-05
35,2874140.0,7.173089999999999,74.888,31.0667,1.1058,107.094,4.105407378185433e-05
36,2874130.0,5.48522,72.5751,36.3634,1.22348,110.18700000000001,4.453323257691544e-05
37,2874130.0,4.45979,69.7933,41.4754,1.33705,112.625,4.453323257691544e-05
38,2874130.0,3.81296,66.8177,46.3795,1.44601,114.66,4.453323257691544e-05
39,2874130.0,3.3837900000000003,63.8006,51.068000000000005,1.55018,116.43299999999999,4.453323257691544e-05
40,2874130.0,3.08097,60.825,55.541000000000004,1.64956,118.02799999999999,4.453323257691544e-05
41,2874130.0,2.85262,57.9348,59.8033,1.74426,119.494,4.453323257691544e-05
42,2874120.0,2.6692299999999998,55.1517,63.8619,1.83443,120.859,4.801239137197655e-05
43,2874120.0,2.51395,52.4852,67.7249,1.9202599999999999,122.14,4.801239137197655e-05
44,2874120.0,2.37709,49.938,71.4007,2.0019299999999998,123.35,4.801239137197655e-05
45,2874120.0,2.25305,47.5089,74.8979,2.07963,124.495,4.801239137197655e-05
46,2874120.0,5.08281,45.9583,78.2437,2.1539599999999997,126.37899999999999,4.801239137197655e-05
47,2874110.0,6.783689999999999,45.5728,81.5233,2.22683,129.35399999999998,5.149155016703766e-05
48,2874110.0,7.84785,45.8599,84.8014,2.29966,132.997,5.149155016703766e-05
49,2874100.0,8.554039999999999,46.5409,88.1153,2.3732900000000003,137.069,5.497070896209877e-05
50,2874090.0,9.060189999999999,47.4584,91.4872,2.44821,141.436,5.844986775715988e-05
51,2874090.0,9.45582,48.5235,94.9306,2.52471,146.023,5.844986775715988e-05
52,2874080.0,9.79166,49.6864,98.4541,2.60299,150.789,6.192902655222099e-05
53,2874080.0,10.0966,50.9191,102.064,2.68319,155.713,6.192902655222099e-05
54,2874070.0,10.3869,52.2061,105.764,2.7654,160.784,6.54081853472821e-05
55,2874070.0,10.672,53.5392,109.55799999999999,2.8496900000000003,165.997,6.54081853472821e-05
56,2874060.0,10.9573,54.9139,113.449,2.93615,171.351,6.888734414234321e-05
57,2874050.0,11.2458,56.3282,117.44,3.02483,176.847,7.236650293740432e-05
58,2874050.0,11.5396,57.7814,121.535,3.11579,182.487,7.236650293740432e-05
59,2874040.0,11.8396,59.2735,125.735,3.20911,188.273,7.584566173257645e-05
60,2874030.0,12.1466,60.8049,130.043,3.3048300000000004,194.21,7.932482052763756e-05
61,2874020.0,12.4611,62.3763,134.463,3.40303,200.301,8.280397932269867e-05
62,2874020.0,12.7835,63.9885,138.997,3.5037599999999998,206.55,8.280397932269867e-05
63,2874010.0,13.1141,65.6425,143.648,3.6071,212.96,8.628313811775978e-05
64,2874000.0,13.4532,67.3393,148.41899999999998,3.71311,219.53599999999997,8.97622969128209e-05
65,2873990.0,13.800999999999998,69.08,153.314,3.82186,226.282,9.3241455707882e-05
66,2873980.0,14.1578,70.8658,158.335,3.93342,233.202,9.672061450294311e-05
67,2873980.0,14.5237,72.6976,163.486,4.04787,240.301,9.672061450294311e-05
68,2873970.0,14.8991,74.5768,168.77,4.16527,247.584,0.00010019977329800422
69,2873960.0,15.2842,76.5046,174.19099999999997,4.28571,255.055,0.00010367893209306533
70,2873950.0,15.6793,78.4822,179.752,4.40926,262.719,0.00010715809088812644
71,2873930.0,21.7775,81.9461,185.49200000000002,4.53678,272.08,0.00011411640847824867
72,2873910.0,26.5418,87.7206,191.567,4.67175,284.08799999999997,0.00012107472606848191
73,2873890.0,30.684,95.1912,198.11900000000003,4.81733,298.277,0.00012803304365860413
74,2873870.0,34.6208,104.04899999999999,205.25799999999998,4.97595,314.452,0.00013499136124872635
75,2873850.0,38.6031,114.163,213.078,5.1496900000000005,332.579,0.00014194967883884857
76,2873820.0,42.7892,125.506,221.668,5.34053,352.723,0.0001523871552240319
77,2873790.0,47.2871,138.116,231.11599999999999,5.55045,375.014,0.00016282463160932625
78,2873760.0,52.1777,152.072,241.516,5.7815199999999995,399.626,0.00017326210799450958
