,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2870600.0,231.262,985.3530000000001,1948.19,41.433,2976.12,0.001272676287236596
1,2870450.0,243.764,1037.46,2011.99,43.0451,3093.69,0.0013248636691626237
2,2870300.0,256.828,1092.42,2079.17,44.7424,3217.6,0.0013770510510886513
3,2870140.0,270.527,1150.35,2149.91,46.5298,3348.13,0.0014327175918097401
4,2869970.0,284.918,1211.39,2224.4,48.4119,3485.6,0.001491863291326001
5,2869790.0,300.051,1275.67,2302.84,50.3939,3630.39,0.001554488149637212
6,2869600.0,315.972,1343.37,2385.45,52.4812,3782.86,0.0016205921667435952
7,2869410.0,332.728,1414.66,2472.44,54.6791,3943.42,0.0016866961838498673
8,2869200.0,350.365,1489.72,2564.05,56.9937,4112.49,0.0017597585185463727
9,2868980.0,368.931,1568.75,2660.52,59.4311,4290.53,0.0018363000120379391
10,2868750.0,388.474,1651.97,2762.1,61.9978,4477.99,0.0019163206643244557
11,2868510.0,409.04699999999997,1739.59,2869.08,64.7007,4675.38,0.0019998204754061444
12,2868250.0,430.70300000000003,1831.83,2981.72,67.5469,4883.23,0.0020902786040779553
13,2867980.0,453.499,1928.95,3100.34,70.544,5102.08,0.0021842158915448273
14,2867700.0,477.494,2031.2,3225.25,73.7,5332.51,0.0022816323378068715
15,2867400.0,502.75,2138.84,3356.78,77.0232,5575.13,0.002386007101658927
16,2867080.0,529.3340000000001,2252.16,3495.28,80.5226,5830.58,0.0024973401831012154
17,2866750.0,557.314,2371.46,3641.11,84.2073,6099.53,0.002612152423338454
18,2866400.0,586.762,2497.05,3794.67,88.0872,6382.7,0.002733922981165926
19,2866040.0,617.754,2629.25,3956.36,92.1726,6680.83,0.002859172697788459
20,2865650.0,650.37,2768.41,4126.61,96.4742,6994.7,0.0029948598907961754
21,2865240.0,684.693,2914.89,4305.86,101.00299999999999,7325.15,0.003137505401394014
22,2864820.0,720.811,3069.08,4494.61,105.772,7673.02,0.0032836300707869137
23,2864370.0,758.817,3231.37,4693.33,110.79299999999999,8039.24,0.0034401922165651078
24,2863890.0,798.806,3402.18,4902.56,116.08,8424.77,0.003607191838728485
25,2863390.0,840.8810000000001,3581.95,5122.85,121.646,8830.61,0.0037811497784819847
26,2862870.0,885.148,3771.16,5354.78,127.506,9257.82,0.003962066035825607
27,2862310.0,931.7180000000001,3970.27,5598.95,133.675,9707.51,0.004156898928349473
28,2861730.0,980.707,4179.82,5856.01,140.17,10180.9,0.004358690138463572
29,2861120.0,1032.24,4400.32,6126.64,147.00799999999998,10679.1,0.004570918824962855
30,2860470.0,1086.44,4632.35,6411.55,154.207,11203.5,0.0047970641466423825
31,2859790.0,1143.45,4876.49,6711.47,161.785,11755.4,0.005033646944707093
32,2859080.0,1203.41,5133.36,7027.19,169.762,12336.3,0.005280667219157098
33,2858330.0,1266.46,5403.62,7359.54,178.15900000000002,12947.6,0.005541604128787347
34,2857530.0,1332.75,5687.94,7709.38,186.99900000000002,13590.9,0.005819936832392902
35,2856700.0,1402.46,5987.04,8077.63,196.303,14267.9,0.006108707012383752
36,2855830.0,1475.74,6301.66,8465.23,206.09599999999998,14980.3,0.0064113938275548454
37,2854900.0,1552.78,6632.6,8873.2,216.40400000000002,15729.9,0.006734955595496306
38,2853930.0,1633.76,6980.67,9302.58,227.253,16518.6,0.007072433998618122
39,2852910.0,1718.86,7346.73,9754.49,238.671,17348.4,0.007427308195715243
40,2851840.0,1808.3,7731.69,10230.1,250.688,18221.4,0.00779957818678767
41,2850710.0,1902.28,8136.48,10730.6,263.334,19139.8,0.008192723130630575
42,2849520.0,2001.02,8562.1,11257.3,276.642,20105.9,0.008606743027243846
43,2848280.0,2104.74,9009.56,11811.5,290.64599999999996,21122.2,0.009038158717832534
44,2846960.0,2213.69,9479.96,12394.7,305.381,22191.0,0.009497407678781822
45,2845580.0,2328.11,9974.42,13008.3,320.885,23315.2,0.009977531592501476
46,2844130.0,2448.26,10494.1,13653.9,337.19699999999995,24497.4,0.010482009617786558
47,2842600.0,2574.4,11040.3,14333.2,354.35900000000004,25740.5,0.01101432091343224
48,2841000.0,2706.81,11614.1,15047.7,372.414,27047.7,0.011570986320643462
49,2839310.0,2845.78,12217.1,15799.4,391.406,28422.0,0.012158964157010232
50,2837530.0,2991.6,12850.6,16590.1,411.384,29866.9,0.012778254422532664
51,2835670.0,3144.59,13515.9,17421.7,432.397,31385.6,0.013425377958415696
52,2833710.0,3305.06,14214.7,18296.4,454.49699999999996,32982.0,0.01410729308224945
53,2831650.0,3473.35,14948.5,19216.3,477.73900000000003,34659.8,0.014823999794033815
54,2829490.0,3649.79,15719.0,20183.6,502.17900000000003,36422.8,0.015575498093768902
55,2827220.0,3834.73,16527.8,21200.7,527.879,38275.3,0.016365267140249773
56,2824830.0,4028.55,17376.6,22270.1,554.899,40221.6,0.017196786092271488
57,2822320.0,4231.6,18267.4,23394.4,583.306,42266.1,0.018070054949834047
58,2819690.0,4444.26,19202.0,24576.3,613.168,44413.5,0.01898507371293734
59,2816920.0,4666.94,20182.4,25818.6,644.556,46668.7,0.01994880069917171
60,2814020.0,4900.04,21210.6,27124.2,677.544,49036.6,0.020957756749741985
61,2810980.0,5143.94,22288.7,28496.3,712.212,51522.7,0.022015421023443227
62,2807780.0,5399.09,23418.9,29938.0,748.6389999999999,54132.2,0.02312875183786567
63,2804430.0,5665.89,24603.3,31452.7,786.9119999999999,56871.0,0.024294270034214027
64,2800910.0,5944.78,25844.3,33044.0,827.117,59744.8,0.025518933930078647
65,2797220.0,6236.19,27144.2,34715.4,869.347,62759.8,0.026802743525459416
66,2793350.0,6540.56,28505.5,36470.7,913.699,65922.2,0.028149177979151507
67,2789300.0,6858.32,29930.5,38313.9,960.2710000000001,69238.7,0.02955823729115481
68,2785050.0,7189.91,31421.9,40249.2,1009.17,72715.9,0.031036879779059445
69,2780590.0,7535.78,32982.3,42280.7,1060.5,76360.7,0.0325885846016607
70,2775930.0,7896.35,34614.1,44412.9,1114.37,80180.5,0.03420987260016328
71,2771040.0,8272.06,36320.2,46650.4,1170.9,84182.4,0.035911181250952384
72,2765930.0,8663.31,38103.2,48997.9,1230.22,88374.3,0.037689031395233163
73,2760570.0,9070.53,39965.9,51460.5,1292.44,92763.7,0.03955386050939058
74,2754970.0,9494.1,41911.0,54043.2,1357.69,97358.8,0.04150218943462969
75,2749110.0,9934.4,43941.3,56751.2,1426.12,102168.0,0.04354097648854072
76,2742980.0,10391.8,46059.5,59590.2,1497.85,107199.0,0.04567370082991851
77,2736580.0,10866.6,48268.4,62565.6,1573.03,112461.0,0.04790036245876328
78,2729890.0,11359.1,50570.7,65683.4,1651.8,117962.0,0.050227919692665046
79,2722900.0,11869.5,52969.2,68949.5,1734.33,123712.0,0.05265985169041887
80,2715600.0,12398.2,55466.5,72370.0,1820.75,129719.0,0.05519963761081992
81,2707980.0,12945.3,58065.1,75951.3,1911.24,135992.0,0.057850756612663146
82,2700030.0,13510.9,60767.6,79699.8,2005.95,142540.0,0.06061668785474372
83,2691750.0,14095.1,63576.4,83622.2,2105.05,149373.0,0.06349743133706165
84,2683110.0,14697.9,66493.7,87725.2,2208.72,156500.0,0.066503424536002
85,2674120.0,15319.3,69521.6,92015.8,2317.13,163930.0,0.06963118829276982
86,2664750.0,15959.2,72662.2,96501.0,2430.46,171673.0,0.0728911600837503
87,2655010.0,16617.3,75917.1,101188.0,2548.88,179736.0,0.07627986075014836
88,2644870.0,17293.4,79287.8,106084.0,2672.59,188130.0,0.07980772776834921
89,2634330.0,17987.1,82775.8,111196.0,2801.76,196863.0,0.08347476113835295
90,2623390.0,18698.0,86381.8,116533.0,2936.59,205944.0,0.08728096086015935
91,2612030.0,19425.5,90106.7,122100.0,3077.26,215380.0,0.09123328525135876
92,2600240.0,20168.9,93950.8,127907.0,3223.97,225181.0,0.09533521347074614
93,2588010.0,20927.5,97914.1,133959.0,3376.9,235354.0,0.09959022467711665
94,2575350.0,21700.2,101996.0,140266.0,3536.24,245905.0,0.10399483971167511
95,2562230.0,22486.2,106196.0,146834.0,3702.19,256843.0,0.10855949605080684
96,2548660.0,23284.2,110512.0,153670.0,3874.92,268173.0,0.11328071453571664
97,2534640.0,24093.0,114944.0,160783.0,4054.63,279900.0,0.11815849516640464
98,2520150.0,24911.2,119487.0,168178.0,4241.5,292030.0,0.12319979626046096
99,2505190.0,25737.2,124140.0,175864.0,4435.7,304568.0,0.12840461781788548
100,2489760.0,26569.4,128899.0,183847.0,4637.4,317515.0,0.13377295983867832
101,2473870.0,27406.0,133760.0,192134.0,4846.77,330876.0,0.1393013431640444
102,2457500.0,28245.1,138718.0,200730.0,5063.97,344652.0,0.14499672611157388
103,2440670.0,29084.6,143768.0,209642.0,5289.15,358843.0,0.1508521503636765
104,2423360.0,29922.3,148903.0,218876.0,5522.45,373450.0,0.1568745742379425
105,2405600.0,30756.1,154117.0,228436.0,5764.0,388470.0,0.16305356025798656
106,2387380.0,31583.6,159403.0,238328.0,6013.93,403901.0,0.1693925875826039
107,2368710.0,32402.3,164753.0,248555.0,6272.33,419740.0,0.17588817705299942
108,2349590.0,33209.7,170157.0,259121.0,6539.31,435982.0,0.18254032866917302
109,2330040.0,34003.3,175606.0,270030.0,6814.95,452619.0,0.1893420841135347
110,2310070.0,34780.4,181090.0,281284.0,7099.3,469646.0,0.19628996422728928
111,2289690.0,35538.4,186599.0,292885.0,7392.42,487053.0,0.2033804898516417
112,2268920.0,36274.7,192121.0,304835.0,7694.33,504829.0,0.21060670266900183
113,2247760.0,36986.5,197643.0,317133.0,8005.06,522964.0,0.2179686026793698
114,2226240.0,37671.4,203155.0,329779.0,8324.58,541445.0,0.22545575240636018
115,2204380.0,38326.7,208643.0,342772.0,8652.88,560257.0,0.23306119353238297
116,2182190.0,38949.9,214093.0,356110.0,8989.89,579386.0,0.240781446898643
117,2159700.0,39538.7,219492.0,369791.0,9335.56,598815.0,0.2486060750287552
118,2136930.0,40090.9,224827.0,383811.0,9689.8,618526.0,0.25652811960512945
119,2113900.0,40604.1,230083.0,398165.0,10052.5,638501.0,0.2645406223101754
120,2090630.0,41076.5,235245.0,412848.0,10423.5,658720.0,0.272636624826303
121,2067150.0,41506.3,240301.0,427854.0,10802.6,679162.0,0.28080568967712716
122,2043490.0,41891.7,245235.0,443174.0,11189.7,699806.0,0.2890373793862625
123,2019680.0,42231.4,250033.0,458802.0,11584.6,720629.0,0.2973212564773239
124,1995730.0,42524.2,254683.0,474729.0,11987.0,741609.0,0.30565384179151633
