,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,1,1
7,0,0,1,1
8,0,0,1,1
9,0,0,1,1
10,0,0,1,1
11,0,0,1,1
12,0,0,1,1
13,0,0,1,1
14,0,0,1,1
15,0,0,1,1
16,0,0,1,1
17,0,0,1,1
18,0,0,1,1
19,0,0,1,1
20,0,0,1,1
21,1,0,0,1
22,1,0,0,1
23,1,0,0,1
24,1,0,0,1
25,1,0,0,1
26,1,0,0,1
27,1,0,0,1
28,1,0,1,2
29,1,0,1,2
30,1,0,1,2
31,1,0,1,2
32,1,0,1,2
33,1,0,1,2
34,1,0,1,2
35,1,0,1,2
36,1,0,6,7
37,1,0,6,7
38,1,0,6,7
39,1,0,9,10
40,1,0,21,22
41,1,0,28,29
42,1,0,28,29
43,2,0,27,29
44,2,0,27,29
45,2,0,77,79
46,2,0,131,133
47,4,0,129,133
48,4,0,129,133
49,4,0,129,133
50,5,0,135,140
51,22,1,119,142
52,22,1,121,144
53,76,1,67,144
54,119,1,27,147
55,119,1,32,152
56,130,1,25,156
57,131,1,27,159
58,131,1,31,163
59,131,1,31,163
60,138,1,25,164
61,138,1,29,168
62,138,1,31,170
63,138,1,40,179
64,140,1,38,179
65,140,1,45,186
66,140,1,46,187
67,140,1,54,195
68,155,1,58,214
69,155,1,58,214
70,155,1,73,229
71,162,1,70,233
72,163,1,69,233
73,169,1,71,241
74,169,1,78,248
75,169,1,82,252
76,178,1,77,256
77,178,1,101,280
78,194,1,91,286
79,213,1,77,291
80,229,1,67,297
81,233,1,68,302
82,237,1,75,313
83,243,1,69,313
84,252,1,68,321
85,253,1,75,329
86,257,1,72,330
87,279,2,50,331
88,285,2,75,362
89,290,2,102,394
90,296,2,112,410
91,309,2,101,412
92,309,2,109,420
93,320,2,124,446
94,327,2,184,513
95,328,3,186,517
96,355,3,228,586
97,358,3,240,601
98,389,3,231,623
99,407,3,216,626
100,413,3,212,628
101,437,3,205,645
102,479,3,180,662
103,507,4,171,682
104,554,4,142,700
105,588,4,120,712
106,602,5,125,732
107,611,5,121,737
108,615,6,146,767
109,631,7,156,794
110,644,8,160,812
111,680,8,183,871
112,694,8,203,905
113,705,8,253,966
114,723,8,253,984
115,726,9,282,1017
116,732,10,333,1075
117,741,10,394,1145
118,801,10,406,1217
119,820,11,455,1286
120,838,12,471,1321
121,881,12,461,1354
122,912,13,492,1417
123,940,13,510,1463
124,983,13,519,1515
125,1027,14,491,1532
126,1078,15,486,1579
127,1140,15,503,1658
128,1198,15,561,1774
129,1237,16,571,1824
130,1279,16,609,1904
131,1313,17,647,1977
132,1378,17,655,2050
133,1437,17,660,2114
134,1487,17,705,2209
135,1547,17,731,2295
136,1586,18,762,2366
137,1636,18,785,2439
138,1722,18,818,2558
139,1775,19,900,2694
140,1843,20,939,2802
141,1927,20,944,2891
142,2005,21,959,2985
143,2111,24,943,3078
144,2165,24,1002,3191
145,2247,24,1013,3284
146,2333,25,1022,3380
147,2417,25,1081,3523
148,2520,27,1073,3620
149,2620,27,1065,3712
150,2726,28,1024,3778
151,2831,31,1020,3882
152,2911,34,1048,3993
153,3009,34,1069,4112
154,3136,35,1064,4235
155,3223,35,1089,4347
156,3340,36,1131,4507
157,3488,36,1071,4595
158,3548,37,1124,4709
159,3651,39,1136,4826
160,3775,42,1125,4942
161,3865,42,1110,5017
162,3965,43,1089,5097
163,4060,43,1118,5221
164,4193,43,1055,5291
165,4279,43,1094,5416
166,4414,45,1036,5495
167,4516,47,1024,5587
168,4623,50,980,5653
169,4741,50,926,5717
170,4856,53,886,5795
171,4976,54,835,5865
172,5049,55,809,5913
173,5154,63,732,5949
174,5248,65,681,5994
175,5341,66,651,6058
176,5410,66,638,6114
177,5476,66,620,6162
178,5551,67,592,6210
179,5551,67,592,6210
