,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3898560.0,9.9379,6.8542,0.377681,0.0038146,7.21197,4.6170680694235244e-06
1,3898560.0,7.6401699999999995,10.5476,1.18145,0.011932700000000001,11.7053,4.6170680694235244e-06
2,3898550.0,6.583010000000001,13.1141,2.26562,0.0228829,15.3615,7.1821058857945985e-06
3,3898550.0,6.21316,15.1174,3.5554099999999997,0.0359098,18.6656,7.1821058857945985e-06
4,3898550.0,6.23231,16.8665,5.01478,0.0506495,21.8889,7.1821058857945985e-06
5,3898540.0,6.48031,18.5329,6.62903,0.0669535,25.1872,9.747143702165673e-06
6,3898540.0,6.871919999999999,20.2142,8.395430000000001,0.0847942,28.6548,9.747143702165673e-06
7,3898530.0,7.36263,21.9681,10.3182,0.10421400000000001,32.3533,1.2312181518536747e-05
8,3898530.0,7.93009,23.8311,12.4056,0.125297,36.3279,1.2312181518536747e-05
9,3898520.0,8.564110000000001,25.829,14.669,0.14815699999999998,40.6153,1.4877219334796798e-05
10,3898520.0,9.26125,27.9818,17.1214,0.172927,45.2489,1.4877219334796798e-05
11,3898510.0,10.0219,30.3073,19.778,0.199759,50.2617,1.7442257151167873e-05
12,3898500.0,10.8486,32.8223,22.6551,0.228818,55.6873,2.0007294967538947e-05
13,3898490.0,11.7456,35.5441,25.771,0.260288,61.56100000000001,2.257233278391002e-05
14,3898490.0,12.7178,38.4904,29.1451,0.294367,67.9206,2.257233278391002e-05
15,3898480.0,13.770999999999999,41.6804,32.7989,0.33127,74.8068,2.5137370600281095e-05
16,3898470.0,14.9117,45.1344,36.7555,0.371232,82.2633,2.770240841665217e-05
17,3898460.0,16.1471,48.8745,41.04,0.414505,90.3375,3.026744623291222e-05
18,3898440.0,17.4849,52.9244,45.6795,0.46136400000000005,99.0807,3.539752186565437e-05
19,3898430.0,18.9337,57.3098,50.7034,0.5121060000000001,108.54799999999999,3.796255968202544e-05
20,3898420.0,20.5024,62.0585,56.1436,0.567053,118.8,4.052759749839652e-05
21,3898410.0,16.8111,65.7666,61.9901,0.626103,128.395,4.309263531476759e-05
22,3898400.0,14.8127,67.7791,68.0905,0.687717,136.559,4.565767313102764e-05
23,3898400.0,13.7311,68.8735,74.3287,0.7507229999999999,143.94899999999998,4.565767313102764e-05
24,3898390.0,13.1461,69.4705,80.642,0.814488,150.92,4.822271094739872e-05
25,3898380.0,12.83,69.7981,86.9964,0.878668,157.665,5.078774876376979e-05
26,3898370.0,12.6596,69.9799,93.3734,0.943076,164.287,5.3352786580140865e-05
27,3898360.0,12.568,70.0826,99.7631,1.0076100000000001,170.843,5.591782439651194e-05
28,3898350.0,17.9148,71.5782,106.205,1.07267,178.873,5.848286221288301e-05
29,3898330.0,21.7307,75.1742,112.885,1.14014,189.237,6.361293784551414e-05
30,3898320.0,24.7938,80.1384,119.959,1.21159,201.362,6.617797566188521e-05
31,3898300.0,27.5317,86.0936,127.53299999999999,1.28809,214.982,7.130805129462736e-05
32,3898280.0,30.183000000000003,92.85600000000001,135.687,1.3704399999999999,229.995,7.643812692725849e-05
33,3898260.0,32.8841,100.34899999999999,144.49200000000002,1.45937,246.395,8.156820256000064e-05
34,3898230.0,35.717,108.554,154.012,1.5555299999999999,264.232,8.926331600911386e-05
