,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,5348990.0,200.425,1468.27,4926.43,121.819,6518.94,0.0014324216401143675
1,5348890.0,194.67700000000002,1444.68,5045.96,123.62200000000001,6616.65,0.001451089978966369
2,5348780.0,190.00599999999997,1420.53,5163.53,125.396,6711.82,0.001471625151703626
3,5348680.0,185.963,1396.25,5279.11,127.14,6804.84,0.0014902934905556275
4,5348570.0,182.299,1372.09,5392.7,128.85299999999998,6895.96,0.0015108286632927737
5,5348470.0,178.87,1348.18,5504.32,130.537,6985.34,0.0015294970021447751
6,5348370.0,175.59799999999998,1324.59,5613.99,132.192,7073.05,0.0015481653409967766
7,5348280.0,172.437,1301.36,5721.73,133.817,7159.18,0.0015649668459636334
8,5348180.0,169.362,1278.5,5827.59,135.414,7243.76,0.001583635184815635
9,5348090.0,166.358,1256.03,5931.58,136.983,7326.84,0.0016004366897823807
10,5347990.0,163.416,1233.95,6033.75,138.524,7408.45,0.0016191050286343822
11,5347900.0,160.531,1212.25,6134.12,140.03799999999998,7488.62,0.001635906533601239
12,5347810.0,157.7,1190.92,6232.73,141.526,7567.37,0.001652708038568096
13,5347730.0,154.921,1169.97,6329.6,142.987,7644.74,0.001667642709649697
14,5347640.0,152.191,1149.38,6424.77,144.423,7720.74,0.001684444214616443
15,5347560.0,149.509,1129.15,6518.26,145.833,7795.4,0.001699378885698044
16,5347470.0,146.875,1109.28,6610.1,147.219,7868.75,0.001716180390664901
17,5347390.0,144.28799999999998,1089.76,6700.33,148.58,7940.8,0.001731115061746502
18,5347310.0,141.746,1070.58,6788.97,149.917,8011.59,0.0017460497328281033
19,5347230.0,139.248,1051.73,6876.06,151.231,8081.13,0.0017609844039097045
20,5347160.0,136.795,1033.22,6961.6,152.52200000000002,8149.44,0.00177405224110605
21,5347080.0,134.385,1015.03,7045.65,153.79,8216.55,0.0017889869121876512
22,5347010.0,132.017,997.158,7128.21,155.035,8282.48,0.0018020547493841077
23,5346930.0,129.691,979.602,7209.32,156.259,8347.24,0.0018169894204657089
24,5346860.0,127.406,962.3539999999999,7289.0,157.461,8410.87,0.0018300572576620544
25,5346790.0,125.161,945.409,7367.28,158.642,8473.37,0.001843125094858511
26,5346720.0,122.955,928.7610000000001,7444.18,159.80200000000002,8534.77,0.0018561929320548565
27,5346650.0,120.788,912.4060000000001,7519.72,160.942,8595.09,0.001869260769251313
28,5346590.0,118.66,896.3380000000001,7593.94,162.061,8654.35,0.001880461772562514
29,5346520.0,116.568,880.552,7666.85,163.161,8712.56,0.0018935296097588594
30,5346460.0,114.514,865.043,7738.47,164.24200000000002,8769.74,0.0019047306130700603
31,5346390.0,112.49600000000001,849.807,7808.84,165.303,8825.92,0.0019177984502665169
32,5346330.0,110.51299999999999,834.8389999999999,7877.96,166.34599999999998,8881.11,0.0019289994535777177
33,5346270.0,108.565,820.1339999999999,7945.87,167.37,8935.33,0.0019402004568889186
34,5346210.0,106.65100000000001,805.687,8012.58,168.377,8988.59,0.0019514014602001195
35,5346150.0,104.771,791.4939999999999,8078.11,169.365,9040.91,0.0019626024635113204
36,5346090.0,102.92399999999999,777.55,8142.49,170.33700000000002,9092.31,0.0019738034668225213
37,5346030.0,101.11,763.852,8205.74,171.291,9142.8,0.001985004470133722
38,5345980.0,99.3274,750.3939999999999,8267.87,172.22799999999998,9192.4,0.0019943386395597784
39,5345920.0,97.5764,737.173,8328.91,173.149,9241.13,0.0020055396428709793
40,5345870.0,95.8561,724.184,8388.87,174.053,9289.0,0.0020148738122969245
41,5345820.0,94.1661,711.424,8447.77,174.942,9336.02,0.0020242079817229808
42,5345760.0,92.5059,698.888,8505.64,175.815,9382.22,0.0020354089850341817
43,5345710.0,90.8749,686.572,8562.49,176.673,9427.6,0.002044743154460127
44,5345660.0,89.2726,674.4730000000001,8618.33,177.515,9472.18,0.002054077323886183
45,5345610.0,87.6985,662.587,8673.19,178.343,9515.98,0.0020634114933121284
46,5345560.0,86.1522,650.91,8727.09,179.15599999999998,9559.0,0.0020727456627381846
47,5345520.0,84.6331,639.439,8780.03,179.955,9601.27,0.002080212998278985
48,5345470.0,83.1407,628.169,8832.05,180.739,9642.78,0.0020895471677049304
49,5345420.0,81.6746,617.097,8883.14,181.51,9683.57,0.0020988813371309867
50,5345380.0,80.2343,606.22,8933.34,182.267,9723.64,0.0021063486726717873
51,5345330.0,78.8194,595.535,8982.64,183.011,9763.0,0.0021156828420977325
52,5345290.0,77.4294,585.0369999999999,9031.09,183.74200000000002,9801.67,0.002123150177638533
53,5345250.0,76.0639,574.725,9078.67,184.46,9839.65,0.0021306175131793337
54,5345210.0,74.7224,564.594,9125.42,185.165,9876.97,0.0021380848487201343
55,5345160.0,73.4046,554.641,9171.34,185.858,9913.63,0.0021474190181461905
56,5345120.0,72.11,544.863,9216.46,186.53900000000002,9949.64,0.002154886353686991
57,5345080.0,70.8382,535.257,9260.78,187.207,9985.01,0.0021623536892277917
58,5345040.0,69.5888,525.821,9304.31,187.864,10019.8,0.0021698210247685923
59,5345010.0,68.3614,516.55,9347.08,188.50900000000001,10053.9,0.0021754215264242482
60,5344970.0,67.1556,507.44300000000004,9389.1,189.143,10087.4,0.002182888861965049
61,5344930.0,65.9711,498.496,9430.38,189.766,10120.4,0.0021903561975058494
62,5344890.0,64.8074,489.707,9470.92,190.377,10152.7,0.00219782353304665
63,5344860.0,63.6643,481.07199999999995,9510.76,190.97799999999998,10184.5,0.002203424034702195
64,5344820.0,62.5413,472.589,9549.89,191.56900000000002,10215.8,0.0022108913702429955
65,5344790.0,61.4381,464.256,9588.33,192.149,10246.5,0.0022164918718986515
66,5344750.0,60.3543,456.07,9626.09,192.718,10276.6,0.002223959207439452
67,5344720.0,59.2896,448.027,9663.18,193.278,10306.2,0.002229559709094997
68,5344690.0,58.2437,440.12699999999995,9699.63,193.828,10335.3,0.002235160210750653
69,5344650.0,57.2162,432.365,9735.43,194.368,10363.9,0.0022426275462914536
70,5344620.0,56.2069,424.74,9770.6,194.898,10391.9,0.0022482280479469985
71,5344590.0,55.2153,417.25,9805.14,195.419,10419.5,0.0022538285496026544
72,5344560.0,54.2412,409.89099999999996,9839.08,195.93099999999998,10446.6,0.0022594290512581994
73,5344530.0,53.2843,402.662,9872.42,196.43400000000003,10473.2,0.0022650295529138553
74,5344500.0,52.3442,395.56,9905.17,196.929,10499.3,0.0022706300545694003
75,5344470.0,51.4207,388.584,9937.35,197.41400000000002,10525.0,0.002276230556225056
76,5344440.0,50.5135,381.73,9968.96,197.891,10550.2,0.002281831057880601
77,5344420.0,49.6223,374.99699999999996,10000.0,198.359,10575.0,0.0022855647256510014
78,5344390.0,48.7468,368.38300000000004,10030.5,198.81900000000002,10599.4,0.0022911652273066574
79,5344360.0,47.8867,361.885,10060.5,199.271,10623.3,0.0022967657289622023
80,5344340.0,47.0418,355.50199999999995,10089.9,199.715,10646.8,0.0023004993967326026
81,5344310.0,46.2118,349.231,10118.8,200.15200000000002,10669.9,0.0023060998983882586
82,5344280.0,45.3964,343.07099999999997,10147.2,200.58,10692.5,0.0023117004000438035
83,5344260.0,44.5954,337.019,10175.1,201.00099999999998,10714.8,0.002315434067814204
84,5344230.0,43.8085,331.074,10202.5,201.415,10736.7,0.0023210345694698598
85,5344210.0,43.0355,325.23400000000004,10229.5,201.821,10758.2,0.00232476823724026
86,5344190.0,42.2762,319.496,10255.9,202.22,10779.3,0.0023285019050106603
