,Recovered,Deceased,Infected,I_c
0,0,0,2,2
1,0,0,3,3
2,0,0,4,4
3,0,0,4,4
4,0,0,6,6
5,0,0,8,8
6,0,0,8,8
7,0,0,9,9
8,0,0,11,11
9,0,0,14,14
10,0,0,17,17
11,0,0,27,27
12,0,0,31,31
13,0,0,38,38
14,0,0,40,40
15,0,0,48,48
16,0,0,48,48
17,0,0,50,50
18,0,0,58,58
19,3,0,55,58
20,6,0,52,58
21,9,0,49,58
22,12,0,46,58
23,16,0,45,61
24,19,0,43,62
25,22,0,40,62
26,25,0,37,62
27,29,0,37,66
28,32,0,50,82
29,35,0,47,82
30,38,0,54,92
31,41,0,51,92
32,45,0,50,95
33,48,0,47,95
34,51,0,49,100
35,54,0,48,102
36,58,0,45,103
37,61,0,42,103
38,64,0,48,112
39,67,0,46,113
40,71,0,46,117
41,71,0,62,133
42,79,0,55,134
43,81,0,56,137
44,88,0,53,141
45,90,0,64,154
46,94,0,65,159
47,101,0,67,168
48,102,0,78,180
49,109,0,84,193
50,111,0,82,193
51,111,0,82,193
52,121,1,89,211
53,121,2,103,226
54,135,2,87,224
55,135,2,93,230
56,141,2,92,235
57,143,3,103,249
58,159,3,87,249
59,167,4,82,253
60,181,5,73,259
61,189,5,75,269
62,192,5,72,269
63,198,5,97,300
64,206,5,91,302
65,215,5,92,312
66,220,5,92,317
67,230,5,99,334
68,232,5,114,351
69,234,5,120,359
70,234,5,123,362
71,246,5,114,365
72,253,5,115,373
73,261,6,119,386
74,280,6,123,409
75,280,6,171,457
76,283,7,194,484
77,289,7,230,526
78,299,7,222,528
79,305,7,246,558
80,309,8,292,609
81,337,8,278,623
82,357,8,275,640
83,383,8,308,699
84,426,8,293,727
85,453,9,284,746
86,465,9,313,787
87,475,10,379,864
88,485,12,416,913
89,505,12,480,997
90,533,12,512,1057
91,542,12,545,1099
92,555,13,585,1153
93,587,14,602,1203
94,622,18,711,1351
95,661,18,690,1369
96,823,19,577,1419
97,894,19,603,1516
98,949,19,607,1575
99,996,19,654,1669
100,1028,20,763,1811
101,1039,20,887,1946
102,1136,21,915,2072
103,1219,22,910,2151
104,1430,22,756,2208
105,1506,22,776,2304
106,1523,22,817,2362
107,1526,22,929,2477
108,1541,23,1005,2569
109,1646,28,972,2646
110,1759,28,978,2765
111,1762,28,1041,2831
112,1785,29,1121,2935
113,2011,30,969,3010
114,2136,31,1011,3178
115,2221,31,1008,3260
116,2396,33,918,3347
117,2484,33,893,3410
118,2590,33,872,3495
119,2728,35,851,3614
120,2811,35,873,3719
121,2878,37,947,3862
122,2931,38,971,3940
123,3033,38,953,4024
124,3132,39,973,4144
125,3200,40,1011,4251
126,3274,40,979,4293
127,3396,40,962,4398
128,3516,40,910,4466
129,3619,40,895,4554
130,3700,40,897,4637
131,3935,40,773,4748
132,4060,40,692,4792
133,4145,40,719,4904
134,4242,41,679,4962
135,4299,42,730,5071
136,4365,42,796,5203
137,4439,43,846,5328
138,4502,43,886,5431
139,4545,43,921,5509
140,4599,43,902,5544
141,4669,43,932,5644
142,4786,43,919,5748
143,4857,43,906,5806
144,4888,43,937,5868
145,4973,43,929,5945
146,5041,43,932,6016
147,5201,43,857,6101
148,5277,43,862,6182
149,5363,43,832,6238
150,5433,43,826,6302
151,5498,43,867,6408
152,5570,43,873,6486
153,5691,43,810,6544
154,5779,43,774,6596
155,5872,43,785,6700
156,5939,43,794,6776
157,6065,43,793,6901
158,6144,43,813,7000
159,6195,43,839,7077
160,6246,43,927,7216
161,6344,43,916,7303
162,6406,44,926,7376
163,6483,45,959,7487
164,6595,45,971,7611
165,6682,45,1002,7729
166,6780,45,1009,7834
167,6860,45,1055,7960
168,6946,45,1067,8058
169,7038,45,1114,8197
170,7124,46,1163,8333
171,7247,46,1188,8481
172,7341,46,1299,8686
173,7261,47,1429,8737
174,7339,47,1520,8906
175,7480,47,1599,9126
176,7612,48,1696,9356
177,7737,48,1820,9605
178,7851,48,1909,9808
179,7968,48,1990,10006
180,8136,48,2008,10192
181,8305,48,1979,10332
182,8506,48,1928,10482
183,8691,48,1966,10705
184,8856,48,2004,10908
185,9127,48,1868,11043
186,9329,48,1840,11217
187,9615,49,1678,11342
188,9792,49,1578,11419
189,9990,50,1623,11663
190,10152,50,1615,11817
191,10261,50,1699,12010
192,10479,51,1723,12253
193,10685,51,1637,12373
194,10950,51,1570,12571
195,11107,51,1599,12757
196,11248,52,1542,12842
197,11502,53,1492,13047
198,11502,53,1492,13047
