,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2339290.0,773.165,1474.5,11948.3,54.2036,13478.3,0.00931148696235129
1,2339110.0,749.829,1445.86,12098.6,54.401,13600.0,0.009387716900643217
2,2338940.0,728.284,1416.61,12245.9,54.5945,13718.3,0.009459711842363272
3,2338770.0,708.198,1387.07,12390.2,54.7841,13833.1,0.009531706784083327
4,2338600.0,689.314,1357.46,12531.4,54.9696,13944.9,0.009603701725803493
5,2338440.0,671.434,1327.95,12669.6,55.1512,14053.7,0.009671461670951786
6,2338290.0,654.404,1298.69,12804.7,55.3287,14159.8,0.009734986619528319
7,2338130.0,638.101,1269.76,12936.9,55.5024,14263.2,0.009802746564676612
8,2337980.0,622.433,1241.23,13066.1,55.6721,14364.0,0.009866271513253255
9,2337830.0,607.3240000000001,1213.15,13192.4,55.8381,14462.4,0.009929796461829787
10,2337690.0,592.716,1185.57,13315.8,56.0002,14558.3,0.009989086413834558
11,2337550.0,578.562,1158.5,13436.4,56.1587,14652.0,0.010048376365839329
12,2337420.0,564.8240000000001,1131.97,13554.3,56.3135,14743.5,0.010103431321272338
13,2337280.0,551.4730000000001,1105.97,13669.4,56.4648,14832.8,0.010162721273277109
14,2337150.0,538.484,1080.52,13782.0,56.6126,14919.9,0.010217776228710118
15,2337020.0,525.835,1055.61,13891.9,56.7571,15005.1,0.010272831184143127
16,2336900.0,513.51,1031.24,13999.3,56.8981,15088.2,0.010323651143004375
17,2336780.0,501.494,1007.41,14104.2,57.036,15169.4,0.010374471101865623
18,2336660.0,489.774,984.105,14206.6,57.1706,15248.7,0.010425291060726871
19,2336540.0,478.339,961.324,14306.7,57.3021,15326.1,0.010476111019588119
20,2336430.0,467.18,939.057,14404.5,57.4306,15401.8,0.010522695981877606
21,2336320.0,456.287,917.294,14500.0,57.5561,15475.6,0.010569280944167092
22,2336210.0,445.653,896.0260000000001,14593.3,57.6787,15547.8,0.010615865906456579
23,2336110.0,435.27,875.243,14684.5,57.7984,15618.2,0.010658215872174304
24,2336000.0,425.131,854.936,14773.5,57.9154,15687.0,0.01070480083446368
25,2335900.0,415.22900000000004,835.0939999999999,14860.5,58.0296,15754.3,0.010747150800181404
26,2335810.0,405.56,815.707,14945.4,58.1412,15819.9,0.010785265769327368
27,2335710.0,396.115,796.765,15028.4,58.2502,15884.0,0.010827615735045093
28,2335620.0,386.892,778.26,15109.4,58.3567,15946.7,0.010865730704190946
29,2335520.0,377.88199999999995,760.181,15188.6,58.4607,16007.8,0.01090808066990867
30,2335430.0,369.083,742.518,15265.9,58.5623,16067.6,0.010946195639054634
31,2335350.0,360.48800000000006,725.263,15341.4,58.6615,16125.9,0.010980075611628837
32,2335260.0,352.093,708.4060000000001,15415.2,58.7585,16182.9,0.01101819058077469
33,2335180.0,343.89300000000003,691.939,15487.3,58.8531,16238.6,0.011052070553348892
34,2335100.0,335.88300000000004,675.852,15557.6,58.9456,16293.0,0.011085950525923094
35,2335020.0,328.06,660.1360000000001,15626.4,59.0359,16346.1,0.011119830498497185
36,2334940.0,320.418,644.784,15693.5,59.1241,16398.0,0.011153710471071387
37,2334860.0,312.953,629.788,15759.1,59.2103,16448.6,0.01118759044364559
38,2334790.0,305.66200000000003,615.138,15823.2,59.2945,16498.1,0.01121723541964792
39,2334720.0,298.541,600.827,15885.7,59.3767,16546.4,0.01124688039565036
40,2334650.0,291.584,586.8480000000001,15946.9,59.4569,16593.6,0.01127652537165269
41,2334580.0,284.79,573.192,16006.6,59.5354,16639.7,0.011306170347655131
42,2334510.0,278.153,559.852,16064.9,59.611999999999995,16684.8,0.011335815323657461
43,2334450.0,271.67,546.822,16121.8,59.6868,16728.7,0.01136122530308814
44,2334380.0,265.339,534.0930000000001,16177.4,59.7599,16771.7,0.01139087027909047
45,2334320.0,259.154,521.66,16231.7,59.8312,16813.6,0.01141628025852115
46,2334260.0,253.113,509.515,16284.8,59.9009,16854.6,0.011441690237951718
47,2334200.0,247.21200000000002,497.651,16336.6,59.968999999999994,16894.6,0.011467100217382398
48,2334140.0,241.449,486.06199999999995,16387.2,60.0355,16933.7,0.011492510196812966
49,2334080.0,235.81900000000002,474.74300000000005,16436.7,60.1005,16971.9,0.011517920176243646
50,2334030.0,230.321,463.686,16485.0,60.1639,17009.2,0.011539095159102453
51,2333970.0,224.95,452.885,16532.1,60.2259,17045.6,0.011564505138533132
52,2333920.0,219.705,442.336,16578.2,60.2864,17081.2,0.01158568012139194
53,2333870.0,214.581,432.031,16623.2,60.3455,17115.9,0.011606855104250746
54,2333820.0,209.576,421.965,16667.1,60.4033,17149.8,0.011628030087109664
55,2333770.0,204.688,412.13300000000004,16710.0,60.4596,17183.0,0.011649205069968471
56,2333720.0,199.91400000000002,402.529,16752.0,60.5147,17215.3,0.01167038005282739
57,2333670.0,195.25099999999998,393.149,16792.9,60.5685,17246.9,0.011691555035686196
58,2333620.0,190.696,383.986,16832.9,60.621,17277.8,0.011712730018545003
59,2333580.0,186.248,375.037,16872.0,60.6724,17308.0,0.01172967000483216
60,2333540.0,181.903,366.295,16910.1,60.7225,17337.4,0.011746609991119206
61,2333490.0,177.65900000000002,357.756,16947.4,60.7714,17366.2,0.011767784973978013
62,2333450.0,173.514,349.416,16983.7,60.8192,17394.3,0.01178472496026517
63,2333410.0,169.465,341.27,17019.3,60.8659,17421.7,0.011801664946552215
64,2333370.0,165.511,333.31300000000005,17054.0,60.9115,17448.5,0.01181860493283926
65,2333330.0,161.649,325.54200000000003,17087.9,60.9561,17474.7,0.011835544919126417
66,2333290.0,157.877,317.95099999999996,17121.0,60.9996,17500.2,0.011852484905413463
67,2333250.0,154.192,310.536,17153.3,61.0421,17525.2,0.011869424891700509
68,2333220.0,150.594,303.29400000000004,17184.9,61.0836,17549.6,0.011882129881415904
69,2333180.0,147.079,296.221,17215.8,61.1241,17573.4,0.01189906986770295
70,2333150.0,143.64600000000002,289.312,17245.9,61.1637,17596.6,0.011911774857418234
71,2333110.0,140.29399999999998,282.564,17275.3,61.2023,17619.3,0.01192871484370528
72,2333080.0,137.019,275.973,17304.1,61.2401,17641.5,0.011941419833420674
73,2333050.0,133.821,269.535,17332.1,61.277,17663.2,0.011954124823135959
74,2333020.0,130.697,263.247,17359.6,61.313,17684.3,0.011966829812851243
75,2332990.0,127.646,257.106,17386.3,61.3482,17705.0,0.011979534802566527
76,2332960.0,124.666,251.107,17412.5,61.3825,17725.2,0.011992239792281922
77,2332930.0,121.756,245.24900000000002,17438.0,61.4161,17744.9,0.012004944781997207
78,2332900.0,118.913,239.52599999999998,17463.0,61.4488,17764.1,0.01201764977171249
79,2332870.0,116.137,233.937,17487.3,61.4809,17782.9,0.012030354761427775
80,2332840.0,113.425,228.47799999999998,17511.1,61.5121,17801.3,0.01204305975114317
81,2332810.0,110.777,223.14700000000002,17534.4,61.5426,17819.2,0.012055764740858455
82,2332790.0,108.19,217.93900000000002,17557.1,61.5725,17836.7,0.012064234734001977
83,2332760.0,105.664,212.85299999999998,17579.2,61.6016,17853.9,0.012076939723717262
84,2332740.0,103.197,207.885,17600.9,61.63,17870.6,0.012085409716860784
85,2332710.0,100.787,203.033,17622.0,61.6578,17886.9,0.01209811470657618
86,2332690.0,98.4337,198.294,17642.7,61.6849,17902.8,0.012106584699719702
87,2332670.0,96.135,193.666,17662.8,61.7114,17918.4,0.012115054692863225
88,2332640.0,93.89,189.145,17682.5,61.7373,17933.6,0.01212775968257851
89,2332620.0,91.6974,184.73,17701.8,61.7626,17948.4,0.012136229675722032
90,2332600.0,89.5559,180.418,17720.6,61.7873,17962.9,0.012144699668865666
91,2332580.0,87.4643,176.206,17738.9,61.8114,17977.1,0.012153169662009189
92,2332560.0,85.4216,172.092,17756.8,61.8349,17990.9,0.012161639655152712
93,2332540.0,83.4265,168.075,17774.3,61.8579,18004.4,0.012170109648296235
94,2332520.0,81.47800000000001,164.15099999999998,17791.4,61.8804,18017.6,0.012178579641439757
95,2332500.0,79.575,160.31799999999998,17808.1,61.9023,18030.5,0.01218704963458328
96,2332480.0,77.7163,156.575,17824.4,61.9237,18043.1,0.012195519627726914
97,2332460.0,75.90100000000001,152.91899999999998,17840.4,61.9447,18055.3,0.012203989620870437
98,2332440.0,74.1281,149.34799999999998,17855.9,61.9651,18067.3,0.01221245961401396
99,2332430.0,72.3966,145.861,17871.1,61.9851,18079.1,0.012216694610585721
100,2332410.0,70.7055,142.455,17885.9,62.0046,18090.5,0.012225164603729244
101,2332390.0,69.0539,139.129,17900.4,62.0236,18101.7,0.012233634596872767
102,2332380.0,67.4408,135.88,17914.6,62.0422,18112.6,0.012237869593444528
