,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.1428571428571428,2
2,0,0,1.2857142857142858,2
3,0,0,1.4285714285714286,2
4,0,0,1.5714285714285714,2
5,0,0,1.7142857142857142,2
6,0,0,1.8571428571428568,2
7,0,0,2.0,2
8,0,0,2.0,2
9,0,0,2.0,2
10,0,0,2.0,2
11,0,0,2.0,2
12,0,0,2.142857142857143,3
13,0,0,2.2857142857142856,3
14,0,0,2.4285714285714284,3
15,1,0,2.4285714285714284,3
16,1,0,2.7142857142857144,5
17,2,0,2.8571428571428568,5
18,2,0,3.2857142857142856,7
19,3,0,3.4285714285714284,7
20,3,0,3.7142857142857135,8
21,4,0,3.8571428571428568,8
22,4,0,4.285714285714286,9
23,5,0,4.428571428571429,10
24,5,0,5.285714285714286,14
25,6,0,7.0,23
26,6,0,8.857142857142858,23
27,7,0,10.428571428571429,23
28,7,0,12.142857142857142,23
29,8,0,13.857142857142858,25
30,8,0,15.571428571428573,25
31,8,0,17.0,27
32,9,0,17.142857142857142,27
33,9,0,17.285714285714285,27
34,10,0,17.428571428571427,27
35,10,0,17.571428571428573,27
36,11,0,17.571428571428573,28
37,11,0,17.571428571428573,28
38,12,0,17.428571428571427,30
39,12,0,19.0,41
40,13,0,21.142857142857142,46
41,13,0,23.42857142857143,46
42,14,0,25.857142857142854,48
43,14,0,28.857142857142854,52
44,15,0,31.714285714285715,52
45,15,0,34.57142857142857,53
46,16,0,36.42857142857143,58
47,31,0,35.57142857142857,58
48,31,0,35.0,60
49,31,0,34.42857142857143,61
50,44,0,31.57142857142857,62
51,44,1,29.142857142857146,65
52,44,1,27.0,68
53,50,1,25.42857142857143,82
54,50,2,27.57142857142857,94
55,52,2,30.57142857142857,104
56,52,2,34.285714285714285,110
57,54,2,40.285714285714285,116
58,56,2,47.14285714285714,126
59,75,2,51.714285714285715,132
60,75,2,56.42857142857143,141
61,75,2,60.14285714285714,145
62,75,2,63.0,147
63,75,2,65.42857142857143,150
64,83,2,68.85714285714286,169
65,83,2,71.57142857142857,172
66,106,2,73.85714285714286,179
67,107,2,76.0,188
68,132,2,74.57142857142857,192
69,132,2,73.14285714285714,194
70,151,2,69.28571428571429,199
71,157,2,64.28571428571429,208
72,158,2,59.57142857142857,214
73,164,2,58.0,226
74,172,2,55.0,232
75,189,2,53.42857142857143,238
76,193,2,51.714285714285715,243
77,196,3,52.714285714285715,252
78,197,4,55.0,266
79,202,4,57.57142857142857,278
80,202,4,61.714285714285715,295
81,211,4,69.57142857142857,328
82,214,4,78.57142857142857,328
83,217,5,89.2857142857143,345
84,221,5,99.14285714285714,348
85,232,7,107.85714285714286,365
86,245,9,116.14285714285714,384
87,248,9,124.28571428571428,403
88,273,9,132.0,449
89,275,9,145.71428571428572,490
90,278,11,162.71428571428572,531
91,293,14,178.28571428571428,538
92,329,17,190.0,554
93,333,19,204.14285714285717,581
94,336,20,218.28571428571428,601
95,339,20,233.28571428571428,631
96,356,22,242.14285714285717,646
97,369,22,247.85714285714286,673
98,374,26,258.57142857142856,706
99,413,34,271.2857142857143,744
100,420,39,284.85714285714283,783
101,423,41,300.42857142857144,818
102,472,43,313.2857142857143,877
103,497,47,331.85714285714283,942
104,513,49,350.71428571428567,976
105,539,49,378.57142857142856,1089
106,551,49,418.28571428571433,1175
107,566,50,464.57142857142856,1264
108,603,50,511.1428571428572,1333
109,628,50,561.5714285714286,1393
110,667,51,611.1428571428571,1463
111,738,55,669.4285714285714,1615
112,761,56,719.4285714285713,1668
113,809,57,770.2857142857142,1797
114,833,59,827.0,1937
115,843,62,889.5714285714287,2023
116,940,62,959.2857142857144,2205
117,970,62,1031.5714285714287,2283
118,977,63,1112.7142857142858,2430
119,1072,63,1202.142857142857,2612
120,1324,64,1262.2857142857142,2740
121,1459,63,1304.5714285714287,2863
122,1747,63,1317.142857142857,3016
123,1772,62,1334.142857142857,3156
124,1966,62,1333.7142857142858,3276
125,2101,62,1320.142857142857,3458
126,2131,62,1310.142857142857,3600
127,2205,63,1330.857142857143,3765
