,Recovered,Deceased,Infected,I_c
0,0,0,1.8571428571428568,3
1,0,0,2.142857142857143,3
2,0,0,2.4285714285714284,3
3,0,0,2.7142857142857144,3
4,0,0,2.8571428571428568,3
5,0,0,3.0,3
6,0,0,3.1428571428571432,4
7,0,0,3.2857142857142856,4
8,0,0,3.4285714285714284,4
9,0,0,3.571428571428572,4
10,0,0,4.0,6
11,0,0,5.0,10
12,0,0,6.142857142857142,11
13,0,0,7.428571428571429,13
14,2,0,8.428571428571429,13
15,2,0,10.285714285714286,19
16,2,0,12.428571428571427,21
17,3,1,14.857142857142858,27
18,3,3,16.714285714285715,29
19,3,3,18.428571428571427,29
20,3,3,21.142857142857142,38
21,6,3,24.0,40
22,6,4,27.714285714285715,53
23,8,4,31.857142857142854,60
24,11,5,35.142857142857146,62
25,15,5,39.142857142857146,71
26,16,5,43.42857142857143,74
27,19,5,46.28571428571429,76
28,19,6,49.714285714285715,80
29,19,6,54.85714285714285,104
30,25,6,59.42857142857143,111
31,29,6,64.14285714285714,114
32,29,6,68.57142857142857,117
33,29,7,73.28571428571429,122
34,29,7,78.71428571428571,126
35,37,7,83.14285714285714,130
36,37,8,85.57142857142857,141
37,50,8,86.57142857142857,145
38,53,8,87.7142857142857,148
39,53,8,88.57142857142857,149
40,61,8,87.85714285714286,150
41,68,8,86.0,153
42,90,8,83.57142857142857,167
43,90,8,80.14285714285714,170
44,105,8,76.28571428571429,173
45,113,8,74.14285714285714,193
46,113,8,73.57142857142857,205
47,127,8,73.42857142857143,215
48,130,8,74.42857142857143,222
49,131,10,76.57142857142857,225
50,152,11,77.28571428571429,240
51,169,11,78.14285714285714,246
52,172,11,78.42857142857143,257
53,183,11,78.57142857142857,279
54,189,11,80.42857142857143,293
55,190,11,82.28571428571429,298
56,195,12,84.71428571428571,308
57,196,13,90.28571428571428,325
58,207,13,98.57142857142857,344
59,233,13,103.85714285714286,357
60,241,13,109.28571428571428,377
61,247,13,115.28571428571428,395
62,262,13,120.85714285714286,411
63,271,13,127.28571428571428,430
64,271,13,135.0,454
65,305,13,141.71428571428572,489
66,312,14,151.14285714285714,503
67,332,14,158.14285714285714,518
68,346,16,164.0,538
69,355,17,176.4285714285714,595
70,377,17,194.7142857142857,668
71,379,17,216.0,715
72,431,17,238.0,773
73,441,18,263.57142857142856,815
74,447,19,295.85714285714283,864
75,466,21,333.14285714285717,924
76,501,22,364.1428571428572,963
77,541,23,394.71428571428567,1052
78,541,23,428.28571428571433,1118
79,593,23,463.1428571428572,1185
80,619,26,496.28571428571433,1233
81,675,30,524.4285714285714,1300
82,690,32,553.5714285714286,1363
83,742,36,587.7142857142858,1457
84,744,39,629.5714285714286,1564
85,751,40,671.7142857142858,1640
86,766,41,722.8571428571429,1734
87,855,42,783.5714285714287,1910
88,863,47,847.8571428571429,1955
89,906,49,921.2857142857144,2110
90,1077,52,980.4285714285713,2222
91,1113,52,1045.4285714285713,2401
92,1311,56,1098.2857142857142,2586
93,1363,60,1143.0,2663
94,1442,61,1178.2857142857142,2763
95,1535,65,1214.4285714285713,2898
96,1645,69,1238.5714285714287,3038
97,1778,70,1284.7142857142858,3264
98,1867,67,1328.0,3473
99,1972,71,1394.5714285714291,3728
100,2056,72,1472.7142857142858,3915
101,2217,76,1556.2857142857142,4138
102,2455,76,1644.5714285714291,4447
103,2526,80,1758.857142857143,4730
104,2643,82,1887.2857142857144,5040
105,2850,84,2023.2857142857144,5425
106,3037,86,2121.714285714286,5497
107,3213,88,2218.285714285714,5764
108,3387,90,2331.857142857143,6117
109,3567,94,2435.5714285714284,6303
110,3929,99,2494.285714285714,6563
111,4124,103,2549.285714285714,6927
112,4470,103,2563.142857142857,7161
113,4722,105,2585.857142857143,7360
114,4974,112,2587.714285714286,7562
115,5232,121,2581.428571428572,7949
116,5398,125,2583.714285714286,8181
117,5717,125,2583.285714285714,8374
118,5968,128,2574.714285714286,8736
119,6181,132,2569.428571428572,8864
120,6550,133,2572.5714285714284,9238
