,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,5146870.0,1.13218,1.1371,0.07291,0.00278971,1.21306,-1.942928797848964e-07
1,5146870.0,1.28274,1.29207,0.15578399999999998,0.00596066,1.45438,-1.942928797848964e-07
2,5146870.0,1.45402,1.46746,0.249928,0.00956285,1.72786,-1.942928797848964e-07
3,5146860.0,1.64868,1.6661299999999999,0.35683400000000004,0.013653299999999998,2.0379099999999997,1.7486359182861122e-06
4,5146860.0,1.86982,1.8912799999999999,0.47819799999999996,0.018297,2.38951,1.7486359182861122e-06
5,5146860.0,2.12092,2.14655,0.615952,0.0235678,2.78831,1.7486359182861122e-06
6,5146860.0,2.40599,2.43603,0.772291,0.0295497,3.24068,1.7486359182861122e-06
7,5146860.0,2.72954,2.76437,0.949707,0.0363381,3.75388,1.7486359182861122e-06
8,5146860.0,3.09674,3.13683,1.15103,0.044041199999999996,4.3361,1.7486359182861122e-06
9,5146860.0,3.51345,3.55937,1.3794799999999998,0.052782100000000005,4.996659999999999,1.7486359182861122e-06
10,5146860.0,3.98631,4.03874,1.6386900000000002,0.0627004,5.74611,1.7486359182861122e-06
11,5146860.0,4.522869999999999,4.58261,1.93282,0.0739543,6.596430000000001,1.7486359182861122e-06
12,5146850.0,5.13169,5.19968,2.26655,0.08672360000000001,7.56122,3.691564716357121e-06
13,5146850.0,5.82251,5.8998,2.64522,0.101212,8.65587,3.691564716357121e-06
14,5146850.0,6.60635,6.694160000000001,3.07487,0.11765199999999999,9.89789,3.691564716357121e-06
15,5146850.0,7.49574,7.59545,3.5623699999999996,0.13630499999999998,11.3071,3.691564716357121e-06
16,5146840.0,8.50487,8.61808,4.11551,0.157469,12.9061,5.634493514428129e-06
17,5146840.0,9.64986,9.778369999999999,4.743119999999999,0.181483,14.7203,5.634493514428129e-06
18,5146840.0,10.949000000000002,11.0949,5.45523,0.20873000000000003,16.7787,5.634493514428129e-06
19,5146830.0,12.4231,12.5886,6.26321,0.23964499999999997,19.1143,7.577422312499138e-06
20,5146830.0,14.0956,14.2834,7.17997,0.274723,21.7643,7.577422312499138e-06
21,5146820.0,15.9933,16.2065,8.22016,0.314523,24.7711,9.520351110570147e-06
22,5146810.0,18.1465,18.3884,9.40039,0.359681,28.1827,1.1463279908641155e-05
23,5146810.0,20.5895,20.864,10.7395,0.41092,32.0536,1.1463279908641155e-05
24,5146800.0,23.3615,23.6729,12.2589,0.46905600000000003,36.4457,1.3406208706712164e-05
